Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,Company/Issuer not cooperating,is_INC,Days_Overdue,Urgency,Year,Month,Month_Str,Month_Str2,Inferred_State,Geo_Signal
Pellet-Energy Systems Pvt. Ltd.,2026-04-24,CARE,Term loans,Default,D,Reaffirmed,22.5,Y,True,58.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Phenil Sugars Ltd.,2026-04-23,CARE,Bank Guarantee,Default,D,Reaffirmed,2.0,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Uttar Pradesh,cluster:sugar
Pink City Expressway Pvt. Ltd.,2026-04-08,CARE,Term loans,Default,D,Reaffirmed,1760.55,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Pravara Renewable Energy Ltd.,2026-04-15,CARE,Term loans,Default,D,Reaffirmed,186.08,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Prayan Ispat & Steel Pvt. Ltd.,2026-04-22,CARE,Term loans,Default,D,Reaffirmed,0.09,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Primatel Fibcom Ltd.,2026-04-10,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,17.5,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
R A C Papers Ltd.,2026-04-22,CARE,Term loans,Substantial Risk,C,Reaffirmed,2.3,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
R A Shaikh Paper Mills Pvt. Ltd.,2026-04-08,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.8,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
R G Spinning Mills Pvt. Ltd.,2026-04-02,CARE,Term loans,Inadequate Safety,BB-,Reaffirmed,14.15,Y,True,80.0,LOW,2026,4,2026-04,2026-04,Tamil Nadu,cluster:spinning mills
R R & Company Pvt. Ltd.,2026-04-09,CARE,Term loans,High Risk,B-,Reaffirmed,0.85,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
R S R Infra Works (India) Pvt. Ltd.,2026-04-02,CARE,Bank Guarantee,High Risk,A 4,Downgraded,75.0,Y,True,80.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
R S V Constructions Pvt. Ltd.,2026-04-06,CARE,Bank Guarantee,High Risk,A 4,Downgraded,54.5,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Rajasthan Powergen Transformer Pvt. Ltd.,2026-04-14,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,3.0,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Rajasthan,Rajasthan
Rathi Bars Ltd.,2026-04-14,CARE,Term loans,High Risk,B-,Downgraded,7.51,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Ravindra Heraeus Pvt. Ltd.,2026-04-08,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,150.0,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Rawalwasia Textile Inds. Pvt. Ltd.,2026-04-08,CARE,Non-government debt,High Risk,B-/A4,Downgraded,13.0,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Gujarat,cluster:textile
Rawmet Resources Pvt. Ltd.,2026-04-27,CARE,Non-government debt,Inadequate Safety,BB-/A4,Downgraded,7.0,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Raymix Concrete India Pvt. Ltd.,2026-04-09,CARE,Term loans,Default,D,Reaffirmed,4.98,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Relemac Technologies Pvt. Ltd.,2026-04-10,CARE,Non-government debt,High Risk,A 4,Reaffirmed,8.5,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Rockdrill Projects Pvt. Ltd.,2026-04-22,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,32.0,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Rolex Processors Pvt. Ltd.,2026-04-15,CARE,Term loans,High Risk,B-,Reaffirmed,25.17,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Ronch Polymers Pvt. Ltd.,2026-04-10,CARE,Term loans,Moderate Safety,BBB+,Withdrawn,21.5,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Rudra Ecovation Ltd.,2026-04-17,CARE,Letter Of credit,Default,D,Reaffirmed,5.0,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
S B W Udyog Ltd.,2026-04-09,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,5.0,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
S M Interior Pvt. Ltd.,2026-04-28,CARE,Term loans,Default,D,Reaffirmed,2.0,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
S P G V Petrochem (India) Pvt. Ltd.,2026-04-13,CARE,Non-government debt,Default,D,Reaffirmed,4.8,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
S Pal Enterprises Pvt. Ltd.,2026-04-23,CARE,Term loans,High Risk,B-,Reaffirmed,2.69,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
S S Agri Business Pvt. Ltd.,2026-04-13,CARE,Term loans,High Risk,B-,Reaffirmed,5.93,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
S V E Drilling Tools Pvt. Ltd.,2026-04-28,CARE,Term loans,High Risk,B-,Reaffirmed,10.0,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Sadbhav Vidarbha Highway Ltd.,2026-04-17,CARE,Term loans,Default,D,Reaffirmed,514.0,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Safe & Secure Logistic Pvt. Ltd.,2026-04-14,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.5,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Saka Embroidery Pvt. Ltd.,2026-04-21,CARE,Term loans,Default,D,Reaffirmed,5.58,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Sathy Silks Pvt. Ltd.,2026-04-15,CARE,Term loans,Inadequate Safety,BB+,Reaffirmed,114.85,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Savair Energy Ltd.,2026-04-09,CARE,Non-government debt,Default,D,Reaffirmed,47.0,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Senbo Engineering Ltd.,2026-04-10,CARE,Bank Guarantee,Default,D,Reaffirmed,24.68,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Seven Seas Distillery Pvt. Ltd.,2026-04-17,CARE,Bank Guarantee,High Risk,B,Downgraded,0.13,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Uttar Pradesh,cluster:distillery
Shiv Edibles Ltd.,2026-04-10,CARE,Fund based financial facility/instrument,High Risk,B-,Downgraded,40.0,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shiva Industrial Security Agency (Gujarat) Ltd.,2026-04-27,CARE,Bank Guarantee,Default,D,Reaffirmed,2.5,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shiva Speciality Yarns Ltd.,2026-04-06,CARE,Bank Guarantee,Default,D,Reaffirmed,1.0,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shivmahal Textiles Pvt. Ltd.,2026-04-20,CARE,Term loans,High Risk,B-,Reaffirmed,3.77,Y,True,62.0,LOW,2026,4,2026-04,2026-04,Gujarat,cluster:textile
Shivmani Exports Pvt. Ltd.,2026-04-06,CARE,Bank Guarantee,High Risk,B,Downgraded,0.4,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shoe Technik Intl. Corpn. Ltd.,2026-04-21,CARE,Bank Guarantee,High Risk,B-,Reaffirmed,0.25,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shree Bharat Motors Ltd.,2026-04-29,CARE,Term loans,Default,D,Reaffirmed,10.56,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shree Hari Infraprojects Pvt. Ltd.,2026-04-16,CARE,Letter Of credit,High Risk,A 4,Downgraded,17.0,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shree Hari Spintex Ltd.,2026-04-13,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.5,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shree Maheshwar Hydel Power Corpn. Ltd.,2026-04-15,CARE,Term loans,Default,D,Reaffirmed,451.0,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shri Mahavir Iron & Steel Pvt. Ltd.,2026-04-27,CARE,Term loans,Inadequate Safety,BB-,Downgraded,28.0,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shri Ram Autotech Pvt. Ltd.,2026-04-14,CARE,Fund based financial facility/instrument,Default,D,Reaffirmed,2.0,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Shruti Fashions Pvt. Ltd.,2026-04-10,CARE,Term loans,High Risk,B-,Reaffirmed,1.01,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Singlacherra Tea Co. Pvt. Ltd.,2026-04-27,CARE,Term loans,Substantial Risk,C,Reaffirmed,11.56,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Singrauli Finlease Pvt. Ltd.,2026-04-06,CARE,Bank Guarantee,Default,D,Reaffirmed,5.0,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Sivana Steel & Power Pvt. Ltd.,2026-04-27,CARE,Term loans,High Risk,B-,Downgraded,0.69,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Smart Stainless Tubes Pvt. Ltd.,2026-04-10,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.25,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Span Pumps Pvt. Ltd.,2026-04-14,CARE,Letter Of credit,High Risk,A 4,Withdrawn,,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Spansules Formulations India Pvt. Ltd.,2026-04-27,CARE,Term loans,Inadequate Safety,BB-,Downgraded,4.72,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Spansules Pharmatech Pvt. Ltd.,2026-04-27,CARE,Non-government debt,Inadequate Safety,BB-/A4,Downgraded,34.63,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Spinora Tiles Pvt. Ltd.,2026-04-29,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,1.75,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Gujarat,cluster:tiles
Sree Astalaxmi Spinning Mills Pvt. Ltd.,2026-04-08,CARE,Term loans,High Risk,B-,Reaffirmed,1.84,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Tamil Nadu,cluster:spinning mills
Sree Mangayarkarasi Mills Pvt. Ltd.,2026-04-13,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,4.0,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Bihar/Jharkhand,Gaya
Sri Anagha Refineries Pvt. Ltd.,2026-04-20,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,85.6,Y,True,62.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Sri Karpagam Mills India Pvt. Ltd.,2026-04-13,CARE,Term loans,Default,D,Reaffirmed,19.6,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Sri Venkata Srinivasa Oils Pvt. Ltd.,2026-04-08,CARE,Term loans,High Risk,B+,Downgraded,9.5,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Star Engineers (India) Pvt. Ltd.,2026-04-10,CARE,Letter Of credit,High Risk,A 4,Downgraded,3.0,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Sujata Udit Builders Pvt. Ltd.,2026-04-17,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,4.31,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Sundaram Steels Pvt. Ltd.,2026-04-24,CARE,Term loans,High Risk,B,Reaffirmed,12.07,Y,True,58.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Supermint Exports Pvt. Ltd.,2026-04-08,CARE,Non-government debt,High Risk,B/A4,Downgraded,4.11,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Surana Telecom & Power Ltd.,2026-04-07,CARE,Term loans,Inadequate Safety,BB-,Downgraded,32.21,Y,True,75.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Suyash Chemical & Fertilizer Pvt. Ltd.,2026-04-16,CARE,Term loans,High Risk,B,Downgraded,2.61,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Swastik Oil Refinery Pvt. Ltd.,2026-04-30,CARE,Letter Of credit,Default,D,Withdrawn,,Y,True,52.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Sweety Infrastructure Pvt. Ltd.,2026-04-24,CARE,Bank Guarantee,Default,D,Reaffirmed,80.0,Y,True,58.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
T C Motors Pvt. Ltd.,2026-04-08,CARE,Term loans,High Risk,B-,Reaffirmed,3.21,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Trisquare Switchgears Pvt. Ltd.,2026-04-28,CARE,Term loans,Inadequate Safety,BB-,Downgraded,4.5,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Trucap Finance Ltd.,2026-04-02,CARE,Fund based financial facility/instrument,Default,D,Reaffirmed,750.0,Y,True,80.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Ultimate Chem (India) Pvt. Ltd.,2026-04-13,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,4.0,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Umashakti Steels Pvt. Ltd.,2026-04-16,CARE,Term loans,High Risk,B-,Reaffirmed,4.7,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Universal Seaport Pvt. Ltd.,2026-04-10,CARE,Term loans,High Risk,B,Downgraded,6.4,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Uniworld Sugars Pvt. Ltd. [Merged],2026-04-06,CARE,Term loans,Default,D,Reaffirmed,60.0,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Uttar Pradesh,cluster:sugar
V T R Marketing Pvt. Ltd.,2026-04-10,CARE,Term loans,Substantial Risk,C,Reaffirmed,2.17,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vantage Spinners Pvt. Ltd.,2026-04-10,CARE,Term loans,Default,D,Reaffirmed,42.25,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vardhman Textile Components Ltd.,2026-04-06,CARE,Term loans,High Risk,B+,Downgraded,2.29,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Gujarat,cluster:textile
Vatika Seven Elements Pvt. Ltd.,2026-04-23,CARE,Term loans,Default,D,Reaffirmed,225.0,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vazron Industries Pvt. Ltd.,2026-04-13,CARE,Term loans,High Risk,B+,Downgraded,85.0,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Ved Parkash & Sons Lumbers Pvt. Ltd.,2026-04-17,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,12.5,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Versant Online Solutions Pvt. Ltd.,2026-04-21,CARE,Term loans,High Risk,B-,Reaffirmed,2.95,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vijai Electricals Ltd.,2026-04-10,CARE,Term loans,Inadequate Safety,BB-,Withdrawn,149.28,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vikram Roller Flour Mills Ltd.,2026-04-29,CARE,Non-government debt,High Risk,B-/A4,Reaffirmed,47.5,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vimal Coal Pvt. Ltd.,2026-04-16,CARE,Non-government debt,Inadequate Safety,BB-/A4,Downgraded,39.96,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vipul Motors Pvt. Ltd.,2026-04-22,CARE,Non-government debt,High Risk,B/A4,Downgraded,45.0,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vishwakarma Automotive Pvt. Ltd.,2026-04-27,CARE,Term loans,High Risk,B-,Reaffirmed,18.63,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Vista Information Systems Pvt. Ltd.,2026-04-06,CARE,Non-government debt,Moderate Safety,BBB/A3,Downgraded,17.9,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
