Company Name,INDRA_INC_Date,INDRA_Days_Overdue,INDRA_Instrument,INDRA_Rating,INDRA_Amount_Cr,CRISIL_INC_Date,CRISIL_Days_Overdue,CRISIL_Instrument,CRISIL_Rating,CRISIL_Amount_Cr,Max_Days_Overdue,Urgency,Revenue_Signal,Why_Target,ACER_Pitch
Lanson Motors Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,136.0,2025-11-21,212,Long term Loans,B+,38.4,212,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Manik Commercial Pvt. Ltd.,2026-01-16,156,Non-government debt,D,8.14,2025-11-21,212,Long term Loans,D,4.9,212,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Anand Motor Agencies Ltd.,2025-11-24,209,Non-government debt,B-/A4,29.8,2026-03-17,96,Fund based financial facility/instrument,B,29.5,209,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Kalpataruvu Spinning Mills Pvt. Ltd.,2025-11-24,209,Non-government debt,D,57.52,2026-02-23,118,Term loans,D,25.0,209,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Mercury Industries Ltd.,2025-11-24,209,Non-government debt,B/A4,16.43,2026-03-27,86,Long term Loans,B,1.64,209,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Pradhama Multi Speciality Hospitals & Research Ins Titute Ltd.,2025-11-24,209,Non-government debt,D,133.37,2026-03-27,86,Long term Loans,D,26.5,209,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Sanco Industries Ltd.,2025-11-24,209,Non-government debt,D,52.9,2025-12-24,179,Letter Of credit,D,18.4,209,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Konark Synthetic Ltd.,2026-01-16,156,Non-government debt,D,27.95,2025-11-27,206,Letter Of credit,D,8.75,206,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Jindal Wood Products Pvt. Ltd.,2026-04-02,80,Non-government debt,D,15.97,2025-12-08,195,Letter Of credit,D,17.0,195,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Praveen Aroma Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,18.75,2025-12-08,195,Long term Loans,B,0.75,195,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Swastik Coal Corpn. Pvt. Ltd.,2026-01-12,160,Non-government debt,D,375.0,2025-12-18,185,Letter Of credit,D,252.0,185,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Anubhav Plast Ltd.,2025-12-19,184,Non-government debt,B-/A4,8.5,2026-04-23,59,Bank Guarantee,A 4,1.5,184,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Paradigm Tunneling Pvt. Ltd.,2025-12-19,184,Non-government debt,D,11.5,2026-04-23,59,Bank Guarantee,D,8.0,184,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Sukata Tractor Parts Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,6.44,2025-12-22,181,Long term Loans,B+,3.7,181,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
K M K Global Ltd.,2026-01-16,156,Non-government debt,B/A4,6.8,2026-02-26,115,Bank Guarantee,A 4,2.8,156,WARM,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Khedut Solvexp Pvt. Ltd.,2026-01-16,156,Non-government debt,B/A4,75.0,2026-02-10,131,Term loans,BB+,1.6,156,WARM,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
U D Solution Pvt. Ltd.,2026-01-16,156,Non-government debt,B/A4,16.0,2026-03-30,83,Letter Of credit,A 4,9.0,156,WARM,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Himalayan Road Construction Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,23.0,2026-01-27,145,Bank Guarantee,A 4,12.0,145,WARM,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Smita Steels Rolling Mills Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,18.5,2026-01-27,145,Letter Of credit,A 4,5.0,145,WARM,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Swapna Printing Works Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,9.0,2026-01-28,144,Term loans,B,2.0,144,WARM,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Telawne Power Equipments Pvt. Ltd.,2026-04-28,54,Non-government debt,B/A4,28.0,2026-02-18,123,Letter Of credit,A 4,29.0,123,WARM,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Ashok Bricks Inds. Pvt. Ltd.,2026-04-02,80,Non-government debt,D,44.0,2026-02-20,121,Letter Of credit,D,1.5,121,WARM,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
S C T Ltd.,2026-04-02,80,Non-government debt,B-/A4,15.0,2026-02-25,116,Bank Guarantee,A 4,7.0,116,WARM,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Kashi Kanchan Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,19.0,2026-02-26,115,Bank Guarantee,A 4,4.0,115,WARM,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
A G S Transact Technologies Ltd.,2026-03-27,86,Non-government debt,D,761.1,2026-04-17,65,Long term Loans,D,153.76,86,LOW,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Vashu Yarn Mills India Pvt. Ltd.,2026-04-02,80,Non-government debt,D,14.05,2026-03-31,82,Term loans,D,4.68,82,LOW,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
