Company,CARE_Date,CARE_Days,CARE_Instrument,CARE_Rating,CARE_Urgency,CRISIL_Date,CRISIL_Days,CRISIL_Instrument,CRISIL_Rating,CRISIL_Urgency,Worst_Urgency,Max_Days,Current_Rater,Why_Target,ACER_Pitch
Bakshi Security & Personnel Services Pvt. Ltd.,2025-11-03,230.0,Bank Guarantee,A 4,HOT,2025-07-17,339.0,Bank Guarantee,A 4,HOT,HOT,339.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Banglore Polycotters Pvt. Ltd.,2026-02-17,124.0,Letter Of credit,A 4,WARM,2025-07-17,339.0,Letter Of credit,A 4,HOT,HOT,339.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
D & M Cables Pvt. Ltd.,2025-10-16,248.0,Bank Guarantee,A 4,HOT,2025-07-17,339.0,Bank Guarantee,A 4,HOT,HOT,339.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shri Govindkrupa Cotton Processing Pvt. Ltd.,2025-07-17,339.0,Term loans,B,HOT,2025-11-10,223.0,Term loans,B,HOT,HOT,339.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Matrix Roller Mill Pvt. Ltd.,2025-10-14,250.0,Fund based financial facility/instrument,B-,HOT,2025-07-17,339.0,Fund based financial facility/instrument,B+,HOT,HOT,339.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Saluja Steel & Power Pvt. Ltd.,2025-07-21,335.0,Letter Of credit,A 4,HOT,2025-12-08,195.0,Bank Guarantee,A 4+,HOT,HOT,335.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Four Star International Ltd.,2026-01-09,163.0,Letter Of credit,A 4,WARM,2025-07-21,335.0,Short-term loan,A 4,HOT,HOT,335.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
R S R Infra Works (India) Pvt. Ltd.,2026-04-02,80.0,Bank Guarantee,A 4,LOW,2025-07-22,334.0,Bank Guarantee,A 4+,HOT,HOT,334.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shree Subhlaxmi Foods Ltd.,2025-07-23,333.0,Fund based financial facility/instrument,D,HOT,2025-11-13,220.0,Fund based financial facility/instrument,D,HOT,HOT,333.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shirpur Gold Refinery Ltd.,2025-07-23,333.0,Bank Guarantee,D,HOT,2025-07-31,325.0,Long term Loans,D,HOT,HOT,333.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sam Industrial Enterprises Ltd.,2025-07-23,333.0,Bank Guarantee,D,HOT,2025-10-14,250.0,Bank Guarantee,D,HOT,HOT,333.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sanghi Brothers (Indore) Pvt. Ltd.,2025-07-23,333.0,Bank Guarantee,A 4,HOT,2025-10-24,240.0,Bank Guarantee,A 4,HOT,HOT,333.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ramdev Stainless Strips Pvt. Ltd.,2025-12-08,195.0,Term loans,B-,HOT,2025-07-23,333.0,Term loans,B,HOT,HOT,333.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Kamakshi Steels Pvt. Ltd.,2025-07-23,333.0,Bank Guarantee,D,HOT,2025-09-25,269.0,Long term Loans,D,HOT,HOT,333.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Radharaman Stainless Steel Pvt. Ltd.,2025-07-24,332.0,Letter Of credit,A 4,HOT,2025-12-22,181.0,Letter Of credit,A 4,HOT,HOT,332.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Jyote Motors Pvt. Ltd.,2026-03-09,104.0,Fund based financial facility/instrument,D,WARM,2025-07-25,331.0,Fund based financial facility/instrument,B,HOT,HOT,331.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Kapilansh Dhatu Udyog Pvt. Ltd.,2025-10-14,250.0,Bank Guarantee,A 4,HOT,2025-07-25,331.0,Bank Guarantee,A 4,HOT,HOT,331.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Jai Shiv Food Products Pvt. Ltd.,2025-08-22,303.0,Letter Of credit,A 4,HOT,2025-07-25,331.0,Term loans,B+,HOT,HOT,331.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Multifilms Plastics Pvt. Ltd.,2025-12-05,198.0,Fund based financial facility/instrument,B-,HOT,2025-07-25,331.0,Fund based financial facility/instrument,B,HOT,HOT,331.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shiva Structures Pvt. Ltd.,2025-07-31,325.0,Bank Guarantee,A 4,HOT,2025-11-25,208.0,Bank Guarantee,A 4,HOT,HOT,325.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shivmahal Textiles Pvt. Ltd.,2026-04-20,62.0,Term loans,B-,LOW,2025-07-31,325.0,Term loans,B,HOT,HOT,325.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Asuti Trading Pvt. Ltd.,2025-07-31,325.0,Bank Guarantee,D,HOT,2025-11-12,221.0,Letter Of credit,D,HOT,HOT,325.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Malwa Automotives Pvt. Ltd.,2025-08-04,321.0,Fund based financial facility/instrument,B-,HOT,2025-10-24,240.0,Term loans,B+,HOT,HOT,321.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Aditi Infrabuild & Services Ltd.,2025-08-05,320.0,Bank Guarantee,A 4,HOT,2026-01-12,160.0,Bank Guarantee,A 4,WARM,HOT,320.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Omsai Udyog India Pvt. Ltd.,2025-08-07,318.0,Bank Guarantee,D,HOT,2025-10-24,240.0,Bank Guarantee,D,HOT,HOT,318.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Liquinox Gases Pvt. Ltd.,2025-08-08,317.0,Term loans,BB,HOT,2025-12-08,195.0,Term loans,BB+,HOT,HOT,317.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sree Venkateswara Road Constructions Pvt. Ltd.,2025-08-08,317.0,Bank Guarantee,A 4,HOT,2026-02-27,114.0,Bank Guarantee,A 4,WARM,HOT,317.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Supermint Exports Pvt. Ltd.,2026-04-08,74.0,Non-government debt,B/A4,LOW,2025-08-11,314.0,Bank Guarantee,A 4+,ULTRA HOT,HOT,314.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Om Sharda Logistics Pvt. Ltd.,2025-08-11,314.0,Bank Guarantee,A 4,HOT,2025-11-04,229.0,Bank Guarantee,A 4,HOT,HOT,314.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
A B C Transformers Pvt. Ltd.,2025-08-13,312.0,Bank Guarantee,A 4,HOT,2026-01-12,160.0,Bank Guarantee,A 4,WARM,HOT,312.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Castron Technologies Pvt. Ltd.,2025-08-13,312.0,Bank Guarantee,A 4,HOT,2026-01-21,151.0,Bank Guarantee,A 4,WARM,HOT,312.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Pes Installations Pvt. Ltd.,2025-11-28,205.0,Non-government debt,B+/A4,HOT,2025-08-14,311.0,Bank Guarantee,A 4,HOT,HOT,311.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Pacific Jute Ltd.,2025-08-14,311.0,Letter Of credit,A 4,HOT,2026-03-27,86.0,Letter Of credit,A 4,LOW,HOT,311.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
R R Distributors Pvt. Ltd.,2025-08-14,311.0,Letter Of credit,D,HOT,2025-08-26,299.0,Letter Of credit,D,HOT,HOT,311.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Asha Enterprises Pvt. Ltd.,2026-02-12,129.0,Non-government debt,B-/A4,WARM,2025-08-14,311.0,Bank Guarantee,A 4,HOT,HOT,311.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Maa Shitala Agro Pvt. Ltd.,2025-08-14,311.0,Bank Guarantee,B,HOT,2025-12-05,198.0,Bank Guarantee,A 4,HOT,HOT,311.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Hilltop Hirise Pvt. Ltd.,2025-09-04,290.0,Bank Guarantee,BB+,HOT,2025-08-14,311.0,Bank Guarantee,A 4,HOT,HOT,311.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Inderjit Marwaha Autos Pvt. Ltd.,2025-10-13,251.0,Letter Of credit,B,HOT,2025-08-14,311.0,Fund based financial facility/instrument,BB+,HOT,HOT,311.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Unitech Fabricators & Engineers Pvt. Ltd.,2025-08-20,305.0,Bank Guarantee,A 4,HOT,2025-10-30,234.0,Bank Guarantee,A 4,HOT,HOT,305.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Hemkunt Rice Mills Pvt. Ltd.,2025-08-20,305.0,Letter Of credit,A 4,HOT,2025-10-20,244.0,Long term Loans,B+,HOT,HOT,305.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sandhyasamrat Construction & Services Pvt. Ltd.,2025-09-12,282.0,Bank Guarantee,A 4,HOT,2025-08-20,305.0,Bank Guarantee,A 4+,HOT,HOT,305.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Winfab Equipments Pvt. Ltd.,2025-08-25,300.0,Bank Guarantee,A 4,HOT,2026-01-31,141.0,Bank Guarantee,A 4,WARM,HOT,300.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
K K Polycolor Asia Ltd.,2025-08-25,300.0,Bank Guarantee,D,HOT,2025-12-10,193.0,Bank Guarantee,D,HOT,HOT,300.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Fabrimax Engineering Pvt. Ltd.,2026-02-03,138.0,Bank Guarantee,A 4,WARM,2025-08-28,297.0,Bank Guarantee,A 4,HOT,HOT,297.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Super Iron Foundry Ltd.,2026-03-25,88.0,Term loans,B+,HOT,2025-08-28,297.0,Term loans,B+,HOT,HOT,297.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Jay Bharat Spices Pvt. Ltd.,2025-08-28,297.0,Term loans,BB+,HOT,2025-12-08,195.0,Letter Of credit,A 4,HOT,HOT,297.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Rajasthan Powergen Transformer Pvt. Ltd.,2026-04-14,68.0,Bank Guarantee,A 4,LOW,2025-08-28,297.0,Bank Guarantee,A 4,HOT,HOT,297.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sonic Ceramic Pvt. Ltd.,2025-08-28,297.0,Bank Guarantee,D,HOT,2025-10-17,247.0,Bank Guarantee,D,HOT,HOT,297.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
India Steel Continental Pvt. Ltd.,2025-11-04,229.0,Bank Guarantee,A 4,HOT,2025-08-29,296.0,Bank Guarantee,A 4,HOT,HOT,296.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Soni Auto & Allied Inds. Ltd.,2025-08-29,296.0,Non-fund-based financial facility/instrument,A 4,HOT,2025-11-03,230.0,Bank Guarantee,A 4+,HOT,HOT,296.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Pack Print Inds. (India) Pvt. Ltd.,2025-11-27,206.0,Bank Guarantee,A 4,HOT,2025-08-29,296.0,Term loans,B,HOT,HOT,296.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
T K Precision Pvt. Ltd.,2026-03-12,101.0,Non-government debt,B+/A4,WARM,2025-08-29,296.0,Term loans,B,HOT,HOT,296.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sweety Infrastructure Pvt. Ltd.,2026-04-24,58.0,Bank Guarantee,D,LOW,2025-08-29,296.0,Bank Guarantee,D,HOT,HOT,296.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Tenny Jose Ltd.,2025-10-10,254.0,Bank Guarantee,D,HOT,2025-08-29,296.0,Bank Guarantee,D,HOT,HOT,296.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Supreme Paper Mills Ltd.,2026-02-12,129.0,Bank Guarantee,A 4,WARM,2025-08-30,295.0,Bank Guarantee,A 4+,HOT,HOT,295.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Umashakti Steels Pvt. Ltd.,2026-04-16,66.0,Fund based financial facility/instrument,B-,LOW,2025-08-30,295.0,Term loans,B,HOT,HOT,295.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
F T Textiles Pvt. Ltd.,2025-09-01,293.0,Bank Guarantee,A 4,HOT,2025-09-29,265.0,Term loans,BB,HOT,HOT,293.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Standard Frozen Foods Exports Pvt. Ltd.,2025-09-02,292.0,Term loans,B-,HOT,2026-01-23,149.0,Term loans,B,WARM,HOT,292.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Value Line Trade Pvt. Ltd.,2025-09-03,291.0,Letter Of credit,A 4,HOT,2025-11-25,208.0,Letter Of credit,A 4,HOT,HOT,291.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
G V D Textiles Pvt. Ltd.,2025-09-03,291.0,Term loans,C,HOT,2025-11-14,219.0,Term loans,B,HOT,HOT,291.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
P N Gawande Gng. Prsg. & Oil Mill Pvt. Ltd.,2025-12-16,187.0,Fund based financial facility/instrument,B-,HOT,2025-09-03,291.0,Term loans,B,HOT,HOT,291.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Delta Paper Mills Ltd.,2025-09-04,290.0,Bank Guarantee,A 4,HOT,2026-01-21,151.0,Bank Guarantee,A 4,WARM,HOT,290.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Primuss Pipes & Tubes Ltd.,2025-09-04,290.0,Non-government debt,D,HOT,2026-01-31,141.0,Letter Of credit,D,WARM,HOT,290.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sri Pathy Associates Pvt. Ltd.,2025-09-05,289.0,Non-government debt,B-/A4,HOT,2026-02-27,114.0,Bank Guarantee,A 4,WARM,HOT,289.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ran India Steels Pvt. Ltd.,2025-09-09,285.0,Letter Of credit,D,HOT,2025-09-05,289.0,Letter Of credit,A 4,HOT,HOT,289.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Eternal Motors Pvt. Ltd.,2025-09-08,286.0,Bank Guarantee,D,HOT,2025-12-11,192.0,Long term Loans,D,HOT,HOT,286.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Castings India Pvt. Ltd.,2025-09-09,285.0,Term loans,C,HOT,2025-09-17,277.0,Long term Loans,B,HOT,HOT,285.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Crescent Auto Repairs & Services India Pvt. Ltd.,2025-09-09,285.0,Non-government debt,B-/A4,HOT,2026-02-26,115.0,Bank Guarantee,A 4,WARM,HOT,285.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Aastrid Life Sciences Pvt. Ltd.,2026-01-13,159.0,Letter Of credit,A 4,WARM,2025-09-09,285.0,Fund based financial facility/instrument,BB+,HOT,HOT,285.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Dirco Polymers Pvt. Ltd.,2026-01-05,167.0,Letter Of credit,A 4+,WARM,2025-09-10,284.0,Letter Of credit,A 4,HOT,HOT,284.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Khwahish Marketing Pvt. Ltd.,2026-02-10,131.0,Letter Of credit,D,WARM,2025-09-11,283.0,Long term Loans,D,HOT,HOT,283.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Anugrah Stock & Broking Pvt. Ltd.,2026-02-20,121.0,Bank Guarantee,D,WARM,2025-09-12,282.0,Bank Guarantee,D,HOT,HOT,282.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Camerich Papers Pvt. Ltd.,2025-09-12,282.0,Bank Guarantee,D,HOT,2025-11-21,212.0,Letter Of credit,D,HOT,HOT,282.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
G R K Theatres Pvt. Ltd.,2026-01-07,165.0,Fund based financial facility/instrument,B-,WARM,2025-09-15,279.0,Term loans,B-,HOT,HOT,279.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Rexon Strips Pvt. Ltd.,2025-09-15,279.0,Bank Guarantee,A 4,HOT,2025-12-18,185.0,Bank Guarantee,A 4,HOT,HOT,279.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shweta Infrastructure & Housing (India) Pvt. Ltd.,2025-09-17,277.0,Fund based financial facility/instrument,BB-,HOT,2025-11-13,220.0,Long term Loans,B+,ULTRA HOT,HOT,277.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Varalakshmi Starch Inds. Pvt. Ltd.,2025-11-11,222.0,Bank Guarantee,A 4,HOT,2025-09-17,277.0,Bank Guarantee,A 4,HOT,HOT,277.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Kama Metal & Alloys Pvt. Ltd.,2025-09-19,275.0,Fund based financial facility/instrument,D,HOT,2026-03-18,95.0,Long term Loans,D,WARM,HOT,275.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Asha Entrade Pvt. Ltd.,2025-09-22,272.0,Term loans,B-,HOT,2026-01-12,160.0,Long term Loans,B,WARM,HOT,272.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Kumaran Filaments Pvt. Ltd.,2025-09-22,272.0,Non-government debt,BB-/A4,HOT,2026-01-30,142.0,Fund based financial facility/instrument,B,WARM,HOT,272.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Nath Motors Pvt. Ltd.,2025-09-23,271.0,Fund based financial facility/instrument,D,HOT,2026-01-31,141.0,Fund based financial facility/instrument,D,WARM,HOT,271.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Venkateshwara Power Project Ltd.,2026-02-16,125.0,Term loans,B+,WARM,2025-09-24,270.0,Long term Loans,BB+,HOT,HOT,270.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Devkiran Paper Mills Pvt. Ltd.,2025-09-25,269.0,Bank Guarantee,D,HOT,2025-12-10,193.0,Bank Guarantee,D,HOT,HOT,269.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Alfa Transformers Ltd.,2025-11-18,215.0,Bank Guarantee,A 4,HOT,2025-09-25,269.0,Bank Guarantee,A 4,HOT,HOT,269.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Tube Turn (India) Pvt. Ltd.,2025-09-25,269.0,Bank Guarantee,D,HOT,2025-12-22,181.0,Bank Guarantee,D,HOT,HOT,269.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ensemble Infrastructure India Ltd.,2025-09-25,269.0,Bank Guarantee,A 4,HOT,2026-03-12,101.0,Bank Guarantee,A 4,WARM,HOT,269.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
