Company Name,Latest Instrument,Current Rater,Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
K2 Metals Pvt. Ltd.,Letter Of credit,ACUITE,D,2026-04-17,LOW,Steel & Metals,YES,ACUITE | ICRA,2,Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kaizen Cold Formed Steel Pvt. Ltd.,Bank Guarantee,CARE,A 4,2026-02-03,LOW,Steel & Metals,YES,CARE | IND-RA,2,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kalapurna Steel & Engg. Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-19,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kama Metal & Alloys Pvt. Ltd.,Long term Loans,CRISIL,D,2026-03-18,LOW,Steel & Metals,YES,BRICKWORK | CARE | CRISIL,3,Bank Guarantee | Fund based financial facility/instrument | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kamachi Steels Pvt. Ltd.,Letter Of credit,ACUITE,D,2025-07-30,MEDIUM,Steel & Metals,YES,ACUITE,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kannappan Alloy & Steel Co. Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2026-03-20,LOW,Steel & Metals,YES,ACUITE | CRISIL,2,Letter Of credit | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kansara Popatlal Tibhovandas Metal Pvt. Ltd.,Long term Loans,CRISIL,B,2025-09-26,MEDIUM,Steel & Metals,YES,CRISIL,1,Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Karthik Alloys Ltd.,Bank Guarantee,CARE,D,2025-08-01,MEDIUM,Steel & Metals,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kay Bee Indl. Alloys Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-19,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Short-term loan,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kay E M Copper Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,2025-06-24,MEDIUM,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kay Jay Forgings Ltd.,Term loans,CARE,A-,2026-03-04,LOW,Steel & Metals,YES,CARE | ICRA,2,Bank Guarantee | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kedar Metals Pvt. Ltd.,Long term Loans,ACUITE,B,2026-03-13,LOW,Steel & Metals,YES,ACUITE | ICRA,2,Long term Loans | Non-fund-based financial facility/instrument,Downgraded,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Keshree Metalurgies Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B+,2025-08-25,MEDIUM,Steel & Metals,YES,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Khayati Steel Inds. Ltd.,Bank Guarantee,ACUITE,A 3+,2026-04-22,LOW,Steel & Metals,YES,ACUITE | CARE,2,Bank Guarantee | Term loans,Initial Rating,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Krishna Coil Cutters Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB+,2026-03-18,LOW,Steel & Metals,YES,CRISIL | IND-RA,2,Fund based financial facility/instrument | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Krishnaping Alloys Ltd.,Letter Of credit,CRISIL,D,2025-08-11,MEDIUM,Steel & Metals,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
L Madanlal (Aluminium) Ltd.,Letter Of credit,ACUITE,A 4,2026-04-15,LOW,Steel & Metals,YES,ACUITE | IND-RA,2,Letter Of credit | Non-fund based working capital limit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Lahliwala Steels Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-09-12,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Lajjya Steels Ltd.,Long term Loans,CRISIL,D,2025-08-11,MEDIUM,Steel & Metals,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Lall Steels Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-07-03,MEDIUM,Steel & Metals,YES,CARE,1,Non-government debt | Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Leading Metals Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-11-13,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
M I Alloys Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-07-30,MEDIUM,Steel & Metals,YES,ACUITE,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
M S R Iron & Steel Inds. India Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-11-10,MEDIUM,Steel & Metals,YES,CARE,1,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Maa Bhagawati Re-Rolling Mills Pvt. Ltd.,Term loans,IND-RA,B-,2026-01-16,LOW,Steel & Metals,YES,CARE | IND-RA,2,Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Madhav Copper Ltd.,Long term Loans,CRISIL,B-,2025-09-25,MEDIUM,Steel & Metals,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Magnum Steels Ltd.,Term loans,CARE,D,2025-09-23,MEDIUM,Steel & Metals,YES,CARE,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mahalaxmi Seamless Ltd.,Bank Guarantee,CRISIL,A 4,2025-11-27,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mahamaya Casting Pvt. Ltd.,Term loans,CRISIL,B,2025-08-11,MEDIUM,Steel & Metals,YES,CRISIL,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mangal Sponge & Steel Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2026-03-20,LOW,Steel & Metals,YES,BRICKWORK | CARE | CRISIL | ICRA,4,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mangalam Alloys Ltd.,Non-fund-based financial facility/instrument,BRICKWORK,A 4,2025-07-10,MEDIUM,Steel & Metals,YES,BRICKWORK,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mangla Tubes Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-07-17,MEDIUM,Steel & Metals,YES,CRISIL,1,Letter Of credit | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mark Alloys Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-12-04,MEDIUM,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Marvelous Metals Pvt. Ltd.,Bank Guarantee,CARE,D,2025-11-21,MEDIUM,Steel & Metals,YES,CARE,1,Bank Guarantee | Non-government debt | Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mascom Steel (India) Pvt. Ltd.,Term loans,IND-RA,B-,2025-07-18,MEDIUM,Steel & Metals,YES,IND-RA,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Matsyodari Steel & Alloys Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2026-01-07,LOW,Steel & Metals,YES,CARE | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Non-government debt | Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Maxim Tubes Co. Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 2,2025-07-01,MEDIUM,Steel & Metals,YES,IND-RA,1,Non-fund based working capital limit | Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mehta Intertrade Steels Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-09-11,MEDIUM,Steel & Metals,YES,IND-RA,1,Non-government debt,Downgraded,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Metal Care Alloys Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2026-04-01,LOW,Steel & Metals,YES,BRICKWORK | IND-RA,2,Bank Guarantee | Letter Of credit | Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Metal Scope India Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-09-30,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Metalore Overseas Pvt. Ltd.,Letter Of credit,CRISIL,D,2025-10-24,MEDIUM,Steel & Metals,YES,CRISIL,1,Letter Of credit | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Minmat Ferro Alloys Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-09-17,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mohan Steels Ltd.,Bank Guarantee,CRISIL,A 4,2025-09-08,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mor Alloys Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-12-10,MEDIUM,Steel & Metals,YES,ICRA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
N B M Iron & Steel Trdg. Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2026-04-10,LOW,Steel & Metals,YES,BRICKWORK | CARE,2,Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nalari Ferro Alloys Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2026-02-26,LOW,Steel & Metals,YES,BRICKWORK | ICRA,2,Bank Guarantee | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nami Steel Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,2025-08-13,MEDIUM,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nandan Saha Steel Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-10-29,MEDIUM,Steel & Metals,YES,ICRA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Narbheram Power & Steel Pvt. Ltd.,Bank Guarantee,ACUITE,A 2,2026-04-28,LOW,Steel & Metals,YES,ACUITE | IND-RA,2,Bank Guarantee | Non-government debt | Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
National Steel & Agro Industries Ltd. [Merged],Non-government debt,IND-RA,D,2026-01-12,LOW,Steel & Metals,YES,ICRA | IND-RA,2,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Natraj Electro Casting Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2026-04-24,LOW,Steel & Metals,YES,CARE | CRISIL | IND-RA,3,Bank Guarantee | Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Navneeta Steels Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,D,2025-12-15,MEDIUM,Steel & Metals,YES,ICRA,1,Non-fund-based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Neo Metaliks Ltd.,Letter Of credit,CRISIL,A 4,2026-03-11,LOW,Steel & Metals,YES,CARE | CRISIL | ICRA,3,Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nexus Electro Steel Ltd.,Bank Guarantee,CRISIL,D,2025-07-18,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nibber Castings Pvt. Ltd. [Merged],Bank Guarantee,ACUITE,A 4,2025-08-21,MEDIUM,Steel & Metals,YES,ACUITE,1,Bank Guarantee | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nikki Steels Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-09-11,MEDIUM,Steel & Metals,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nilachal Carbo Metalicks Ltd.,Term loans,CRISIL,BB+,2026-02-26,LOW,Steel & Metals,YES,CARE | CRISIL,2,Letter Of credit | Term loans,Initial Rating,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nilanjan Iron Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-10,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nyka Steels Pvt. Ltd.,Letter Of credit,CRISIL,D,2025-11-13,MEDIUM,Steel & Metals,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Om Shree Rupesh Steel Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB-,2025-11-26,MEDIUM,Steel & Metals,YES,CRISIL,1,Fund based financial facility/instrument | Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Omkamal Steel Pvt. Ltd.,Term loans,CARE,B-,2025-11-24,MEDIUM,Steel & Metals,YES,CARE,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
P Dass Forging Pvt. Ltd.,Term loans,ACUITE,B,2026-04-24,LOW,Steel & Metals,YES,ACUITE | CRISIL,2,Long term Loans | Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Padmavati Castings Pvt. Ltd.,Term loans,CRISIL,BB+,2025-10-03,MEDIUM,Steel & Metals,YES,CRISIL,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Pami Metals Pvt. Ltd.,Non-government debt,IND-RA,D,2025-11-24,MEDIUM,Steel & Metals,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Paramount Speciality Forgings Ltd.,Bank Guarantee,CRISIL,A 4,2025-11-12,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Paras Bhavani Steel Pvt. Ltd.,Fund based financial facility/instrument,CARE,D,2026-02-06,LOW,Steel & Metals,YES,ACUITE | CARE,2,Fund based financial facility/instrument | Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Parekh Aluminex Ltd.,Letter Of credit,CRISIL,D,2025-11-27,MEDIUM,Steel & Metals,YES,CRISIL,1,Letter Of credit | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Passavant Energy & Environment India Pvt. Ltd.,Non-government debt,CARE,BB+,2026-03-31,LOW,Steel & Metals,YES,CARE | CRISIL,2,Bank Guarantee | Letter Of credit | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Patnaik Steels & Alloys Ltd. [Merged],Bank Guarantee,CRISIL,A 4,2025-07-25,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Patwari Steels Pvt. Ltd.,Non-government debt,ICRA,D,2025-08-18,MEDIUM,Steel & Metals,YES,ICRA,1,Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Paul Strips & Tubes Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-12-15,MEDIUM,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Pentagon Aluminium Co. Pvt. Ltd.,Term loans,CARE,D,2025-06-26,MEDIUM,Steel & Metals,YES,CARE,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Pentech Metals Ltd.,Fund based financial facility/instrument,CARE,D,2025-07-30,MEDIUM,Steel & Metals,YES,CARE,1,Fund based financial facility/instrument | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Pioneer Torsteel Mills Pvt. Ltd.,Non-fund based working capital limit,IND-RA,D,2025-07-18,MEDIUM,Steel & Metals,YES,IND-RA,1,Non-fund based working capital limit | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Prateek Alloys Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-09-11,MEDIUM,Steel & Metals,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Premier Alloys Ltd.,Bank Guarantee,CRISIL,A 4,2025-11-12,MEDIUM,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Premier Steel Complex Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-09-26,MEDIUM,Steel & Metals,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Premprakash Tubes Ltd.,Letter Of credit,BRICKWORK,D,2025-12-08,MEDIUM,Steel & Metals,YES,BRICKWORK,1,Letter Of credit | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
Primuss Pipes & Tubes Ltd.,Letter Of credit,CRISIL,D,2026-01-31,LOW,Steel & Metals,YES,BRICKWORK | CARE | CRISIL,3,Bank Guarantee | Letter Of credit | Long term Loans | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Pulkit Metals Pvt. Ltd.,Letter Of credit,ACUITE,A 4+,2026-04-17,LOW,Steel & Metals,YES,ACUITE | BRICKWORK,2,Letter Of credit | Short-term loan | Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Punjab Metal Works Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,Steel & Metals,YES,CRISIL | IND-RA,2,Letter Of credit | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Purulia Metal Casting Pvt. Ltd.,Term loans,ACUITE,D,2025-06-10,HIGH,Steel & Metals,NO,ACUITE | CRISIL,2,Bank Guarantee | Long term Loans | Term loans,Withdrawn,D365,4,Rating overdue (>12 months) | Multi-agency — open to new entrant,Overdue — pitch on speed: ACER completes renewal faster than incumbent
Pushpit Steels Pvt. Ltd.,Short-term loan,ACUITE,A-,2026-04-17,LOW,Steel & Metals,YES,ACUITE | BRICKWORK,2,Letter Of credit | Short-term loan | Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
R B Rungta Steels & Food Products Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2026-03-31,LOW,Steel & Metals,YES,BRICKWORK | CARE | CRISIL,3,Fund based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
R H J Tubes Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-07-17,MEDIUM,Steel & Metals,YES,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
R K Steel Mfg. Co. Ltd.,Long term Loans,ACUITE,C,2025-08-07,MEDIUM,Steel & Metals,YES,ACUITE,1,Long term Loans | Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months),"INC + approaching renewal — ACER as fresh, cooperative alternative"
