Company Name (Infomerics),Company Name (d365),Sector,Match Score,Match Quality,Infomerics Rating,Infomerics Last Date,Infomerics Instrument,d365 Agency,d365 Rating,d365 Last Date,Urgency,Why Target,ACER Pitch
Libra International Limited,Libra International Ltd.,Other/Unknown,90.19607843137256,HIGH,IVR BB- (INC)(Downgraded),2025-03-04,Long Term Bank Facilities,CARE,B/A4,2026-04-05,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Mahakaleshwar Infratech Private Limited,Mahakaleshwar Infratech Pvt. Ltd.,Infrastructure,86.11111111111111,MEDIUM,IVR B+ (INC)(Downgraded),2025-08-08,Long Term Bank Facilities,"CRISIL, IND-RA",A 4,2025-11-09,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Mahakali Ispat Private Limited,Mahakali Ispat Pvt. Ltd.,Other/Unknown,81.4814814814815,MEDIUM,IVR B+ (INC)(Downgraded),2025-03-19,Long Term Bank Facility,IND-RA,B-/A4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Mahalakshmi Spintex Private Limited,Mahalakshmi Spintex Pvt. Ltd.,Other/Unknown,84.375,MEDIUM,IVR B+ (INC)(Downgraded),2025-06-04,Long Term Bank Facilities,CRISIL,BB+,2026-12-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Mahalaxmi Polypack Private Limited,Mahalaxmi Polypack Pvt. Ltd.,Other/Unknown,83.87096774193549,MEDIUM,IVR BB+ (INC)(Reaffirmed),2025-07-29,Long Term Facilities,BRICKWORK,A 4,2026-06-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Manbhum Ispat Private Limited,Manbhum Ispat Pvt. Ltd.,Other/Unknown,80.76923076923077,MEDIUM,IVR BBB- (INC)(Downgraded),2025-12-19,Long Term Bank Facilities,CRISIL,A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Mani Square Limited,Mani Square Ltd.,Other/Unknown,85.71428571428572,MEDIUM,IVR D (INC)(Reaffirmed),2025-09-22,Long Term Bank Facilities,CARE,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Maple Panels Private Limited,Maple Panels Pvt. Ltd.,Other/Unknown,80.0,MEDIUM,IVR BB- (INC) (Downgraded),2025-02-13,Long Term Bank Facilities,"BRICKWORK, IND-RA",A 4+,2025-08-09,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Melt-O-Therm Furnaces Private Limited,Melt-O-Therm Furnaces Pvt. Ltd.,Other/Unknown,85.29411764705883,MEDIUM,IVR C- (INC)(Reaffirmed),2025-10-06,Long Term Bank Facilities,CRISIL,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Melzer Chemicals Private Limited,Melzer Chemicals Pvt. Ltd.,Chemicals,82.75862068965517,MEDIUM,IVR BB- (INC)(Downgraded),2026-01-02,Long Term Bank Facilities,IND-RA,A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Metropole Vinimay Private Limited,Metropole Vinimay Pvt. Ltd.,Infrastructure,83.33333333333334,MEDIUM,IVR BB (INC) (Downgraded),2025-12-18,Long Term Bank Facilities,CRISIL,B,2025-09-10,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Millenium Steel India Private Limited,Millenium Steel India Pvt. Ltd.,Steel & Metals,85.29411764705883,MEDIUM,IVR C+ (INC)(Downgraded),2026-01-09,Long Term Bank Facilities,"CARE, CRISIL",A 4,2025-09-10,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Mobile Communications (India) Private Limited,Mobile Communication (India) Pvt. Ltd.,Other/Unknown,86.74698795180723,MEDIUM,IVR BB (INC)(Downgraded),2025-09-16,Long Term Bank Facilities,ACUITE,A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Morth Infrastructure Private Limited,Morth Infrastructure Pvt. Ltd.,Infrastructure,84.84848484848484,MEDIUM,IVR C+ (INC)(Downgraded),2026-01-22,Long Term Bank Facilities,CRISIL,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Mother India Agrofoods Private Limited,Mother India Agrofoods Pvt. Ltd.,Agro/Food,85.71428571428572,MEDIUM,IVR BB- (INC)(Downgraded),2025-08-01,Long Term Bank Facilities,"ACUITE, BRICKWORK, CRISIL",B,2025-01-08,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Nand Infrastructure and Projects,Sadbhav Infrastructure Project Ltd.,Infrastructure,80.59701492537313,MEDIUM,IVR BB- (INC)(Downgraded),2025-09-16,Long Term Bank Facilities,IND-RA,C/A4,2025-11-09,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Naolin Infrastructure Private Limited,Naolin Infrastructure Pvt. Ltd.,Infrastructure,85.29411764705883,MEDIUM,IVR D (INC)(Reaffirmed),2025-10-17,Long Term Bank Facility,BRICKWORK,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Navachetana Microfinance Services Private Limited,Navachetana Microfin Services Pvt. Ltd.,BFSI,84.0909090909091,MEDIUM,IVR D (INC)(Downgraded),2025-06-04,Long Term Bank Facilities - Term Loans,ACUITE,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Nayati Healthcare & Research Private Limited,Nayati Healthcare & Research Pvt. Ltd.,Healthcare,87.8048780487805,MEDIUM,IVR D (INC)(Reaffirmed),2025-02-19,Long Term Bank Facilities,BRICKWORK,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Neccon Power and Infra Limited,Neccon Power & Infra Ltd.,Infrastructure,80.0,MEDIUM,IVR D (INC)(Downgraded),2025-06-24,Long Term Bank Facilities,BRICKWORK,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Nextgen Printers Private Limited,Nextgen Printers Pvt. Ltd.,Other/Unknown,82.75862068965517,MEDIUM,IVR C+ (INC)(Downgraded),2025-07-22,Long Term Facilities,BRICKWORK,A 4,2025-10-06,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Nova Textiles Private Limited,Nova Textiles Pvt. Ltd.,Textiles,80.76923076923077,MEDIUM,IVR BB+ (INC)(Downgraded),2025-06-26,Long Term Bank Facilities,BRICKWORK,A 4,2025-11-12,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
OP Gupta Contractor Private Limited,O P Gupta Contractors Pvt. Ltd.,Other/Unknown,81.81818181818181,MEDIUM,IVR B+ (INC) (Downgraded),2025-12-02,Long Term Bank Facility,BRICKWORK,A 4,2025-03-07,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Orito Polyfab Private Limited,Orito Polyfab Pvt. Ltd.,Other/Unknown,80.76923076923077,MEDIUM,IVR BB+ (INC)(Downgraded),2025-09-16,Long Term Bank Facilities,IND-RA,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Paliwal Sons Dairy Private Limited,Paliwal Sons Dairy Pvt. Ltd.,Agro/Food,83.87096774193549,MEDIUM,IVR B+ (INC)(Downgraded),2025-01-07,Long Term Bank Facilities,BRICKWORK,B-,2025-08-12,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Paragon Apparel Private Limited,Paragon Apparel Pvt. Ltd.,Textiles,82.14285714285714,MEDIUM,IVR B+ (INC)(Downgraded),2026-02-09,Long Term Bank Facilities,CRISIL,A 4,2025-12-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Parmeshwari Silk Mills Limited,Parmeshwari Silk Mills Ltd.,Other/Unknown,91.2280701754386,HIGH,IVR BB (INC)(Reaffirmed & Withdrawn),2022-12-26,Long Term Bank Facilities,CARE,BB+,2025-03-07,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Permali Wallace Private Limited,Permali Wallace Pvt. Ltd.,Other/Unknown,82.14285714285714,MEDIUM,IVR BB- (INC)(Downgraded),2025-09-03,Long Term Bank Facilities,CRISIL,A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Prateek Apparels Private Limited,Prateek Apparels Pvt. Ltd.,Textiles,82.75862068965517,MEDIUM,IVR C (INC)(Downgraded),2025-06-20,Long Term Bank Facilities,"ICRA, IND-RA",A 4,2026-04-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Premier Cables & Conductors Private Limited,Premier Cables & Conductors Pvt. Ltd.,Other/Unknown,87.5,MEDIUM,IVR B- (INC) (Downgraded),2026-01-15,Long Term Bank Facility,BRICKWORK,A 4,2025-10-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
R. S. Development & Constructions India Private Limited,R S Development & Constructions India Pvt. Ltd.,Construction,88.23529411764706,MEDIUM,IVR BB+ (INC)(Downgraded),2025-09-26,Long Term Bank Facilities,"BRICKWORK, CRISIL, IND-RA",A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
R. S. Infra Transmission Limited,K S Infra Transmission Pvt. Ltd.,Infrastructure,81.25,MEDIUM,IVR BB+ (INC)(Downgraded),2025-05-20,Long Term Facilities,ICRA,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
RMN Infrastructure Limited,R M N Infrastructures Ltd.,Infrastructure,80.76923076923077,MEDIUM,IVR BB+ (INC)(Downgraded),2025-09-05,Long Term Facilities,"BRICKWORK, CARE",A 4+,2025-11-07,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Radiant Industries,Jaipan Industries Ltd.,Other/Unknown,80.0,MEDIUM,IVR C+ (INC)(Downgraded),2026-02-09,Long Term Bank Facilities,IND-RA,B-,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Rajaramsevak Multipurpose Cold Storage Private Limited (RMCSPL),Rajaramsevak Multipurpose Cold Storage Pvt. Ltd.,Agro/Food,82.88288288288288,MEDIUM,IVR D (INC)(Reaffirmed),2025-04-16,Long Term Bank Facilities,"ACUITE, CARE, IND-RA",D,2026-09-02,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Ramesh Iron & Steel Company India Private Limited,Ramesh Iron & Steel Co. India Pvt. Ltd.,Steel & Metals,81.81818181818181,MEDIUM,IVR B+ (INC)(Downgraded),2025-01-31,Long Term Bank Facilities,CARE,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Rana Milk Foods Private Limited,Rana Milk Foods Pvt. Ltd.,Agro/Food,82.14285714285714,MEDIUM,IVR D (INC) (Reaffirmed),2025-12-08,Long Term Bank Facilities,"CARE, IND-RA",D,2025-06-05,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Ray Engineering Private Limited,Ray Engineering Pvt. Ltd.,Other/Unknown,82.14285714285714,MEDIUM,IVR BB (INC)(Downgraded),2025-04-07,Long Term fund-based Bank Facilities,CARE,B+/A4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Roger Industries Limited,Roger Industries Ltd.,Other/Unknown,88.88888888888889,MEDIUM,IVR BB (INC)(Downgraded),2025-06-06,Long Term Bank Facilities,BRICKWORK,A 4,2025-11-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Safeco Hygiene Films Private Limited,Safeco Hygiene Films Pvt. Ltd.,Other/Unknown,84.84848484848484,MEDIUM,IVR D (INC)(Reaffirmed),2025-07-08,Long Term Bank Facilities,BRICKWORK,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Safety Controls & Devices Limited,Safety Controls & Devices Ltd.,Other/Unknown,92.06349206349206,HIGH,IVR BB (INC) (Downgraded),2025-12-04,Long Term Bank Facilities,"CRISIL, IND-RA",A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sagar Metallics Private Limited,Sagar Metallics Pvt. Ltd.,Steel & Metals,82.14285714285714,MEDIUM,IVR B (INC)(Downgraded),2025-06-30,Long Term Bank Facilities,"CARE, IND-RA",B-/A4,2026-12-02,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sai Industries Private Limited,Sai Industries Pvt. Ltd.,Other/Unknown,81.4814814814815,MEDIUM,IVR BB- (INC)(Downgraded),2025-11-12,Long Term Bank Facilities,CARE,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Samrat Gems Impex Private Limited,Samrat Gems Impex Pvt. Ltd.,Other/Unknown,83.33333333333334,MEDIUM,IVR D (INC)(Downgraded),2025-01-01,Long Term Bank Facilities,IND-RA,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Santlal Industries Limited,Santlal Industries Ltd.,Other/Unknown,89.79591836734694,MEDIUM,IVR B+ (INC)(Downgraded),2025-07-10,Long Term Fund based facilities -Cash Credit,ACUITE,BB-,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sarvottam Rolling Mills Private Limited,Sarvottam Rolling Mills Pvt. Ltd.,Other/Unknown,86.11111111111111,MEDIUM,IVR B+ (INC)(Downgraded),2025-07-17,Long Term Bank Facilities,IND-RA,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sattva Engineering Construction Private Limited,Sattva Engineering Construction Ltd.,Construction,84.33734939759037,MEDIUM,IVR B (INC) (Downgraded),2025-12-04,Long Term Facilities,BRICKWORK,A 4,2026-01-04,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sheetal Cool Products Limited,Sheetal Cool Products Ltd.,Other/Unknown,90.9090909090909,HIGH,IVR B+ (INC)(Downgraded),2025-09-16,Long Term Bank Facilities,CRISIL,B,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shonan Engineering Works Private Limited,Shonan Engineering Works Pvt. Ltd.,Other/Unknown,86.48648648648648,MEDIUM,IVR B (INC)(Downgraded),2025-08-04,Long Term Facilities,CARE,A 4,2025-11-06,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shree Automotive Private Limited,Shree Automotive Pvt. Ltd.,Other/Unknown,82.75862068965517,MEDIUM,IVR BB (INC)(Downgraded),2024-12-13,Long Term Bank Facilities (including proposed facility of Rs. 12.77 crore),CARE,A 4,2026-12-02,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shree Manglam Buildcon (I) Private Limited,Shree Manglam Buildcon (I) Pvt. Ltd.,Other/Unknown,87.17948717948718,MEDIUM,IVR BB (INC) (Downgraded),2026-02-10,Long Term Bank Facilities,BRICKWORK,A 4,2026-03-02,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shree Ram Proteins Limited,Shree Ram Proteins Ltd.,Other/Unknown,89.79591836734694,MEDIUM,IVR D (INC)(Reaffirmed),2025-07-08,Long Term Bank Facilities,"BRICKWORK, ICRA",D,2025-01-08,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shree Shiddhanath Cotex Private Limited,Shree Shiddhanath Cotex Pvt. Ltd.,Other/Unknown,86.11111111111111,MEDIUM,IVR D (INC) (Reaffirmed),2025-12-26,Long Term Facilities,"BRICKWORK, ICRA",D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shri Gautam Shipbreaking Industries Private Limited,Shri Gautam Shipbreaking Inds. Pvt. Ltd.,Other/Unknown,81.31868131868131,MEDIUM,IVR B/ IVR A4 (INC) (Downgraded)(Reaffirmed),2025-07-22,Long Term/ Short Term Bank Facilities,CARE,BB+/A4+,2025-06-06,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shri Prabhulingeshwar Sugars and Chemicals Limited,Shri Prabhulingeshwar Sugars & Chemicals Ltd.,Agro/Food,88.42105263157895,MEDIUM,IVR BB- (INC)(Withdrawn),2026-01-29,Long Term Bank Facilities,"ACUITE, CARE",B+,2026-12-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shri Vasudeva Weaving Mills Private Limited,Shri Vasudeva Weaving Mills Pvt. Ltd.,Textiles,87.5,MEDIUM,IVR BB- (INC)(Downgraded),2024-12-18,Long Term Bank Facilities - Term Loan,ACUITE,A 4,2026-12-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shrivallabh Pittie Industries Limited,Shrivallabh Pittie Inds. Ltd.,Healthcare,81.81818181818181,MEDIUM,IVR D (INC)(Reaffirmed),2025-11-04,Long Term Fund based facility - CC/WCDL/SODH,CARE,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Shyam Indofab Private Limited,Shyam Indofab Pvt. Ltd.,Other/Unknown,80.76923076923077,MEDIUM,IVR D (INC)(Reaffirmed),2025-01-22,Long Term Bank Facilities,IND-RA,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Siddapur Distilleries Limited,Siddapur Distilleries Ltd.,Other/Unknown,90.9090909090909,HIGH,IVR BB- (INC) (Withdrawn),2026-01-29,Long Term Bank Facilities,"ACUITE, BRICKWORK, CARE, IND-RA",A 4,2026-12-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Siddhi Weaves Private Limited,Siddhi Weaves Pvt. Ltd.,Other/Unknown,80.76923076923077,MEDIUM,IVR BB (INC)(Downgraded),2025-03-13,Long Term Bank Facilities,"BRICKWORK, IND-RA",BB-,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Simplex Infrastructures Limited,Simplex Infrastructures Ltd.,Infrastructure,91.52542372881356,HIGH,IVR D (INC)(Reaffirmed),2025-09-24,Long Term Bank Facilities,CARE,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sincon Infrastructure Private Limited,Sincon Infrastructure Pvt. Ltd.,Infrastructure,85.29411764705883,MEDIUM,IVR B (INC)(Downgraded),2026-01-23,Long Term Bank Facilities,"CRISIL, IND-RA",B-/A4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sindhu Cargo Services Private Limited,Sindhu Cargo Services Pvt. Ltd.,Logistics,85.29411764705883,MEDIUM,IVR D (INC)(Reaffirmed),2025-07-30,Long Term Bank Facility,"ICRA, IND-RA",D,2025-12-05,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sir Shadi Lal Enterprises Limited,Sir Shadi Lal Enterprises Ltd.,Other/Unknown,92.06349206349206,HIGH,IVR B (INC)(Reaffirmed),2024-12-17,Long Term Bank Facilities,"BRICKWORK, CRISIL",C,2026-11-02,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
