Company Name,Current Rater,Renewal Due,INC Flag,Sector,Urgency,Why Target,ACER Pitch Angle
Celebi N A S Airport Services India Pvt. Ltd.,CARE,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Celebrity Fashions Ltd.,CRISIL,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Cella Warehousing Pvt. Ltd.,CARE,September 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cemindia Projects Ltd.,"CARE, ICRA",July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Centenary Polytex Pvt. Ltd.,CARE,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Centenial Surgical Suture Ltd.,CRISIL,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Centex International Pvt. Ltd.,CARE,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Central Data Systems Pvt. Ltd.,ICRA,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Centrum Housing Finance Ltd.,CARE,July 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Centrum Wealth Limited,Infomerics,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Centum Electronics Ltd.,CARE,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Century 21 Town Planners Pvt. Ltd.,CRISIL,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Century Extrusions Limited,Infomerics,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Century Flour Mills Pvt. Ltd.,CARE,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Century Infrapower Pvt. Ltd.,CRISIL,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Centurywells Roofing India Pvt. Ltd.,CRISIL,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Cera Sanitaryware Ltd.,"CARE, CRISIL",July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Ceres Hotels Pvt. Ltd.,"CARE, IND-RA",July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Certification Engineers Intl. Ltd.,CARE,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cesare Bonetti Intl. Pvt. Ltd.,CARE,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cessna Garden Developers Pvt. Ltd.,ICRA,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Chaitanya India Fin Credit Pvt. Ltd.,IND-RA,August 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Chalet Hotels Ltd.,"CRISIL, ICRA, IND-RA",August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Challa Infra Projects Private Limited,Infomerics,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Chaman Metallics Ltd.,ACUITE,September 2026,N,Steel & Metals,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ACUITE
Chamundi Die Cast Pvt. Ltd.,CRISIL,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Chandra Nirman Pvt. Ltd.,ACUITE,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ACUITE
Chattel Constructions Pvt. Ltd.,IND-RA,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Checkmate Services Pvt. Ltd.,CRISIL,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Chembond Material Technologies Ltd.,CRISIL,July 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Chemco Plastic Inds. Pvt. Ltd.,CRISIL,September 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Chemi Pack (India) Pvt. Ltd.,CRISIL,July 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Chemmanur Credits & Invsts. Ltd.,IND-RA,September 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Chemplast Cuddalore Vinyls Ltd.,CRISIL,September 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Chemplast Sanmar Ltd.,CRISIL,September 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Chenani Nashri Tunnelway Ltd.,IND-RA,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Chennai Business Tower Pvt. Ltd.,ICRA,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Chennai Enviro Solutions Pvt. Ltd.,IND-RA,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Chennai United Metal Inds. Pvt. Ltd.,BRICKWORK,July 2026,N,Steel & Metals,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs BRICKWORK
Chettinad International Bulk Terminal Pvt. Ltd.,CARE,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Chettinad International Coal Terminal Pvt. Ltd.,CARE,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Chevrox Constructions Pvt. Ltd.,CARE,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Chhattisgarh East-West Railway Ltd.,IND-RA,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Chhattisgarh State Power Transmission Co. Ltd.,IND-RA,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Chhaya Prakashani Ltd.,CARE,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Chhayalaxmi Milk Planet Private Limited,Infomerics,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Chicago Constructions International Private Limited,Infomerics,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Chicago Constructions Intl. Pvt. Ltd.,CARE,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Chimique (India) Ltd.,CARE,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Chiripal Poly Films Ltd.,ACUITE,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ACUITE
Choice Equity Broking Pvt. Ltd.,ACUITE,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ACUITE
Choice Finserv Pvt. Ltd.,ACUITE,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ACUITE
Chokshi Texlen Private Limited,Infomerics,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Chola Spinning Mills Pvt. Ltd.,IND-RA,August 2026,N,Textiles,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Chowdary Spinners Pvt. Ltd.,CARE,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Chowgule & Co. Pvt. Ltd.,ICRA,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Chromachemie Laboratory Pvt. Ltd.,"CRISIL, ICRA",July 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Chudiala Solar Power Projects Pvt. Ltd.,IND-RA,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Cipla Ltd.,CARE,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cipy Poly Urethanes Pvt. Ltd. [Merged],BRICKWORK,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs BRICKWORK
Citron Ecopower Pvt. Ltd.,CARE,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Classic Citi Invsts. Pvt. Ltd.,CARE,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Classic Industries & Exports Ltd.,ICRA,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Classic Mall Devp. Co. Ltd.,IND-RA,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Classic Stripes Pvt. Ltd. [Merged],ICRA,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Clay Craft India Ltd.,CRISIL,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Clean Coal Enterprises Pvt. Ltd.,IND-RA,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Clean Max Bhoomi Pvt. Ltd.,CARE,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Clean Science & Technology Ltd.,CRISIL,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Clean Solar Power (Bhadla) Pvt. Ltd.,IND-RA,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Clean Solar Power (Bhainsada ) Pvt. Ltd.,CARE,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cleantech Solar Energy (India) Pvt. Ltd.,ICRA,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Clear Secured Services Ltd.,IND-RA,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Cleena Industries Pvt. Ltd.,CARE,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Clix Capital Services Pvt. Ltd.,ACUITE,July 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ACUITE
Coastline Garages India Pvt. Ltd.,CRISIL,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Cochin Minerals & Rutile Ltd.,CARE,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cochin Shipyard Ltd.,CARE,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cogent E-Services Ltd.,ACUITE,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ACUITE
Cohance Lifesciences Ltd. [Merged],CARE,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Columbia Petro Chem Private Limited,Infomerics,August 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Columbus Premier Shoes Private Limited,Infomerics,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Comfort Securities Ltd.,CRISIL,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Comfort Trims Pvt. Ltd.,ICRA,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Commercial Motor Sales Private Limited,Infomerics,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Comnet Solutions Pvt. Ltd.,"CRISIL, ICRA",August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Competent Automobiles Co. Ltd.,CRISIL,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Comt Constructions Pvt. Ltd.,CRISIL,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Concept Pharmaceuticals Ltd.,CRISIL,August 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Concord Biotech Ltd.,ICRA,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Concorde Housing Corpn. Pvt. Ltd.,CARE,July 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Connectwell Inds. Pvt. Ltd.,CRISIL,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Continental Engines Pvt. Ltd.,CRISIL,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Continental Milkose (India) Ltd.,ACUITE,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ACUITE
Cool Caps Industries Limited,Infomerics,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Coral Gold Tiles Pvt. Ltd.,CARE,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Coral Telecom Ltd.,CRISIL,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Core Jewellery Private Limited,Infomerics,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER can complete rating review 30% faster than incumbent
Coremind Software & Services Pvt. Ltd.,CRISIL,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Coromandel International Ltd.,IND-RA,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs IND-RA
Corrucase Ltd.,CRISIL,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Cosmic P V Power Ltd.,CARE,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cosmo Ferrites Ltd.,CARE,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Cosmo First Ltd.,CRISIL,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Cotmac Electronics Pvt. Ltd.,CRISIL,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Covalent Laboratories Pvt. Ltd.,ICRA,August 2026,N,Chemicals/Pharma,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Cowtown Infotech Services Ltd.,ICRA,August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Crazy Snacks Pvt. Ltd.,CRISIL,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Creative Minerals (India) Pvt. Ltd.,CRISIL,July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Creative Offset Printers Pvt. Ltd.,CRISIL,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Creative Textile Mills Pvt. Ltd. (1996),CRISIL,July 2026,N,Textiles,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Creative Tools & Press Components Pvt. Ltd.,CRISIL,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Credifin Ltd.,CRISIL,July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Credit Wise Capital Pvt. Ltd.,CRISIL,August 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Creditaccess Grameen Ltd.,ICRA,August 2026,N,BFSI,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Crescent Contractors Pvt. Ltd.,CRISIL,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Crescent Power Ltd.,CARE,September 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Criss Financial Ltd.,"ICRA, IND-RA",August 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Crux Biotech India Pvt. Ltd.,CARE,August 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CARE
Crystal Crop Protection Ltd.,CRISIL,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Ctrl S (India) Pvt. Ltd.,ICRA,September 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
Ctrl S Datacenters Ltd.,"CRISIL, ICRA",July 2026,N,Other,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs CRISIL
Cube Highways Trust,"CRISIL, ICRA, IND-RA",July 2026,N,Infrastructure,HIGH,Overdue renewal due Jul-Sep 2026 — in mandate discussions NOW,Your annual renewal is due in July/August/September — ACER offers faster turnaround and direct analyst access vs ICRA
