Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,Sector,Lead Segment,Infrastructure Sub-Sector,Why Target,ACER Pitch Angle,Priority Score
Antony Road Transport Solutions Pvt. Ltd.,Term loans,CARE,B-,2026-04-15,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Roads/Highways,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Ashcons Infrastructure Pvt. Ltd.,Long term Loans,CRISIL,B,2026-04-23,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,General Infrastructure,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Avian Infrastructure & Energy Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2026-04-21,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Power/Energy,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Balaji Dayalpura Infra Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2026-04-30,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,General Infrastructure,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Bhoruka Power Corpn. Ltd.,Term loans,IND-RA,BB-,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Power/Energy,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Caparo Power Ltd.,Non-government debt,CARE,BBB+/A2,2026-03-18,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Power/Energy,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Chhabeela Energy Foods Pvt. Ltd.,Long term Loans,CRISIL,B,2026-04-23,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Power/Energy,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Cleantec Infra Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,General Infrastructure,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,Term loans,CARE,BB+,2026-04-15,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Roads/Highways,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Diwanka Energy Pvt. Ltd.,Term loans,CRISIL,B,2026-03-27,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Power/Energy,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Everest Sea Foods Exports Pvt. Ltd.,Term loans,CARE,B-,2026-04-10,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Port/Airport,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Everrenew Energy Pvt. Ltd.,Non-government debt,IND-RA,BB/A4+,2026-04-13,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Power/Energy,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
G P C Infrastructure Ltd.,Bank Guarantee,CRISIL,A 4,2026-04-09,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,General Infrastructure,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Gama Infraprop Pvt. Ltd.,Bank Guarantee,CARE,A 4,2026-03-23,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,General Infrastructure,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Geosys India Infrastructures Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2026-03-25,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,General Infrastructure,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Himalayan Road Construction Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Roads/Highways,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Hotcrete Infrastructure Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,C,2026-04-27,LOW,Infrastructure,Recently Downgraded (90 days) — ICRA,General Infrastructure,"Downgraded by ICRA in last 90 days — fresh dissatisfaction, prime window to approach.",Your ICRA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
J H Parabia (Transport) Pvt. Ltd.,Term loans,CRISIL,B,2026-03-17,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Port/Airport,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
J P Infra Realty Pvt. Ltd.,Term loans,IND-RA,B-,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,General Infrastructure,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
J R C Grid Engineers Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2026-04-21,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Construction/EPC,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Junna Solar Systems Ltd.,Term loans,CRISIL,B,2026-04-17,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Power/Energy,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Mahalaxmi Bus Transport Pvt. Ltd.,Term loans,IND-RA,B-,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Port/Airport,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Mark Infrastructure Pvt. Ltd.,Bank Guarantee,ACUITE,D,2026-03-16,LOW,Infrastructure,Recently Downgraded (90 days) — ACUITE,General Infrastructure,"Downgraded by ACUITE in last 90 days — fresh dissatisfaction, prime window to approach.",Your ACUITE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Mayi Ram Pyari Devi Highways Pvt. Ltd.,Term loans,CARE,BBB-,2026-03-25,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Roads/Highways,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
N C C Infraspace Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2026-04-30,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,General Infrastructure,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
N K Agro Exports (India) Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Port/Airport,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Northway Infra-Tech Pvt. Ltd.,Term loans,IND-RA,B-,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,General Infrastructure,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Ola Electric Technologies Pvt. Ltd.,Non-government debt,ICRA,BBB/A3+,2026-04-28,LOW,Infrastructure,Recently Downgraded (90 days) — ICRA,General Infrastructure,"Downgraded by ICRA in last 90 days — fresh dissatisfaction, prime window to approach.",Your ICRA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Om Infra Ltd.,Non-government debt,CARE,BB+/A4+,2026-03-30,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,General Infrastructure,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Patel Infrastructure Ltd.,Non-government debt,CARE,BBB+/A2,2026-04-10,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,General Infrastructure,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Purple Microport Cardiovascular Pvt. Ltd.,Term loans,ACUITE,BB-,2026-03-25,LOW,Infrastructure,Recently Downgraded (90 days) — ACUITE,Port/Airport,"Downgraded by ACUITE in last 90 days — fresh dissatisfaction, prime window to approach.",Your ACUITE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
R M N Infrastructures Ltd.,Non-government debt,CARE,BB+/A4+,2026-03-31,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,General Infrastructure,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
R S Infra-Transmission Ltd.,Fund based financial facility/instrument,BRICKWORK,B,2026-03-27,LOW,Infrastructure,Recently Downgraded (90 days) — BRICKWORK,General Infrastructure,"Downgraded by BRICKWORK in last 90 days — fresh dissatisfaction, prime window to approach.",Your BRICKWORK rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
R S R Infra Works (India) Pvt. Ltd.,Bank Guarantee,CARE,A 4,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,General Infrastructure,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Renew Solar Power Pvt. Ltd.,Term loans,IND-RA,A,2026-03-31,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Power/Energy,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Rohan Rajdeep Toll Roads Ltd.,Term loans,CARE,A-,2026-03-24,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Roads/Highways,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
S N S Infracon Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2026-04-09,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,General Infrastructure,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Sew Bellary Highways Ltd.,Term loans,BRICKWORK,B,2026-04-01,LOW,Infrastructure,Recently Downgraded (90 days) — BRICKWORK,Roads/Highways,"Downgraded by BRICKWORK in last 90 days — fresh dissatisfaction, prime window to approach.",Your BRICKWORK rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Shalivahana Wind Energy Ltd.,Term loans,IND-RA,B-,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Power/Energy,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Shivmani Exports Pvt. Ltd.,Bank Guarantee,CARE,B,2026-04-06,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Port/Airport,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Shree Hari Infraprojects Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-04-16,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Construction/EPC,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Shreeji Infrastructure India Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,General Infrastructure,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Sigma Metal & Power Pvt. Ltd.,Term loans,CARE,BB,2026-03-30,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Power/Energy,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Siri Constructions Infrastructure Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Construction/EPC,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Sivana Steel & Power Pvt. Ltd.,Term loans,CARE,B-,2026-04-27,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Power/Energy,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Sri Power Generation (India) Pvt. Ltd. [Merged],Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Power/Energy,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Sri S C L Infratech Ltd.,Non-fund based working capital limit,IND-RA,A 3,2026-03-17,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,General Infrastructure,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Starcon Infra Projects India Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2026-04-29,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Construction/EPC,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Stellar Innovative Transportation Solutions Pvt. Ltd.,Long term Loans,CRISIL,B,2026-04-20,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Port/Airport,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Su-Solartech Systems Pvt. Ltd.,Long term Loans,ACUITE,B-,2026-04-23,LOW,Infrastructure,Recently Downgraded (90 days) — ACUITE,Power/Energy,"Downgraded by ACUITE in last 90 days — fresh dissatisfaction, prime window to approach.",Your ACUITE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Supermint Exports Pvt. Ltd.,Non-government debt,CARE,B/A4,2026-04-08,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Port/Airport,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Surana Telecom & Power Ltd.,Term loans,CARE,BB-,2026-04-07,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Power/Energy,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Telangana Fiber Grid Corpn. Ltd.,Term loans,IND-RA,BB,2026-03-31,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Telecom/Tower,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Trycon Infrastructure Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2026-03-23,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,General Infrastructure,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Universal Seaport Pvt. Ltd.,Term loans,CARE,B,2026-04-10,LOW,Infrastructure,Recently Downgraded (90 days) — CARE,Port/Airport,"Downgraded by CARE in last 90 days — fresh dissatisfaction, prime window to approach.",Your CARE rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Uttamenergy Ltd.,Bank Guarantee,CRISIL,A 4,2026-04-30,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Power/Energy,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Vardhman Rice Exports Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2026-04-30,LOW,Infrastructure,Recently Downgraded (90 days) — CRISIL,Port/Airport,"Downgraded by CRISIL in last 90 days — fresh dissatisfaction, prime window to approach.",Your CRISIL rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
Zen Shipping & Ports India Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,Infrastructure,Recently Downgraded (90 days) — IND-RA,Port/Airport,"Downgraded by IND-RA in last 90 days — fresh dissatisfaction, prime window to approach.",Your IND-RA rating was recently downgraded. ACER provides independent assessment — we may rate you differently.,90
A A P Infrastructure Ltd.,Term loans,BRICKWORK,D,2025-05-27,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
A B Infra Invsts. Pvt. Ltd.,Letter Of credit,BRICKWORK,D,2025-05-23,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
A J R Infra & Tolling Ltd.,Bank Guarantee,CARE,D,2025-05-23,HIGH,Infrastructure,INC — CARE,Roads/Highways,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
A S C Infratech Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-06-04,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
A S C Power Pvt. Ltd.,Term loans,BRICKWORK,C,2025-05-21,HIGH,Infrastructure,INC — BRICKWORK,Power/Energy,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
A V Rambabu Infra Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-09,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
A1 Chips & Exports (India) Pvt. Ltd.,Non-fund-based financial facility/instrument,CARE,A 4,2025-05-23,HIGH,Infrastructure,INC — CARE,Port/Airport,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Alfara'A Infraprojects Pvt. Ltd.,Letter Of credit,CRISIL,D,2025-05-29,HIGH,Infrastructure,INC — CRISIL,Construction/EPC,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Amrit Exports Pvt. Ltd.,Term loans,BRICKWORK,B,2025-05-28,HIGH,Infrastructure,INC — BRICKWORK,Port/Airport,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Amrutva Exports Pvt. Ltd.,Short-term loan,CRISIL,A 4,2025-05-29,HIGH,Infrastructure,INC — CRISIL,Port/Airport,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Anand Transport Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-30,HIGH,Infrastructure,INC — BRICKWORK,Port/Airport,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Andhra Pradesh Township & Infrastructure Devp. Corpn. Ltd.,Term loans,BRICKWORK,BB-,2025-06-05,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Angle Infrastructure Pvt. Ltd.,Term loans,CARE,D,2025-05-13,HIGH,Infrastructure,INC — CARE,General Infrastructure,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Asiatic Electrical & Switchgear Pvt. Ltd.,Term loans,IND-RA,D,2025-05-16,HIGH,Infrastructure,INC — IND-RA,General Infrastructure,INC status at IND-RA — not cooperating with current rater.,Company not cooperating with IND-RA — ACER can step in as new independent rating agency.,85
Atlanta Infra Assets Ltd.,Term loans,BRICKWORK,D,2025-06-05,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Balasore Marine Exports Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-29,HIGH,Infrastructure,INC — CRISIL,Port/Airport,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Bhanwariya Infra Projects Pvt. Ltd.,Bank Guarantee,ACUITE,A 4+,2025-05-26,HIGH,Infrastructure,INC — ACUITE,Construction/EPC,INC status at ACUITE — not cooperating with current rater.,Company not cooperating with ACUITE — ACER can step in as new independent rating agency.,85
Bhrunda Infra Pvt. Ltd.,Bank Guarantee,ACUITE,A 4+,2025-05-27,HIGH,Infrastructure,INC — ACUITE,General Infrastructure,INC status at ACUITE — not cooperating with current rater.,Company not cooperating with ACUITE — ACER can step in as new independent rating agency.,85
Britto Seafoods Exports Pvt. Ltd.,Long term Loans,ACUITE,B,2025-05-21,HIGH,Infrastructure,INC — ACUITE,Port/Airport,INC status at ACUITE — not cooperating with current rater.,Company not cooperating with ACUITE — ACER can step in as new independent rating agency.,85
Bucon Infratech Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-29,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Capital Power Infrastructure Pvt. Ltd.,Bank Guarantee,BRICKWORK,C,2025-06-02,HIGH,Infrastructure,INC — BRICKWORK,Power/Energy,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Cosmos Infra Engg. (India) Pvt. Ltd.,Term loans,CARE,C,2025-05-07,HIGH,Infrastructure,INC — CARE,General Infrastructure,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Deepika Infratech Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-05-23,HIGH,Infrastructure,INC — ACUITE,General Infrastructure,INC status at ACUITE — not cooperating with current rater.,Company not cooperating with ACUITE — ACER can step in as new independent rating agency.,85
Divine Infracon Pvt. Ltd.,Term loans,CRISIL,D,2025-06-10,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Dynamicengineers Infratrack Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-05-19,HIGH,Infrastructure,INC — CARE,Construction/EPC,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Earthcon Universal Infratech Pvt. Ltd.,Term loans,CRISIL,D,2025-05-23,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Electrica Engineers (India) Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-05-21,HIGH,Infrastructure,INC — CRISIL,Construction/EPC,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Eswari Exports Pvt. Ltd.,Long term Loans,CRISIL,B,2025-05-22,HIGH,Infrastructure,INC — CRISIL,Port/Airport,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Excellent Power Cable Pvt. Ltd.,Term loans,CRISIL,B+,2025-05-23,HIGH,Infrastructure,INC — CRISIL,Power/Energy,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Fastway Transmissions Pvt. Ltd.,Term loans,CRISIL,B,2025-06-10,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
G L S Infratech Pvt. Ltd.,Term loans,CRISIL,BB+,2025-05-22,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
G M Sugar & Energy Ltd.,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,Infrastructure,INC — ICRA,Power/Energy,INC status at ICRA — not cooperating with current rater.,Company not cooperating with ICRA — ACER can step in as new independent rating agency.,85
G S M Mega Infrastructures Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-23,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Global Metal & Energy Pvt. Ltd.,Term loans,ICRA,D,2025-05-22,HIGH,Infrastructure,INC — ICRA,Power/Energy,INC status at ICRA — not cooperating with current rater.,Company not cooperating with ICRA — ACER can step in as new independent rating agency.,85
Goel Road Carriers Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-30,HIGH,Infrastructure,INC — CRISIL,Roads/Highways,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Habitech Infrastructure Ltd.,Term loans,BRICKWORK,C-,2025-05-09,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Ideas Electricals & Engineers Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-05-08,HIGH,Infrastructure,INC — CARE,Construction/EPC,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
