Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Urgency at Oct 1,Urgency at Nov 1,Days Since (Jun 25),Amount Cr,Sector
Dinesh Brothers Pvt. Ltd.,CRISIL,Fund-Based,B,30-04-2026,LOW,LOW,MEDIUM,56,4.2,Other
Dinesh Brothers Pvt. Ltd.,CRISIL,Letter of Credit,A 4,30-04-2026,LOW,LOW,MEDIUM,56,4.0,Other
Divya Jyoti Inds. Ltd.,CRISIL,Bank Guarantee,D,10-04-2026,LOW,LOW,MEDIUM,76,0.65,Other
Divya Jyoti Inds. Ltd.,CRISIL,Letter of Credit,D,10-04-2026,LOW,LOW,MEDIUM,76,6.5,Other
Divya Jyoti Inds. Ltd.,CRISIL,Term Loan,D,10-04-2026,LOW,LOW,MEDIUM,76,0.65,Other
Dmson'S Metal Pvt. Ltd.,CRISIL,Letter of Credit,A 4,20-04-2026,LOW,LOW,MEDIUM,66,58.0,Steel & Metals
Dnyanyogi Shri Shivkumar Swamiji Sugars Ltd.,ACUITE,Bank Guarantee,A 4,09-04-2026,LOW,LOW,MEDIUM,77,6.4,Agro/Food
Dnyanyogi Shri Shivkumar Swamiji Sugars Ltd.,ACUITE,Term Loan,B-,09-04-2026,LOW,LOW,MEDIUM,77,49.6,Agro/Food
Dubas Engineering Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,10-04-2026,LOW,LOW,MEDIUM,76,5.0,Manufacturing
Durairaj Mills Ltd.,ACUITE,Letter of Credit,D,10-04-2026,LOW,LOW,MEDIUM,76,5.0,Other
Durairaj Mills Ltd.,ACUITE,Term Loan,D,10-04-2026,LOW,LOW,MEDIUM,76,41.44,Other
Duratex Silk Mills Pvt. Ltd.,ICRA,NCD/Bond,B/A4,22-04-2026,LOW,LOW,MEDIUM,64,5.81,Textiles
Duratex Silk Mills Pvt. Ltd.,ICRA,Term Loan,B,22-04-2026,LOW,LOW,MEDIUM,64,17.09,Textiles
Durga Automotives Pvt. Ltd.,CARE,Term Loan,D,08-04-2026,LOW,LOW,MEDIUM,78,3.4,Automobiles
E C Blades & Tools Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,28-04-2026,LOW,LOW,MEDIUM,58,25.0,Other
Earth Minerals Co. Ltd.,ACUITE,Bank Guarantee,A 4+,23-04-2026,LOW,LOW,MEDIUM,63,30.0,Mining/Minerals
Earth Minerals Co. Ltd.,ACUITE,Bank Guarantee,A 4+,23-04-2026,LOW,LOW,MEDIUM,63,10.0,Mining/Minerals
Eco Polyfibres Pvt. Ltd.,CARE,Letter of Credit,D,28-04-2026,LOW,LOW,MEDIUM,58,7.5,Textiles
Ecomotel Hotel Ltd.,CARE,Term Loan,D,06-04-2026,LOW,LOW,MEDIUM,80,11.65,Hotels/Tourism
Elkaypee Spinners Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,07-04-2026,LOW,LOW,MEDIUM,79,3.5,Other
Elkaypee Spinners Pvt. Ltd.,ACUITE,Term Loan,A 4+,07-04-2026,LOW,LOW,MEDIUM,79,0.28,Other
Elkaypee Spinners Pvt. Ltd.,ACUITE,Term Loan,BB-,07-04-2026,LOW,LOW,MEDIUM,79,4.97,Other
Elkaypee Spinners Pvt. Ltd.,ACUITE,Term Loan,BB-,07-04-2026,LOW,LOW,MEDIUM,79,4.11,Other
Elysium Pharmaceuticals Ltd.,IND-RA,NCD/Bond,BB-/A4+,02-04-2026,LOW,MEDIUM,MEDIUM,84,82.65,Chemicals/Pharma
Eminent Dealers Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,01-04-2026,LOW,MEDIUM,MEDIUM,85,0.41,Trading/Exports
Eminent Dealers Pvt. Ltd.,BRICKWORK,Term Loan,C,01-04-2026,LOW,MEDIUM,MEDIUM,85,12.83,Trading/Exports
Empire Alcobrev Pvt. Ltd.,CARE,NCD/Bond,B+/A4,23-04-2026,LOW,LOW,MEDIUM,63,5.0,Other
Enam Castings Pvt. Ltd.,CRISIL,Term Loan,B,28-04-2026,LOW,LOW,MEDIUM,58,1.0,Steel & Metals
Encore Projects Pvt. Ltd.,CARE,Bank Guarantee,A 4,08-04-2026,LOW,LOW,MEDIUM,78,1.4,Other
Encore Projects Pvt. Ltd.,CARE,NCD/Bond,B-/A4,08-04-2026,LOW,LOW,MEDIUM,78,1.35,Other
Enem Nostrum Remedies Pvt. Ltd.,IND-RA,Term Loan,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,33.06,Other
Energo Engineering Projects Ltd.,ICRA,Non-Fund-Based,D,10-04-2026,LOW,LOW,MEDIUM,76,1150.0,Manufacturing
Energo Engineering Projects Ltd.,ICRA,Term Loan,D,10-04-2026,LOW,LOW,MEDIUM,76,22.75,Manufacturing
Energy Development Co. Ltd.,CARE,Bank Guarantee,A 4,17-04-2026,LOW,LOW,MEDIUM,69,7.0,Energy
Entertainment City Ltd.,BRICKWORK,Term Loan,D,03-04-2026,LOW,MEDIUM,MEDIUM,83,673.42,Other
Envirad Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,23-04-2026,LOW,LOW,MEDIUM,63,4.9,Other
Envirad Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,23-04-2026,LOW,LOW,MEDIUM,63,30.1,Other
Epicu Agro Products Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,28-04-2026,LOW,LOW,MEDIUM,58,60.86,Agro/Food
Epicu Agro Products Pvt. Ltd.,ICRA,Term Loan,BB+,28-04-2026,LOW,LOW,MEDIUM,58,16.44,Agro/Food
Eppeltone Engineers Ltd.,CRISIL,Bank Guarantee,A 4,28-04-2026,LOW,LOW,MEDIUM,58,8.5,Manufacturing
Esmario Export Enterprises Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,28-04-2026,LOW,LOW,MEDIUM,58,4.0,Logistics
Esmario Export Enterprises Pvt. Ltd.,CRISIL,Letter of Credit,A 4,28-04-2026,LOW,LOW,MEDIUM,58,8.5,Logistics
Esmario Export Enterprises Pvt. Ltd.,CRISIL,Term Loan,B,28-04-2026,LOW,LOW,MEDIUM,58,1.0,Logistics
Essal Infrastructure Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,09-04-2026,LOW,LOW,MEDIUM,77,17.5,Construction
Essal Infrastructure Pvt. Ltd.,ACUITE,Term Loan,C,09-04-2026,LOW,LOW,MEDIUM,77,0.05,Construction
Essem Auto Electricals Pvt. Ltd.,CARE,Bank Guarantee,A 4,08-04-2026,LOW,LOW,MEDIUM,78,,Energy
Essem Auto Electricals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,08-04-2026,LOW,LOW,MEDIUM,78,,Energy
Essem Auto Electricals Pvt. Ltd.,CARE,Term Loan,BB+,08-04-2026,LOW,LOW,MEDIUM,78,,Energy
Etco Denim Pvt. Ltd.,CARE,Bank Guarantee,D,09-04-2026,LOW,LOW,MEDIUM,77,29.0,Other
Etco Denim Pvt. Ltd.,CARE,NCD/Bond,D,09-04-2026,LOW,LOW,MEDIUM,77,112.99,Other
Etco Denim Pvt. Ltd.,CARE,Term Loan,D,09-04-2026,LOW,LOW,MEDIUM,77,246.45,Other
Everest Sea Foods Exports Pvt. Ltd.,CARE,Bank Guarantee,A 4,10-04-2026,LOW,LOW,MEDIUM,76,0.15,Agro/Food
Everest Sea Foods Exports Pvt. Ltd.,CARE,Term Loan,B-,10-04-2026,LOW,LOW,MEDIUM,76,1.33,Agro/Food
Evergreen International Ltd.,CARE,Term Loan,B-,16-04-2026,LOW,LOW,MEDIUM,70,1.3,Other
Everon Castings Pvt. Ltd.,IND-RA,NCD/Bond,C/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,43.67,Steel & Metals
Everrenew Energy Pvt. Ltd.,IND-RA,Non-Fund-Based,A 4+,13-04-2026,LOW,LOW,MEDIUM,73,103.0,Energy
Everrenew Energy Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,13-04-2026,LOW,LOW,MEDIUM,73,25.0,Energy
Everrenew Energy Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,13-04-2026,LOW,LOW,MEDIUM,73,141.0,Energy
Excellous Commodities Pvt. Ltd.,ACUITE,Bank Guarantee,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,5.0,Other
Excellous Commodities Pvt. Ltd.,ACUITE,Bank Guarantee,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,6.0,Other
Excellous Commodities Pvt. Ltd.,ACUITE,Letter of Credit,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,5.0,Other
Excellous Commodities Pvt. Ltd.,ACUITE,Letter of Credit,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,6.0,Other
Ezone Security Solutions (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,28-04-2026,LOW,LOW,MEDIUM,58,1.0,Other
Ezone Security Solutions (India) Pvt. Ltd.,CRISIL,Letter of Credit,A 4,28-04-2026,LOW,LOW,MEDIUM,58,1.0,Other
Fenasia Ltd.,ACUITE,Letter of Credit,A 4,17-04-2026,LOW,LOW,MEDIUM,69,1.0,Other
Fenasia Ltd.,ACUITE,Term Loan,B-,17-04-2026,LOW,LOW,MEDIUM,69,2.5,Other
Ferromet Steels Pvt. Ltd.,ACUITE,Term Loan,D,13-04-2026,LOW,LOW,MEDIUM,73,8.3,Steel & Metals
Fibro Plastichem (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,10-04-2026,LOW,LOW,MEDIUM,76,0.5,Chemicals/Pharma
Fibro Plastichem (India) Pvt. Ltd.,CRISIL,Letter of Credit,A 4,10-04-2026,LOW,LOW,MEDIUM,76,1.6,Chemicals/Pharma
Fibro Plastichem (India) Pvt. Ltd.,CRISIL,Term Loan,B,10-04-2026,LOW,LOW,MEDIUM,76,1.87,Chemicals/Pharma
Fibro Plastichem (India) Pvt. Ltd.,CRISIL,Term Loan,B,10-04-2026,LOW,LOW,MEDIUM,76,0.78,Chemicals/Pharma
Filteration Engineers (India) Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,14-04-2026,LOW,LOW,MEDIUM,72,5.25,Manufacturing
Finecrete Eco Blocks Pvt. Ltd. [Merged],CRISIL,Term Loan,D,10-04-2026,LOW,LOW,MEDIUM,76,36.0,Other
Fiorenza Granito Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,23-04-2026,LOW,LOW,MEDIUM,63,6.0,Other
Fiorenza Granito Pvt. Ltd.,CRISIL,Letter of Credit,A 4,23-04-2026,LOW,LOW,MEDIUM,63,1.0,Other
Fiorenza Granito Pvt. Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,22.43,Other
Fittech Industries Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,22-04-2026,LOW,LOW,MEDIUM,64,7.5,IT/Technology
Fittech Industries Pvt. Ltd.,CRISIL,Term Loan,B,22-04-2026,LOW,LOW,MEDIUM,64,0.5,IT/Technology
Fittech Industries Pvt. Ltd.,CRISIL,Term Loan,B,22-04-2026,LOW,LOW,MEDIUM,64,7.0,IT/Technology
Flexituff Ventures Intl. Ltd.,CARE,Non-Fund-Based,D,17-04-2026,LOW,LOW,MEDIUM,69,199.02,Other
Flexituff Ventures Intl. Ltd.,CARE,NCD/Bond,D,17-04-2026,LOW,LOW,MEDIUM,69,251.17,Other
Flexituff Ventures Intl. Ltd.,CARE,Term Loan,D,17-04-2026,LOW,LOW,MEDIUM,69,13.31,Other
Florind Shoes Pvt. Ltd.,ACUITE,Letter of Credit,D,09-04-2026,LOW,LOW,MEDIUM,77,9.0,Other
Fores Elastomech India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,16-04-2026,LOW,LOW,MEDIUM,70,1.0,Other
Fores Elastomech India Pvt. Ltd.,CRISIL,Letter of Credit,A 4,16-04-2026,LOW,LOW,MEDIUM,70,3.0,Other
Fores Elastomech India Pvt. Ltd.,CRISIL,Term Loan,B,16-04-2026,LOW,LOW,MEDIUM,70,31.5,Other
Formulated Polymers Pvt. Ltd.,ACUITE,Letter of Credit,A 4,22-04-2026,LOW,LOW,MEDIUM,64,8.43,Chemicals/Pharma
Friends Agrichem Pvt. Ltd.,CRISIL,Term Loan,B,10-04-2026,LOW,LOW,MEDIUM,76,2.2,Chemicals/Pharma
Friends Agrichem Pvt. Ltd.,CRISIL,Term Loan,B,10-04-2026,LOW,LOW,MEDIUM,76,7.8,Chemicals/Pharma
Fusion Voice Solutions Pvt. Ltd.,CRISIL,Term Loan,B,10-04-2026,LOW,LOW,MEDIUM,76,3.5,Other
Future Enterprises Ltd.,CARE,Bank Guarantee,D,23-04-2026,LOW,LOW,MEDIUM,63,602.0,Other
Future Enterprises Ltd.,CARE,Term Loan,D,23-04-2026,LOW,LOW,MEDIUM,63,550.0,Other
G M A Pinnacle Automotives Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,15.0,Automobiles
G M Iron & Steel Co. Ltd.,CRISIL,Bank Guarantee,A 4,23-04-2026,LOW,LOW,MEDIUM,63,15.0,Steel & Metals
G M R Rajahmundry Energy Ltd.,CARE,Bank Guarantee,D,08-04-2026,LOW,LOW,MEDIUM,78,138.02,Energy
G M R Rajahmundry Energy Ltd.,CARE,Term Loan,D,08-04-2026,LOW,LOW,MEDIUM,78,2352.39,Energy
G M W Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,66.26,Other
G Net Tradelinks Pvt. Ltd.,ACUITE,Letter of Credit,A 4,17-04-2026,LOW,LOW,MEDIUM,69,10.0,Paper/Packaging
G P C Infrastructure Ltd.,CRISIL,Bank Guarantee,A 4,09-04-2026,LOW,LOW,MEDIUM,77,75.5,Construction
G P C Infrastructure Ltd.,CRISIL,Fund-Based,B,09-04-2026,LOW,LOW,MEDIUM,77,21.3,Construction
G R Engineering Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,322.62,Manufacturing
G S C O Infrastructure Pvt. Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,46.4,Construction
Gajanan Oil Pvt. Ltd.,CRISIL,Letter of Credit,D,10-04-2026,LOW,LOW,MEDIUM,76,65.0,Energy
Gajanan Oil Pvt. Ltd.,CRISIL,Term Loan,D,10-04-2026,LOW,LOW,MEDIUM,76,60.0,Energy
Galaxy Life Care Services Pvt. Ltd.,CRISIL,Term Loan,B,10-04-2026,LOW,LOW,MEDIUM,76,10.0,Other
Galco Extrusions Pvt. Ltd.,CRISIL,Term Loan,B,28-04-2026,LOW,LOW,MEDIUM,58,2.34,Other
Galco Extrusions Pvt. Ltd.,CRISIL,Term Loan,B,28-04-2026,LOW,LOW,MEDIUM,58,5.15,Other
Gama Infraprop Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,23-04-2026,LOW,LOW,MEDIUM,63,22.58,Construction
Gama Infraprop Pvt. Ltd.,CRISIL,Letter of Credit,A 4,23-04-2026,LOW,LOW,MEDIUM,63,35.0,Construction
Gama Infraprop Pvt. Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,274.43,Construction
Gama Infraprop Pvt. Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,282.99,Construction
Gandhi Spices Pvt. Ltd.,CRISIL,Term Loan,B,10-04-2026,LOW,LOW,MEDIUM,76,7.0,Agro/Food
Ganges Gardens Realtors Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,12.5,Construction
Garnet Construction Ltd.,CRISIL,Fund-Based,B,23-04-2026,LOW,LOW,MEDIUM,63,5.0,Construction
Geetha Krishna Spg. Mills Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,23.0,Other
Gem Motors (India) Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,20.0,Automobiles
Gemus Engineering Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,19.3,Manufacturing
Gen Next Motors Ltd.,IND-RA,Term Loan,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,20.34,Automobiles
Gensol Engineering Ltd.,ICRA,Bank Guarantee,D,23-04-2026,LOW,LOW,MEDIUM,63,406.5,Manufacturing
Gensol Engineering Ltd.,ICRA,NCD/Bond,D,23-04-2026,LOW,LOW,MEDIUM,63,718.5,Manufacturing
Gensol Engineering Ltd.,ICRA,Term Loan,D,23-04-2026,LOW,LOW,MEDIUM,63,925.0,Manufacturing
Ghai Construction Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,15-04-2026,LOW,LOW,MEDIUM,71,25.0,Construction
Ghai Construction Pvt. Ltd.,ICRA,NCD/Bond,B+,15-04-2026,LOW,LOW,MEDIUM,71,27.0,Construction
Ginni Gold Pvt. Ltd.,ICRA,NCD/Bond,D,10-04-2026,LOW,LOW,MEDIUM,76,15.0,Jewellery/Gems
Globe Precision Inds. Pvt. Ltd.,ACUITE,Letter of Credit,A 4,20-04-2026,LOW,LOW,MEDIUM,66,1.0,Other
Globe Precision Inds. Pvt. Ltd.,ACUITE,Term Loan,B-,20-04-2026,LOW,LOW,MEDIUM,66,14.0,Other
Goa Ispat Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,17-04-2026,LOW,LOW,MEDIUM,69,20.0,Other
Goa Ispat Pvt. Ltd.,ICRA,Term Loan,B+,17-04-2026,LOW,LOW,MEDIUM,69,1.62,Other
Goel Ganga India Pvt. Ltd.,ACUITE,Term Loan,C,09-04-2026,LOW,LOW,MEDIUM,77,44.31,Other
Goel Ganga India Pvt. Ltd.,ACUITE,Term Loan,C,09-04-2026,LOW,LOW,MEDIUM,77,417.65,Other
Goel Scientific Glass Works Ltd.,CARE,Bank Guarantee,A 4,13-04-2026,LOW,LOW,MEDIUM,73,1.5,Other
Goel Scientific Glass Works Ltd.,CARE,Term Loan,B-,13-04-2026,LOW,LOW,MEDIUM,73,0.99,Other
Gokul Finance & Invst. Co. Pvt. Ltd.,ACUITE,Term Loan,B-,29-04-2026,LOW,LOW,MEDIUM,57,10.0,BFSI
Golden Mandhir Retail Pvt. Ltd.,CARE,Fund-Based,B-,28-04-2026,LOW,LOW,MEDIUM,58,17.7,Jewellery/Gems
Golden Mandhir Retail Pvt. Ltd.,CARE,Fund-Based,B-,28-04-2026,LOW,LOW,MEDIUM,58,1.4,Jewellery/Gems
Golden Mandhir Retail Pvt. Ltd.,CARE,Term Loan,B-,28-04-2026,LOW,LOW,MEDIUM,58,9.13,Jewellery/Gems
Goldenglobe Hotels Pvt. Ltd.,ACUITE,Term Loan,BB,23-04-2026,LOW,LOW,MEDIUM,63,125.0,Jewellery/Gems
Goodluck Carbon Pvt. Ltd.,ICRA,Non-Fund-Based,D,28-04-2026,LOW,LOW,MEDIUM,58,4.0,Other
Goodluck Carbon Pvt. Ltd.,ICRA,Term Loan,D,28-04-2026,LOW,LOW,MEDIUM,58,72.74,Other
Govind Steel Co. Ltd.,CRISIL,Fund-Based,B,20-04-2026,LOW,LOW,MEDIUM,66,7.0,Steel & Metals
Govind Steel Co. Ltd.,CRISIL,Letter of Credit,A 4,20-04-2026,LOW,LOW,MEDIUM,66,3.0,Steel & Metals
Gowthami Solvent Oils Pvt. Ltd.,CARE,NCD/Bond,BB/A4,09-04-2026,LOW,LOW,MEDIUM,77,3.0,Chemicals/Pharma
Gowthami Solvent Oils Pvt. Ltd.,CARE,Term Loan,BB,09-04-2026,LOW,LOW,MEDIUM,77,37.56,Chemicals/Pharma
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,Term Loan,BB-,09-04-2026,LOW,LOW,MEDIUM,77,33.75,BFSI
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,Term Loan,BB-,09-04-2026,LOW,LOW,MEDIUM,77,26.25,BFSI
Great Value Fuels Pvt. Ltd.,ICRA,Fund-Based,B+,24-04-2026,LOW,LOW,MEDIUM,62,113.1,Energy
Great Value Fuels Pvt. Ltd.,ICRA,Non-Fund-Based,B+,24-04-2026,LOW,LOW,MEDIUM,62,10.0,Energy
Greenland Paper Mills Ltd.,CARE,Bank Guarantee,A 4,22-04-2026,LOW,LOW,MEDIUM,64,0.16,Paper/Packaging
Greenland Paper Mills Ltd.,CARE,Bank Guarantee,A 4,22-04-2026,LOW,LOW,MEDIUM,64,0.04,Paper/Packaging
Greenland Paper Mills Ltd.,CARE,Letter of Credit,A 4,22-04-2026,LOW,LOW,MEDIUM,64,0.9,Paper/Packaging
Greenland Paper Mills Ltd.,CARE,Term Loan,B,22-04-2026,LOW,LOW,MEDIUM,64,0.31,Paper/Packaging
Greta Steels Pvt. Ltd.,ACUITE,Letter of Credit,D,17-04-2026,LOW,LOW,MEDIUM,69,15.0,Steel & Metals
Guru Laxmi Cottex Pvt. Ltd.,CARE,Bank Guarantee,A 4,29-04-2026,LOW,LOW,MEDIUM,57,0.5,Other
Guru Laxmi Cottex Pvt. Ltd.,CARE,Term Loan,B+,29-04-2026,LOW,LOW,MEDIUM,57,17.65,Other
Gurudev Overseas Ltd.,BRICKWORK,Letter of Credit,A 4,03-04-2026,LOW,MEDIUM,MEDIUM,83,6.75,Other
Gypsum Structural India Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,10-04-2026,LOW,LOW,MEDIUM,76,6.0,Other
H N Agri Serve Pvt. Ltd.,CRISIL,Term Loan,B,17-04-2026,LOW,LOW,MEDIUM,69,1.0,Other
H N Agri Serve Pvt. Ltd.,CRISIL,Term Loan,B,17-04-2026,LOW,LOW,MEDIUM,69,10.0,Other
H S India Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,16.53,Other
Habra Shree Lakshmi Narayan Rollar Flour & Dall Mill Pvt. Ltd.,CARE,Bank Guarantee,A 4,21-04-2026,LOW,LOW,MEDIUM,65,3.0,Agro/Food
Hajra Medical Agency Pvt. Ltd.,CARE,Bank Guarantee,A 4,20-04-2026,LOW,LOW,MEDIUM,66,0.75,Healthcare
Haldia Nirman Projects Pvt. Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,7.65,Other
Hansco Iron & Steels Pvt. Ltd.,CRISIL,Letter of Credit,A 4,20-04-2026,LOW,LOW,MEDIUM,66,3.0,Steel & Metals
Hansco Iron & Steels Pvt. Ltd.,CRISIL,Term Loan,B,20-04-2026,LOW,LOW,MEDIUM,66,4.0,Steel & Metals
Harbir Automobile Pvt. Ltd.,CARE,Term Loan,B+,20-04-2026,LOW,LOW,MEDIUM,66,3.58,Automobiles
Hari Om Retail Pvt. Ltd.,CARE,Fund-Based,B-,28-04-2026,LOW,LOW,MEDIUM,58,4.0,Other
Harihara Metalloys Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,20.0,Steel & Metals
Harji Engineering Works Pvt. Ltd.,ACUITE,Bank Guarantee,D,10-04-2026,LOW,LOW,MEDIUM,76,55.0,Manufacturing
Harji Engineering Works Pvt. Ltd.,ACUITE,Letter of Credit,D,10-04-2026,LOW,LOW,MEDIUM,76,5.0,Manufacturing
Hayat Hospital Pvt. Ltd.,BRICKWORK,Term Loan,C,01-04-2026,LOW,MEDIUM,MEDIUM,85,24.32,Healthcare
Heavy Metals & Tubes Ltd.,CARE,Non-Fund-Based,D,10-04-2026,LOW,LOW,MEDIUM,76,11.5,Steel & Metals
Heavy Metals & Tubes Ltd.,CARE,Term Loan,D,10-04-2026,LOW,LOW,MEDIUM,76,146.57,Steel & Metals
Heidelco Medicore Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,09-04-2026,LOW,LOW,MEDIUM,77,2.0,Other
Heidelco Medicore Pvt. Ltd.,CRISIL,Fund-Based,B,09-04-2026,LOW,LOW,MEDIUM,77,8.0,Other
Helios Photo Voltaic Ltd.,CARE,Bank Guarantee,D,22-04-2026,LOW,LOW,MEDIUM,64,2.15,Other
Helios Photo Voltaic Ltd.,CARE,Term Loan,D,22-04-2026,LOW,LOW,MEDIUM,64,824.71,Other
Hema Automotive Pvt. Ltd.,ACUITE,Term Loan,B,08-04-2026,LOW,LOW,MEDIUM,78,7.0,Automobiles
Hema Automotive Pvt. Ltd.,ACUITE,Term Loan,B,08-04-2026,LOW,LOW,MEDIUM,78,38.0,Automobiles
Hemant Surgical Inds. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,18.35,Other
Hemodiaz Life Sciences Pvt. Ltd.,CARE,Letter of Credit,A 4,17-04-2026,LOW,LOW,MEDIUM,69,3.4,Healthcare
Hercules Hospitalities Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,12.02,Healthcare
Hetro Spinners Pvt. Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,34.27,Other
Hi-Tech Pharmaceuticals Pvt. Ltd.,ACUITE,Term Loan,B+,24-04-2026,LOW,LOW,MEDIUM,62,2.21,Chemicals/Pharma
Hi-Tech Pharmaceuticals Pvt. Ltd.,ACUITE,Term Loan,B+,24-04-2026,LOW,LOW,MEDIUM,62,12.79,Chemicals/Pharma
Him Cylinders Ltd.,CARE,Bank Guarantee,D,29-04-2026,LOW,LOW,MEDIUM,57,1.0,Other
Himalayan Flour Mill Pvt. Ltd.,CARE,Bank Guarantee,A 4,21-04-2026,LOW,LOW,MEDIUM,65,8.0,Agro/Food
Himalayan Road Construction Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,23.0,Construction
Himalayan Rolling Steel Inds. Pvt. Ltd.,BRICKWORK,Term Loan,D,06-04-2026,LOW,LOW,MEDIUM,80,82.62,Steel & Metals
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Bank Guarantee,A 4+,23-04-2026,LOW,LOW,MEDIUM,63,82.0,Energy
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Bank Guarantee,A 4+,23-04-2026,LOW,LOW,MEDIUM,63,17.0,Energy
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Letter of Credit,A 4+,23-04-2026,LOW,LOW,MEDIUM,63,20.0,Energy
Hind Offshore Pvt. Ltd.,CRISIL,Term Loan,B,09-04-2026,LOW,LOW,MEDIUM,77,150.0,Other
Hindustan Adhesives Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,47.94,Chemicals/Pharma
Hindustan Spirits Ltd.,CARE,Bank Guarantee,A 4,14-04-2026,LOW,LOW,MEDIUM,72,2.0,Other
Hindustan Spirits Ltd.,CARE,Term Loan,B-,14-04-2026,LOW,LOW,MEDIUM,72,3.23,Other
Hotcrete Infrastructure Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,27-04-2026,LOW,LOW,MEDIUM,59,7.5,Construction
Hotcrete Infrastructure Pvt. Ltd.,ICRA,Non-Fund-Based,C,27-04-2026,LOW,LOW,MEDIUM,59,23.45,Construction
Hotcrete Infrastructure Pvt. Ltd.,ICRA,NCD/Bond,C/A4,27-04-2026,LOW,LOW,MEDIUM,59,28.24,Construction
Hotline Capital Services Pvt. Ltd.,CARE,NCD/Bond,C/A4,01-04-2026,LOW,MEDIUM,MEDIUM,85,100.0,Other
Hubli Electricity Supply Co. Ltd.,CRISIL,Term Loan,D,28-04-2026,LOW,LOW,MEDIUM,58,902.53,Energy
