Company Name,Agency,Instrument Type,Rating,Rating Date,Days Since (Jun 25),Current Urgency,Urgency at Oct 1,Urgency at Nov 1,Amount Cr,Sector,Why Target
Goel Ganga India Pvt. Ltd.,ACUITE,Term Loan,C,09-Apr-2026,77,LOW,LOW,MEDIUM,417.65,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Goel Scientific Glass Works Ltd.,CARE,Bank Guarantee,A 4,13-Apr-2026,73,LOW,LOW,MEDIUM,1.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Goel Scientific Glass Works Ltd.,CARE,Term Loan,B-,13-Apr-2026,73,LOW,LOW,MEDIUM,0.99,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Gokul Finance & Invst. Co. Pvt. Ltd.,ACUITE,Term Loan,B-,29-Apr-2026,57,LOW,LOW,MEDIUM,10.0,BFSI,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Golden Mandhir Retail Pvt. Ltd.,CARE,Fund-Based,B-,28-Apr-2026,58,LOW,LOW,MEDIUM,17.7,Jewellery/Gems,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Golden Mandhir Retail Pvt. Ltd.,CARE,Fund-Based,B-,28-Apr-2026,58,LOW,LOW,MEDIUM,1.4,Jewellery/Gems,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Golden Mandhir Retail Pvt. Ltd.,CARE,Term Loan,B-,28-Apr-2026,58,LOW,LOW,MEDIUM,9.13,Jewellery/Gems,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Goldenglobe Hotels Pvt. Ltd.,ACUITE,Term Loan,BB,23-Apr-2026,63,LOW,LOW,MEDIUM,125.0,Jewellery/Gems,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Goodluck Carbon Pvt. Ltd.,ICRA,Non-Fund-Based,D,28-Apr-2026,58,LOW,LOW,MEDIUM,4.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Goodluck Carbon Pvt. Ltd.,ICRA,Term Loan,D,28-Apr-2026,58,LOW,LOW,MEDIUM,72.74,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Govind Steel Co. Ltd.,CRISIL,Fund-Based,B,20-Apr-2026,66,LOW,LOW,MEDIUM,7.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Govind Steel Co. Ltd.,CRISIL,Letter of Credit,A 4,20-Apr-2026,66,LOW,LOW,MEDIUM,3.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Gowthami Solvent Oils Pvt. Ltd.,CARE,NCD/Bond,BB/A4,09-Apr-2026,77,LOW,LOW,MEDIUM,3.0,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Gowthami Solvent Oils Pvt. Ltd.,CARE,Term Loan,BB,09-Apr-2026,77,LOW,LOW,MEDIUM,37.56,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,Term Loan,BB-,09-Apr-2026,77,LOW,LOW,MEDIUM,33.75,BFSI,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,Term Loan,BB-,09-Apr-2026,77,LOW,LOW,MEDIUM,26.25,BFSI,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Great Value Fuels Pvt. Ltd.,ICRA,Fund-Based,B+,24-Apr-2026,62,LOW,LOW,MEDIUM,113.1,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Great Value Fuels Pvt. Ltd.,ICRA,Non-Fund-Based,B+,24-Apr-2026,62,LOW,LOW,MEDIUM,10.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Greenland Paper Mills Ltd.,CARE,Bank Guarantee,A 4,22-Apr-2026,64,LOW,LOW,MEDIUM,0.16,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Greenland Paper Mills Ltd.,CARE,Bank Guarantee,A 4,22-Apr-2026,64,LOW,LOW,MEDIUM,0.04,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Greenland Paper Mills Ltd.,CARE,Letter of Credit,A 4,22-Apr-2026,64,LOW,LOW,MEDIUM,0.9,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Greenland Paper Mills Ltd.,CARE,Term Loan,B,22-Apr-2026,64,LOW,LOW,MEDIUM,0.31,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Greta Steels Pvt. Ltd.,ACUITE,Letter of Credit,D,17-Apr-2026,69,LOW,LOW,MEDIUM,15.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Guru Laxmi Cottex Pvt. Ltd.,CARE,Bank Guarantee,A 4,29-Apr-2026,57,LOW,LOW,MEDIUM,0.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Guru Laxmi Cottex Pvt. Ltd.,CARE,Term Loan,B+,29-Apr-2026,57,LOW,LOW,MEDIUM,17.65,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Gurudev Overseas Ltd.,BRICKWORK,Letter of Credit,A 4,03-Apr-2026,83,LOW,MEDIUM,MEDIUM,6.75,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Gypsum Structural India Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,10-Apr-2026,76,LOW,LOW,MEDIUM,6.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
H N Agri Serve Pvt. Ltd.,CRISIL,Term Loan,B,17-Apr-2026,69,LOW,LOW,MEDIUM,1.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
H N Agri Serve Pvt. Ltd.,CRISIL,Term Loan,B,17-Apr-2026,69,LOW,LOW,MEDIUM,10.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
H S India Ltd.,CRISIL,Term Loan,B,23-Apr-2026,63,LOW,LOW,MEDIUM,16.53,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Habra Shree Lakshmi Narayan Rollar Flour & Dall Mill Pvt. Ltd.,CARE,Bank Guarantee,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,3.0,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hajra Medical Agency Pvt. Ltd.,CARE,Bank Guarantee,A 4,20-Apr-2026,66,LOW,LOW,MEDIUM,0.75,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Haldia Nirman Projects Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,7.65,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hansco Iron & Steels Pvt. Ltd.,CRISIL,Letter of Credit,A 4,20-Apr-2026,66,LOW,LOW,MEDIUM,3.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hansco Iron & Steels Pvt. Ltd.,CRISIL,Term Loan,B,20-Apr-2026,66,LOW,LOW,MEDIUM,4.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Harbir Automobile Pvt. Ltd.,CARE,Term Loan,B+,20-Apr-2026,66,LOW,LOW,MEDIUM,3.58,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hari Om Retail Pvt. Ltd.,CARE,Fund-Based,B-,28-Apr-2026,58,LOW,LOW,MEDIUM,4.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Harihara Metalloys Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,20.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Harji Engineering Works Pvt. Ltd.,ACUITE,Bank Guarantee,D,10-Apr-2026,76,LOW,LOW,MEDIUM,55.0,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Harji Engineering Works Pvt. Ltd.,ACUITE,Letter of Credit,D,10-Apr-2026,76,LOW,LOW,MEDIUM,5.0,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hayat Hospital Pvt. Ltd.,BRICKWORK,Term Loan,C,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,24.32,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Heavy Metals & Tubes Ltd.,CARE,Non-Fund-Based,D,10-Apr-2026,76,LOW,LOW,MEDIUM,11.5,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Heavy Metals & Tubes Ltd.,CARE,Term Loan,D,10-Apr-2026,76,LOW,LOW,MEDIUM,146.57,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Heidelco Medicore Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,09-Apr-2026,77,LOW,LOW,MEDIUM,2.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Heidelco Medicore Pvt. Ltd.,CRISIL,Fund-Based,B,09-Apr-2026,77,LOW,LOW,MEDIUM,8.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Helios Photo Voltaic Ltd.,CARE,Bank Guarantee,D,22-Apr-2026,64,LOW,LOW,MEDIUM,2.15,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Helios Photo Voltaic Ltd.,CARE,Term Loan,D,22-Apr-2026,64,LOW,LOW,MEDIUM,824.71,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hema Automotive Pvt. Ltd.,ACUITE,Term Loan,B,08-Apr-2026,78,LOW,LOW,MEDIUM,7.0,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hema Automotive Pvt. Ltd.,ACUITE,Term Loan,B,08-Apr-2026,78,LOW,LOW,MEDIUM,38.0,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hemant Surgical Inds. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,18.35,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hemodiaz Life Sciences Pvt. Ltd.,CARE,Letter of Credit,A 4,17-Apr-2026,69,LOW,LOW,MEDIUM,3.4,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hercules Hospitalities Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,12.02,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hetro Spinners Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,34.27,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hi-Tech Pharmaceuticals Pvt. Ltd.,ACUITE,Term Loan,B+,24-Apr-2026,62,LOW,LOW,MEDIUM,2.21,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hi-Tech Pharmaceuticals Pvt. Ltd.,ACUITE,Term Loan,B+,24-Apr-2026,62,LOW,LOW,MEDIUM,12.79,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Him Cylinders Ltd.,CARE,Bank Guarantee,D,29-Apr-2026,57,LOW,LOW,MEDIUM,1.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Himalayan Flour Mill Pvt. Ltd.,CARE,Bank Guarantee,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,8.0,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Himalayan Road Construction Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,23.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Himalayan Rolling Steel Inds. Pvt. Ltd.,BRICKWORK,Term Loan,D,06-Apr-2026,80,LOW,LOW,MEDIUM,82.62,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Bank Guarantee,A 4+,23-Apr-2026,63,LOW,LOW,MEDIUM,82.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Bank Guarantee,A 4+,23-Apr-2026,63,LOW,LOW,MEDIUM,17.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Letter of Credit,A 4+,23-Apr-2026,63,LOW,LOW,MEDIUM,20.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hind Offshore Pvt. Ltd.,CRISIL,Term Loan,B,09-Apr-2026,77,LOW,LOW,MEDIUM,150.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hindustan Adhesives Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,47.94,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hindustan Spirits Ltd.,CARE,Bank Guarantee,A 4,14-Apr-2026,72,LOW,LOW,MEDIUM,2.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hindustan Spirits Ltd.,CARE,Term Loan,B-,14-Apr-2026,72,LOW,LOW,MEDIUM,3.23,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hotcrete Infrastructure Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,27-Apr-2026,59,LOW,LOW,MEDIUM,7.5,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hotcrete Infrastructure Pvt. Ltd.,ICRA,Non-Fund-Based,C,27-Apr-2026,59,LOW,LOW,MEDIUM,23.45,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hotcrete Infrastructure Pvt. Ltd.,ICRA,NCD/Bond,C/A4,27-Apr-2026,59,LOW,LOW,MEDIUM,28.24,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hotline Capital Services Pvt. Ltd.,CARE,NCD/Bond,C/A4,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,100.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hubli Electricity Supply Co. Ltd.,CRISIL,Term Loan,D,28-Apr-2026,58,LOW,LOW,MEDIUM,902.53,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hubli Electricity Supply Co. Ltd.,CRISIL,Term Loan,D,28-Apr-2026,58,LOW,LOW,MEDIUM,106.25,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hubli Electricity Supply Co. Ltd.,CRISIL,Letter of Credit,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,100.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Huldibari Industries & Plantation Co. Ltd.,CRISIL,Bank Guarantee,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,0.75,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Huldibari Industries & Plantation Co. Ltd.,CRISIL,Term Loan,B,10-Apr-2026,76,LOW,LOW,MEDIUM,2.15,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Huldibari Industries & Plantation Co. Ltd.,CRISIL,Term Loan,B,10-Apr-2026,76,LOW,LOW,MEDIUM,0.29,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Hyderabad Power Installations Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,14-Apr-2026,72,LOW,LOW,MEDIUM,12.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I C A Edu Skills Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,16-Apr-2026,70,LOW,LOW,MEDIUM,21.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I C A Edu Skills Pvt. Ltd.,ACUITE,Term Loan,B-,16-Apr-2026,70,LOW,LOW,MEDIUM,50.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I C E D Desserts & Food Parlours (India) Pvt. Ltd.,CARE,Term Loan,C,23-Apr-2026,63,LOW,LOW,MEDIUM,15.0,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I F P Petro Products Pvt. Ltd.,CARE,Fund-Based,B-,17-Apr-2026,69,LOW,LOW,MEDIUM,5.5,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I F P Petro Products Pvt. Ltd.,CARE,Term Loan,B-,17-Apr-2026,69,LOW,LOW,MEDIUM,1.5,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I L & F S Energy Development Co. Ltd.,CARE,Bank Guarantee,D,14-Apr-2026,72,LOW,LOW,MEDIUM,50.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I L & F S Energy Development Co. Ltd.,CARE,Term Loan,D,14-Apr-2026,72,LOW,LOW,MEDIUM,1037.85,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I L & F S Engg. & Construction Co. Ltd.,CARE,Non-Fund-Based,D,16-Apr-2026,70,LOW,LOW,MEDIUM,2188.52,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I L & F S Engg. & Construction Co. Ltd.,CARE,Term Loan,D,16-Apr-2026,70,LOW,LOW,MEDIUM,352.81,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I S K O Strip Pvt. Ltd.,BRICKWORK,Term Loan,C,07-Apr-2026,79,LOW,LOW,MEDIUM,3.1,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I T A Lake Ceramic Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,20-Apr-2026,66,LOW,LOW,MEDIUM,4.03,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
I T A Lake Ceramic Pvt. Ltd.,CRISIL,Term Loan,B,20-Apr-2026,66,LOW,LOW,MEDIUM,15.47,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Idcol Ferro Chrome & Alloys Ltd. [Merged],CARE,Bank Guarantee,A 4,17-Apr-2026,69,LOW,LOW,MEDIUM,1.5,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Idea Sales Agencies Pvt. Ltd.,CARE,Term Loan,B-,16-Apr-2026,70,LOW,LOW,MEDIUM,3.93,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Immense Industries Pvt. Ltd.,CRISIL,Letter of Credit,D,20-Apr-2026,66,LOW,LOW,MEDIUM,35.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Imperial Tubes Pvt. Ltd.,ICRA,Non-Fund-Based,D,16-Apr-2026,70,LOW,LOW,MEDIUM,10.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Inarco Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,0.25,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Inarco Pvt. Ltd.,CRISIL,Letter of Credit,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,5.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Inarco Pvt. Ltd.,CRISIL,Term Loan,B,10-Apr-2026,76,LOW,LOW,MEDIUM,0.25,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Independent Resources India Pvt. Ltd.,CRISIL,Term Loan,B,20-Apr-2026,66,LOW,LOW,MEDIUM,0.4,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Inderjeet Bros Projects Pvt. Ltd.,CRISIL,Term Loan,B,20-Apr-2026,66,LOW,LOW,MEDIUM,7.6,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Indian Pulp & Paper Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,70.02,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Indiana Hospital & Heart Institute Ltd.,ICRA,Non-Fund-Based,A 4,29-Apr-2026,57,LOW,LOW,MEDIUM,0.5,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Indiana Hospital & Heart Institute Ltd.,ICRA,Term Loan,B,29-Apr-2026,57,LOW,LOW,MEDIUM,23.5,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Indrajit Properties Pvt. Ltd. (2011),BRICKWORK,Term Loan,B-,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,20.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Indus Integrated Information Mgmt. Ltd.,ACUITE,Bank Guarantee,A 4,09-Apr-2026,77,LOW,LOW,MEDIUM,0.4,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Indus Integrated Information Mgmt. Ltd.,ACUITE,Bank Guarantee,A 4,09-Apr-2026,77,LOW,LOW,MEDIUM,0.6,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Indus Integrated Information Mgmt. Ltd.,ACUITE,Term Loan,C,09-Apr-2026,77,LOW,LOW,MEDIUM,2.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Infab Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,20-Apr-2026,66,LOW,LOW,MEDIUM,7.25,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Infab Infrastructure Pvt. Ltd.,CRISIL,Letter of Credit,A 4,20-Apr-2026,66,LOW,LOW,MEDIUM,3.5,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Infres Methodex Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,37.8,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Inmac Computers Ltd.,ACUITE,Bank Guarantee,A 4,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,1.8,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Innovative Technomics Pvt. Ltd.,CRISIL,Bank Guarantee,D,20-Apr-2026,66,LOW,LOW,MEDIUM,6.0,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Innovative Technomics Pvt. Ltd.,CRISIL,Letter of Credit,D,20-Apr-2026,66,LOW,LOW,MEDIUM,2.0,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Integrated Thermoplastics Ltd.,CARE,Letter of Credit,D,10-Apr-2026,76,LOW,LOW,MEDIUM,6.5,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Integrated Thermoplastics Ltd.,CARE,Term Loan,D,10-Apr-2026,76,LOW,LOW,MEDIUM,7.0,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Intercraft Trading Pvt. Ltd.,CRISIL,Term Loan,B,20-Apr-2026,66,LOW,LOW,MEDIUM,2.1,Trading/Exports,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
International Coil Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,88.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
International Steel Exchange Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,20-Apr-2026,66,LOW,LOW,MEDIUM,2.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Intouch Mobicare Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,20-Apr-2026,66,LOW,LOW,MEDIUM,1.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ishaan Bio Pvt. Ltd.,ACUITE,Term Loan,BB-,08-Apr-2026,78,LOW,LOW,MEDIUM,0.88,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ishaan Bio Pvt. Ltd.,ACUITE,Term Loan,BB-,08-Apr-2026,78,LOW,LOW,MEDIUM,0.37,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ishwar Ispat Inds. Pvt. Ltd.,CARE,Term Loan,B,17-Apr-2026,69,LOW,LOW,MEDIUM,25.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ivax Paper Chemicals Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,22-Apr-2026,64,LOW,LOW,MEDIUM,19.5,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ivax Paper Chemicals Pvt. Ltd.,ICRA,Term Loan,A 4,22-Apr-2026,64,LOW,LOW,MEDIUM,,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ivax Paper Chemicals Pvt. Ltd.,ICRA,Term Loan,B+,22-Apr-2026,64,LOW,LOW,MEDIUM,10.0,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J B Daruka Papers Ltd.,CRISIL,Term Loan,B,16-Apr-2026,70,LOW,LOW,MEDIUM,8.0,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J C Construction Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,11.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J C Construction Pvt. Ltd.,BRICKWORK,Term Loan,C,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,0.9,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J C T Ltd.,CARE,Bank Guarantee,D,09-Apr-2026,77,LOW,LOW,MEDIUM,74.28,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J C T Ltd.,CARE,Term Loan,D,09-Apr-2026,77,LOW,LOW,MEDIUM,24.68,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J J Glastronics Pvt. Ltd.,CARE,Term Loan,BB+,09-Apr-2026,77,LOW,LOW,MEDIUM,40.73,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J M Ferro Alloys Pvt. Ltd.,CARE,Letter of Credit,D,10-Apr-2026,76,LOW,LOW,MEDIUM,12.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J P Infra Realty Pvt. Ltd.,IND-RA,Term Loan,B-,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,350.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J P L Industries Ltd.,CARE,Fund-Based,B+,14-Apr-2026,72,LOW,LOW,MEDIUM,6.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J P L Industries Ltd.,CARE,Non-Fund-Based,A 4,14-Apr-2026,72,LOW,LOW,MEDIUM,0.2,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
J P L Industries Ltd.,CARE,Term Loan,B+,14-Apr-2026,72,LOW,LOW,MEDIUM,2.61,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
