Company Name,Agency,Instrument Type,Rating,Rating Date,Escalates To,Escalation Date,Call Week,Tier_Rank,Tier_Label,Agency_Count,Amount Cr,Amt_num,Sector,SEBI_Action,Pre_License_Pitch
Standard Infratech India Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,27-Oct-2025,ULTRA HOT,2026-10-27,Oct Wk4 (Oct 22-31),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,163.05,163.05,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 27-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Kay Jay Forgings Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,ULTRA HOT,2026-10-29,Oct Wk4 (Oct 22-31),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,87.0,87.0,Steel & Metals,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 29-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Tamilnadu Transmission Corpn. Ltd.,BRICKWORK,NCD/Bond,B+/A4,30-Oct-2025,ULTRA HOT,2026-10-30,Oct Wk4 (Oct 22-31),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,90.0,90.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 30-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Rai Bahadur Narain Singh Sugar Mills Ltd.,CARE,NCD/Bond,BB/A4,03-Nov-2025,ULTRA HOT,2026-11-03,Nov Wk1 (Nov 1-7),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,275.02,275.02,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 03-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
J U Agri Sciences Pvt. Ltd.,CARE,NCD/Bond,A 4,03-Nov-2025,ULTRA HOT,2026-11-03,Nov Wk1 (Nov 1-7),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,85.0,85.0,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 03-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
R S A Infraproject Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,07-Nov-2025,ULTRA HOT,2026-11-07,Nov Wk1 (Nov 1-7),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,175.0,175.0,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 07-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Tribeni Constructions Ltd.,ICRA,NCD/Bond,A-/A2+,13-Nov-2025,ULTRA HOT,2026-11-13,Nov Wk2 (Nov 8-14),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,304.0,304.0,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 13-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Shah Nanji Nagsi Overseas Pvt. Ltd.,BRICKWORK,NCD/Bond,B+/A4,13-Nov-2025,ULTRA HOT,2026-11-13,Nov Wk2 (Nov 8-14),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,90.0,90.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 13-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Fides Distribution Pvt. Ltd.,CARE,NCD/Bond,B-/A4,18-Nov-2025,ULTRA HOT,2026-11-18,Nov Wk3 (Nov 15-21),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,60.0,60.0,Trading/Exports,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 18-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Stanadyne India Pvt. Ltd.,CARE,NCD/Bond,BB/A4,20-Nov-2025,ULTRA HOT,2026-11-20,Nov Wk3 (Nov 15-21),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,50.0,50.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 20-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Victoria Foods Pvt. Ltd.,CARE,NCD/Bond,BB/A4,21-Nov-2025,ULTRA HOT,2026-11-21,Nov Wk3 (Nov 15-21),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,75.0,75.0,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 21-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Shri Ambalika Sugar Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,550.0,550.0,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Pratibha Syntex Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,549.24,549.24,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
B L Agro Inds. Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,352.0,352.0,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Shiv Aum Steels Ltd.,IND-RA,NCD/Bond,B/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,65.0,65.0,Steel & Metals,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Kandui Industries Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,56.89,56.89,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Trijal Enterprise Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,55.0,55.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Shyam Spectra Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,28-Nov-2025,ULTRA HOT,2026-11-28,Nov Wk4 (Nov 22-30),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,52.17,52.17,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 28-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Space Wood Furnishers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,46.5,46.5,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 01-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Dali & Samir Engg. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,28.22,28.22,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 01-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
A-One Footarts Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,03-Oct-2025,ULTRA HOT,2026-10-03,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,4.0,4.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 03-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
P S Bedi & Co. Pvt. Ltd.,CARE,NCD/Bond,B-/A4,03-Oct-2025,ULTRA HOT,2026-10-03,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,1.0,1.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 03-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Aimco Pesticides Ltd.,CARE,NCD/Bond,BB-/A4,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,16.0,16.0,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 06-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Aimco Pesticides Ltd.,CARE,NCD/Bond,BB-/A4,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,5.0,5.0,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 06-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Shreeya Peanuts Pvt. Ltd.,CARE,NCD/Bond,C/A4,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,15.0,15.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 07-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Syndicate Wiper Systems Pvt. Ltd.,CARE,NCD/Bond,B-/A4,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,5.0,5.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 07-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Syndicate Wiper Systems Pvt. Ltd.,CARE,NCD/Bond,B-/A4,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,5.0,5.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 07-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Sachdev Food Products Pvt. Ltd.,CARE,NCD/Bond,B+/A4,07-Oct-2025,ULTRA HOT,2026-10-07,Oct Wk1 (Oct 1-7),4,TIER 4 — ULTRA HOT,1,4.0,4.0,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 07-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Ramnik Power & Alloys Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,08-Oct-2025,ULTRA HOT,2026-10-08,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,13.77,13.77,Steel & Metals,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 08-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
A A A Textiles Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,08-Oct-2025,ULTRA HOT,2026-10-08,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,5.36,5.36,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 08-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Sarveshwari Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,08-Oct-2025,ULTRA HOT,2026-10-08,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,0.17,0.17,Logistics,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 08-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Sekhani Industries Pvt. Ltd.,CARE,NCD/Bond,B+/A4,09-Oct-2025,ULTRA HOT,2026-10-09,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,6.0,6.0,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 09-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Sekhani Industries Pvt. Ltd.,CARE,NCD/Bond,B+/A4,09-Oct-2025,ULTRA HOT,2026-10-09,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,2.72,2.72,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 09-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Pooja Cotspin Pvt. Ltd.,CARE,NCD/Bond,B+/A4,09-Oct-2025,ULTRA HOT,2026-10-09,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,1.07,1.07,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 09-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Survi Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,10-Oct-2025,ULTRA HOT,2026-10-10,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,22.0,22.0,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 10-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Techno Global Services Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,10-Oct-2025,ULTRA HOT,2026-10-10,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,19.5,19.5,IT/Technology,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 10-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Kings Infra Ventures Limited,Infomerics,Non-Convertible Debentures,IVR B+ (INC)(Reaffirmed),10-Oct-2025,ULTRA HOT,2026-10-10,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,3.71,3.71,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your Non-Convertible Debentures rated by Infomerics (INC since 10-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Udayam Medical Centre (Trichy) Pvt. Ltd.,ICRA,NCD/Bond,BB-/A4,10-Oct-2025,ULTRA HOT,2026-10-10,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,2.99,2.99,Healthcare,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 10-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Tiger Logistics (India) Ltd.,CARE,NCD/Bond,B/A4,10-Oct-2025,ULTRA HOT,2026-10-10,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,2.0,2.0,Logistics,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 10-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
J P Sortex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,13-Oct-2025,ULTRA HOT,2026-10-13,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,37.0,37.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 13-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Sangotra Fashions Pvt. Ltd.,CARE,NCD/Bond,B-/A4,13-Oct-2025,ULTRA HOT,2026-10-13,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,9.5,9.5,Textiles,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 13-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
J P Sortex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,13-Oct-2025,ULTRA HOT,2026-10-13,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,3.0,3.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 13-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Kanak Pipe Inds. Pvt. Ltd.,CARE,NCD/Bond,B-/A4,13-Oct-2025,ULTRA HOT,2026-10-13,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,0.5,0.5,Steel & Metals,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 13-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Wellcare Oil Tools Pvt. Ltd.,CARE,NCD/Bond,B-/A4,14-Oct-2025,ULTRA HOT,2026-10-14,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,6.0,6.0,Energy,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 14-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Kapilansh Dhatu Udyog Pvt. Ltd.,CARE,NCD/Bond,B+/A4,14-Oct-2025,ULTRA HOT,2026-10-14,Oct Wk2 (Oct 8-14),4,TIER 4 — ULTRA HOT,1,0.68,0.68,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 14-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Alleppey Company Ltd.,CARE,NCD/Bond,B-/A4,16-Oct-2025,ULTRA HOT,2026-10-16,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,13.5,13.5,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 16-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Vapi Care Pharma Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,16-Oct-2025,ULTRA HOT,2026-10-16,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,7.0,7.0,Chemicals/Pharma,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 16-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Alleppey Company Ltd.,CARE,NCD/Bond,B-/A4,16-Oct-2025,ULTRA HOT,2026-10-16,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,2.7,2.7,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 16-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Vapi Care Pharma Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,16-Oct-2025,ULTRA HOT,2026-10-16,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,2.5,2.5,Chemicals/Pharma,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 16-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Needle Industries (India) Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,16-Oct-2025,ULTRA HOT,2026-10-16,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,0.45,0.45,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 16-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
C 5 Engineering Pvt. Ltd.,CARE,NCD/Bond,B+/A4,17-Oct-2025,ULTRA HOT,2026-10-17,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,45.0,45.0,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 17-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Hindustan Prefab Ltd.,IND-RA,NCD/Bond,B-/A4,17-Oct-2025,ULTRA HOT,2026-10-17,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,40.0,40.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 17-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Piyush Infratech Pvt. Ltd.,IND-RA,NCD/Bond,B+/A4,17-Oct-2025,ULTRA HOT,2026-10-17,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,40.0,40.0,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 17-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
G D Dyestuff Inds. Ltd.,IND-RA,NCD/Bond,B/A4,17-Oct-2025,ULTRA HOT,2026-10-17,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,27.68,27.68,Chemicals/Pharma,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 17-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Akal Spring Ltd.,IND-RA,NCD/Bond,B+/A4,17-Oct-2025,ULTRA HOT,2026-10-17,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,13.37,13.37,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 17-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Trimoorty Foamtech Ltd.,CARE,NCD/Bond,B-/A4,17-Oct-2025,ULTRA HOT,2026-10-17,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,9.0,9.0,IT/Technology,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 17-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Kothari Metsol Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,21-Oct-2025,ULTRA HOT,2026-10-21,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,7.4,7.4,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 21-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Carbon Edge Inds. Ltd.,ICRA,NCD/Bond,B+/A4,21-Oct-2025,ULTRA HOT,2026-10-21,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,4.06,4.06,Automobiles,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 21-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Kothari Metsol Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,21-Oct-2025,ULTRA HOT,2026-10-21,Oct Wk3 (Oct 15-21),4,TIER 4 — ULTRA HOT,1,,,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 21-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Sunrise Seafoods India Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Oct-2025,ULTRA HOT,2026-10-22,Oct Wk4 (Oct 22-31),4,TIER 4 — ULTRA HOT,1,9.0,9.0,Agro/Food,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 22-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Q I Network Enterprise Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Oct-2025,ULTRA HOT,2026-10-22,Oct Wk4 (Oct 22-31),4,TIER 4 — ULTRA HOT,1,8.0,8.0,IT/Technology,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 22-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Associated Works Infra Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Oct-2025,ULTRA HOT,2026-10-23,Oct Wk4 (Oct 22-31),4,TIER 4 — ULTRA HOT,1,5.5,5.5,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 23-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
