Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week,ACER_Pitch_Infomerics
Chemtrade Overseas Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,20.0,Chemicals/Pharma,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
DMG Polypack Private Limited,Infomerics,Long Term Bank Facilities,IVR C (INC)(Downgraded),21-Nov-2025,MEDIUM,ULTRA HOT,2026-11-21,November 2026,216,17.31,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
DMG Polypack Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),21-Nov-2025,MEDIUM,ULTRA HOT,2026-11-21,November 2026,216,2.69,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Eagle Steel Industries Private Limited,Infomerics,Long Term Facilities,IVR C (INC)(Downgraded),17-Nov-2025,MEDIUM,ULTRA HOT,2026-11-17,November 2026,220,12.0,Steel & Metals,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ketul Chem Private Limited,Infomerics,Long Term Bank Facilities - Proposed,IVR B+ (INC) (Downgraded),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,25.0,Chemicals/Pharma,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ketul Chem Private Limited,Infomerics,Long Term Bank Facilities - Fund Based,IVR B+ (INC) (Downgraded),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,41.0,Chemicals/Pharma,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ketul Chem Private Limited,Infomerics,Short Term Bank Facilities - Non - Fund Based,IVR A4 (INC) (Reaffirmed),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,84.0,Chemicals/Pharma,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Mayura Packaging Private Limited,Infomerics,Long Term Fund based bank facility- Term Loan,IVR C+ (INC) (Downgraded),17-Nov-2025,MEDIUM,ULTRA HOT,2026-11-17,November 2026,220,1.64,Paper/Packaging,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Mayura Packaging Private Limited,Infomerics,Long Term Fund based bank facility- Cash Credit,IVR C+ (INC) (Downgraded),17-Nov-2025,MEDIUM,ULTRA HOT,2026-11-17,November 2026,220,6.0,Paper/Packaging,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Mayura Packaging Private Limited,Infomerics,Short Term Non-Fund Based Bank Facility -Letter of Credit,IVR A4 (INC) (Reaffirmed),17-Nov-2025,MEDIUM,ULTRA HOT,2026-11-17,November 2026,220,2.0,Paper/Packaging,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Mayura Packaging Private Limited,Infomerics,Short Term Non-Fund Based Bank Facility - Bank Guarantee,IVR A4 (INC) (Reaffirmed),17-Nov-2025,MEDIUM,ULTRA HOT,2026-11-17,November 2026,220,0.36,Paper/Packaging,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Om Construction,Infomerics,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,2.4,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Om Construction,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,6.75,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
R E Infra Private Limited,Infomerics,Long Term Facilities,IVR BB- (INC)(Downgraded),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,7.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
R E Infra Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC)(Downgraded),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,54.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Royal Imports and Exports,Infomerics,Long Term Bank Facilities,IVR BB (INC) (Downgraded),17-Nov-2025,MEDIUM,ULTRA HOT,2026-11-17,November 2026,220,67.0,Logistics,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Royal Imports and Exports,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),17-Nov-2025,MEDIUM,ULTRA HOT,2026-11-17,November 2026,220,4.5,Logistics,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Rubber Matters Private Limited,Infomerics,Long Term Fund Based limits,IVR C+ (INC)(Downgraded),17-Nov-2025,MEDIUM,ULTRA HOT,2026-11-17,November 2026,220,15.15,Chemicals/Pharma,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
SSNR Power Private Limited,Infomerics,Long Term Facilities,IVR BB (INC)(Downgraded),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,28.79,Energy,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
SSNR Power Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC)(Downgraded),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,3.0,Energy,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Satkartar Electricals and Electronics Private Limited,Infomerics,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),18-Nov-2025,MEDIUM,ULTRA HOT,2026-11-18,November 2026,219,3.5,Energy,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Satkartar Electricals and Electronics Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),18-Nov-2025,MEDIUM,ULTRA HOT,2026-11-18,November 2026,219,8.0,Energy,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Sri Kanakamahalakshmi Agencies,Infomerics,Long Term Bank Facility,IVR B+ (INC)(Downgraded),20-Nov-2025,MEDIUM,ULTRA HOT,2026-11-20,November 2026,217,15.0,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Titanium Vitrified Private Limited,Infomerics,Long Term Facilities,IVR BB (INC)(Downgraded),18-Nov-2025,MEDIUM,ULTRA HOT,2026-11-18,November 2026,219,12.27,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Titanium Vitrified Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC)(Downgraded),18-Nov-2025,MEDIUM,ULTRA HOT,2026-11-18,November 2026,219,3.5,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk3 (Nov 15-21),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
ATMASTCO Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),24-Nov-2025,MEDIUM,ULTRA HOT,2026-11-24,November 2026,213,50.19,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
ATMASTCO Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),24-Nov-2025,MEDIUM,ULTRA HOT,2026-11-24,November 2026,213,123.0,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ace Kudale Corporation Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,32.43,Agro/Food,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ace Kudale Corporation Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,10.25,Agro/Food,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ace Kudale Corporation Limited,Infomerics,Long Term/Short Term Bank Facilities - Proposed,IVR B+/IVR A4 ; (INC) (Downgraded/Reaffirmed),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,12.32,Agro/Food,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Amar Shakti Commerce & Industries Limited,Infomerics,Long Term Fund Based Facilities â€“ Proposed Term Loan,IVR C- (INC)(Downgraded),25-Nov-2025,MEDIUM,ULTRA HOT,2026-11-25,November 2026,212,20.0,Manufacturing,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Babu Banarasi Das Educational Society,Infomerics,Long Term Fund Based Bank Facilities,IVR BB- (INC)(Downgraded),24-Nov-2025,MEDIUM,ULTRA HOT,2026-11-24,November 2026,213,40.42,Education,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Bespoke Art Studio Private Limited,Infomerics,Long Term Fund Based Bank Facilities,IVR BB- (INC) (Downgraded),24-Nov-2025,MEDIUM,ULTRA HOT,2026-11-24,November 2026,213,110.0,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
ECR Buildtech Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,58.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
ECR Buildtech Private Limited,Infomerics,Short Term Bank Facilities,IVR A3 (INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,5.5,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Fable Food Products Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,64.0,Agro/Food,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Fable Food Products Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,10.0,Agro/Food,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Fortune Chemicals Limited,Infomerics,Long Term Bank Facilities (Proposed),IVR C- (INC)(Downgraded),24-Nov-2025,MEDIUM,ULTRA HOT,2026-11-24,November 2026,213,50.0,Chemicals/Pharma,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Grospinz Fabz Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,119.65,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Grospinz Fabz Limited,Infomerics,Short Term Bank Facilities,IVR A3 (INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,125.5,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Neptune Ispat Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,45.37,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Neptune Ispat Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,4.5,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
SRC Company Infra Private Limited,Infomerics,Long Term Facilities,IVR BB+ (INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,13.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
SRC Company Infra Private Limited,Infomerics,Short Term Facilities,IVR A4+ (INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,170.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Shreesatya Metals & Alloys Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,26.52,Steel & Metals,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Shreesatya Metals & Alloys Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,0.45,Steel & Metals,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Shreesatya Mines Private Limited,Infomerics,Long Term Bank Facility,IVR B+(INC) (Downgraded),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,1.5,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Shreesatya Mines Private Limited,Infomerics,Short-Term Bank Facilities,IVR A4 (INC) (Reaffirmed),28-Nov-2025,MEDIUM,ULTRA HOT,2026-11-28,November 2026,209,109.5,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Shreesatya Sponge & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,64.88,Energy,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Shreesatya Sponge & Power Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,0.65,Energy,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Shreesatya Steel & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),26-Nov-2025,MEDIUM,ULTRA HOT,2026-11-26,November 2026,211,23.56,Steel & Metals,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk4 (Nov 22-30),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
