Company Name,Agency,Sector,Pipeline_Window,Instruments,Rev_Avg_Lakhs,Rev_High_Lakhs,Amt_Cr,NCD,Call_Window,Current_Urgency
Eversendai Construction Pvt. Ltd.,ACUITE,Construction,Q1 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,338.82,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Silk Touch Vitrified Pvt. Ltd.,CRISIL,Textiles,October 2026,Term Loan | Bank Guarantee | Letter of Credit,12.0,16.0,20.0,0,Nov Wk2 (Nov 8-14),MEDIUM
Varalakshmi Starch Inds. Pvt. Ltd.,CARE,Other,October 2026,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,7.5,0,Nov Wk2 (Nov 8-14),MEDIUM
Veerabhadra Minerals Pvt. Ltd.,CRISIL,Mining & Minerals,Q2 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,3.2,0,HOT by Jan 2027,LOW (<90 days)
Prasad International Pvt. Ltd.,CRISIL,Other,October 2026,Term Loan | Letter of Credit | Bank Guarantee,12.0,16.0,5.49,0,Oct Wk4 (Oct 22-31),LOW
Prasad International Pvt. Ltd.,CRISIL,Other,Q2 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,5.49,0,HOT by Jan 2027,LOW (<90 days)
Precision Infratech Pvt. Ltd.,CRISIL,Construction,October 2026,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,71.75,0,Oct Wk3 (Oct 15-21),MEDIUM
Rajasthan Powergen Transformer Pvt. Ltd.,CARE,Energy,October 2026,Bank Guarantee | Term Loan | Letter of Credit,12.0,16.0,6.68,0,Oct Wk2 (Oct 8-14),LOW
Rajasthan Powergen Transformer Pvt. Ltd.,CARE,Energy/Power,Q2 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,6.68,0,HOT by Jan 2027,LOW (<90 days)
Jet Granito Pvt. Ltd.,BRICKWORK,Other,Q1 2027,Bank Guarantee | Term Loan | Letter of Credit,12.0,16.0,13.379999999999999,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Jayshree Aromatics Ltd.,BRICKWORK,Other,October 2026,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,7.47,0,Nov Wk3 (Nov 15-21),LOW
Ramaa Shyama Papers Pvt. Ltd.,BRICKWORK,Paper/Packaging,October 2026,Term Loan | Letter of Credit | Bank Guarantee,12.0,16.0,11.1,0,Oct Wk3 (Oct 15-21),LOW
Kshema Power & Infrastructure Co. Pvt. Ltd.,BRICKWORK,Construction,October 2026,Letter of Credit | Bank Guarantee | Term Loan,12.0,16.0,56.08,0,Oct Wk1 (Oct 1-7),LOW
Kshema Power & Infrastructure Co. Pvt. Ltd.,BRICKWORK,Construction,Q2 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,56.08,0,HOT by Jan 2027,LOW (<90 days)
Haryana Conductors Pvt. Ltd.,CRISIL,Other,October 2026,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,15.0,0,Nov Wk3 (Nov 15-21),LOW
Fiorenza Granito Pvt. Ltd.,CRISIL,Other,October 2026,Term Loan | Bank Guarantee | Letter of Credit,12.0,16.0,29.43,0,Oct Wk3 (Oct 15-21),LOW
Sachchade Food Pvt. Ltd.,BRICKWORK,Agro & Food,October 2026,Term Loan | Letter of Credit | Bank Guarantee,12.0,16.0,4.26,0,Nov Wk2 (Nov 8-14),MEDIUM
Nutech Engineering Technologies Ltd.,BRICKWORK,Manufacturing,October 2026,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,8.05,0,Oct Wk4 (Oct 22-31),MEDIUM
Luna Chemical Inds. Pvt. Ltd.,BRICKWORK,Chemicals & Pharma,Q1 2027,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,29.200000000000003,0,Sep 2026 — RM,LOW/MEDIUM
Tejas Constructions & Infrastructure Pvt. Ltd.,ACUITE,Construction,Q1 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,68.36,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Technology Frontiers (India) Pvt. Ltd.,ACUITE,IT/Technology,October 2026,Term Loan | Letter of Credit | Bank Guarantee,12.0,16.0,27.0,0,Nov Wk4 (Nov 22-30),MEDIUM
Avon Tubetech Pvt. Ltd.,ACUITE,Steel & Metals,October 2026,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,39.21,0,Nov Wk2 (Nov 8-14),LOW
Tehri Iron & Steel Casting Pvt. Ltd.,BRICKWORK,Steel & Metals,October 2026,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,3.02,0,Oct Wk4 (Oct 22-31),LOW
Mahalaxmi Crafts & Tissues Pvt. Ltd.,BRICKWORK,Other,Q1 2027,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,9.14,0,Sep 2026 — RM,LOW/MEDIUM
S J S Agro Inds. Pvt. Ltd.,CARE,Agro & Food,October 2026,Term Loan | Letter of Credit | Bank Guarantee,12.0,16.0,10.61,0,Oct Wk4 (Oct 22-31),MEDIUM
Elico Ltd.,CRISIL,Other,Q1 2027,Term Loan | Bank Guarantee | Letter of Credit,12.0,16.0,7.5,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Shree Ramdoot Rollers Pvt. Ltd.,CRISIL,Other,October 2026,Term Loan | Bank Guarantee | Letter of Credit,12.0,16.0,92.0,0,Nov Wk4 (Nov 22-30),MEDIUM
Highland Produce Co. Ltd.,BRICKWORK,Other,October 2026,Bank Guarantee | Letter of Credit | Fund-Based Facilities,12.0,16.0,4.22,0,Nov Wk2 (Nov 8-14),MEDIUM
Hild Energy Pvt. Ltd.,CRISIL,Energy,Q1 2027,Letter of Credit | Bank Guarantee | Term Loan,12.0,16.0,299.90000000000003,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Hi-Tech Audio Systems Pvt. Ltd.,CRISIL,IT/Technology,October 2026,Bank Guarantee | Fund-Based Facilities | Letter of Credit,12.0,16.0,24.0,0,Oct Wk2 (Oct 8-14),MEDIUM
Anjani Food Products Pvt. Ltd.,CARE,Agro & Food,October 2026,Fund-Based Facilities | Letter of Credit | Bank Guarantee,12.0,16.0,2.5,0,Oct Wk4 (Oct 22-31),LOW
Plasmix Pvt. Ltd.,ICRA,Other,October 2026,Fund-Based Facilities | Bank Guarantee | Non-Fund-Based,12.0,16.0,5.5,0,Oct Wk4 (Oct 22-31),MEDIUM
Krushi Infras India Pvt. Ltd.,ACUITE,Construction,Q2 2027,Bank Guarantee | Term Loan,12.0,17.0,69.0,0,HOT by Jan 2027,LOW (<90 days)
Shree Kankeshwari Agro Pvt. Ltd.,BRICKWORK,Agro & Food,October 2026,Term Loan | Bank Guarantee | Letter of Credit,12.0,16.0,7.85,0,Oct Wk1 (Oct 1-7),LOW
Krupalu Rice Inds. Pvt. Ltd.,CARE,Agro & Food,Q2 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,1.72,0,HOT by Jan 2027,LOW (<90 days)
Jagdish Saran,Infomerics,Other,October 2026,Other/Unknown | LT Bank Facilities,12.0,18.0,67.0,0,Oct Wk1 (Oct 1-7),LOW
Jagdish Saran,Infomerics,Other,Q1 2027,Other/Unknown | LT Bank Facilities,12.0,18.0,67.0,0,Oct–Nov 2026 — Call now (HOT by Oct),LOW/MEDIUM
Ramprasad Tubes & Bars Pvt. Ltd.,ACUITE,Steel & Metals,October 2026,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,1.05,0,Oct Wk3 (Oct 15-21),LOW
Jaideep Metallics & Alloys Pvt. Ltd.,CARE,Steel & Metals,Q1 2027,Term Loan | Letter of Credit | Bank Guarantee,12.0,16.0,17.5,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Silpa Projects & Infrastructure (India) Private Limited,Infomerics,Construction,October 2026,Other/Unknown,12.0,20.0,65.91,0,Oct Wk4 (Oct 22-31),MEDIUM
Leapfrog Engineering Services Ltd.,CRISIL,Manufacturing,October 2026,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,19.75,0,Oct Wk4 (Oct 22-31),LOW
T B E A Energy (India) Pvt. Ltd.,ACUITE,Energy,Q1 2027,Bank Guarantee | Term Loan,12.0,17.0,784.75,0,Sep 2026 — RM,LOW/MEDIUM
T P S Infrastructure Ltd.,BRICKWORK,Construction,October 2026,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,112.84,0,Nov Wk4 (Nov 22-30),MEDIUM
Mangalam Drugs & Organics Ltd.,CRISIL,Chemicals & Pharma,October 2026,Letter of Credit | Term Loan | Bank Guarantee,12.0,16.0,31.75,0,Nov Wk3 (Nov 15-21),MEDIUM
S Pal Enterprises Pvt. Ltd.,CARE,Other,October 2026,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,13.19,0,Oct Wk3 (Oct 15-21),LOW
S Pal Enterprises Pvt. Ltd.,CARE,Other,Q2 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,13.19,0,HOT by Jan 2027,LOW (<90 days)
F Harley & Co. Pvt. Ltd.,CRISIL,Other,October 2026,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,15.8,0,Oct Wk4 (Oct 22-31),MEDIUM
Esmario Export Enterprises Pvt. Ltd.,CRISIL,Logistics,October 2026,Letter of Credit | Bank Guarantee | Term Loan,12.0,16.0,13.5,0,Oct Wk4 (Oct 22-31),LOW
Esmario Export Enterprises Pvt. Ltd.,CRISIL,Other,Q2 2027,Bank Guarantee | Letter of Credit | Term Loan,12.0,16.0,13.5,0,HOT by Jan 2027,LOW (<90 days)
Krupalu Rice Inds. Pvt. Ltd.,CARE,Agro & Food,October 2026,Term Loan | Bank Guarantee | Letter of Credit,12.0,16.0,1.72,0,Oct Wk4 (Oct 22-31),LOW
Reliable Cashew Company Private Limited,Infomerics,Other,Q1 2027,LT Bank Facilities | ST Bank Facilities,11.5,16.0,99.97,0,Nov–Dec 2026,LOW/MEDIUM
Trivedi Corp Pvt. Ltd.,BRICKWORK,Other,Q1 2027,Term Loan | Letter of Credit | Non-Fund-Based,11.0,15.0,10.84,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Neo Metaliks Ltd.,CRISIL,Steel & Metals,Q1 2027,Letter of Credit | Term Loan,11.0,15.0,171.5,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Veerya Attachments Pvt. Ltd.,CRISIL,Other,October 2026,Fund-Based Facilities | Letter of Credit,11.0,15.0,29.0,0,Nov Wk2 (Nov 8-14),MEDIUM
H M B Ispat Pvt. Ltd.,BRICKWORK,Other,Q1 2027,Fund-Based Facilities | Non-Fund-Based,11.0,15.0,125.0,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Vishal Nirmiti Ltd.,BRICKWORK,Other,October 2026,Bank Guarantee | Letter of Credit,11.0,14.0,64.55,0,Nov Wk4 (Nov 22-30),LOW
Radhika Opto Electronics Ltd.,CARE,Other,October 2026,Letter of Credit | Term Loan,11.0,15.0,129.5,0,Oct Wk3 (Oct 15-21),LOW
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Energy/Power,Q2 2027,Bank Guarantee | Letter of Credit,11.0,14.0,119.0,0,HOT by Jan 2027,LOW (<90 days)
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Energy,October 2026,Bank Guarantee | Letter of Credit,11.0,14.0,119.0,0,Oct Wk3 (Oct 15-21),LOW
Jai Durga Iron Pvt. Ltd.,CRISIL,Steel & Metals,October 2026,Term Loan | Letter of Credit,11.0,15.0,8.0,0,Nov Wk4 (Nov 22-30),LOW
Vimla Fuels & Metals Ltd.,ACUITE,Steel & Metals,Q2 2027,Letter of Credit | Term Loan,11.0,15.0,72.74,0,HOT by Jan 2027,LOW (<90 days)
Zeco Aircon Ltd.,CRISIL,Other,October 2026,Term Loan | Letter of Credit,11.0,15.0,50.0,0,Oct Wk4 (Oct 22-31),MEDIUM
Welspun Michigan Engineers Ltd.,ACUITE,Manufacturing,October 2026,Bank Guarantee | Letter of Credit,11.0,14.0,250.0,0,Oct Wk2 (Oct 8-14),MEDIUM
Infosoft Digital Design & Services Pvt. Ltd.,CRISIL,IT/Technology,October 2026,Bank Guarantee | Letter of Credit,11.0,14.0,25.0,0,Nov Wk4 (Nov 22-30),LOW
Star Agro Marine Exports Pvt. Ltd.,CRISIL,Agro & Food,Q2 2027,Letter of Credit | Term Loan,11.0,15.0,127.45,0,HOT by Jan 2027,LOW (<90 days)
Balaji Agro Pvt. Ltd.,ACUITE,Agro & Food,Q2 2027,Letter of Credit | Term Loan,11.0,16.0,2.7,0,HOT by Jan 2027,LOW (<90 days)
Brahmani Developers Pvt. Ltd.,ACUITE,Other,Q1 2027,Bank Guarantee | Letter of Credit,11.0,14.0,31.04,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Action Batteries Pvt. Ltd.,BRICKWORK,Other,October 2026,Letter of Credit | Term Loan,11.0,15.0,8.06,0,Nov Wk4 (Nov 22-30),LOW
Rohan Dyes & Intermediates Ltd.,ACUITE,Other,Q2 2027,Letter of Credit | Term Loan,11.0,16.0,36.25,0,HOT by Jan 2027,LOW (<90 days)
Kankai Pipes & Fittings Pvt. Ltd.,BRICKWORK,Steel & Metals,October 2026,Term Loan | Letter of Credit | Non-Fund-Based,11.0,15.0,4.93,0,Nov Wk4 (Nov 22-30),LOW
Formulated Polymers Pvt. Ltd.,BRICKWORK,Chemicals & Pharma,October 2026,Letter of Credit | Non-Fund-Based | Term Loan,11.0,15.0,13.12,0,Oct Wk1 (Oct 1-7),LOW
R P P Infra Projects Ltd.,BRICKWORK,Construction,October 2026,Fund-Based Facilities | Non-Fund-Based,11.0,15.0,58.56,0,Nov Wk4 (Nov 22-30),MEDIUM
Ivax Paper Chemicals Pvt. Ltd.,ICRA,Chemicals & Pharma,Q2 2027,Non-Fund-Based | Term Loan,11.0,16.0,29.5,0,HOT by Jan 2027,LOW (<90 days)
Merchant Agri Global Pvt. Ltd.,BRICKWORK,Other,Q1 2027,Non-Fund-Based | Fund-Based Facilities,11.0,15.0,1.9,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Bagkiya Constructions Pvt. Ltd.,ACUITE,Construction,Q1 2027,Bank Guarantee | Letter of Credit,11.0,14.0,36.0,0,Sep–Oct 2026 — Call 3 months ahead,LOW/MEDIUM
Alamelu Balaji Spg. Mills Pvt. Ltd.,BRICKWORK,Other,Q2 2027,Letter of Credit | Non-Fund-Based | Term Loan,11.0,15.0,4.800000000000001,0,HOT by Jan 2027,LOW (<90 days)
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Other,Q2 2027,Letter of Credit | Term Loan,11.0,16.0,16.18,0,HOT by Jan 2027,LOW (<90 days)
Maruti Papers Pvt. Ltd.,BRICKWORK,Paper/Packaging,October 2026,Fund-Based Facilities | Non-Fund-Based,11.0,15.0,87.03,0,Nov Wk2 (Nov 8-14),MEDIUM
J P Mukharjee & Associates Pvt. Ltd.,CRISIL,Other,October 2026,Bank Guarantee | Letter of Credit,11.0,14.0,39.0,0,Nov Wk3 (Nov 15-21),LOW
Dugar Overseas Pvt. Ltd.,CRISIL,Other,October 2026,Letter of Credit | Term Loan,11.0,15.0,41.5,0,Nov Wk2 (Nov 8-14),MEDIUM
Osia Gems Pvt. Ltd.,BRICKWORK,Jewellery,Q1 2027,Non-Fund-Based | Fund-Based Facilities,11.0,15.0,40.419999999999995,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Hubli Electricity Supply Co. Ltd.,CRISIL,Energy/Power,Q2 2027,Term Loan | Letter of Credit,11.0,16.0,1108.78,0,HOT by Jan 2027,LOW (<90 days)
Raunaq Steels Trdg. Pvt. Ltd.,CRISIL,Steel & Metals,October 2026,Fund-Based Facilities | Non-Fund-Based | Letter of Credit,11.0,15.0,56.0,0,Oct Wk4 (Oct 22-31),MEDIUM
Aakash Polyfilms Ltd.,BRICKWORK,Other,October 2026,Fund-Based Facilities | Non-Fund-Based,11.0,15.0,140.43,0,Nov Wk1 (Nov 1-7),LOW
Mentha & Allied Products Pvt. Ltd.,BRICKWORK,Manufacturing,October 2026,Letter of Credit | Fund-Based Facilities | Non-Fund-Based,11.0,15.0,18.32,0,Nov Wk4 (Nov 22-30),MEDIUM
Youngman Woollen Mills Pvt. Ltd.,BRICKWORK,Other,October 2026,Fund-Based Facilities | Non-Fund-Based,11.0,15.0,63.0,0,Oct Wk4 (Oct 22-31),MEDIUM
Lalitha Chem Inds. Pvt. Ltd.,CRISIL,Chemicals & Pharma,October 2026,Letter of Credit | Non-Fund-Based | Fund-Based Facilities,11.0,15.0,81.0,0,Oct Wk4 (Oct 22-31),LOW
A-One Footarts Pvt. Ltd.,CRISIL,Other,Q1 2027,Letter of Credit | Term Loan,11.0,15.0,4.64,0,Sep–Oct 2026 — Call 3 months ahead,HOT
J M W India Pvt. Ltd.,BRICKWORK,Other,October 2026,Fund-Based Facilities | Non-Fund-Based,11.0,15.0,71.96000000000001,0,Nov Wk3 (Nov 15-21),LOW
Lalitha Chem Inds. Pvt. Ltd.,CRISIL,Chemicals & Pharma,Q2 2027,Fund-Based Facilities | Letter of Credit | Non-Fund-Based,11.0,15.0,81.0,0,HOT by Jan 2027,LOW (<90 days)
Cerebra Integrated Technologies Limited,Infomerics,IT/Technology,Q1 2027,Other/Unknown | ST Bank Facilities | LT Bank Facilities,10.5,15.0,50.0,0,Oct–Nov 2026 — Call now (HOT by Oct),LOW/MEDIUM
The Kothari Wheels,Infomerics,Other,Q1 2027,ST Bank Facilities | Other/Unknown | LT Bank Facilities,10.5,15.0,18.65,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Asiatic Colour-Chem Industries Private Limited,Infomerics,Chemicals & Pharma,October 2026,Other/Unknown | ST Bank Facilities | LT Bank Facilities,10.5,15.0,56.21,0,Oct Wk2 (Oct 8-14),LOW
Asiatic Colour-Chem Industries Private Limited,Infomerics,Chemicals & Pharma,Q1 2027,Other/Unknown | ST Bank Facilities | LT Bank Facilities,10.5,15.0,56.21,0,Oct–Nov 2026 — Call now (HOT by Oct),LOW/MEDIUM
Aavri Overseas Private Limited (erstwhile Logan Minerals Private Limited),Infomerics,Mining & Minerals,October 2026,ST Bank Facilities | Other/Unknown | LT Bank Facilities,10.5,15.0,106.38,0,Oct Wk1 (Oct 1-7),MEDIUM
Kings Infra Ventures Limited,Infomerics,Construction,October 2026,LT Bank Facilities | Other/Unknown | ST Bank Facilities,10.5,15.0,17.11,1,Oct Wk2 (Oct 8-14),MEDIUM
Nishant Mouldings Private Limited,Infomerics,Other,Q1 2027,LT Bank Facilities | ST Bank Facilities | Other/Unknown,10.5,15.0,123.72,0,Oct–Nov 2026 — Call now (HOT by Oct),LOW/MEDIUM
Ace Kudale Corporation Limited,Infomerics,Agro & Food,October 2026,LT Bank Facilities | Other/Unknown | ST Bank Facilities,10.5,15.0,55.0,0,Nov Wk4 (Nov 22-30),MEDIUM
Nishant Mouldings Private Limited,Infomerics,Other,October 2026,LT Bank Facilities | ST Bank Facilities | Other/Unknown,10.5,15.0,123.72,0,Oct Wk4 (Oct 22-31),LOW
Vahini Irrigation Private Limited,Infomerics,Other,Q1 2027,LT Bank Facilities | ST Bank Facilities | Other/Unknown,10.5,15.0,135.64,0,Oct–Nov 2026 — Call now (HOT by Oct),LOW/MEDIUM
Sau Mathurabai Bhausaheb Thorat Sevabhavi Trust,Infomerics,Other,October 2026,LT Bank Facilities | Other/Unknown | ST Bank Facilities,10.5,15.0,229.65,0,Oct Wk4 (Oct 22-31),MEDIUM
M/s Narayan Associates,Infomerics,Other,Q1 2027,Other/Unknown | LT Bank Facilities | ST Bank Facilities,10.5,15.0,26.3,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Vahini Irrigation Private Limited,Infomerics,Other,October 2026,LT Bank Facilities | ST Bank Facilities | Other/Unknown,10.5,15.0,135.64,0,Oct Wk2 (Oct 8-14),LOW
Vimla Fuels & Metals Limited,Infomerics,Steel & Metals,Q1 2027,Other/Unknown | ST Bank Facilities | LT Bank Facilities,10.5,15.0,100.0,0,Nov–Dec 2026,LOW/MEDIUM
Sneh Polymers Private Limited,Infomerics,Chemicals & Pharma,October 2026,LT Bank Facilities | Other/Unknown | ST Bank Facilities,10.5,15.0,122.02,0,Nov Wk1 (Nov 1-7),MEDIUM
Nimbus Motors Pvt. Ltd.,CRISIL,Automobiles,Q2 2027,Fund-Based Facilities | Term Loan,10.0,14.0,37.0,0,HOT by Jan 2027,LOW (<90 days)
Venkateshwara Fibre Glass (Chennai) Pvt.  Ltd.,CRISIL,Textiles,October 2026,Term Loan,10.0,14.0,4.25,0,Oct Wk1 (Oct 1-7),LOW
S G A Cars India Pvt. Ltd.,CRISIL,Automobiles,October 2026,Fund-Based Facilities | Term Loan,10.0,14.0,94.2,0,Nov Wk2 (Nov 8-14),MEDIUM
Inditrade Fincorp Ltd.,ACUITE,Trading/Exports,October 2026,Term Loan,10.0,14.0,61.510000000000005,0,Oct Wk2 (Oct 8-14),MEDIUM
Rohil Foods Pvt. Ltd.,ACUITE,Agro & Food,October 2026,Term Loan,10.0,14.0,5.0,0,Oct Wk4 (Oct 22-31),MEDIUM
Rohan Rajdeep Toll Roads Ltd.,CARE,Construction,Q1 2027,Term Loan,10.0,14.0,8.91,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Rohan Dyes & Intermediates Ltd.,BRICKWORK,Other,Q2 2027,Bank Guarantee | Letter of Credit | Non-Fund-Based,10.0,13.0,4.25,0,HOT by Jan 2027,LOW (<90 days)
Rodas Impex Pvt. Ltd.,CARE,Other,October 2026,Term Loan | Fund-Based Facilities,10.0,14.0,3.58,0,Nov Wk3 (Nov 15-21),MEDIUM
E M C Super Speciality Hospitals Pvt. Ltd.,ACUITE,Healthcare,October 2026,Term Loan,10.0,14.0,15.0,0,Oct Wk4 (Oct 22-31),LOW
Ronak Processors Pvt. Ltd.,CARE,Other,Q1 2027,Term Loan,10.0,14.0,5.68,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Royal Foodstuffs Pvt. Ltd.,CRISIL,Agro & Food,October 2026,Term Loan,10.0,14.0,11.0,0,Oct Wk4 (Oct 22-31),LOW
Indermani Mineral India Pvt. Ltd.,BRICKWORK,Mining,Q1 2027,Letter of Credit | Bank Guarantee,10.0,13.0,25.0,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Sohan Industries Pvt. Ltd.,CRISIL,Manufacturing,Q1 2027,Term Loan,10.0,14.0,4.0,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Jayachandran Industries Pvt. Ltd.,CRISIL,Manufacturing,October 2026,Term Loan,10.0,14.0,6.6,0,Oct Wk1 (Oct 1-7),LOW
Special Ceramics Pvt. Ltd.,CRISIL,Other,October 2026,Term Loan,10.0,14.0,6.0,0,Nov Wk2 (Nov 8-14),MEDIUM
Soubhagya Processor Pvt. Ltd.,CRISIL,Other,October 2026,Term Loan,10.0,14.0,6.5,0,Nov Wk2 (Nov 8-14),MEDIUM
Special Ceramics Pvt. Ltd.,ACUITE,Other,October 2026,Term Loan,10.0,14.0,6.199999999999999,0,Oct Wk2 (Oct 8-14),LOW
Chendhoor Murughan Yarn Tex India Pvt. Ltd.,CRISIL,Textiles,October 2026,Term Loan,10.0,14.0,143.51,0,Oct Wk2 (Oct 8-14),LOW
Chhatrapati Sambhaji Raje Sakhar Udyog Ltd.,ACUITE,Other,October 2026,Term Loan,10.0,14.0,15.34,0,Nov Wk1 (Nov 1-7),MEDIUM
K B A Agrotech Pvt. Ltd.,CRISIL,Agro & Food,Q1 2027,Term Loan,10.0,14.0,8.25,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Jyotirmayee Foods Pvt. Ltd.,BRICKWORK,Agro & Food,Q1 2027,Fund-Based Facilities | Term Loan,10.0,14.0,7.529999999999999,0,Dec 2026 – Jan 2027,LOW/MEDIUM
K C K Industries Ltd.,CRISIL,Manufacturing,October 2026,Fund-Based Facilities | Term Loan,10.0,14.0,25.0,0,Nov Wk4 (Nov 22-30),LOW
Rahman Hospitals Pvt. Ltd.,CRISIL,Healthcare,Q1 2027,Term Loan,10.0,14.0,19.65,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Oxford Golf & Resorts Pvt. Ltd.,BRICKWORK,Hotels & Tourism,Q1 2027,Fund-Based Facilities | Term Loan,10.0,14.0,35.989999999999995,0,Dec 2026 – Jan 2027,LOW/MEDIUM
Apex Welcare Pvt. Ltd.,CRISIL,Other,Q2 2027,Term Loan,10.0,14.0,16.700000000000003,0,HOT by Jan 2027,LOW (<90 days)
Union Roller Flour Mills Pvt. Ltd.,CRISIL,Agro & Food,October 2026,Term Loan,10.0,14.0,5.0,0,Oct Wk4 (Oct 22-31),LOW
United Ciigma Institute Of Medical Sciences Pvt. Ltd.,BRICKWORK,Healthcare,October 2026,Term Loan | Fund-Based Facilities,10.0,14.0,139.94,0,Oct Wk2 (Oct 8-14),LOW
Nimbus Motors Pvt. Ltd.,CRISIL,Automobiles,October 2026,Fund-Based Facilities | Term Loan,10.0,14.0,37.0,0,Oct Wk3 (Oct 15-21),LOW
Apex Welcare Pvt. Ltd.,CRISIL,Automobiles,October 2026,Term Loan,10.0,14.0,16.700000000000003,0,Oct Wk3 (Oct 15-21),LOW
P Dass Forging Pvt. Ltd.,ACUITE,Other,Q2 2027,Term Loan,10.0,14.0,6.29,0,HOT by Jan 2027,LOW (<90 days)
P N Gawande Gng. Prsg. & Oil Mill Pvt. Ltd.,CARE,Agro & Food,Q1 2027,Fund-Based Facilities | Term Loan,10.0,14.0,0.0,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Mahalaxmi Paddy Products Pvt. Ltd.,ACUITE,Manufacturing,October 2026,Term Loan,10.0,14.0,5.5,0,Oct Wk2 (Oct 8-14),LOW
Aparna Constructions & Estates Pvt. Ltd.,CRISIL,Construction,Q2 2027,Term Loan,10.0,14.0,150.0,0,HOT by Jan 2027,LOW (<90 days)
Anya Polytech & Fertilizers Ltd.,CARE,Agro & Food,October 2026,Term Loan | Fund-Based Facilities,10.0,14.0,8.0,0,Oct Wk1 (Oct 1-7),LOW
Shrijee Sugar & Power Pvt. Ltd.,CRISIL,Agro & Food,October 2026,Fund-Based Facilities | Term Loan,10.0,14.0,14.58,0,Oct Wk3 (Oct 15-21),LOW
Mayar Infrastructure Devp. Pvt. Ltd.,CRISIL,Construction,October 2026,Term Loan,10.0,14.0,140.0,0,Nov Wk4 (Nov 22-30),MEDIUM
Maxheal Laboratories Pvt. Ltd.,CARE,Healthcare,October 2026,Term Loan,10.0,14.0,7.38,0,Nov Wk2 (Nov 8-14),LOW
Union Roller Flour Mills Pvt. Ltd.,CRISIL,Agro & Food,Q2 2027,Term Loan,10.0,14.0,5.0,0,HOT by Jan 2027,LOW (<90 days)
Maheshwari Fabtex Pvt. Ltd.,CRISIL,Other,Q2 2027,Term Loan,10.0,14.0,2.0,0,HOT by Jan 2027,LOW (<90 days)
Mahesh Cotspin Pvt. Ltd.,CRISIL,Other,Q1 2027,Term Loan,10.0,14.0,9.0,0,Sep–Oct 2026 — Call 3 months ahead,HOT
Candeur Constructions Pvt. Ltd.,ICRA,Construction,October 2026,Fund-Based Facilities | Term Loan,10.0,14.0,600.0,0,Nov Wk2 (Nov 8-14),LOW
Archana Hospitals Pvt. Ltd.,CRISIL,Healthcare,Q2 2027,Term Loan,10.0,14.0,10.0,0,HOT by Jan 2027,LOW (<90 days)
Archana Hospitals Pvt. Ltd.,CRISIL,Healthcare,October 2026,Term Loan,10.0,14.0,10.0,0,Oct Wk3 (Oct 15-21),LOW
