Company Name,Call_Group,RM_Tier,Aug_Week,Amt_Cr,NCD,Rev_Avg_Lakhs,Sector,Agency,Windows,Window_Count,Urgency,Why_Target,Pitch
Sri Jayalakshmi Automotives Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),217.72,0,5.0,Automobiles,ICRA,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Saswad Mali Sugar Factory Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),212.62,0,5.0,Agro & Food,CRISIL | IND-RA,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Babulal Edible Oils Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),210.0,0,5.0,Agro & Food,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Brundavana Constructions Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),210.0,0,5.0,Construction,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Technoplast Packaging Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),202.0,0,5.0,IT/Technology,IND-RA,October 2026 + Q1 2027 + Q2 2027,3,LOW,INC rating hits MEDIUM threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
N C C Infraspace Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),201.42,0,5.0,Construction,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
JSE Infotech Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),200.0,0,5.0,IT/Technology,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Vijay Kumar Sahu Infrastructure Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),200.0,0,5.0,Construction,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
BGR Construction LLP,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),199.0,0,5.0,Construction,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
G P C Infrastructure Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),193.6,0,5.0,Construction,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Deep (India) Enterprises Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),192.04000000000002,0,5.0,Other,CARE | BRICKWORK,October 2026 + Q1 2027 + Q2 2027,3,LOW,INC rating hits MEDIUM threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Rajuri Steels & T M T Bars Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),192.0,0,5.0,Steel & Metals,ACUITE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Mayasheel Retail India Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),190.0,0,5.0,Media/Retail,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Chaudhary Timber Inds. Pvt. Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),188.5,0,5.0,Other,CRISIL | BRICKWORK,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Diamond Beverages Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),188.3,0,5.0,Jewellery/Gems,CARE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-12 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Magcore Lamination (India) Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),187.0,0,5.0,Other,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Ramiya Constructions Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),185.43,0,5.0,Construction,CRISIL | BRICKWORK,October 2026 + Q1 2027 + Q2 2027,3,LOW,INC rating hits MEDIUM threshold on 2026-10-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
M M Yarns Pvt. Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),183.78,0,5.0,Textiles,BRICKWORK | CRISIL,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
D J Agro Industrial Project Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),183.54,0,5.0,Agro & Food,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Manohar Infrastructure & Constructions Pvt. Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),180.0,0,5.0,Construction,BRICKWORK | CARE,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
M S Agarwal Foundries Pvt. Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),178.38,0,5.0,Other,CRISIL | BRICKWORK,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Balaji Dayalpura Infra Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),177.8,0,5.0,Construction,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Bhagwati Industrial Group Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),177.8,0,5.0,Manufacturing,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Sri Anagha Refineries Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),172.0,0,5.0,Other,CARE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Med Freshe Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),171.5,0,5.0,Other,CARE | CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Q-Line Biotech Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),171.0,0,5.0,Healthcare,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Shree Ramdoot Metloys Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),170.0,0,5.0,Other,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Vazron Industries Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),170.0,0,5.0,Manufacturing,CARE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Mundhe Industries Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),169.82,0,5.0,Manufacturing,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Travancore Titanium Products Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),164.0,0,5.0,Manufacturing,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Lalitha Chem Inds. Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),162.0,0,5.0,Chemicals & Pharma,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
B P G Securities Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),160.0,0,5.0,BFSI,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Kropex Auto Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),160.0,0,5.0,Automobiles,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Orange Auto Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),160.0,0,5.0,Automobiles,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Adie Broswon Breweries Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),158.28,0,5.0,Other,ICRA,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Gowra Ventures Pvt. Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),155.0,0,5.0,Other,CARE | CRISIL,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
KT Construction,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),154.0,0,5.0,Construction,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Shree Ishan Equipment Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),154.0,0,5.0,Manufacturing,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Junna Solar Systems Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),152.88,0,5.0,Energy,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
EM Square Homes Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),150.0,0,5.0,Other,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Katyayini Paper Mills Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),150.0,0,5.0,Paper/Packaging,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Sree Durga Fibre Products Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),147.96,0,5.0,Textiles,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
D P J Bidar Chincholi (Annuity) Road Project Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),145.72000000000003,0,5.0,Construction,CARE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Precision Infratech Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),145.25,0,5.0,Construction,CRISIL | ACUITE,October 2026 + Q1 2027,2,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
I C A Edu Skills Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),144.0,0,5.0,Education,ACUITE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Hartek Power Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),142.0,0,5.0,Energy,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
T C P Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),141.01999999999998,0,5.0,Other,IND-RA | CRISIL,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Vishal Nirmiti Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),140.79,0,5.0,Other,BRICKWORK | CRISIL,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
G S R Ventures Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),140.0,0,5.0,Other,IND-RA | CRISIL,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Preca Solutions India Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),140.0,0,5.0,Other,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-11 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
BKB Transport Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),139.4,0,5.0,Logistics,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Krushi Infras India Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),138.0,0,5.0,Construction,ACUITE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-12 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Sir Shadi Lal Enterprises Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),135.49,0,5.0,Other,CRISIL | BRICKWORK,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Blue Wheel National Health Care and Educational Trust,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),134.0,0,5.0,Healthcare,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Jagdish Saran,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),134.0,0,5.0,Other,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Starline Cars Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),134.0,0,5.0,Automobiles,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Alankar Alloys Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),132.0,0,5.0,Steel & Metals,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Dhruv Industries Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),132.0,0,5.0,Manufacturing,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
A K Das Associates Ltd.,GHOST HOT (D),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),132.0,0,5.0,Other,ICRA | CRISIL,October 2026,1,TIER 2 — Dual-agency (2 raters),Multi-agency INC — October deadline approaching; Aug pre-call secures relationship first,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
JHV Construction Company Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),131.88,0,5.0,Construction,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Chhabeela Energy Foods Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),130.0,0,5.0,Agro & Food,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
KGR Enterprises Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),129.2,0,5.0,Other,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Nimbus Motors Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),129.0,0,5.0,Automobiles,CRISIL | CARE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Amar Partap Steel Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),127.4,0,5.0,Steel & Metals,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Ratnaveer Precision Engg. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),127.25,0,5.0,Other,BRICKWORK,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Ahinsa Infrastructure & Developers Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),126.0,0,5.0,Construction,ACUITE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Sambandam Spinning Mills Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),120.39999999999999,0,5.0,Textiles,CRISIL | IND-RA,October 2026 + Q1 2027,2,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Grameen Shakti Microfinance Services Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),120.0,0,5.0,BFSI,ACUITE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Tomar Builders & Contractors Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),120.0,0,5.0,Construction,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Tushar Builders & BKP Infra LLP,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),119.98,0,5.0,Construction,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Spica Projects And Infrastructure Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),119.72,0,5.0,Construction,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Sudharsana Developers,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),117.9,0,5.0,Construction,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Cruso Granito Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),117.18,0,5.0,Other,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Dmson'S Metal Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),116.0,0,5.0,Steel & Metals,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Asiatic Colour-Chem Industries Private Limited,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),112.42,0,5.0,Chemicals & Pharma,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Kshema Power & Infrastructure Co. Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),112.16,0,5.0,Construction,BRICKWORK,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Borkar Packaging Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),112.0,0,5.0,Paper/Packaging,CRISIL,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
D M R Builders Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),112.0,0,5.0,Construction,CRISIL | BRICKWORK,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Dnyanyogi Shri Shivkumar Swamiji Sugars Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),112.0,0,5.0,Agro & Food,ACUITE,October 2026 + Q2 2027,2,LOW,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Rushabhdev Infraprojects Pvt. Ltd.,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),112.0,0,5.0,Construction,BRICKWORK | CRISIL,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-11-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Samarth Diamond,MULTI-WINDOW (A),TIER 2 — Mid-RM,Aug Wk2 (Aug 10-14),112.0,0,5.0,Jewellery/Gems,Infomerics,October 2026 + Q1 2027,2,LOW,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
