Company Name,Agency,Pipeline_Window,Instruments,Rating,Rating_Date,Amt_Cr,Urgency,Call_Window,Fee_Avg_Lakhs,NCD,Why_Target,Pitch,Energy_Subsector
Hyderabad Power Installations Pvt. Ltd.,ACUITE,Q2 2027,Bank Guarantee,A 4,2026-04-14,12.0,LOW (<90 days),HOT by Jan 2027,4.0,False,"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Shrishaila Electricals (India) Pvt. Ltd.,CARE,Q1 2027,Bank Guarantee,A 4,2025-12-16,11.0,HOT,Sep 2026 — RM,4.0,False,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Su-Solartech Systems Pvt. Ltd.,ACUITE,Q2 2027,Bank Guarantee | Letter Of credit | Long term Loans | Short-term loan,A 4,2026-04-23,10.5,LOW (<90 days),HOT by Jan 2027,15.0,False,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Renewable / Green
Singhal Power Presses Pvt. Ltd.,CRISIL,Q1 2027,Term Loan,B,2026-03-27,9.73,LOW/MEDIUM,Dec 2026 – Jan 2027,5.0,False,INC rating hits ULTRA HOT on 2027-03-27 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
B R Oil Inds. Pvt. Ltd.,CARE,Q1 2027,Term Loan,BBB-,2026-03-09,9.5,LOW/MEDIUM,Dec 2026 – Jan 2027,5.0,False,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Shree Vardhaman Power Pvt. Ltd.,BRICKWORK,Q1 2027,Bank Guarantee,A 4,2026-03-12,9.0,LOW/MEDIUM,Dec 2026 – Jan 2027,4.0,False,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Luker Electric Technologies Pvt. Ltd.,CARE,Q1 2027,NCD/Bond,BBB/A3,2025-12-08,9.0,HOT,Sep–Oct 2026 — Call 3 months ahead,20.0,True,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Sri Power Generation (India) Pvt. Ltd. [Merged],IND-RA,Q2 2027,Non-government debt,B-/A4,2026-04-02,8.25,LOW (<90 days),HOT by Jan 2027,20.0,True,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Thermal / Conventional
Shalivahana Wind Energy Ltd.,IND-RA,Q2 2027,Term loans,B-,2026-04-02,7.06,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Renewable / Green
Novartis Energy Pvt. Ltd.,CRISIL,Q1 2027,Letter of Credit,A 4,2025-12-22,7.0,HOT,Sep–Oct 2026 — Call 3 months ahead,3.0,False,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Energy Development Co. Ltd.,CARE,Q2 2027,Bank Guarantee,A 4,2026-04-17,7.0,LOW (<90 days),HOT by Jan 2027,4.0,False,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Rajasthan Powergen Transformer Pvt. Ltd.,CARE,Q2 2027,Bank Guarantee | Letter Of credit | Term loans,A 4,2026-04-14,6.68,LOW (<90 days),HOT by Jan 2027,12.0,False,"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Pragati Ingots & Power Pvt. Ltd.,CRISIL,Q1 2027,Term Loan,B+,2025-12-22,5.8,HOT,Sep–Oct 2026 — Call 3 months ahead,10.0,False,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
C S H Power Himoinsa Pvt. Ltd.,CARE,Q2 2027,Non-government debt,A 4,2026-04-10,5.0,LOW (<90 days),HOT by Jan 2027,20.0,True,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Tirupati Oil Cake Industries,Infomerics,Q1 2027,Long Term Bank Facilities,IVR C- (INC)(Downgraded),2025-12-26,5.0,HOT,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-26 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Oil & Gas
Srinav Oil Extraction Pvt. Ltd.,CRISIL,Q1 2027,Term Loan,B,2025-12-22,4.5,HOT,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Morries Energy Ltd.,BRICKWORK,Q1 2027,Term Loan | Bank Guarantee,B+,2025-12-16,4.46,HOT,Sep–Oct 2026 — Call 3 months ahead,9.0,False,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Puja Quench Distributors India Pvt. Ltd.,CRISIL,Q1 2027,Term Loan,B,2026-03-30,4.0,LOW/MEDIUM,Dec 2026 – Jan 2027,5.0,False,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Akshaya Solar Power (India) Pvt. Ltd.,CARE,Q1 2027,Bank Guarantee | Letter of Credit,A 4,2026-03-12,4.0,LOW/MEDIUM,Dec 2026 – Jan 2027,7.0,False,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Renewable / Green
A A Energy Pvt. Ltd.,ACUITE,Q1 2027,Term Loan,C,2025-12-23,2.68,HOT,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Goa Sponge & Power Ltd.,ACUITE,Q1 2027,Bank Guarantee,A 4+,2025-12-02,2.5,HOT,Sep 2026 — RM,4.0,False,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
K K V Agro Powers Ltd.,ICRA,Q2 2027,Term loans,BB+,2026-04-29,1.39,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (60 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Hitrac Manpower Services Pvt. Ltd.,CRISIL,Q1 2027,Fund-Based,B+,2025-12-10,0.9,HOT,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Selvam Broilers Pvt. Ltd.,CRISIL,Q1 2027,Term Loan,B,2026-03-30,0.65,LOW/MEDIUM,Dec 2026 – Jan 2027,5.0,False,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Essem Auto Electricals Pvt. Ltd.,CARE,Q2 2027,Bank Guarantee | Non-government debt | Term loans,A 4,2026-04-08,0.0,LOW (<90 days),HOT by Jan 2027,29.0,True,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Hindustan Coils Ltd.,CARE,Q1 2027,Term Loan,BB-,2025-12-04,0.0,HOT,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-04 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Shree Shyam Sponge & Power Ltd.,ICRA,Q1 2027,Short-Term Loan,A 4,2025-12-19,0.0,HOT,Sep–Oct 2026 — Call 3 months ahead,3.0,False,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
