Company_Name,Rating_Date,Instruments,Size,Current_Rating,Outlook,Days_Since_Rating,Urgency,Current_Rater,Why_Target,ACER_Pitch
Shreegopal Govind Sponge Private Limited,"August 1, 2025",Short Term Bank Facilities,Rs. 10.35 Cr.,IVR A4 (INC)(Downgraded),Nil,325,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Adhunik Energy Solutions Private Limited,"August 4, 2025",Long Term / Short term Bank Facilities,Rs. 5.00 Cr.,IVR C-/IVR A4; (INC)(Downgraded/Reaffirmed),Negative/-,322,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
San Energy and Solution,"August 4, 2025",Long Term Bank Facilities,Rs. 15.00 Cr.,IVR B- (INC)(Downgraded),Negative,322,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shonan Engineering Works Private Limited,"August 4, 2025",Long Term Facilities,Rs. 8.83 Cr.,IVR B (INC)(Downgraded),Negative,322,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shonan Engineering Works Private Limited,"August 4, 2025",Short Term Facilities,Rs. 17.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,322,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Artech Realtors Private Limited,"August 6, 2025",Long Term Bank Facilities,Rs. 98.44 Cr.,IVR B+ (INC)(Downgraded),Negative,320,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Artech Realtors Private Limited,"August 6, 2025",Long Term Bank Facilities,Rs. 98.44 Cr.,IVR B+ (INC)(Downgraded),Negative,320,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shri Datta Shetakari Sahakari Sakhar Karkhana Limited,"August 6, 2025",Long Term Bank Facilities,Rs. 625.00 Cr. (including proposed limit of Rs. 4.22 Crore),IVR BB- (INC)(Downgraded),Negative,320,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
R. K. Madhani and Company,"August 6, 2025",Long Term Bank Facilities,Rs. 29.00 Cr.,IVR BB- (INC)(Downgraded),Negative,320,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
R. K. Madhani and Company,"August 6, 2025",Short Term Bank Facilities,Rs. 116.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,320,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Fusion Industries Limited,"August 7, 2025",Long Term Bank Facilities,Rs. 20.00 Cr.,IVR B+ (INC)(Downgraded),Negative,319,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sai Sanket Enterprises,"August 7, 2025",Long Term Facilities,Rs. 10.00 Cr.,IVR C (INC)(Reaffirmed),Negative,319,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sai Sanket Enterprises,"August 7, 2025",Short Term Facilities,Rs. 15.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,319,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
M N Ramesh Engineers And Contractors,"August 7, 2025",Long Term Bank Facilities,Rs. 8.17 Cr.,IVR BB (INC)(Downgraded),Negative,319,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
M N Ramesh Engineers And Contractors,"August 7, 2025",Short Term Bank Facilities,Rs. 43.50 Cr.,IVR A4+ (INC)(Reaffirmed),Nil,319,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
M N Ramesh Engineers And Contractors,"August 7, 2025",Long Term/Short Term Bank Facilities (Proposed),Rs. 43.33 Cr.,IVR BB/IVR A4+; (INC)(Downgraded/Reaffirmed),Negative/-,319,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Vidya Infrabuilt Private Limited,"August 7, 2025",Long Term Bank Facilities,Rs. 58.54 Cr.,IVR BB+ (INC)(Downgraded),Negative,319,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Vidya Infrabuilt Private Limited,"August 7, 2025",Short Term Bank Facilities,Rs. 6.00 Cr.,IVR A4+ (INC)(Downgraded),Nil,319,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kanak Instalments Limited,"August 8, 2025",Long Term Fund Based Limits (Proposed),Rs. 5.00 Cr.,IVR B- (INC)(Reaffirmed),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Mahakaleshwar Infratech Private Limited,"August 8, 2025",Long Term Bank Facilities,Rs. 70.00 Cr.,IVR B+ (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
MNR Cottons Private Limited,"August 8, 2025",Long Term Bank Facilities,Rs. 13.00 Cr.,IVR B (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
MNR Cottons Private Limited,"August 8, 2025",Short Term Bank Facilities,Rs. 3.80 Cr.,IVR A4 (INC)(Reaffirmed),Nil,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Growing Opportunity Finance India Private Limited,"August 8, 2025",Long Term Fund Based Bank Facilities - Term Loans,Rs. 58.47 Cr.,IVR B+ (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Growing Opportunity Finance India Private Limited,"August 8, 2025",Proposed Long Term Fund Based Facilities,Rs. 130.90 Cr.,IVR B+ (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Vatika Limited,"August 8, 2025",Long Term Bank Facilities,Rs. 164.57 Cr.,IVR D (INC)(Downgraded),Nil,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Lands Mill Agro Private Limited,"August 8, 2025",Long Term Bank Facilities,Rs. 44.90 Cr.,IVR BB+ (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Lands Mill Agro Private Limited,"August 8, 2025",Short Term Bank Facilities,Rs. 100.00 Cr.,IVR A4+ (INC)(Downgraded),Nil,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Congruent Remedies Private Limited,"August 8, 2025",Long Term Facilities,Rs. 39.34 Cr.,IVR BB- (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Lucky Global Projects Private Limited,"August 8, 2025",Long Term Bank Facilities,Rs. 38.00 Cr.,IVR B (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Lucky Global Projects Private Limited,"August 8, 2025",Short Term Bank Facilities,Rs. 105.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sai Shakti Mahila Technical and Development Services,"August 8, 2025",Long Term Bank Facilities,Rs. 60.14 Cr.,IVR B+ (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Vasista Marine Private Limited,"August 8, 2025",Long Term Bank Facilities,Rs. 27.00 Cr.,IVR BB (INC)(Downgraded),Negative,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Vasista Marine Private Limited,"August 8, 2025",Short Term Bank Facilities,Rs. 18.00 Cr.,IVR A4 (INC)(Downgraded),Nil,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Prakash Gold Palace Private Limited,"August 8, 2025",Long Term Facilities,Rs. 200.00 Cr.,IVR D (INC)(Reaffirmed),Nil,318,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sahakar Maharshi Shankarrao Kolhe Sahakari Sakhar Karkhana Limited,"August 11, 2025",Long Term Fund Based Bank Facilities,Rs. 60.00 Cr.,IVR B (INC)(Downgraded),Negative,315,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
ATS Infrabuild Private Limited,"August 12, 2025",Long Term Instrument - Non-Convertible Debentures,Rs. 135.00 Cr.,IVR D (INC)(Reaffirmed),Nil,314,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Jaguar Overseas Limited,"August 12, 2025",Long Term Bank Facilities,Rs. 0.55 Cr.,IVR B+ (INC)(Downgraded),Negative,314,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Jaguar Overseas Limited,"August 12, 2025",Short Term Bank Facilities,Rs. 63.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,314,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Manthan Buildspace LLP,"August 12, 2025",Long Term Facilities,Rs. 52.87 Cr.,IVR B+ (INC)(Downgraded),Negative,314,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Jay Ambe Concrete,"August 12, 2025",Long Term Facilities,Rs. 4.97 Cr.,IVR C+ (INC)(Downgraded),Negative,314,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shri Astha Foundation for Education Society,"August 12, 2025",Long Term Bank Facilities,Rs. 75.62 Cr.,IVR BB (INC)(Downgraded),Negative,314,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shri Astha Foundation for Education Society,"August 12, 2025",Short Term Bank Facilities,Rs. 20.00 Cr.,IVR A4 (INC)(Downgraded),Nil,314,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Green Malabar Finance Ventures Limited,"August 13, 2025",Long Term Fund Based Facility - Term Loans,Rs. 10.45 Cr.,IVR BB (INC)(Downgraded),Negative,313,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Green Malabar Finance Ventures Limited,"August 13, 2025",Long Term Fund Based Limits - WCDL,Rs. 55.00 Cr.,IVR BB (INC)(Downgraded),Negative,313,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Green Malabar Finance Ventures Limited,"August 13, 2025",Proposed Long Term Fund Based Limits - WCDL,Rs. 9.55 Cr.,IVR BB (INC)(Downgraded),Negative,313,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Millennium Tiles LLP,"August 14, 2025",Long Term Bank Facilities,Rs. 36.41 Cr.,IVR B- (INC)(Downgraded),Negative,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Millennium Tiles LLP,"August 14, 2025",Short Term Bank Facilities,Rs. 4.32 Cr.,IVR A4 (INC)(Reaffirmed),Nil,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
ATS Housing Private Limited,"August 14, 2025",Long Term Bank Facilities,Rs. 100.00 Cr.,IVR D (INC)(Reaffirmed),Nil,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Greenworth Infrastructure Private Limited,"August 14, 2025",Long Term Bank Facilities,Rs. 20.00 Cr.,IVR C+ (INC)(Downgraded),Negative,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Greenworth Infrastructure Private Limited,"August 14, 2025",Short Term Bank Facilities,Rs. 57.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Nuance Jewel Private Limited,"August 14, 2025",Long Term Bank Facility,Rs. 29.50 Cr.,IVR B+ (INC)(Downgraded),Negative,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Nuance Jewel Private Limited,"August 14, 2025",Short Term Bank Facility,Rs. 2.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Nuance Jewel Private Limited,"August 14, 2025",Long Term Bank Facility,Rs. 29.50 Cr.,IVR B+ (INC)(Downgraded),Negative,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Nuance Jewel Private Limited,"August 14, 2025",Short Term Bank Facility,Rs. 2.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Parin Gems,"August 14, 2025",Long Term Bank Facilities,Rs. 18.17 Cr.,IVR C- (INC)(Reaffirmed),Negative,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shivalik Distribution Private Limited,"August 14, 2025",Long Term Bank Facilities,Rs. 31.00 Cr.,IVR BB (INC)(Downgraded),Negative,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shivalik Distribution Private Limited,"August 14, 2025",Short Term Bank Facilities,Rs. 41.00 Cr.,IVR A4 (INC)(Downgraded),Nil,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Cymbio Pharma Private Limited,"August 14, 2025",Long Term Bank Facilities,Rs. 5.00 Cr.,IVR C (INC)(Downgraded),Negative,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shodha Constructions Private Limited,"August 14, 2025",Long Term Facilities,Rs. 1.00 Cr.,IVR B+ (INC)(Downgraded),Negative,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shodha Constructions Private Limited,"August 14, 2025",Short Term Facilities,Rs. 74.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,312,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Nithin Sai Construction,"August 18, 2025",Long Term Bank Facilities,Rs. 15.00 Cr.,IVR BB (INC)(Downgraded),Negative,308,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Nithin Sai Construction,"August 18, 2025",Short Term Bank Facilities,Rs. 170.00 Cr.,IVR A4 (INC)(Downgraded),Nil,308,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Unipro Agroinfra Rohtak Private Limited,"August 19, 2025",Long Term Bank Facilities,Rs. 40.50 Cr.,IVR B- (INC)(Downgraded),Negative,307,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Prakruti Products Private Limited,"August 19, 2025",Long Term Bank Facilities,Rs. 23.08 Cr.,IVR B (INC)(Downgraded),Negative,307,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Urjankur Shree Tatyasaheb Kore Warana Power Company Limited (USTKWPCL),"August 19, 2025",Long Term Bank Facilities,Rs. 119.96 Cr.,IVR BB+ (INC)(Downgraded),Negative,307,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Eswari Electricals Private Limited,"August 19, 2025",Long Term Bank Facility,Rs. 8.75 Cr.,IVR B (INC)(Downgraded),Negative,307,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Eswari Electricals Private Limited,"August 19, 2025",Short Term Bank Facility,Rs. 18.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,307,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Ambika Recharge Solution Private Limited,"August 19, 2025",Long Term Bank Facilities,Rs. 11.00 Cr.,IVR BB- (INC)(Downgraded),Negative,307,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Chowdhry Rubber and Chemical Private Limited,"August 20, 2025",Long Term Bank Facility,Rs. 30.54 Cr.,IVR B+ (INC)(Downgraded),Negative,306,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Chowdhry Rubber and Chemical Private Limited,"August 20, 2025",Short Term Facility,Rs. 23.50 Cr.,IVR A4 (INC)(Reaffirmed),Nil,306,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
V. L. Infraprojects Limited,"August 20, 2025",Long Term Bank Facilities,Rs. 12.65 Cr.,IVR BB+ (INC)(Downgraded),Negative,306,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
V. L. Infraprojects Limited,"August 20, 2025",Short Term Bank Facility,Rs. 9.40 Cr.,IVR A4+ (INC)(Downgraded),Nil,306,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kohinoor Ropes Private Limited (KRPL),"August 20, 2025",Long Term Facilities,Rs. 59.47 Cr.,IVR BB+ (INC)(Downgraded),Negative,306,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kohinoor Ropes Private Limited (KRPL),"August 20, 2025",Short Term Facilities,Rs. 5.50 Cr.,IVR A4+ (INC)(Downgraded),Nil,306,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Box Corugators and Offset Printers,"August 25, 2025",Long Term Fund based facilities,Rs. 17.00 Cr.,IVR C- (INC)(Downgraded),Negative,301,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kids Impex,"August 26, 2025",Long Term Bank Facilities,Rs. 5.76 Cr.,IVR C+ (INC)(Downgraded),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kids Impex,"August 26, 2025",Short Term Bank Facilities,Rs. 4.40 Cr.,IVR A4 (INC)(Reaffirmed),Nil,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shree Ram Resins Private Limited,"August 26, 2025",Long Term Bank Facilities - Fund Based - Cash Credit,Rs. 14.00 Cr.,IVR B- (INC)(Downgraded),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kritika Wires Limited,"August 26, 2025",Long Term Bank Facilities,Rs. 56.50 Cr.,IVR BB+ (INC)(Downgraded),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kritika Wires Limited,"August 26, 2025",Short Term Bank Facilities,Rs. 48.08 Cr.,IVR A4+ (INC)(Downgraded),Nil,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kritika Wires Limited,"August 26, 2025",Long Term Bank Facilities,Rs. 56.50 Cr.,IVR BB+ (INC)(Downgraded),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kritika Wires Limited,"August 26, 2025",Short Term Bank Facilities,Rs. 48.08 Cr.,IVR A4+ (INC)(Downgraded),Nil,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Furniture Points,"August 26, 2025",Long Term Bank Facilities Fund Based - Cash Credit,Rs. 6.50 Cr.,IVR B- (INC)(Reaffirmed),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Furniture Points,"August 26, 2025",Long Term Bank Facilities Fund Based - Proposed Term Loan,Rs. 1.00 Cr.,IVR B- (INC)(Reaffirmed),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Furniture Points,"August 26, 2025",Short Term Bank Facilities - Non-Fund Based - Letter of Credit / Bank Guarantee,Rs. 2.50 Cr.,IVR A4 (INC)(Reaffirmed),Nil,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shri Nagal Aluminium Company,"August 26, 2025",Long Term Bank Facilities - Fund Based - Cash Credit,Rs. 2.25 Cr.,IVR B- (INC)(Reaffirmed),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shri Nagal Aluminium Company,"August 26, 2025",Long Term Bank Facilities - Fund Based - Term Loan,Rs. 4.25 Cr.,IVR B- (INC)(Reaffirmed),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Krishi Infratech,"August 26, 2025",Long Term Bank Facilities,Rs. 7.50 Cr.,IVR BB- (INC)(Downgraded),Negative,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Krishi Infratech,"August 26, 2025",Short Term Bank Facilities,Rs. 67.50 Cr. (Includes proposed Bank Guarantee of Rs. 15.50 Crore),IVR A4 (INC)(Reaffirmed),Nil,300,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Karmyogi Kundalikrao Ramrao Jagtap Patil Kukadi Sahakari Sakhar Karkhana Limited,"August 29, 2025",Long Term Facilities,Rs. 48.15 Cr.,IVR D (INC)(Downgraded),Nil,297,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Karmyogi Kundalikrao Ramrao Jagtap Patil Kukadi Sahakari Sakhar Karkhana Limited,"August 29, 2025",Long Term Facilities,Rs. 48.15 Cr.,IVR D (INC)(Downgraded),Nil,297,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Creaative Powertech Private Limited,"August 29, 2025",Long Term Fund Based Bank Facilities,Rs. 9.40 Cr.,IVR D (INC)(Reaffirmed),Nil,297,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Creaative Powertech Private Limited,"August 29, 2025",Short Term Non-Fund Based Bank Facilities,Rs. 0.60 Cr.,IVR D (INC)(Reaffirmed),Nil,297,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Enn Enn Corp Limited,"September 1, 2025",Long Term Bank Facilities,Rs. 355.22 Cr.,IVR BB+ (INC)(Downgraded),Negative,294,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Enn Enn Corp Limited,"September 1, 2025",Short Term Bank Facilities,Rs. 30.25 Cr.,IVR A4+ (INC)(Downgraded),Nil,294,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Bluegress Porselano LLP,"September 1, 2025",Long Term Bank Facilities,Rs. 44.86 Cr.,IVR B (INC)(Downgraded),Negative,294,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Bluegress Porselano LLP,"September 1, 2025",Short Term Bank Facility,Rs. 5.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,294,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Prashanth Poultry Private Limited,"September 1, 2025",Long Term Bank Facilities,Rs. 41.88 Cr.,IVR B+ (INC)(Downgraded),Negative,294,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Prashanth Poultry Private Limited,"September 1, 2025",Short Term Bank Facilities,Rs. 0.50 Cr.,IVR A4 (INC)(Reaffirmed),Nil,294,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
