Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch,Multi_Agency
Sacheta Metals Ltd.,ICRA,Non-fund-based financial facility/instrument | Short-term loan,A 4,2025-06-23,365.0,ULTRA HOT,True,,6.20,D365,Steel & Metals,NO,,INC,INC at  | 365+ days overdue — most urgent,Your steel company's rating at ICRA has been INC for 365.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Pioneer Steels,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-06-23,365.0,ULTRA HOT,True,Infomerics,Rs. 71.50 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 365.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Kay E M Copper Pvt. Ltd.,BRICKWORK,Bank Guarantee | Non-fund-based financial facility/instrument | Term loans,D,2025-06-24,364.0,HOT,True,,12.00 | 0.20,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 364.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Mal Metalliks Pvt. Ltd. [Merged],CRISIL,Bank Guarantee | Term loans,A,2025-12-19,364.0,HOT,False,,0.76 | 1.72,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
U P L Environmental Engineers Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument,A 4,2025-06-24,364.0,HOT,True,,11.00 | 0.75,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 364.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
West Well Iron & Steel Pvt. Ltd.,CRISIL | IND-RA,Bank Guarantee | Long term Loans | Non-fund based working capital limit,A 4,2026-02-28,364.0,HOT,True,,12.75 | 3.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 364.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Abhirama Steels Ltd.,BRICKWORK | IND-RA,Term loans,D,2025-08-04,363.0,HOT,True,,1.62 | 3.80,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Accent Metals Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,D,2025-06-25,363.0,HOT,True,,21.96 | 0.40,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Alicon Castalloy Ltd.,CRISIL,Letter Of credit | Term loans,A,2025-06-25,363.0,HOT,False,,74.30 | 10.70,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ambekeshwar Steels Pvt. Ltd.,IND-RA,Term loans,B-,2025-06-25,363.0,HOT,True,,4.43,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Amerikan Steels Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BBB-,2025-06-25,363.0,HOT,False,,15.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
B M C Ferrocast Pvt. Ltd.,CRISIL,Long term Loans,B,2025-06-25,363.0,HOT,True,,13.60,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Batliboi Environmental Engineering Ltd. [Merged],ACUITE | IND-RA,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2025-07-29,363.0,HOT,True,,0.25 | 19.75,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Bhadrashree Steel & Power Ltd.,BRICKWORK | IND-RA,Non-government debt | Term loans,B,2025-06-25,363.0,HOT,True,,21.00 | 0.51,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Bhandari Steels Ltd.,CRISIL,Fund based financial facility/instrument | Letter Of credit | Long term Loans,B+,2025-06-25,363.0,HOT,True,,11.00 | 5.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Champion Rolling Mill Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,A 4+,2025-06-25,363.0,HOT,True,,14.00 | 2.34,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Emjay Steel Udyyog Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,A 4,2025-06-25,363.0,HOT,True,,15.00 | 13.80,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Gokul Steels Pvt. Ltd.,CRISIL | IND-RA,Long term Loans | Term loans,B,2026-03-18,363.0,HOT,True,,3.92 | 3.05,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Hindustan Ferro Alloy Inds. Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-06-25,363.0,HOT,True,,6.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Hy Tuf Steels Pvt. Ltd.,IND-RA,Non-fund based working capital limit | Term loans,A 4+,2025-06-25,363.0,HOT,True,,0.80 | 3.48,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
India Steel Continental Pvt. Ltd.,CARE | CRISIL | IND-RA,Bank Guarantee | Letter Of credit | Non-fund based working capital limit,A 4,2025-11-04,363.0,HOT,True,,1.50 | 19.47,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Iron Triangle Ltd.,CARE | CRISIL | ICRA,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument,A/A1,2026-02-05,363.0,HOT,True,,160.00 | 525.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL | ICRA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
L Madanlal (Aluminium) Ltd.,ACUITE | IND-RA,Letter Of credit | Non-fund based working capital limit,A 4,2026-04-15,363.0,HOT,True,,1.00 | 2.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | IND-RA has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Shri Satguru Metalloys Pvt. Ltd.,BRICKWORK,Term loans,C,2025-06-25,363.0,HOT,True,,1.96,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 363.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Kashvi Power & Steel Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB (Upgraded),2025-06-25,363.0,HOT,False,,Rs. 64.99 Cr. | Rs. 95.01 Cr.,Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
J S S Steelitalia Ltd. [Merged],ACUITE | CRISIL,Letter Of credit | Long term Loans,A 4,2025-12-10,362.0,HOT,True,,5.00 | 10.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CRISIL has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Kedar Metals Pvt. Ltd.,ACUITE | ICRA,Long term Loans | Non-fund-based financial facility/instrument,A 4,2026-03-13,362.0,HOT,True,,2.00 | 0.12,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | ICRA has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Mahamaya Steel Inds. Ltd.,CARE | ICRA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,A 4,2025-11-27,362.0,HOT,True,,36.00 | 10.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | ICRA has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Paras Bhavani Steel Pvt. Ltd.,ACUITE | CARE,Fund based financial facility/instrument | Letter Of credit | Long term Loans,D,2026-02-06,362.0,HOT,True,,22.00 | 6.68,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CARE has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Pentagon Aluminium Co. Pvt. Ltd.,CARE,Term loans,D,2025-06-26,362.0,HOT,True,,12.08,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 362.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sakthi Ferro Alloys (India) Pvt. Ltd.,CARE,Non-government debt,BB+/A4+,2025-06-26,362.0,HOT,False,,80.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Sri Ganesh Sponge Iron Private Limited,Infomerics,Long Term Bank Facilities | Long Term Bank Facilities (Proposed),IVR BBB (CE)(Reaffirmed),2025-06-26,362.0,HOT,False,,Rs. 39.33 Cr. | Rs. 8.67 Cr.,Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Apollo Metalex Ltd.,ICRA,Non-fund-based financial facility/instrument | Non-government debt,A 1+,2026-02-26,361.0,HOT,False,,68.00 | 8.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Bansal Alloys & Metals Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,A 2,2025-08-01,358.0,HOT,False,,14.20 | 3.96,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
M I T C Rolling Mill Pvt. Ltd.,ICRA,Non-government debt,BBB+/A2+,2025-06-30,358.0,HOT,False,,85.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Pradeep Stainless India Pvt. Ltd.,CRISIL,Letter Of credit | Long term Loans,A 3,2026-04-09,358.0,HOT,True,,7.00 | 3.71,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 358.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Ramnik Power & Alloys Pvt. Ltd.,CRISIL | IND-RA,Long term Loans | Non-government debt | Term loans,BBB,2025-10-08,358.0,HOT,True,,4.93 | 104.14,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 358.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Tata Steel Ltd.,CARE | IND-RA,Non-government debt | Term loans,AA+,2025-12-03,358.0,HOT,False,,13665.00 | 16165.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE | IND-RA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Sagar Metallics Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC)(Downgraded),2025-06-30,358.0,HOT,True,Infomerics,Rs. 14.57 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 180-365 days — approaching renewal,Your steel company's rating at Infomerics has been INC for 358.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
D S Alloys Pvt. Ltd.,CRISIL,Letter Of credit | Non-fund-based financial facility/instrument,A 3,2025-07-01,357.0,HOT,False,,35.00 | 4.64,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Rohit Iron & Steel (India) Pvt. Ltd.,BRICKWORK,Non-government debt,BB+/A4+,2025-07-01,357.0,HOT,True,,25.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 357.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sree Metaliks Ltd.,ACUITE,Long term Loans | Short-term loan,A 2+,2026-03-31,357.0,HOT,False,,50.00 | 200.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ACUITE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Super Iron Foundry Ltd.,BRICKWORK | CARE | CRISIL,Bank Guarantee | Term loans,A 4,2026-03-25,357.0,HOT,True,,1.79 | 1.84,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE | CRISIL has been INC for 357.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
M K K Metal Sections Pvt. Ltd.,CRISIL,Letter Of credit | Term loans,A 3,2025-07-02,356.0,HOT,False,,85.00 | 10.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
M N S Metal & Profiles Pvt. Ltd.,CRISIL,Short-term loan,A 4+,2025-07-02,356.0,HOT,False,,4.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Shree Ganesh Metaliks Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,BBB,2025-07-02,356.0,HOT,False,,191.13 | 16.50,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by BRICKWORK, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
A I C Iron Inds. Pvt. Ltd.,ACUITE | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A,2026-01-08,355.0,HOT,False,,160.00 | 83.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ACUITE | CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Astrotech Steels Pvt. Ltd.,CRISIL,Long term Loans | Term loans,BBB+,2026-04-02,355.0,HOT,False,,102.46 | 17.54,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Lall Steels Pvt. Ltd.,CARE,Non-government debt | Term loans,BB-/A4,2025-07-03,355.0,HOT,True,,8.11 | 13.55,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 355.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Manaksia Steels Ltd.,CARE,Bank Guarantee,A 2+,2025-07-21,355.0,HOT,False,,330.00 | 440.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
J S W Steel Ltd.,CARE | ICRA,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument,AA/A1+,2025-12-12,354.0,HOT,False,,11559.00 | 8372.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE | ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ratnadeep Metal & Tubes Ltd.,CRISIL | IND-RA,Bank Guarantee | Letter Of credit | Non-fund based working capital limit,A 3+,2026-04-28,354.0,HOT,True,,6.00 | 48.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | IND-RA has been INC for 354.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
S K H Metals Ltd.,ICRA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,A-/A2+,2025-07-04,354.0,HOT,False,,295.00 | 345.08,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ambey Metallic Pvt. Ltd.,ACUITE,Bank Guarantee | Letter Of credit,A 4+,2025-07-07,351.0,HOT,True,,0.35 | 18.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 351.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
B D G Polysteel Ltd.,CARE,Bank Guarantee | Letter Of credit,A 4+,2025-07-07,351.0,HOT,False,,1.62 | 7.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Eswari Global Metal Inds. Pvt. Ltd.,ACUITE,Letter Of credit | Long term Loans,A 4+,2025-07-07,351.0,HOT,True,,12.00 | 0.12,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 351.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Maan Steel & Power Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Term loans,A-,2025-07-07,351.0,HOT,False,,20.00 | 55.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Raipur Power & Steel Ltd.,CARE,Bank Guarantee | Letter Of credit | Term loans,D,2025-07-07,351.0,HOT,False,,,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Blackrock Steel & Power Private Limited,Infomerics,Long Term Bank Facility (including proposed limit of Rs. 5.00 Crore),IVR BBB- (Reaffirmed),2025-07-07,351.0,HOT,False,,Rs. 33.00 Cr. (reduced from Rs. 33.50 Cr.),Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Amba Shakti Steels Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 3+,2026-02-20,350.0,HOT,False,,16.00 | 0.50,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Dhanlaxmi Iron Inds. Pvt. Ltd.,CRISIL | ICRA,Bank Guarantee | Letter Of credit,A 4+,2025-07-30,350.0,HOT,True,,8.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | ICRA has been INC for 350.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Shyam Ferrous Ltd.,CRISIL,Non-fund-based financial facility/instrument | Term loans,A 3,2026-01-02,350.0,HOT,False,,1.21 | 30.17,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Stalwart Alloys India Ltd.,BRICKWORK,Fund based financial facility/instrument | Letter Of credit,B,2025-07-08,350.0,HOT,True,,1.07 | 20.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 350.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Mangalam Alloys Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB (Reaffirmed),2025-07-08,350.0,HOT,False,,Rs. 160.79 Cr. | Rs. 21.36 Cr.,Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Supershakti Metaliks Ltd.,CARE,Bank Guarantee,A 2,2025-07-09,349.0,HOT,False,,11.00 | 39.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Armour Steel Buildings India Pvt. Ltd.,CARE | CRISIL,Bank Guarantee | Long term Loans | Non-government debt,A 4,2025-08-12,348.0,HOT,True,,2.00 | 4.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 348.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Nilanjan Iron Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 4+,2025-07-10,348.0,HOT,True,,2.00 | 7.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 348.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Proxima Steel Forge Pvt. Ltd.,CARE,Non-fund based working capital limit | Non-government debt | Term loans,A 4,2025-07-10,348.0,HOT,False,,1.50 | 38.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Shanti Metalfab Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-11,347.0,HOT,True,,3.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 347.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Shree Krishna Rolling Mills (Jaipur) Ltd.,BRICKWORK | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Term loans,A 4,2025-12-18,347.0,HOT,True,,12.00 | 4.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL has been INC for 347.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Shritirupati Steelcast Ltd.,CRISIL,Term loans,BB+,2025-07-11,347.0,HOT,True,,11.68,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 347.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Chennai United Metal Inds. Pvt. Ltd.,BRICKWORK | CRISIL,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument,A 4+,2025-11-29,344.0,HOT,False,,16.92 | 16.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by BRICKWORK | CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Patson Steels Pvt. Ltd.,BRICKWORK | CRISIL,Fund based financial facility/instrument,B+,2025-08-28,344.0,HOT,True,,12.00 | 5.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL has been INC for 344.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sun Steel & Power Pvt. Ltd.,CRISIL,Long term Loans | Term loans,BBB+,2025-08-04,344.0,HOT,False,,4.86 | 10.64,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Calcast Ferrous Ltd.,CRISIL,Bank Guarantee | Letter Of credit,A 4+,2025-07-15,343.0,HOT,True,,4.00 | 0.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 343.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
R P Multimetals Ltd.,BRICKWORK | CARE | CRISIL,Fund based financial facility/instrument | Letter Of credit | Term loans,A 4,2025-09-17,343.0,HOT,True,,30.00 | 7.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE | CRISIL has been INC for 343.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Scan Steels Ltd.,CRISIL,Bank Guarantee | Term loans,A 2+,2025-07-15,343.0,HOT,False,,4.00 | 9.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Vraj Metaliks Pvt. Ltd.,CARE,Letter Of credit,A 3,2025-07-15,343.0,HOT,False,,10.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
G B R Metals Pvt. Ltd.,BRICKWORK | CARE,Fund based financial facility/instrument | Letter Of credit | Non-government debt,B+/A4,2025-12-22,342.0,HOT,True,,4.00 | 1.44,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE has been INC for 342.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Millenium Steel India Pvt. Ltd.,CARE | CRISIL,Letter Of credit | Long term Loans,A 4,2025-10-09,342.0,HOT,True,,16.00 | 0.75,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 342.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Sical Iron Ore Terminals Ltd.,ICRA,Long term Loans | Non-fund-based financial facility/instrument | Short-term loan,D,2025-07-16,342.0,HOT,True,,60.00 | 500.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ICRA has been INC for 342.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
