Company Name,Rating Date,Current Rater,Instrument,Grade,Rating,Days Since Rating,Urgency,Why Target,ACER Pitch Angle
Southern Power Equipment Co. Pvt. Ltd.,27-06-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,361,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 361 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ramco Extrusion Pvt. Ltd.,27-06-2025,ICRA,Term loans,High Risk,B+,361,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 361 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Zenith Precision Pvt. Ltd.,27-06-2025,ICRA,Non-government debt,High Risk,B+/A4,361,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 361 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vision Products Pvt. Ltd.,30-06-2025,ICRA,Letter Of credit,High Risk,A 4,358,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 358 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Chowgule Construction Chemicals Pvt. Ltd.,30-06-2025,ICRA,Non-government debt,Inadequate Safety,BB-/A4,358,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 358 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Therdose Pharma Pvt. Ltd.,02-07-2025,ICRA,Non-government debt,Default,D,356,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 356 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Karnataka Power Corpn. Ltd.,04-07-2025,ICRA,Term loans,High Risk,B+,354,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 354 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kaveri Infraprojects Pvt. Ltd.,04-07-2025,ICRA,Non-government debt,Inadequate Safety,BB+/A4+,354,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 354 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
T M I Healthcare Pvt. Ltd.,04-07-2025,ICRA,Fund based financial facility/instrument,High Risk,A 4,354,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 354 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Jeevaka Industries Pvt. Ltd.,08-07-2025,ICRA,Non-government debt,Inadequate Safety,BB+/A4+,350,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 350 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Dhanlaxmi Iron Inds. Pvt. Ltd.,08-07-2025,ICRA,Letter Of credit,High Risk,A 4+,350,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 350 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Satyadeeptha Pharmaceuticals Ltd.,08-07-2025,ICRA,Non-government debt,Moderate Safety,BBB-/A3,350,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 350 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Akanksha Automobiles Pvt. Ltd.,09-07-2025,ICRA,Term loans,High Risk,B+,349,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 349 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
A B Sugars Ltd.,09-07-2025,ICRA,Term loans,High Risk,B+,349,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 349 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Karanja Terminal & Logistics Pvt. Ltd.,09-07-2025,ICRA,Term loans,Default,D,349,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 349 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shree Krishna Stevedores Pvt. Ltd.,09-07-2025,ICRA,Term loans,High Risk,B+,349,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 349 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mohani Tea Leaves Pvt. Ltd.,10-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,348,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 348 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Coirfoam (India) Pvt. Ltd.,10-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,348,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 348 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Nisiki India Pvt. Ltd.,10-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,348,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 348 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Protac Foods International Pvt. Ltd.,10-07-2025,ICRA,Term loans,Default,D,348,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 348 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
S R S Ltd.,11-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,347,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 347 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Advent Enterprises Pvt. Ltd.,11-07-2025,ICRA,Term loans,Default,D,347,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 347 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
N J R Constructions Pvt. Ltd.,11-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,347,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 347 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Aplab Ltd.,11-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,347,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 347 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Emerald Alchymicus Pvt. Ltd.,11-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,347,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 347 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
G 3 Motors Ltd.,14-07-2025,ICRA,Term loans,Default,D,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Nuevo Polymers Pvt. Ltd.,14-07-2025,ICRA,Non-government debt,High Risk,B+/A4,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
K P R Agrochem Ltd.,14-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sindhu Cargo Services Pvt. Ltd.,14-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Hilltop Hirise Pvt. Ltd.,14-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Chanvim Engineering (India) Pvt. Ltd.,14-07-2025,ICRA,Term loans,High Risk,B+,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Golden Tobacco Ltd.,14-07-2025,ICRA,Term loans,Default,D,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
D R Coats Ink & Resins Pvt. Ltd.,14-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Prahlad Flour Mills Pvt. Ltd.,14-07-2025,ICRA,Term loans,High Risk,B+,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ranga Overseas Pvt. Ltd.,14-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
I L & F S Wind Energy Ltd.,14-07-2025,ICRA,Debentures / Bonds / notes / bills,Default,D,344,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 344 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sical Iron Ore Terminals Ltd.,16-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,342,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 342 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Goverdhan Transport Co. Pvt. Ltd.,16-07-2025,ICRA,Term loans,High Risk,B+,342,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 342 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
K S Infra Transmission Pvt. Ltd.,17-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,341,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 341 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Reliance Communications Ltd.,17-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,341,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 341 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Carnival Soft Pvt. Ltd.,17-07-2025,ICRA,Term loans,Default,D,341,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 341 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Reliance Infratel Ltd. [Merged],17-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,341,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 341 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ishwar Cables Pvt. Ltd.,17-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,341,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 341 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Reliance Telecom Ltd.,17-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,341,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 341 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Desein Pvt. Ltd.,18-07-2025,ICRA,Non-government debt,Default,D,340,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 340 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Prabhu Agarwalla Construction Pvt. Ltd.,18-07-2025,ICRA,Non-government debt,Default,D,340,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 340 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Prakash Oils Ltd.,18-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,340,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 340 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Daaj Hotels & Resorts Pvt. Ltd.,18-07-2025,ICRA,Term loans,Default,D,340,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 340 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Abroad Vitrified Pvt. Ltd.,18-07-2025,ICRA,Term loans,High Risk,B+,340,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 340 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vibracoustic India Pvt. Ltd.,21-07-2025,ICRA,Non-government debt,High Risk,B+/A4,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shree Gopinathji Cars Pvt. Ltd.,21-07-2025,ICRA,Term loans,High Risk,B+,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
T N A Readymix India Pvt. Ltd.,21-07-2025,ICRA,Bank Guarantee,High Risk,A 4,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Nav Shikha Polypack Inds. Pvt. Ltd.,21-07-2025,ICRA,Term loans,High Risk,B+,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Zippy Edible Products Pvt. Ltd.,21-07-2025,ICRA,Term loans,High Risk,B+,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Webfil Ltd.,21-07-2025,ICRA,Non-government debt,Substantial Risk,C+/A4,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Adilabad Expressway Pvt. Ltd.,21-07-2025,ICRA,Term loans,Default,D,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Adarsha Automotives Pvt. Ltd.,21-07-2025,ICRA,Term loans,Substantial Risk,C,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Adarsha Auto World Pvt. Ltd.,21-07-2025,ICRA,Term loans,Substantial Risk,C,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Bafna Ginning & Pressing Pvt. Ltd.,21-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,337,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 337 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Akshara Motors Pvt. Ltd.,22-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,336,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 336 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kalyani Techpark Pvt. Ltd.,22-07-2025,ICRA,Term loans,Inadequate Safety,BB+,336,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 336 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Marc Laboratories Ltd.,22-07-2025,ICRA,Term loans,High Risk,B+,336,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 336 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Uni Ads Ltd.,23-07-2025,ICRA,Term loans,High Risk,B+,335,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 335 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Global Dent Aids Pvt. Ltd.,23-07-2025,ICRA,Term loans,High Risk,B+,335,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 335 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Jadli Food (India) Pvt. Ltd.,23-07-2025,ICRA,Term loans,High Risk,B+,335,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 335 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
B Fouress Pvt. Ltd.,23-07-2025,ICRA,Non-government debt,Inadequate Safety,BB+/A4+,335,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 335 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Prehari Protection Systems Pvt. Ltd.,23-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,335,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 335 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
United Technomech Engineers Pvt. Ltd.,23-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,335,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 335 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Acme Formulation Pvt. Ltd.,24-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,334,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 334 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Rayani Spin-Tex Pvt. Ltd.,24-07-2025,ICRA,Term loans,High Risk,B,334,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 334 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Forming India Pvt. Ltd.,24-07-2025,ICRA,Term loans,High Risk,B+,334,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 334 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Chanderpur Works Pvt. Ltd.,24-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,334,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 334 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Synco Industries Ltd.,25-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Baba Akhila Saijyothi Inds. Pvt. Ltd.,25-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Amazoone Ceramics Ltd.,25-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mundhra Exim Pvt. Ltd.,25-07-2025,ICRA,Non-government debt,High Risk,B+/A4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Safeflex International Ltd.,25-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Plasmix Pvt. Ltd.,25-07-2025,ICRA,Bank Guarantee,High Risk,A 4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kalthia Infra Projects Pvt. Ltd.,25-07-2025,ICRA,Term loans,High Risk,B+,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kalthia Bhavnagar Pipli Highway Pvt. Ltd.,25-07-2025,ICRA,Non-government debt,High Risk,B+/A4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shree Umiya Cotspin Pvt. Ltd.,25-07-2025,ICRA,Term loans,High Risk,B+,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
U P Telelinks Ltd.,25-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Diach Chemicals & Pigments Pvt. Ltd.,25-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Tulip Granites Pvt. Ltd.,25-07-2025,ICRA,Non-government debt,High Risk,B+/A4,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shree Govardhan Steels Pvt. Ltd.,25-07-2025,ICRA,Term loans,High Risk,B+,333,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 333 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
D S Toll Road Ltd.,28-07-2025,ICRA,Term loans,High Risk,B,330,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 330 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Flourish Paper & Chemicals Ltd.,28-07-2025,ICRA,Term loans,Default,D,330,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 330 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Xrbia Developers Ltd.,28-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,330,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 330 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sarvodaya Polymers Pvt. Ltd.,28-07-2025,ICRA,Term loans,High Risk,B+,330,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 330 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Magna Projects Pvt. Ltd.,29-07-2025,ICRA,Non-government debt,Default,D,329,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 329 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shri Tradco India Pvt. Ltd.,29-07-2025,ICRA,Term loans,Default,D,329,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 329 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Simola Vitrified Pvt. Ltd.,30-07-2025,ICRA,Non-government debt,High Risk,B+/A4,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Assorted Plastics Pvt. Ltd.,30-07-2025,ICRA,Non-government debt,High Risk,B+/A4,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sitaram Maharaj Sakhar Karkhana (Khardi) Ltd.,30-07-2025,ICRA,Term loans,Default,D,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Saspack Ventures Pvt. Ltd.,30-07-2025,ICRA,Term loans,High Risk,B,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
B N R Infrastructure Projects Pvt. Ltd.,30-07-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Lakshanya Ventures Pvt. Ltd.,30-07-2025,ICRA,Non-government debt,Default,D,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Harsh Constructions Pvt. Ltd.,30-07-2025,ICRA,Non-government debt,High Risk,B+/A4,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mira Exim Ltd.,30-07-2025,ICRA,Non-government debt,High Risk,B+/A4,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
United Concepts & Solutions Pvt. Ltd.,30-07-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shree Raghuvanshi Fibers Pvt. Ltd.,30-07-2025,ICRA,Term loans,Default,D,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kiratpur Ner Chowk Expressway Ltd.,30-07-2025,ICRA,Term loans,Default,D,328,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 328 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Crystal Ceramic Inds. Ltd.,31-07-2025,ICRA,Term loans,High Risk,B+,327,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 327 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Finolex J-Power Systems Ltd.,01-08-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4+,326,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 326 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Aarcot Ceramic Pvt. Ltd.,07-08-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,320,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 320 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vaishnavi Bio Tech Intl. Ltd.,07-08-2025,ICRA,Non-government debt,High Risk,B+/A4,320,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 320 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Falcon Pumps Pvt. Ltd.,07-08-2025,ICRA,Bank Guarantee,High Risk,A 4+,320,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 320 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Smart Services Pvt. Ltd.,13-08-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,314,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 314 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kobe Suspension Co. Pvt. Ltd.,13-08-2025,ICRA,Non-government debt,High Risk,B+/A4,314,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 314 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
H L L Biotech Ltd.,13-08-2025,ICRA,Term loans,Default,D,314,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 314 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Unitech Cotspin Ltd.,13-08-2025,ICRA,Term loans,High Risk,B,314,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 314 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Cochin Bridge Infrastructure Co. Ltd.,13-08-2025,ICRA,Term loans,Default,D,314,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 314 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
East Hyderabad Expressway Ltd.,13-08-2025,ICRA,Term loans,Default,D,314,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 314 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
I R E O Pvt. Ltd.,13-08-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,314,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 314 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
