Company,Agencies_INC_April2026,Agency_Count,Instruments,Max_Days_Since_Rating,Urgency,Data_Source,Why_Target,ACER_Pitch
Agarwal Polysacks Ltd.,BRICKWORK,1,Letter Of credit,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Associated Appliances Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bluemax Imppex (India) Pvt. Ltd.,BRICKWORK,1,Letter Of credit,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Capital Electech Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Cyber Automobiles Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Term loans,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Entertainment City Ltd.,BRICKWORK,1,Term loans,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Gurudev Overseas Ltd.,BRICKWORK,1,Letter Of credit,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Joshi Automobiles Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
M G Housing Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument | Term loans,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Mcon Rasayan India Ltd.,ICRA,1,Term loans,81.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shree Naman Securities & Finance Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Fund based financial facility/instrument,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shree Ram Shipping Inds. Pvt. Ltd.,BRICKWORK,1,Letter Of credit | Non-fund-based financial facility/instrument,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shree Ram Vessel Scrap Pvt. Ltd.,BRICKWORK,1,Non-fund-based financial facility/instrument | Non-government debt,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Wyan Industries Pvt. Ltd.,BRICKWORK,1,Term loans,81.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Arora Udyog Ltd.,BRICKWORK,1,Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Assorted Plastics Pvt. Ltd.,BRICKWORK,1,Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Baril Marketing Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bell-O-Seal Valves Pvt. Ltd.,CARE,1,Bank Guarantee | Term loans,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bravo Agencies Pvt. Ltd.,CARE,1,Letter Of credit,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Design & Manufacturing Vista Electronics Pvt. Ltd.,CARE,1,Non-government debt,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ecomotel Hotel Ltd.,CARE,1,Term loans,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Himalayan Rolling Steel Inds. Pvt. Ltd.,BRICKWORK,1,Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Jalnidhi Bitumen Specialities Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kiranshree Hotels Pvt. Ltd.,BRICKWORK,1,Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kshema Power & Infrastructure Co. Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit | Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kwality Overseas Pvt. Ltd.,BRICKWORK,1,Non-government debt,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
M J Grain Products Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
P K Cereals Pvt. Ltd. [Merged],ACUITE,1,Long term Loans,78.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Partap Fabrics Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Plus Medicare Hospitals Pvt. Ltd.,BRICKWORK,1,Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
R S V Constructions Pvt. Ltd.,CARE,1,Bank Guarantee,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
S P G Multi Trade Pvt. Ltd.,ACUITE,1,Letter Of credit,78.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Satya Power & Ispat Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shiva Speciality Yarns Ltd.,CARE,1,Bank Guarantee | Term loans,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shivmani Exports Pvt. Ltd.,CARE,1,Bank Guarantee,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Singrauli Finlease Pvt. Ltd.,CARE,1,Bank Guarantee,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Stellence Pharmscience Pvt. Ltd.,BRICKWORK,1,Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Supreme Manor Wada Bhiwandi Infrastructure Pvt. Ltd.,CRISIL,1,Term loans,78.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
T M I Healthcare Pvt. Ltd.,BRICKWORK,1,Term loans,78.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Thenpandian Spinning Mills India Pvt. Ltd.,IND-RA,1,Non-fund based working capital limit | Term loans,78.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Uniworld Sugars Pvt. Ltd. [Merged],CARE,1,Term loans,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
V M Matere Infrastructures (India) Pvt. Ltd.,ACUITE,1,Bank Guarantee | Long term Loans | Term loans,78.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Vardhman Textile Components Ltd.,CARE,1,Term loans,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Vinishma Technologies Pvt. Ltd.,ACUITE,1,Bank Guarantee,78.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Vista Information Systems Pvt. Ltd.,CARE,1,Non-government debt,78.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Zebra Pack Pvt. Ltd.,ACUITE,1,Bank Guarantee | Letter Of credit | Long term Loans,78.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Arthanari Loom Centre (Textile) Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument | Letter Of credit | Term loans,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bagh Bahar Appliances Pvt. Ltd.,ACUITE,1,Short-term loan,77.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bhargavi Automobiles Pvt. Ltd.,CARE,1,Term loans,77.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Biop Steels & Power Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
C B C Fashions (Asia) Pvt. Ltd.,BRICKWORK,1,Term loans,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Carboline (India) Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,1,Letter Of credit | Short-term loan | Term loans,77.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Elkaypee Spinners Pvt. Ltd.,ACUITE,1,Letter Of credit | Long term Loans | Short-term loan,77.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
I S K O Strip Pvt. Ltd.,BRICKWORK,1,Term loans,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kundana Techno Tex Pvt. Ltd.,CARE,1,Non-government debt,77.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
M J Gold Pvt. Ltd.,BRICKWORK,1,Non-government debt,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Omnitech Engineering Ltd.,CARE,1,Non-fund-based financial facility/instrument | Non-government debt | Term loans,77.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
S S Chauhans Construction Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Term loans,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
S S K Infotech Pvt. Ltd.,ACUITE,1,Term loans,77.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
S V Agro Foods Pvt. Ltd.,BRICKWORK,1,Term loans,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shree Sant Kripa Appliances Pvt. Ltd.,ACUITE,1,Letter Of credit,77.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Spartan Engineering Inds. Pvt. Ltd.,ACUITE,1,Letter Of credit | Long term Loans | Term loans,77.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sunplast Electronics Pvt. Ltd.,BRICKWORK,1,Non-government debt,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sunrise Integrated Facility Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Surana Telecom & Power Ltd.,CARE,1,Bank Guarantee | Term loans,77.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Vaishno Devi Food Products Pvt. Ltd.,BRICKWORK,1,Term loans,77.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
A & T Infracon Pvt. Ltd.,IND-RA,1,Non-fund based working capital limit | Term loans,76.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Aditya Exim Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Alchemist Hospitals Ltd.,CARE,1,Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Alfa Flexitubes Pvt. Ltd.,CARE,1,Non-government debt | Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Archana Motors Pvt. Ltd.,ACUITE,1,Fund based financial facility/instrument,76.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Atul Generators Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Claris Ltd.,ACUITE,1,Bank Guarantee | Long term Loans | Term loans,76.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Durga Automotives Pvt. Ltd.,CARE,1,Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Encore Projects Pvt. Ltd.,CARE,1,Bank Guarantee | Non-government debt,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Essem Auto Electricals Pvt. Ltd.,CARE,1,Bank Guarantee | Non-government debt | Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
G M R Rajahmundry Energy Ltd.,CARE,1,Bank Guarantee | Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hema Automotive Pvt. Ltd.,ACUITE,1,Long term Loans | Term loans,76.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ishaan Bio Pvt. Ltd.,ACUITE,1,Long term Loans | Term loans,76.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
K G N Motors Pvt. Ltd.,CARE,1,Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
K I Z Foods Pvt. Ltd.,BRICKWORK,1,Term loans,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Khushbu Dye-Chem Pvt. Ltd.,CRISIL,1,Letter Of credit,76.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kushal Timber Pvt. Ltd.,BRICKWORK,1,Letter Of credit,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Machine Tools (India) Ltd.,CARE,1,Non-government debt,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Maple Computer & Communication Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Marbaniang Projects Pvt. Ltd.,BRICKWORK,1,Term loans,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
N T F (India) Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Pasari Multiprojects Pvt. Ltd.,BRICKWORK,1,Term loans,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Pink City Expressway Pvt. Ltd.,CARE,1,Bank Guarantee | Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
R A Shaikh Paper Mills Pvt. Ltd.,CARE,1,Bank Guarantee,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
R S H Agro Products Ltd.,ACUITE,1,Letter Of credit | Term loans,76.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ravindra Heraeus Pvt. Ltd.,CARE,1,Bank Guarantee,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Rawalwasia Textile Inds. Pvt. Ltd.,CARE,1,Non-government debt,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sandwoods Infratech Projects Pvt. Ltd.,BRICKWORK,1,Term loans,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sangita Sales Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument | Letter Of credit,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sree Astalaxmi Spinning Mills Pvt. Ltd.,CARE,1,Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sri Venkata Srinivasa Oils Pvt. Ltd.,CARE,1,Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sumeet Facilities Ltd.,BRICKWORK,1,Bank Guarantee | Term loans,76.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Supermint Exports Pvt. Ltd.,CARE,1,Non-government debt | Short-term loan | Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
T C Motors Pvt. Ltd.,CARE,1,Fund based financial facility/instrument | Term loans,76.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Abhijit Auto Agency India Pvt. Ltd.,CRISIL,1,Fund based financial facility/instrument,75.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Alom Extrusions Ltd.,ACUITE,1,Bank Guarantee | Letter Of credit,75.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Anvitha Life Care Pvt. Ltd.,CRISIL,1,Term loans,75.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Archon Powerinfra India Pvt. Ltd.,CRISIL,1,Bank Guarantee,75.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Aries Corporate Services Pvt. Ltd.,CARE,1,Non-government debt,75.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
C Gems & Jewels Pvt. Ltd.,BRICKWORK,1,Term loans,75.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Capital Record Centre Pvt. Ltd.,CRISIL,1,Bank Guarantee | Term loans,75.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Dnyanyogi Shri Shivkumar Swamiji Sugars Ltd.,ACUITE,1,Bank Guarantee | Term loans,75.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Essal Infrastructure Pvt. Ltd.,ACUITE,1,Bank Guarantee | Long term Loans,75.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Etco Denim Pvt. Ltd.,CARE,1,Bank Guarantee | Non-government debt | Term loans,75.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Florind Shoes Pvt. Ltd.,ACUITE,1,Letter Of credit,75.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
G P C Infrastructure Ltd.,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument,75.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Goel Ganga India Pvt. Ltd.,ACUITE,1,Long term Loans | Term loans,75.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Gowthami Solvent Oils Pvt. Ltd.,CARE,1,Non-government debt | Term loans,75.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,1,Long term Loans | Term loans,75.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
