Company Name,Current Rating Agency,Instrument,Instrument Type,Rating,Rating Date,Days Since Rating,Urgency,Amount Cr,Sector,Why Target,ACER Pitch
Kings International Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-10-07,260.0,HOT,1.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kiran Udyog Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-07-23,336.0,HOT,79.72,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kiranshree Hotels Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-04-06,79.0,LOW,23.00,Hotels/Tourism,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kirti Infrastructures Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-01-19,156.0,MEDIUM,15.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kirti Stampings Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-04-10,75.0,LOW,2.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kirtiman Cements & Packaging Inds. Ltd.,Brickwork,Term loans,Term Loan,D,2026-02-18,126.0,MEDIUM,2.32,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kisaan Steels Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-06,110.0,MEDIUM,0.40,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kisan Oleochem & Derivatives Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B+,2026-04-09,76.0,LOW,6.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kodai Cars Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-09-10,287.0,HOT,2.00,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kohinoor Feeds & Fats Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-09-03,294.0,HOT,,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kohinoor India Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-02-18,126.0,MEDIUM,0.30,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Konark Structural Engineers Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-04-02,83.0,LOW,60.00,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Konkan Infra & Engg. Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B,2025-09-26,271.0,HOT,0.66,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Konkan Mango Processing (Ratnagiri) Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-10-28,239.0,HOT,10.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kopmelt Extrusions Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-08-21,307.0,HOT,2.10,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kosas Exports Ltd.,Brickwork,Term loans,Term Loan,D,2026-01-09,166.0,MEDIUM,6.65,Trading/Exports,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kosas Industries Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2026-01-02,173.0,MEDIUM,19.76,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kosmo Plastic Exports Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,A 4,2026-02-25,119.0,MEDIUM,4.55,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kotak Petro-Chem Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-02-17,127.0,MEDIUM,25.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kotsons Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-06-16,373.0,ULTRA HOT,31.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kottex Industries Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-03-27,89.0,LOW,42.37,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kousthuba Spinners Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-10-17,250.0,HOT,12.20,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kridhan Infra Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-06-09,380.0,ULTRA HOT,12.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Krisha Distribution Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-04-01,84.0,LOW,4.50,Energy,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Krishna Tissues Pvt. Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,A 4,2025-05-28,392.0,ULTRA HOT,68.27,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Krishu Motor Craft Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-09,411.0,ULTRA HOT,3.14,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kshema Power & Infrastructure Co. Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-04-06,79.0,LOW,35.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kunturkar Sugar & Agro Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-10-24,243.0,HOT,62.50,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kusalava Motors Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-30,390.0,ULTRA HOT,1.56,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kushal Timber Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-04-08,77.0,LOW,33.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kute Sons Dairys Ltd.,Brickwork,Term loans,Term Loan,D,2025-11-20,216.0,HOT,40.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Kwality Overseas Pvt. Ltd.,Brickwork,Non-government debt,NCD,D,2026-04-06,79.0,LOW,15.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
L M C S Maritime Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-06-17,372.0,ULTRA HOT,250.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
L N Malviya Infra Projects Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-28,392.0,ULTRA HOT,4.80,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
L T S Plastics (India) Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-12-26,180.0,HOT,5.50,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
La Reliant Aluminium Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-06-06,383.0,ULTRA HOT,1.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Labdhi International Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-26,90.0,MEDIUM,2.50,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lake Chemicals Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-24,92.0,MEDIUM,2.50,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lakeland Chemicals (India) Ltd.,Brickwork,Term loans,Term Loan,D,2026-03-26,90.0,MEDIUM,29.30,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lakhpat Trading & Inds. Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-07-17,342.0,HOT,55.50,Trading/Exports,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lakra Industries Ltd.,Brickwork,Term loans,Term Loan,D,2025-05-08,412.0,ULTRA HOT,1.40,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lakshmi Car Zone Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-11-13,223.0,HOT,0.26,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lakshmi Float Glass Ltd.,Brickwork,Term loans,Term Loan,B,2025-07-03,356.0,HOT,10.94,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lakshmi Precision Screws Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2026-03-24,92.0,MEDIUM,90.70,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lamina Suspension Products Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-07-03,356.0,HOT,1.25,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lanco Devihalli Highways Ltd.,Brickwork,Term loans,Term Loan,D,2025-08-07,321.0,HOT,329.76,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lanco Hills Technology Park Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-09-12,285.0,HOT,922.54,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lark Projects Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-07-04,355.0,HOT,20.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Las Cargo Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-12-15,191.0,HOT,16.00,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lasenor India Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-10-30,237.0,HOT,7.10,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Le Waterina Resorts & Hotels Ltd.,Brickwork,Term loans,Term Loan,D,2026-03-05,111.0,MEDIUM,11.00,Hotels/Tourism,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Leela Krishna Automobiles Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,D,2025-11-07,229.0,HOT,19.50,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Leela Ship Recycling Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-07-31,328.0,HOT,150.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Legency Remedies Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-26,90.0,MEDIUM,0.25,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lemon Electronics Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-07-21,338.0,HOT,47.50,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lexicon Commercial Enterprises Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2025-07-31,328.0,HOT,10.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lexus Granito (India) Ltd.,Brickwork,Term loans,Term Loan,D,2025-08-22,306.0,HOT,25.20,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lifeline Medical Devices Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-14,406.0,ULTRA HOT,4.81,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lifeline Multi-Ventures Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-22,398.0,ULTRA HOT,35.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lifespan Biotech Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-11-11,225.0,HOT,10.70,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Limitorque India Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-24,92.0,MEDIUM,1.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lingraj Steel & Power Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-06-10,379.0,ULTRA HOT,5.00,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Livindia Infra Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-07-15,344.0,HOT,14.50,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lohiya Edible Oils Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-03-17,99.0,MEDIUM,142.50,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lord Balaji Warehousing Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-09-18,279.0,HOT,7.48,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lord Shiva Construction Co. Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-12-22,184.0,HOT,12.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lords Chloro Alkali Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-16,404.0,ULTRA HOT,20.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lorenzo Vitrified Tiles Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-06-19,370.0,ULTRA HOT,6.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Luna Chemical Inds. Pvt. Ltd.,Brickwork,Term loans,Term Loan,B-,2026-03-26,90.0,MEDIUM,8.55,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Lyrus Life Sciences Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-09-18,279.0,HOT,2.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M A Sarsinsa Steels Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-05-06,414.0,ULTRA HOT,5.00,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M B Garments (India) Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-10-23,244.0,HOT,0.70,Textiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M C O Hospital Aids Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-07-17,342.0,HOT,0.70,Healthcare,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M D Hygiene Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-08-19,309.0,HOT,3.31,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M D J Texco Fab Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-21,399.0,ULTRA HOT,1.90,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M E P Infrastructure Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2026-03-11,105.0,MEDIUM,2339.60,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M G Chariots Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2025-10-29,238.0,HOT,12.50,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M G Housing Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-04-03,82.0,LOW,92.36,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M J Gold Pvt. Ltd.,Brickwork,Non-government debt,NCD,B-,2026-04-07,78.0,LOW,12.00,Jewellery,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M J Grain Products Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-04-06,79.0,LOW,0.50,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M K B Foods Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-03-13,103.0,MEDIUM,2.60,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M M Shawl Engineers & Contractors Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-02-18,126.0,MEDIUM,25.00,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M M Yarns Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B,2025-10-15,252.0,HOT,99.00,Textiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M R M C Foods Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-10-24,243.0,HOT,6.45,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M R Pro Tech Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-02-20,124.0,MEDIUM,5.00,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M R Proview Real Tech Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-06-12,377.0,ULTRA HOT,69.80,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M S Agarwal Foundries Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,BB,2025-11-24,212.0,HOT,,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M S Industries & Spirits Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-08-29,299.0,HOT,14.29,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
M S Khurana Engg. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-10-28,239.0,HOT,275.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ma Shantimoyee Rice Mill Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-09-03,294.0,HOT,0.71,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Maa Chinnamasta Food Processor Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-01-29,146.0,MEDIUM,1.15,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Maa Kali Alloys Udyog Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-03-05,111.0,MEDIUM,11.88,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Madhav Engineers Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-06-25,364.0,HOT,24.50,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Madhav Tex Spin Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-17,99.0,MEDIUM,3.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Madhucon Granites Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-11-27,209.0,HOT,1.00,Mining/Minerals,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Madhuram Industries Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-07-25,334.0,HOT,1.21,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Magnum Spinning Mills India Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-02-27,117.0,MEDIUM,24.95,Textiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mago Construction Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-07-22,337.0,HOT,7.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Magppie International Ltd.,Brickwork,Term loans,Term Loan,D,2026-02-24,120.0,MEDIUM,2.02,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Maha Active Engineers India Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-08-21,307.0,HOT,22.90,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahabir Jute Mills Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-06-05,384.0,ULTRA HOT,3.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahadev Prestressed Products Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-06-09,380.0,ULTRA HOT,2.00,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahajan Overseas Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-04-10,75.0,LOW,0.25,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahakali Motors Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-22,398.0,ULTRA HOT,0.10,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahalakshmi Profiles Pvt. Ltd.,Brickwork,Term loans,Term Loan,B,2025-07-08,351.0,HOT,23.47,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahalaxmi Associates Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-07-08,351.0,HOT,29.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahalaxmi Commercial Services Pvt. Ltd.,Brickwork,Term loans,Term Loan,B-,2025-09-19,278.0,HOT,42.11,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahalaxmi Crafts & Tissues Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-03-24,92.0,MEDIUM,5.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahalaxmi India Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-06-12,377.0,ULTRA HOT,28.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahalaxmi Polypack Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,BB,2026-03-06,110.0,MEDIUM,21.44,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Maharaja Roller Flour Mills Jalna Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-05-23,397.0,ULTRA HOT,6.75,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Maharashtra Electro-Mechanical Works Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-24,92.0,MEDIUM,1.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahathi Infra Services Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-11-11,225.0,HOT,19.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahendra Pumps Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-08-29,299.0,HOT,5.00,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Maheshwari Fabtex Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-06-24,365.0,ULTRA HOT,5.13,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Mahip Industries Ltd.,Brickwork,Term loans,Term Loan,D,2025-12-08,198.0,HOT,7.29,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Man Structurals Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,BB,2025-07-03,356.0,HOT,78.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
