Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,INC_Flag,Urgency,Months_Since_Rating,Days_Since_Rating,is_INC,Category
Fairdeal Agencies Pvt. Ltd.,2025-06-10,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,6.95,Y,HIGH,12.5,375.0,True,ULTRA HOT
Fastway Transmissions Pvt. Ltd.,2025-06-10,CRISIL,Long term Loans,High Risk,B,Reaffirmed,37.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Fastway Transmissions Pvt. Ltd.,2025-06-10,CRISIL,Term loans,High Risk,B,Reaffirmed,120.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Fauji Exim Pvt. Ltd.,2025-05-22,CRISIL,Short-term loan,High Risk,A 4,Reaffirmed,21.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
Fex Foundry Alloys Pvt. Ltd.,2025-06-09,CRISIL,Letter Of credit,High Risk,A 4+,Reaffirmed,5.00,Y,HIGH,12.5,376.0,True,ULTRA HOT
Fex Foundry Alloys Pvt. Ltd.,2025-06-09,CRISIL,Long term Loans,Inadequate Safety,BB+,Reaffirmed,4.60,Y,HIGH,12.5,376.0,True,ULTRA HOT
Finvent Finance & Invts. Ltd.,2025-06-10,CRISIL,Long term Loans,High Risk,B-,Downgraded,21.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Firozabad Ceramics Pvt. Ltd.,2025-05-26,CRISIL,Long term Loans,Default,D,Reaffirmed,4.00,Y,HIGH,13.0,390.0,True,ULTRA HOT
Firozabad Ceramics Pvt. Ltd.,2025-05-26,CRISIL,Long term Loans,Default,D,Reaffirmed,1.80,Y,HIGH,13.0,390.0,True,ULTRA HOT
Frontier Springs Ltd.,2025-05-20,CRISIL,Bank Guarantee,High Risk,A 4,Withdrawn,4.00,Y,HIGH,13.2,396.0,True,ULTRA HOT
Frontier Springs Ltd.,2025-05-20,CRISIL,Letter Of credit,High Risk,A 4,Withdrawn,6.00,Y,HIGH,13.2,396.0,True,ULTRA HOT
Frontier Springs Ltd.,2025-05-20,CRISIL,Long term Loans,High Risk,B,Withdrawn,1.02,Y,HIGH,13.2,396.0,True,ULTRA HOT
Frontier Springs Ltd.,2025-05-20,CRISIL,Term loans,High Risk,B,Withdrawn,5.50,Y,HIGH,13.2,396.0,True,ULTRA HOT
Frontier Springs Ltd.,2025-05-20,CRISIL,Term loans,High Risk,B,Withdrawn,2.23,Y,HIGH,13.2,396.0,True,ULTRA HOT
Frontier Trucks Pvt. Ltd.,2025-06-10,CRISIL,Long term Loans,High Risk,B,Downgraded,16.09,Y,HIGH,12.5,375.0,True,ULTRA HOT
Frontier Trucks Pvt. Ltd.,2025-06-10,CRISIL,Term loans,High Risk,B,Downgraded,0.91,Y,HIGH,12.5,375.0,True,ULTRA HOT
G K Plastics Pvt. Ltd.,2025-06-12,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.16,Y,HIGH,12.4,373.0,True,ULTRA HOT
G L Metallica Pvt. Ltd.,2025-06-12,CRISIL,Term loans,High Risk,B,Reaffirmed,1.11,Y,HIGH,12.4,373.0,True,ULTRA HOT
G L S Infratech Pvt. Ltd.,2025-05-22,CRISIL,Bank Guarantee,High Risk,A 4+,Upgraded,24.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
G L S Infratech Pvt. Ltd.,2025-05-22,CRISIL,Term loans,Inadequate Safety,BB+,Reaffirmed,34.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
G M R Spintex Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,Default,D,Reaffirmed,29.25,Y,HIGH,13.1,393.0,True,ULTRA HOT
G M R Spintex Pvt. Ltd.,2025-05-23,CRISIL,Term loans,Default,D,Reaffirmed,11.50,Y,HIGH,13.1,393.0,True,ULTRA HOT
G S M Mega Infrastructures Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,Default,D,Reaffirmed,60.00,Y,HIGH,13.1,393.0,True,ULTRA HOT
G T F C Pvt. Ltd.,2025-05-26,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,5.00,Y,HIGH,13.0,390.0,True,ULTRA HOT
Gagan Wine Trade & Financers Ltd.,2025-06-12,CRISIL,Long term Loans,Default,D,Reaffirmed,8.00,Y,HIGH,12.4,373.0,True,ULTRA HOT
Geetha Krishna Spg. Mills Pvt. Ltd.,2025-05-26,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,5.00,Y,HIGH,13.0,390.0,True,ULTRA HOT
Gemini Engi-Fab Pvt. Ltd.,2025-05-14,CRISIL,Bank Guarantee,High Risk,A 4+,Reaffirmed,1.50,Y,HIGH,13.4,402.0,True,ULTRA HOT
Gharpure Engineering & Constructions Pvt. Ltd.,2025-05-22,CRISIL,Bank Guarantee,High Risk,A 4,Downgraded,51.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
Gharpure Engineering & Constructions Pvt. Ltd.,2025-05-22,CRISIL,Letter Of credit,High Risk,A 4,Downgraded,17.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
Ghaziabad Ship Breakers Pvt. Ltd.,2025-05-22,CRISIL,Letter Of credit,High Risk,A 4,Downgraded,122.55,Y,HIGH,13.1,394.0,True,ULTRA HOT
Ghaziabad Ship Breakers Pvt. Ltd.,2025-05-22,CRISIL,Non-fund-based financial facility/instrument,High Risk,A 4,Downgraded,3.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
Global Engineers Ltd.,2025-06-10,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,19.50,Y,HIGH,12.5,375.0,True,ULTRA HOT
Global Engineers Ltd.,2025-06-10,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,4.50,Y,HIGH,12.5,375.0,True,ULTRA HOT
Global Engineers Ltd.,2025-06-10,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,0.50,Y,HIGH,12.5,375.0,True,ULTRA HOT
Goel Road Carriers Pvt. Ltd.,2025-05-30,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.50,Y,HIGH,12.9,386.0,True,ULTRA HOT
Goel Road Carriers Pvt. Ltd.,2025-05-30,CRISIL,Term loans,High Risk,B+,Reaffirmed,6.44,Y,HIGH,12.9,386.0,True,ULTRA HOT
Gokul Mamra Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,High Risk,B,Reaffirmed,0.20,Y,HIGH,13.1,393.0,True,ULTRA HOT
Good Morning India Media Pvt. Ltd.,2025-05-09,CRISIL,Term loans,High Risk,B,Reaffirmed,0.15,Y,HIGH,13.6,407.0,True,ULTRA HOT
Gopimal Kaur Sain Inds. Pvt. Ltd.,2025-05-26,CRISIL,Long term Loans,Default,D,Reaffirmed,28.00,Y,HIGH,13.0,390.0,True,ULTRA HOT
Green Agro Pack Pvt. Ltd.,2025-05-14,CRISIL,Letter Of credit,Default,D,Reaffirmed,1.00,Y,HIGH,13.4,402.0,True,ULTRA HOT
Green Agro Pack Pvt. Ltd.,2025-05-14,CRISIL,Term loans,Default,D,Reaffirmed,6.00,Y,HIGH,13.4,402.0,True,ULTRA HOT
Green Shield Enterprises Pvt. Ltd.,2025-06-12,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,1.00,Y,HIGH,12.4,373.0,True,ULTRA HOT
Green Shield Enterprises Pvt. Ltd.,2025-06-12,CRISIL,Short-term loan,High Risk,A 4,Reaffirmed,5.50,Y,HIGH,12.4,373.0,True,ULTRA HOT
Gujarat Pickers Industries Ltd.,2025-05-29,CRISIL,Bank Guarantee,High Risk,A 4+,Reaffirmed,8.50,Y,HIGH,12.9,387.0,True,ULTRA HOT
Gujarat Pickers Industries Ltd.,2025-05-29,CRISIL,Non-fund-based financial facility/instrument,High Risk,A 4+,Reaffirmed,1.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Gujarat Pickers Industries Ltd.,2025-05-29,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB+,Reaffirmed,40.50,Y,HIGH,12.9,387.0,True,ULTRA HOT
Gujarat Raffia Inds. Ltd.,2025-05-31,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,3.00,Y,HIGH,12.8,385.0,True,ULTRA HOT
Gujarat Raffia Inds. Ltd.,2025-05-31,CRISIL,Long term Loans,High Risk,B,Reaffirmed,4.00,Y,HIGH,12.8,385.0,True,ULTRA HOT
H F Metalart Pvt. Ltd.,2025-05-21,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,7.00,Y,HIGH,13.2,395.0,True,ULTRA HOT
H N Construction Pvt. Ltd.,2025-05-21,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,25.00,Y,HIGH,13.2,395.0,True,ULTRA HOT
H N Construction Pvt. Ltd.,2025-05-21,CRISIL,Long term Loans,High Risk,B,Reaffirmed,5.00,Y,HIGH,13.2,395.0,True,ULTRA HOT
H N Construction Pvt. Ltd.,2025-05-21,CRISIL,Short-term loan,High Risk,A 4,Reaffirmed,15.00,Y,HIGH,13.2,395.0,True,ULTRA HOT
H R Rice Mills Pvt. Ltd.,2025-05-21,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.19,Y,HIGH,13.2,395.0,True,ULTRA HOT
H R Rice Mills Pvt. Ltd.,2025-05-21,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,1.78,Y,HIGH,13.2,395.0,True,ULTRA HOT
H R Rice Mills Pvt. Ltd.,2025-05-21,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,0.21,Y,HIGH,13.2,395.0,True,ULTRA HOT
Hansraj Agrofresh Pvt. Ltd.,2025-06-16,CRISIL,Long term Loans,Default,D,Reaffirmed,3.46,Y,HIGH,12.3,369.0,True,ULTRA HOT
Hanumat Wires Udyog Pvt. Ltd.,2025-06-19,CRISIL,Long term Loans,High Risk,B,Reaffirmed,0.66,Y,HIGH,12.2,366.0,True,ULTRA HOT
Hassia Packaging Pvt. Ltd.,2025-06-19,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,5.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
Hassia Packaging Pvt. Ltd.,2025-06-19,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,1.50,Y,HIGH,12.2,366.0,True,ULTRA HOT
Health-Tech Chhattisgarh Pvt. Ltd.,2025-05-21,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,4.80,Y,HIGH,13.2,395.0,True,ULTRA HOT
Health-Tech Chhattisgarh Pvt. Ltd.,2025-05-21,CRISIL,Term loans,High Risk,B,Reaffirmed,2.00,Y,HIGH,13.2,395.0,True,ULTRA HOT
Heligo Charters Pvt. Ltd.,2025-05-30,CRISIL,Bank Guarantee,High Risk,A 4+,Downgraded,24.00,Y,HIGH,12.9,386.0,True,ULTRA HOT
High Range Coffee Curring Pvt. Ltd.,2025-05-21,CRISIL,Long term Loans,High Risk,B,Reaffirmed,1.45,Y,HIGH,13.2,395.0,True,ULTRA HOT
Hild Energy Pvt. Ltd.,2025-05-21,CRISIL,Bank Guarantee,High Risk,A 4,Downgraded,82.67,Y,HIGH,13.2,395.0,True,ULTRA HOT
Hild Energy Pvt. Ltd.,2025-05-21,CRISIL,Letter Of credit,High Risk,A 4,Downgraded,203.90,Y,HIGH,13.2,395.0,True,ULTRA HOT
Hild Energy Pvt. Ltd.,2025-05-21,CRISIL,Long term Loans,High Risk,B,Downgraded,13.33,Y,HIGH,13.2,395.0,True,ULTRA HOT
Hitech Cellphone Pvt. Ltd.,2025-06-19,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,10.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
I A P Co. Pvt. Ltd.,2025-06-19,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,2.25,Y,HIGH,12.2,366.0,True,ULTRA HOT
I A P Co. Pvt. Ltd.,2025-06-19,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,6.92,Y,HIGH,12.2,366.0,True,ULTRA HOT
I A P Co. Pvt. Ltd.,2025-06-19,CRISIL,Term loans,High Risk,B+,Reaffirmed,8.83,Y,HIGH,12.2,366.0,True,ULTRA HOT
I Q F Foods Pvt. Ltd.,2025-05-22,CRISIL,Term loans,High Risk,B,Reaffirmed,1.60,Y,HIGH,13.1,394.0,True,ULTRA HOT
Imperial Fragrances Pvt. Ltd.,2025-05-21,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.12,Y,HIGH,13.2,395.0,True,ULTRA HOT
Imperial Fragrances Pvt. Ltd.,2025-05-21,CRISIL,Fund based financial facility/instrument,High Risk,B,Reaffirmed,8.63,Y,HIGH,13.2,395.0,True,ULTRA HOT
Imperial Fragrances Pvt. Ltd.,2025-05-21,CRISIL,Long term Loans,High Risk,B,Reaffirmed,1.25,Y,HIGH,13.2,395.0,True,ULTRA HOT
Imperial Malts Ltd.,2025-05-28,CRISIL,Bank Guarantee,High Risk,A 4+,Reaffirmed,2.00,Y,HIGH,12.9,388.0,True,ULTRA HOT
Imperial Malts Ltd.,2025-05-28,CRISIL,Term loans,High Risk,A 4+,Reaffirmed,1.50,Y,HIGH,12.9,388.0,True,ULTRA HOT
Imperial Malts Ltd.,2025-05-28,CRISIL,Long term Loans,Inadequate Safety,BB,Reaffirmed,15.25,Y,HIGH,12.9,388.0,True,ULTRA HOT
Indian Metals & Alloys Mfg. Co. Pvt. Ltd.,2025-05-19,CRISIL,Bank Guarantee,High Risk,A 4,Downgraded,1.40,Y,HIGH,13.2,397.0,True,ULTRA HOT
Indian Metals & Alloys Mfg. Co. Pvt. Ltd.,2025-05-19,CRISIL,Letter Of credit,High Risk,A 4,Downgraded,12.60,Y,HIGH,13.2,397.0,True,ULTRA HOT
Indica Conveyors Ltd.,2025-06-19,CRISIL,Bank Guarantee,Default,D,Reaffirmed,9.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
Indica Conveyors Ltd.,2025-06-19,CRISIL,Letter Of credit,Default,D,Reaffirmed,6.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
Indo Brine Inds. Ltd.,2025-06-19,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,2.60,Y,HIGH,12.2,366.0,True,ULTRA HOT
Indo Brine Inds. Ltd.,2025-06-19,CRISIL,Long term Loans,High Risk,B,Reaffirmed,2.40,Y,HIGH,12.2,366.0,True,ULTRA HOT
Indomobil Sales & Services Pvt. Ltd.,2025-06-19,CRISIL,Long term Loans,High Risk,B,Reaffirmed,1.25,Y,HIGH,12.2,366.0,True,ULTRA HOT
Indus Pharma Pvt. Ltd.,2025-05-19,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,3.50,Y,HIGH,13.2,397.0,True,ULTRA HOT
Indus Pharma Pvt. Ltd.,2025-05-19,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,0.55,Y,HIGH,13.2,397.0,True,ULTRA HOT
Indus Pharma Pvt. Ltd.,2025-05-19,CRISIL,Term loans,High Risk,B+,Reaffirmed,7.70,Y,HIGH,13.2,397.0,True,ULTRA HOT
Induss Food Products & Equipments Ltd.,2025-05-08,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB+,Downgraded,5.30,Y,HIGH,13.6,408.0,True,ULTRA HOT
Instinct Infra & Power Ltd.,2025-05-09,CRISIL,Bank Guarantee,High Risk,A 4+,Reaffirmed,10.00,Y,HIGH,13.6,407.0,True,ULTRA HOT
Institute Of Gastro & Kidney Care Pvt. Ltd.,2025-06-12,CRISIL,Long term Loans,High Risk,B+,Upgraded,68.01,Y,HIGH,12.4,373.0,True,ULTRA HOT
Integra Automation Pvt. Ltd.,2025-06-09,CRISIL,Long term Loans,Inadequate Safety,BB+,Downgraded,20.28,Y,HIGH,12.5,376.0,True,ULTRA HOT
Integra Automation Pvt. Ltd.,2025-06-09,CRISIL,Term loans,Inadequate Safety,BB+,Downgraded,34.72,Y,HIGH,12.5,376.0,True,ULTRA HOT
International Switchgears Pvt. Ltd.,2025-05-19,CRISIL,Bank Guarantee,High Risk,A 4,Downgraded,1.00,Y,HIGH,13.2,397.0,True,ULTRA HOT
International Switchgears Pvt. Ltd.,2025-05-19,CRISIL,Long term Loans,High Risk,B,Downgraded,25.00,Y,HIGH,13.2,397.0,True,ULTRA HOT
J C Infra Corporation Ltd.,2025-06-24,CRISIL,Bank Guarantee,High Risk,A 4+,Downgraded,23.60,Y,HIGH,12.0,361.0,True,ULTRA HOT
J C Infra Corporation Ltd.,2025-06-24,CRISIL,Non-fund-based financial facility/instrument,High Risk,A 4+,Downgraded,10.40,Y,HIGH,12.0,361.0,True,ULTRA HOT
J C Infra Corporation Ltd.,2025-06-24,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB+,Downgraded,2.10,Y,HIGH,12.0,361.0,True,ULTRA HOT
J C O Gas Pipe Ltd.,2025-05-16,CRISIL,Long term Loans,High Risk,B,Reaffirmed,15.00,Y,HIGH,13.3,400.0,True,ULTRA HOT
J M J Finance Ltd.,2025-05-19,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,10.00,Y,HIGH,13.2,397.0,True,ULTRA HOT
J M K Motors Pvt. Ltd.,2025-06-20,CRISIL,Fund based financial facility/instrument,High Risk,B+,Reaffirmed,7.00,Y,HIGH,12.2,365.0,True,ULTRA HOT
J M K Motors Pvt. Ltd.,2025-06-20,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,1.55,Y,HIGH,12.2,365.0,True,ULTRA HOT
J M K Motors Pvt. Ltd.,2025-06-20,CRISIL,Term loans,High Risk,B+,Reaffirmed,4.20,Y,HIGH,12.2,365.0,True,ULTRA HOT
Jabalpur Hospital & Research Centre Pvt. Ltd.,2025-05-15,CRISIL,Term loans,High Risk,B-,Reaffirmed,5.50,Y,HIGH,13.4,401.0,True,ULTRA HOT
Jagdamba Timbers Pvt. Ltd.,2025-06-19,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,9.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
Jai Surgicals Ltd.,2025-05-15,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.60,Y,HIGH,13.4,401.0,True,ULTRA HOT
Jai Surgicals Ltd.,2025-05-15,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,0.60,Y,HIGH,13.4,401.0,True,ULTRA HOT
Jaidayal Hitex Pvt. Ltd.,2025-05-06,CRISIL,Letter Of credit,High Risk,A 4+,Downgraded,4.85,Y,HIGH,13.7,410.0,True,ULTRA HOT
Jaidayal Hitex Pvt. Ltd.,2025-05-06,CRISIL,Term loans,Inadequate Safety,BB+,Downgraded,39.45,Y,HIGH,13.7,410.0,True,ULTRA HOT
Jaideep India Pvt. Ltd.,2025-05-22,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.40,Y,HIGH,13.1,394.0,True,ULTRA HOT
Jaideep India Pvt. Ltd.,2025-05-22,CRISIL,Long term Loans,High Risk,B,Reaffirmed,19.10,Y,HIGH,13.1,394.0,True,ULTRA HOT
Jaideep India Pvt. Ltd.,2025-05-22,CRISIL,Term loans,High Risk,B,Reaffirmed,10.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
Jama Corporation Pvt. Ltd.,2025-06-20,CRISIL,Bank Guarantee,High Risk,A 4,Withdrawn,0.45,Y,HIGH,12.2,365.0,True,ULTRA HOT
Jama Corporation Pvt. Ltd.,2025-06-20,CRISIL,Fund based financial facility/instrument,High Risk,B,Withdrawn,8.50,Y,HIGH,12.2,365.0,True,ULTRA HOT
Jani Sales Pvt. Ltd.,2025-06-16,CRISIL,Bank Guarantee,High Risk,A 4,Downgraded,4.11,Y,HIGH,12.3,369.0,True,ULTRA HOT
Jani Sales Pvt. Ltd.,2025-06-16,CRISIL,Fund based financial facility/instrument,High Risk,B,Downgraded,20.00,Y,HIGH,12.3,369.0,True,ULTRA HOT
Jani Sales Pvt. Ltd.,2025-06-16,CRISIL,Long term Loans,High Risk,B,Downgraded,18.25,Y,HIGH,12.3,369.0,True,ULTRA HOT
Jani Sales Pvt. Ltd.,2025-06-16,CRISIL,Term loans,High Risk,B,Downgraded,25.00,Y,HIGH,12.3,369.0,True,ULTRA HOT
Jaymala Spintex Ltd.,2025-05-19,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,2.40,Y,HIGH,13.2,397.0,True,ULTRA HOT
Jaymala Spintex Ltd.,2025-05-19,CRISIL,Term loans,High Risk,B-,Reaffirmed,16.10,Y,HIGH,13.2,397.0,True,ULTRA HOT
Jewel Consumer Care Pvt. Ltd.,2025-06-06,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB,Withdrawn,1.75,Y,HIGH,12.6,379.0,True,ULTRA HOT
Jewel Consumer Care Pvt. Ltd.,2025-06-06,CRISIL,Long term Loans,Inadequate Safety,BB,Withdrawn,52.75,Y,HIGH,12.6,379.0,True,ULTRA HOT
Joarder Rice Mill Pvt. Ltd.,2025-06-16,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.60,Y,HIGH,12.3,369.0,True,ULTRA HOT
Joarder Rice Mill Pvt. Ltd.,2025-06-16,CRISIL,Long term Loans,High Risk,B,Reaffirmed,1.40,Y,HIGH,12.3,369.0,True,ULTRA HOT
K A I International Pvt. Ltd.,2025-05-16,CRISIL,Fund based financial facility/instrument,High Risk,B,Downgraded,61.00,Y,HIGH,13.3,400.0,True,ULTRA HOT
K A I International Pvt. Ltd.,2025-05-16,CRISIL,Long term Loans,High Risk,B,Downgraded,4.17,Y,HIGH,13.3,400.0,True,ULTRA HOT
K Lall Overseas Pvt. Ltd. [Merged],2025-05-15,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,30.00,Y,HIGH,13.4,401.0,True,ULTRA HOT
K R V Spinning Mills Pvt. Ltd.,2025-05-19,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,9.44,Y,HIGH,13.2,397.0,True,ULTRA HOT
Kaas Footwear Inds. Pvt. Ltd.,2025-06-16,CRISIL,Term loans,Default,D,Reaffirmed,6.71,Y,HIGH,12.3,369.0,True,ULTRA HOT
Kailash Prasad Yadav Constructions Pvt. Ltd.,2025-05-19,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,8.00,Y,HIGH,13.2,397.0,True,ULTRA HOT
Kailash Prasad Yadav Constructions Pvt. Ltd.,2025-05-19,CRISIL,Long term Loans,High Risk,B,Reaffirmed,1.50,Y,HIGH,13.2,397.0,True,ULTRA HOT
Kairali Steels & Alloys Pvt. Ltd.,2025-06-19,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,35.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kakatiya Pipes & Infra Pvt. Ltd.,2025-06-19,CRISIL,Bank Guarantee,High Risk,B,Reaffirmed,3.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kakatiya Pipes & Infra Pvt. Ltd.,2025-06-19,CRISIL,Long term Loans,High Risk,B,Reaffirmed,2.07,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kakatiya Pipes & Infra Pvt. Ltd.,2025-06-19,CRISIL,Term loans,High Risk,B,Reaffirmed,5.93,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kalapurna Steel & Engg. Pvt. Ltd.,2025-06-19,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,2.50,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kalapurna Steel & Engg. Pvt. Ltd.,2025-06-19,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,17.50,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kalinga Breeding Farms Pvt. Ltd.,2025-05-16,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,10.00,Y,HIGH,13.3,400.0,True,ULTRA HOT
Kalinga Breeding Farms Pvt. Ltd.,2025-05-16,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,1.00,Y,HIGH,13.3,400.0,True,ULTRA HOT
Kamal Coach Works Pvt. Ltd.,2025-05-15,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,10.00,Y,HIGH,13.4,401.0,True,ULTRA HOT
Karamjeet Singh & Co. Ltd.,2025-06-18,CRISIL,Bank Guarantee,High Risk,A 4+,Downgraded,77.00,Y,HIGH,12.2,367.0,True,ULTRA HOT
Karamjeet Singh & Co. Ltd.,2025-06-18,CRISIL,Long term Loans,Inadequate Safety,BB+,Downgraded,90.91,Y,HIGH,12.2,367.0,True,ULTRA HOT
Karamjeet Singh & Co. Ltd.,2025-06-18,CRISIL,Term loans,Inadequate Safety,BB+,Downgraded,178.09,Y,HIGH,12.2,367.0,True,ULTRA HOT
Karanja Terminal & Logistics Pvt. Ltd.,2025-06-16,CRISIL,Term loans,Default,D,Reaffirmed,57.00,Y,HIGH,12.3,369.0,True,ULTRA HOT
Karanja Terminal & Logistics Pvt. Ltd.,2025-06-16,CRISIL,Term loans,Default,D,Reaffirmed,413.00,Y,HIGH,12.3,369.0,True,ULTRA HOT
Karmic Energy Pvt. Ltd.,2025-06-16,CRISIL,Long term Loans,High Risk,B-,Reaffirmed,2.50,Y,HIGH,12.3,369.0,True,ULTRA HOT
Karmic Energy Pvt. Ltd.,2025-06-16,CRISIL,Term loans,High Risk,B-,Reaffirmed,18.75,Y,HIGH,12.3,369.0,True,ULTRA HOT
Kay Bee Indl. Alloys Pvt. Ltd.,2025-06-19,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.20,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kay Bee Indl. Alloys Pvt. Ltd.,2025-06-19,CRISIL,Short-term loan,High Risk,A 4,Reaffirmed,4.80,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kerala Paper Products Ltd.,2025-06-19,CRISIL,Bank Guarantee,Default,D,Reaffirmed,5.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
Kerala Paper Products Ltd.,2025-06-19,CRISIL,Letter Of credit,Default,D,Reaffirmed,45.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
Khator Fibre & Fabrics Ltd.,2025-06-16,CRISIL,Bank Guarantee,Default,D,Reaffirmed,4.00,Y,HIGH,12.3,369.0,True,ULTRA HOT
Khator Fibre & Fabrics Ltd.,2025-06-16,CRISIL,Long term Loans,Default,D,Reaffirmed,0.80,Y,HIGH,12.3,369.0,True,ULTRA HOT
Khator Fibre & Fabrics Ltd.,2025-06-16,CRISIL,Term loans,Default,D,Reaffirmed,20.45,Y,HIGH,12.3,369.0,True,ULTRA HOT
Khedaria Ispat Ltd.,2025-05-15,CRISIL,Long term Loans,High Risk,B,Reaffirmed,0.79,Y,HIGH,13.4,401.0,True,ULTRA HOT
Khedaria Ispat Ltd.,2025-05-15,CRISIL,Long term Loans,High Risk,B,Reaffirmed,14.00,Y,HIGH,13.4,401.0,True,ULTRA HOT
Khedut Solvexp Pvt. Ltd.,2025-05-09,CRISIL,Term loans,Inadequate Safety,BB+,Reaffirmed,1.60,Y,HIGH,13.6,407.0,True,ULTRA HOT
Kings International Ltd.,2025-05-26,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,1.00,Y,HIGH,13.0,390.0,True,ULTRA HOT
Kings International Ltd.,2025-05-26,CRISIL,Term loans,High Risk,B+,Reaffirmed,5.50,Y,HIGH,13.0,390.0,True,ULTRA HOT
Kodai Cars Pvt. Ltd.,2025-05-19,CRISIL,Bank Guarantee,Default,D,Reaffirmed,2.00,Y,HIGH,13.2,397.0,True,ULTRA HOT
Koenig Solutions Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,High Risk,B,Reaffirmed,3.56,Y,HIGH,12.9,387.0,True,ULTRA HOT
Koenig Solutions Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,High Risk,B,Reaffirmed,2.77,Y,HIGH,12.9,387.0,True,ULTRA HOT
