Company Name,Current Agency,Instrument,Rating,Original Rating Date,12mo Due Date,Recommended Call Date,Day of Week,Months Since Rating
Kishore Infrastructures Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Kishore Infrastructures Pvt. Ltd.,ACUITE,Letter Of credit,A 4+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Kishore Infrastructures Pvt. Ltd.,ACUITE,Long term Loans,BB,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
M Venkata Rao Infra Projects Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Rainbow Packaging Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Rainbow Packaging Pvt. Ltd.,ACUITE,Long term Loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Rainbow Packaging Pvt. Ltd.,ACUITE,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Sarika Industries Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Sarika Industries Pvt. Ltd.,ACUITE,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Shri Pariyur Amman Kraft Papers Pvt. Ltd.,ACUITE,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Allied Digital Services Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Allied Digital Services Ltd.,ACUITE,Term loans,BB+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Woodhill Infrastructure Ltd.,ACUITE,Bank Guarantee,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Woodhill Infrastructure Ltd.,ACUITE,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Chesa Dental Care Services Ltd.,BRICKWORK,Bank Guarantee,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Chesa Dental Care Services Ltd.,BRICKWORK,Letter Of credit,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Chesa Dental Care Services Ltd.,BRICKWORK,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
D R R K Foods Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,BB-,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
D R R K Foods Pvt. Ltd.,BRICKWORK,Term loans,BB-,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Diamond Power Infrastructure Ltd.,BRICKWORK,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Diamond Power Infrastructure Ltd.,BRICKWORK,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Hassan Road Construction Co. Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Hassan Road Construction Co. Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Pushpa Sales Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Pushpa Sales Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Pushpa Sales Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Pushpa Sales Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Sainik Industries Pvt. Ltd.,BRICKWORK,Bank Guarantee,BB-,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Vedic & Futuristic Edutech,BRICKWORK,Term loans,BB-,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Amar Infrastructure Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Aravind Milkfoods Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Pioneer Spinning & Wvg. Mills Ltd.,CARE,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Pioneer Spinning & Wvg. Mills Ltd.,CARE,Letter Of credit,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Pioneer Spinning & Wvg. Mills Ltd.,CARE,Term loans,C,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Samarth Dairy & Agro Products Pvt. Ltd.,CARE,Term loans,B-,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Sri Kumaran Mills Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Sri Kumaran Mills Pvt. Ltd.,CARE,Term loans,C,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K E W Industries Ltd.,CRISIL,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K G N Motors Pvt. Ltd.,CRISIL,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K K Welding Ltd.,CRISIL,Letter Of credit,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K P R Agrochem Ltd.,CRISIL,Bank Guarantee,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K P R Agrochem Ltd.,CRISIL,Letter Of credit,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K P R Agrochem Ltd.,CRISIL,Long term Loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K P R Agrochem Ltd.,CRISIL,Long term Loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K P R Agrochem Ltd.,CRISIL,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K R Bakes Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K R Bakes Pvt. Ltd.,CRISIL,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K R S Pharmaceuticals Pvt. Ltd.,CRISIL,Long term Loans,B-,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K R S Pharmaceuticals Pvt. Ltd.,CRISIL,Term loans,B-,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Kanak Pipe Inds. Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Kanak Pipe Inds. Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Kanak Pipe Inds. Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Kasana Builders Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Katyaini Products Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
King'S Motors Pvt. Ltd.,CRISIL,Term loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Kinjal Cotton Pvt. Ltd.,CRISIL,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Krown Agrofoods Pvt. Ltd.,CRISIL,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Kumar Agro Tech Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Lancer Laser Tech Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Lancer Laser Tech Ltd.,CRISIL,Long term Loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Lancer Laser Tech Ltd.,CRISIL,Term loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Landmark Royal Engg. (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Landmark Royal Engg. (India) Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Leotronic Scales Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Lion Foods Pvt. Ltd.,CRISIL,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Lord Balaji Warehousing Pvt. Ltd.,CRISIL,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Lotus Poultries Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Lotus Poultries Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Maa Polypacks Inds. (Ind) Pvt. Ltd.,CRISIL,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Maa Polypacks Inds. (Ind) Pvt. Ltd.,CRISIL,Term loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Makalu Trading Ltd.,CRISIL,Letter Of credit,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Malhotra Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Oneworld Retail Pvt. Ltd.,CRISIL,Long term Loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Oneworld Retail Pvt. Ltd.,CRISIL,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Opal Luxury Time Products Ltd.,CRISIL,Bank Guarantee,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Opal Luxury Time Products Ltd.,CRISIL,Letter Of credit,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
P C I Ltd.,CRISIL,Letter Of credit,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
P C I Ltd.,CRISIL,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Panorama Electronics Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Panorama Electronics Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Panorama Electronics Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Patson Global Ltd.,CRISIL,Fund based financial facility/instrument,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Patson Steels Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Actionware India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Actionware India Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Actionware India Pvt. Ltd.,CRISIL,Term loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Anand Carbo Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Anand Carbo Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Anand Carbo Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Chanvim Engineering (India) Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Chanvim Engineering (India) Pvt. Ltd.,ICRA,Term loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
D R Coats Ink & Resins Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
D R Coats Ink & Resins Pvt. Ltd.,ICRA,Term loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
G 3 Motors Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
G 3 Motors Ltd.,ICRA,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Golden Tobacco Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Golden Tobacco Ltd.,ICRA,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Hilltop Hirise Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Hilltop Hirise Pvt. Ltd.,ICRA,Term loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
I L & F S Wind Energy Ltd.,ICRA,Debentures / Bonds / notes / bills,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K P R Agrochem Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
K P R Agrochem Ltd.,ICRA,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Nuevo Polymers Pvt. Ltd.,ICRA,Non-government debt,B+/A4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Prahlad Flour Mills Pvt. Ltd.,ICRA,Term loans,B+,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Ranga Overseas Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Sindhu Cargo Services Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Sindhu Cargo Services Pvt. Ltd.,ICRA,Term loans,D,2025-07-14,2026-07-14,2026-07-14,Tuesday,11.4
Paramount Surgimed Ltd.,ACUITE,Letter Of credit,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Paramount Surgimed Ltd.,ACUITE,Long term Loans,B,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Paramount Surgimed Ltd.,ACUITE,Term loans,B,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Sri Vyjayanthi Labs Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Sri Vyjayanthi Labs Pvt. Ltd.,ACUITE,Term loans,B,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Aeon Formulations Pvt. Ltd.,ACUITE,Long term Loans,B,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
B L Agro Inds. Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
B L Agro Inds. Ltd.,BRICKWORK,Fund based financial facility/instrument,BB,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Karan Development Services Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Karan Development Services Pvt. Ltd.,BRICKWORK,Term loans,BB,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Livindia Infra Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Maniranjan Diesel Sales & Service Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Maniranjan Diesel Sales & Service Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Maniranjan Diesel Sales & Service Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B-,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Narmada Agro Cottex Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
R P Multimetals Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
R P Multimetals Ltd.,BRICKWORK,Fund based financial facility/instrument,BB-,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
R P Multimetals Ltd.,BRICKWORK,Term loans,BB-,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Vijay Mahiendra Spinntex Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Vijay Mahiendra Spinntex Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Bhadreshwar Vidyut Pvt. Ltd.,CARE,Bank Guarantee,D,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Bhadreshwar Vidyut Pvt. Ltd.,CARE,Term loans,D,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Firozabad Ceramics Pvt. Ltd.,CARE,Letter Of credit,D,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Firozabad Ceramics Pvt. Ltd.,CARE,Term loans,D,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
M B E Coal & Mineral Technology India Pvt. Ltd.,CARE,Non-government debt,D,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Radhamadhav Automobiles Pvt. Ltd.,CARE,Fund based financial facility/instrument,D,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Radhamadhav Automobiles Pvt. Ltd.,CARE,Term loans,D,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Achiever Apparels Pvt. Ltd.,CARE,Short-term loan,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Achiever Apparels Pvt. Ltd.,CARE,Short-term loan,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Biorad Medisys Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Biorad Medisys Pvt. Ltd.,CRISIL,Term loans,B,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Calcast Ferrous Ltd.,CRISIL,Bank Guarantee,A 4+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Calcast Ferrous Ltd.,CRISIL,Letter Of credit,A 4+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Calcutta Springs Ltd.,CRISIL,Bank Guarantee,A 4+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Ecopmin Technologies Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Ecopmin Technologies Pvt. Ltd.,CRISIL,Term loans,B+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
N P T Papers Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Tessitura Monti India Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Tessitura Monti India Pvt. Ltd.,CRISIL,Term loans,BB+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Vibrant Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Aadhi Cars Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Aadhi Cars Pvt. Ltd.,CRISIL,Long term Loans,BB+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Aadhi Cars Pvt. Ltd.,CRISIL,Term loans,BB+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Hotel Swosti Pvt. Ltd.,IND-RA,Term loans,BB+,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
M S Infraengineers Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Maha Arvind Roadways Pvt. Ltd.,IND-RA,Term loans,BB-,2025-07-15,2026-07-15,2026-07-15,Wednesday,11.3
Danashmand Organic Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Dukes Retreat Pvt. Ltd.,ACUITE,Term loans,BB-,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Kissan Riceland Pvt. Ltd.,ACUITE,Term loans,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Maharashtra Polybutenes Ltd.,ACUITE,Bank Guarantee,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Maharashtra Polybutenes Ltd.,ACUITE,Letter Of credit,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Maharashtra Polybutenes Ltd.,ACUITE,Term loans,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Shri Madhur Food Products Pvt. Ltd.,ACUITE,Long term Loans,B+,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Element Chemilink Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Element Chemilink Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
K J S Cement (I) Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
K J S Cement (I) Ltd.,BRICKWORK,Term loans,B-,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Kanchan India Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Kanchan India Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Kanchan India Ltd.,BRICKWORK,Term loans,BB,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Shri Bholanath Carpets Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
T R B Industries Ltd.,BRICKWORK,Non-government debt,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Trbex Impex Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Trbex Impex Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Vishnu Carriers Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Vital Therapeutics Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Winfab Equipments Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Winfab Equipments Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Woodpecker Distilleries & Breweries Pvt. Ltd.,BRICKWORK,Term loans,B-,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Cochin Frozen Food Exports Pvt. Ltd.,CARE,Bank Guarantee,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Davinder Sandhu Impex Pvt. Ltd.,CARE,Term loans,BB-,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
J M V L P S Ltd.,CARE,Non-government debt,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
J M V L P S Ltd.,CARE,Non-government debt,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Mahalaxmi India Pvt. Ltd.,CARE,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Modern Dairies Ltd.,CARE,Bank Guarantee,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Modern Dairies Ltd.,CARE,Term loans,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Modi Naturals Ltd.,CARE,Non-government debt,BB/A4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Muktar Automobiles Pvt. Ltd.,CARE,Bank Guarantee,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Muktar Automobiles Pvt. Ltd.,CARE,Term loans,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Tejas Agro Irrigation Systems Pvt. Ltd.,CARE,Non-government debt,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Tejas Agro Irrigation Systems Pvt. Ltd.,CARE,Term loans,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
B I P S Systems Ltd.,CRISIL,Fund based financial facility/instrument,B,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
B I P S Systems Ltd.,CRISIL,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Best Knitting Mills Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Best Knitting Mills Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Bihani Binayake Cotex Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Binjusaria Papers Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Binjusaria Papers Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Binjusaria Sponge & Power Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Binjusaria Sponge & Power Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Brijlax Motors Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Capital Infraprojects Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Cem Electromech Pvt. Ltd.,CRISIL,Term loans,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Chetas Control Systems Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Climax Synthetics Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Climax Synthetics Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Climax Synthetics Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
M A Sarsinsa Steels Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
M A Sarsinsa Steels Pvt. Ltd.,CRISIL,Letter Of credit,D,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Mahaveer Infraengineering Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
Mahaveer Infraengineering Pvt. Ltd.,CRISIL,Long term Loans,B-,2025-07-16,2026-07-16,2026-07-16,Thursday,11.3
