Company Name,Current Rater,Instrument Type,Current Rating,Last Rating Date,Days Overdue,Urgency,DeadRisk,Why Target,ACER Pitch Angle
Alok Buildtech Private Limited,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-05-06,410.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Jaidayal Hitex Pvt. Ltd.,BRICKWORK | CRISIL,Letter Of credit,A 4+,2025-06-20,410.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Northern Electric Cables Pvt. Ltd.,CARE,Fund based financial facility/instrument,B-,2025-05-06,410.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Isotex Corporation Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-06,410.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
P & S Jewellery Ltd.,BRICKWORK,Fund based financial facility/instrument,D,2025-05-06,410.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Cosmos Infra Engg. (India) Pvt. Ltd.,CARE,Term loans,C,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Cucku Enterprises Pvt. Ltd.,CARE,Non-government debt,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Mithra Kyokuto Special Purpose Vehicle Co. Pvt. Ltd.,CARE,Letter Of credit,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Modern Automotives Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Chandan Hospital Ltd.,CRISIL,Term loans,BB+,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Murugavilas Textiles (MVT),INFOMERICS,Long Term Fund Based Facility - OCC,IVR B- (INC)(Reaffirmed),2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Stone India Ltd.,CARE,Bank Guarantee,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Sai Infraconstructions Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Shreegopal Gobind Agro Tech Pvt. Ltd.,BRICKWORK,Term loans,C,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Raghuleela Builders Pvt. Ltd.,BRICKWORK,Term loans,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Kallam Brothers Cottons Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
4S Spintex India Pvt. Ltd.,CARE,Term loans,B-,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
G H Crop Science Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
E L E C Steel Processing Inds. Ltd.,ACUITE,Letter Of credit,A 4+,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Northern Power Erectors Ltd.,CARE,Bank Guarantee,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Y F C Projects Pvt. Ltd.,ACUITE,Letter Of credit,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Kedarnath Commotrade Pvt. Ltd.,CARE,Letter Of credit,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Radiant Lubes Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Archon Powerinfra India Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Elcom Innovations Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Traditional Gallery Pvt. Ltd.,CARE,Fund based financial facility/instrument,B+,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Meru Automobiles Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Vedic Realty Pvt. Ltd.,BRICKWORK,Term loans,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
North East Health City Pvt. Ltd.,BRICKWORK,Term loans,B-,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Harikripa Business Venture Pvt. Ltd.,CARE | ICRA,Letter Of credit,D,2025-05-16,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Mehar Steels Pvt. Ltd.,BRICKWORK,Term loans,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Gajraj Mining Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Geeta Refinery Pvt. Ltd.,BRICKWORK,Term loans,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
S N R Edatas Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Iscon Craft Paper Mill Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
K S A Powerinfra Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Reddy Veeranna Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Kirtiman Cements & Packaging Inds. Ltd.,CARE,Term loans,D,2025-05-07,409.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Santhagarik Agro Private Limited,INFOMERICS,Long Term Facilities,IVR C+ (INC) (Downgraded),2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Risely Feeds Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Preethi Hospitals Pvt. Ltd.,IND-RA,Term loans,BBB-,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Carreg Commodities Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Yogiji Digi Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Securevalue India Ltd.,IND-RA,Term loans,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Satguru Agro Inds. Ltd.,CARE,Term loans,B-,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Earth Syscom Pvt. Ltd.,CARE,Fund based financial facility/instrument,BB-,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Alom Poly Extrusions Ltd.,CARE,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
C E Serviced Offices Pvt. Ltd.,CRISIL,Long term Loans,B,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Shobha Woollens Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Aishwaryagiri Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Easthooghly Agro Plantation Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Manku Agrotech Pvt. Ltd.,CRISIL,Long term Loans,B,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Mahakaleshwar Infratech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
S M P Exim Pvt. Ltd.,CRISIL,Long term Loans,B,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Lakra Industries Ltd.,BRICKWORK,Term loans,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Ideas Electricals & Engineers Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Metal Storage Systems Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Mahak Synthetics Mills Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Induss Food Products & Equipments Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Lanco Babandh Power Ltd.,CARE,Non-government debt,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Spinora Tiles Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Dhan Steels Pvt. Ltd.,CARE,Non-government debt,B/A4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Olive Bar & Kitchen Pvt. Ltd.,IND-RA,Term loans,BB+,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
G M A Pinnacle Automotives Pvt. Ltd.,IND-RA,Term loans,B,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Siddhartha Super Spg. Mills Ltd.,CRISIL,Long term Loans,B,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Vishva Vishal Refractory Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Lords Mark Industries Ltd. [Merged],CARE,Fund based financial facility/instrument,BB,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Supermax Personal Care Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Kamat Yatriniwas Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
P E Erectors Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
R J S Steels Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
A G S Transact Technologies Ltd.,IND-RA,Term loans,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Asset Homes Private Limited,INFOMERICS,Long Term Bank Facilities- Proposed,IVR BB+ (INC)(Downgraded),2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Hillman Hosiery Mills Private Limited,INFOMERICS,Long Term Bank Facilities,IVR B- (INC)(Downgraded),2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Motherland Garments Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Morgan Agrotech Ltd.,CARE,Term loans,B-,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Dayal Cotspin Ltd.,CRISIL,Long term Loans,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Lanco Vidarbha Thermal Power Ltd.,CARE,Bank Guarantee,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Swastik Cement Products Pvt. Ltd.,CARE,Fund based financial facility/instrument,C,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Mangalam Metals & Ores Ltd.,CRISIL,Fund based financial facility/instrument,B,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Thermotech Engineering (Pune) Pvt. Ltd.,CARE,Non-government debt,B-/A4,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Global Powersource (India) Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
S C S Tech India Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Baba Kailashpati Agro Processing Private Limited,INFOMERICS,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),2025-05-08,408.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Musaddilal Jewellers Private Limited,INFOMERICS,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Sri Lakshmi Godavari Spinning Mills Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Rangotsav Lifestyle Pvt. Ltd.,IND-RA,Term loans,D,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Landmark Veneers Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Sudhir Agro Oils Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Premier Solvents Pvt. Ltd.,CARE,Fund based financial facility/instrument,B-,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Purandar Milk & Agro Products Ltd.,ICRA,Term loans,D,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Bellona Paper Mill Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
R N P Scaffolding & Formwork Pvt. Ltd.,ICRA,Non-government debt,B/A4,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
APRN Enterprises Private Limited,INFOMERICS,Long Term Fund Based Bank Facilities,IVR BB (INC)(Downgraded),2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Arrow Constructions Ltd.,IND-RA,Non-fund based working capital limit,D,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Anuspa Heritage Products Pvt. Ltd.,CARE,Letter Of credit,A 4,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Micron Precision Screws Pvt. Ltd.,CARE,Letter Of credit,A 4,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Rajesh Projects (India) Pvt. Ltd.,CARE,Fund based financial facility/instrument,D,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
Alamelu Balaji Spg. Mills Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-09,407.0,HIGH,STANDARD - CALL DIRECTLY,ULTRA HOT: INC + 365+ days overdue; STANDARD - CALL DIRECTLY,"ACER can restore your credit rating track record — direct analyst access, fast turnaround"
