Company Name,Instrument Type,Current Agency,Rating,Rating Date,Urgency,Months Since Rating
Multitex Filteration Engineers Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Neeraj Paper Mktg. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
New Field Industrial Equipment Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Niyati Engineering Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Notandas Gems Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Omkar Infracon Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Optech Engineering Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Ozone Diamonds Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
P C P International Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
P E C Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Pafetech Enterprises Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Paracoat Products Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Pearl International Services Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Praveen Aroma Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Premier Poultry Products Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Priyanka Communications India Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Puneet Iron & Steel Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Quality Tea Plantations Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
R K Poultries Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Rajathadri Jewellers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Ramkrishna Casting Solutions Ltd.,Non-government debt,ICRA,D,2026-01-15,LOW,5.2
Ratnesh Ispat Services Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Rekha Corporation Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Ribbel International Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Rohit'S Heritage Jewellers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
S G S Motors Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
S V Ispat Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Sagar Metallics Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Sai Smaran Foods Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Sangeeth Textiles Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Sansaara Weaves & Filaments Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Sara Spintex India Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Servotech India Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Sharma Pharmaceutical Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Shivam Protein Products Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Shree Sita Ram Paper Mills Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Shri Murlidhar Inds. Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Shri Ram Rubtech Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Shyam Indofab Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Sonale Fabrics Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Sri Mouli Textiles Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Sri Venkateswara Spintex Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Style Marketing Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Sun Steel Inds. Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Super Hygiene Products Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Supreme Glazes Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
T C Communication Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Tashkent Oil Co. Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Torque Automotive Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Trident Fabricators Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
U D Solution Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Ultima Switchgears Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Unicon Technology Intl. Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
V N M Jewel Crafts Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
V S Metallic Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Velaven Polymers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Vijai Construction (India) Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Vijay Engineering Equipment India Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Vivaana Designers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
A P R Constructions Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Aarti Infrastructure & Buildcon Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Alpha Pacific Systems Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Anand Construwell Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Chetana Education Ltd.,Non-government debt,ICRA,BB+/A4+,2026-01-19,LOW,5.1
Chetana Education Ltd.,Non-government debt,ICRA,BB+/A4+,2026-01-19,LOW,5.1
T I Medical Pvt. Ltd.,Non-government debt,BRICKWORK,A 4,2026-01-19,LOW,5.1
T I Medical Pvt. Ltd.,Non-government debt,BRICKWORK,B,2026-01-19,LOW,5.1
Velko Infratek Projects Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-19,LOW,5.1
Apeejay Tea Ltd.,Non-government debt,ICRA,D,2026-01-19,LOW,5.1
Apeejay Tea Ltd.,Non-government debt,ICRA,D,2026-01-19,LOW,5.1
Woodhill Infrastructure Ltd.,Non-government debt,ICRA,D,2026-01-19,LOW,5.1
Woodhill Infrastructure Ltd.,Non-government debt,ICRA,D,2026-01-19,LOW,5.1
Astron Paper & Board Mill Ltd.,Non-government debt,CARE,D,2026-01-21,LOW,5.0
Astron Paper & Board Mill Ltd.,Non-government debt,CARE,D,2026-01-21,LOW,5.0
Ekam Agro Pvt. Ltd.,Non-government debt,ICRA,D,2026-01-22,LOW,5.0
Ganga Papers India Ltd.,Non-government debt,ICRA,B+/A4,2026-01-21,LOW,5.0
Oriilon India Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-01-20,LOW,5.0
S V R Electricals Pvt. Ltd.,Non-government debt,ICRA,B/A4,2026-01-21,LOW,5.0
Swastik Pipe Ltd.,Non-government debt,IND-RA,D,2026-01-22,LOW,5.0
C-Tech Engineers Pvt. Ltd.,Non-government debt,CARE,D,2026-01-23,LOW,4.9
Haryana Conductors Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-01-23,LOW,4.9
Haryana Conductors Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-01-23,LOW,4.9
Ras Polytex Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-23,LOW,4.9
Translite Energy Ltd.,Non-government debt,CARE,BB+/A4+,2026-01-23,LOW,4.9
A S Moloobhoy Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-23,LOW,4.9
Akhil Shipbreakers Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2026-01-23,LOW,4.9
Creations Jewellery Mfg. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-27,LOW,4.8
Creations Jewellery Mfg. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-27,LOW,4.8
Ezentech India Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-01-27,LOW,4.8
Fortune Foam Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-27,LOW,4.8
Ganadhi Pati Construction Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-27,LOW,4.8
Hero Mindmine Institute Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-27,LOW,4.8
Kalinga Breeding Farms Pvt. Ltd.,Non-government debt,ICRA,B/A4,2026-01-27,LOW,4.8
Pavansut Paper Mill Pvt. Ltd.,Non-government debt,ICRA,D,2026-01-28,LOW,4.8
Ramakrishna Teletronics Pvt. Ltd.,Non-government debt,ICRA,D,2026-01-27,LOW,4.8
Reliance Commercial Finance Ltd.,Debentures / Bonds / notes / bills,CARE,D,2026-01-27,LOW,4.8
Reliance Commercial Finance Ltd.,Debentures / Bonds / notes / bills,CARE,PP-MLD D,2026-01-27,LOW,4.8
S C S Constructions India Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-28,LOW,4.8
Sanwariya Packaging Pvt. Ltd.,Non-government debt,CARE,D,2026-01-28,LOW,4.8
Srinivasa Sales & Service Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-27,LOW,4.8
Textrade International Ltd.,Non-government debt,CARE,D,2026-01-27,LOW,4.8
Vikran Engineering Ltd.,Non-government debt,CARE,BB-/A4,2026-01-28,LOW,4.8
Airtravel Enterprises India Ltd.,Non-government debt,CARE,D,2026-01-28,LOW,4.8
Chetan Alloys Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-29,LOW,4.7
Giriraj Jewellers Pvt. Ltd.,Non-government debt,ICRA,D,2026-01-29,LOW,4.7
Jaiprakash Associates Ltd.,Non-government debt,CARE,D,2026-01-30,LOW,4.7
K K R Agro Mills Pvt. Ltd.,Non-government debt,CARE,D,2026-01-29,LOW,4.7
Mazda Colours Ltd.,Non-government debt,ICRA,BB+/A4+,2026-01-30,LOW,4.7
Mining Associates Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-01-29,LOW,4.7
Pyrotech Workspace Solutions Pvt. Ltd.,Non-government debt,CARE,A 3+,2026-01-30,LOW,4.7
Pyrotech Workspace Solutions Pvt. Ltd.,Non-government debt,CARE,BBB/A3+,2026-01-30,LOW,4.7
Pyrotech Workspace Solutions Pvt. Ltd.,Non-government debt,CARE,BBB/A3+,2026-01-30,LOW,4.7
Regen Infrastructure & Services Pvt. Ltd.,Non-government debt,CARE,D,2026-01-30,LOW,4.7
Regen Powertech Pvt. Ltd.,Non-government debt,CARE,D,2026-01-30,LOW,4.7
Regen Powertech Pvt. Ltd.,Non-government debt,CARE,D,2026-01-30,LOW,4.7
Suvarna Fibrotech Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-01-29,LOW,4.7
Ashish Vessel Demolition Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-01-29,LOW,4.7
Woolways (India) Ltd.,Non-government debt,ICRA,D,2026-01-29,LOW,4.7
Feedback Infra Pvt. Ltd.,Non-government debt,CARE,D,2026-02-03,LOW,4.6
Khedut Solvexp Pvt. Ltd.,Non-government debt,CARE,B+/A4,2026-02-03,LOW,4.6
Premium Laminators Pvt. Ltd.,Non-government debt,CARE,B+/A4,2026-02-02,LOW,4.6
Singhal Commodities Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-03,LOW,4.6
Tara Tarini Constructions Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-02-03,LOW,4.6
Bharat Electrodrives Pvt. Ltd.,Non-government debt,CARE,BB+/A4+,2026-02-05,LOW,4.5
Milton Industries Ltd.,Non-government debt,CARE,B+/A4,2026-02-04,LOW,4.5
Sakshi Markfin Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2026-02-06,LOW,4.5
Shubh Aluminium Pvt. Ltd.,Non-government debt,CARE,C/A4,2026-02-06,LOW,4.5
Super Seal Flexible Hose Ltd.,Non-government debt,BRICKWORK,C/A4,2026-02-05,LOW,4.5
Surya Wires Pvt. Ltd.,Non-government debt,CARE,D,2026-02-05,LOW,4.5
Vihita Chem Pvt. Ltd.,Non-government debt,ICRA,D,2026-02-06,LOW,4.5
Vihita Chem Pvt. Ltd.,Non-government debt,ICRA,D,2026-02-06,LOW,4.5
Ajay (India) Ltd.,Non-government debt,CARE,B/A4,2026-02-05,LOW,4.5
Anlon Healthcare Ltd.,Non-government debt,CARE,D,2026-02-04,LOW,4.5
Sanauto Engineers (India) Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2026-02-09,LOW,4.4
Sanauto Engineers (India) Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2026-02-09,LOW,4.4
Siddhi Vinayak Knots & Prints Pvt. Ltd.,Non-government debt,IND-RA,B+/A4,2026-02-09,LOW,4.4
Gujarat H Y-Spin Ltd.,Non-government debt,CARE,D,2026-02-12,LOW,4.3
Indian Additives Ltd.,Non-government debt,CARE,AA/A1+,2026-02-11,LOW,4.3
Indian Additives Ltd.,Non-government debt,CARE,AA/A1+,2026-02-11,LOW,4.3
Indian Additives Ltd.,Non-government debt,CARE,AA/A1+,2026-02-11,LOW,4.3
Kuber Casting Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-12,LOW,4.3
M R L Tyres Ltd.,Non-government debt,CARE,BB+/A4+,2026-02-12,LOW,4.3
Peel-Works Pvt. Ltd.,Debentures / Bonds / notes / bills,ICRA,D,2026-02-12,LOW,4.3
Preeti Buildcon Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2026-02-11,LOW,4.3
Preeti Buildcon Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2026-02-11,LOW,4.3
Sagar Metallics Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-12,LOW,4.3
Tezpur Institute Of Medical Sciences Pvt. Ltd.,Non-government debt,CARE,D,2026-02-12,LOW,4.3
Asha Enterprises Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-12,LOW,4.3
Zulaikha Motors Pvt. Ltd.,Non-government debt,CARE,D,2026-02-12,LOW,4.3
Zulaikha Motors Pvt. Ltd.,Non-government debt,CARE,D,2026-02-12,LOW,4.3
Darpan Infrastructure Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-13,LOW,4.2
Divine Alloys & Power Co. Ltd.,Non-government debt,ICRA,D,2026-02-13,LOW,4.2
Mackintosh Burn Ltd.,Non-government debt,ICRA,B+/A4,2026-02-13,LOW,4.2
Quality Wovensacks Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-13,LOW,4.2
Sri Maharaja Oil Imports & Exports India Pvt. Ltd.,Non-government debt,ICRA,D,2026-02-13,LOW,4.2
Western Hill Foods Ltd.,Non-government debt,ICRA,D,2026-02-13,LOW,4.2
Homera Tanning Inds. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-18,LOW,4.1
Homera Tanning Inds. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-18,LOW,4.1
Kimiya Engineers Pvt. Ltd.,Non-government debt,CARE,D,2026-02-18,LOW,4.1
Leopard Vitrified Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-17,LOW,4.1
Nishi Forex & Leisure Pvt. Ltd.,Non-government debt,ICRA,D,2026-02-16,LOW,4.1
Pack Paper Agencies Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-16,LOW,4.1
Reliance Home Finance Ltd.,Debentures / Bonds / notes / bills,CARE,D,2026-02-16,LOW,4.1
Reliance Home Finance Ltd.,Debentures / Bonds / notes / bills,CARE,PP-MLD D,2026-02-16,LOW,4.1
Supreme Hydro Engg. Pvt. Ltd.,Non-government debt,CARE,BBB+/A2,2026-02-18,LOW,4.1
Surya Vikas Plywood Ltd.,Non-government debt,ICRA,D,2026-02-16,LOW,4.1
Technobit Industries Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-17,LOW,4.1
Technobit Industries Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-17,LOW,4.1
Valencia Ceramic Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-16,LOW,4.1
Dee Vee Projects Ltd.,Non-government debt,CARE,BB-/A4,2026-02-19,LOW,4.0
Jayesh Industries Ltd.,Non-government debt,BRICKWORK,A 4,2026-02-19,LOW,4.0
Jayesh Industries Ltd.,Non-government debt,BRICKWORK,A 4,2026-02-19,LOW,4.0
Jayesh Industries Ltd.,Non-government debt,BRICKWORK,C,2026-02-19,LOW,4.0
Prabhu Poly Color Ltd. (2004),Non-government debt,ICRA,B-/A4,2026-02-19,LOW,4.0
Rukmani Power & Steel Pvt. Ltd.,Non-government debt,BRICKWORK,C,2026-02-20,LOW,4.0
Shri Banke Bihari Polyfab Pvt. Ltd.,Non-government debt,ICRA,B-/A4,2026-02-19,LOW,4.0
Siri Constructions Infrastructure Pvt. Ltd.,Non-government debt,CARE,B/A4,2026-02-19,LOW,4.0
Triveni Pattern Glass Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-02-20,LOW,4.0
Venkar Chemicals Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-19,LOW,4.0
Ace Footmark Pvt. Ltd.,Non-government debt,CARE,D,2026-02-20,LOW,4.0
Amartex Industries Ltd.,Non-government debt,BRICKWORK,B/A4,2026-02-19,LOW,4.0
Cabisco Plast Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2026-02-23,LOW,3.9
Euro Leder Fashion Ltd.,Non-government debt,BRICKWORK,A 4,2026-02-24,LOW,3.9
I L & F S Transportation Networks Ltd.,Non-government debt,CARE,D,2026-02-24,LOW,3.9
Milando Fashions Ltd.,Non-government debt,BRICKWORK,C/A4,2026-02-24,LOW,3.9
Millennium Babycares Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-02-24,LOW,3.9
Nakoda Unique Gold Pvt. Ltd.,Non-government debt,BRICKWORK,D,2026-02-23,LOW,3.9
Sahyog Ginning & Pressing Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2026-02-24,LOW,3.9
Skipperseil Ltd.,Non-government debt,CARE,BB-/A4,2026-02-23,LOW,3.9
Transaction Solutions Intl. (India) Pvt. Ltd.,Non-government debt,CARE,BB+/A4+,2026-02-24,LOW,3.9
Atmastco Ltd.,Non-government debt,IND-RA,B/A4,2026-02-27,LOW,3.8
B C Sen & Co. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
B T W-Atlanta Transformers India Pvt. Ltd.,Non-government debt,CARE,C/A4,2026-02-26,LOW,3.8
B T W-Atlanta Transformers India Pvt. Ltd.,Non-government debt,CARE,C/A4,2026-02-26,LOW,3.8
Balaji Oil Industries Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
Bon Ton Softwares Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
Cennet Biopharma Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
Charoen Pokphand Seeds (India) Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
Chemi Tech Engineers Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2026-02-25,LOW,3.8
Diamond Textile Mills Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-02-27,LOW,3.8
Dwarka Gems Ltd.,Non-government debt,CARE,B-/A4,2026-02-26,LOW,3.8
Dwarka Gems Ltd.,Non-government debt,CARE,B-/A4,2026-02-26,LOW,3.8
Golden Seams Inds. Pvt. Ltd.,Non-government debt,IND-RA,BB-/A4+,2026-02-27,LOW,3.8
Lakshanya Ventures Pvt. Ltd.,Non-government debt,ICRA,D,2026-02-26,LOW,3.8
Lodz Denim Pvt. Ltd.,Non-government debt,IND-RA,BB-/A4+,2026-02-27,LOW,3.8
M S Graphics Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
Mridul International Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-27,LOW,3.8
Nalari Ferro Alloys Pvt. Ltd.,Non-government debt,ICRA,B-/A4,2026-02-26,LOW,3.8
Padia Exports Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-27,LOW,3.8
Pragati Infra Solutions Pvt. Ltd.,Non-government debt,CARE,BBB/A3+,2026-02-25,LOW,3.8
Pragati Infra Solutions Pvt. Ltd.,Non-government debt,CARE,BBB/A3+,2026-02-25,LOW,3.8
Prakash Parcel Services Ltd. (Karnataka),Non-government debt,IND-RA,B/A4,2026-02-27,LOW,3.8
Prits Leather Art Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
Rajesh Power Services Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
Ramya Reprographic Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-02-27,LOW,3.8
Rishi Ice & Cold Storage Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-02-27,LOW,3.8
Shruthi Milk Products Pvt. Ltd.,Non-government debt,IND-RA,D,2026-02-27,LOW,3.8
Shubha Proteins Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2026-02-25,LOW,3.8
Shyama Power India Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,3.8
Sun Metallics & Alloys Pvt. Ltd. [Merged],Non-government debt,ICRA,B+/A4,2026-02-26,LOW,3.8
Sunalco Alloys Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2026-02-25,LOW,3.8
Swift Securitas Pvt. Ltd.,Non-government debt,CARE,BBB-/A3,2026-02-26,LOW,3.8
Technosys Security Systems Pvt. Ltd.,Non-government debt,IND-RA,B+/A4,2026-02-27,LOW,3.8
Trineva Infra Projects Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-02-25,LOW,3.8
Tristar Intercontinental Pvt. Ltd.,Non-government debt,ICRA,D,2026-02-26,LOW,3.8
Vijai Construction (India) Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-02-27,LOW,3.8
Anunay Fab Ltd.,Non-government debt,IND-RA,D,2026-02-27,LOW,3.8
Zeco Aircon Ltd.,Non-government debt,ICRA,B+/A4,2026-02-25,LOW,3.8
Zenith Exports Ltd.,Non-government debt,ICRA,B+/A4,2026-02-25,LOW,3.8
B P Food Products Pvt. Ltd.,Non-government debt,ICRA,D,2026-03-05,LOW,3.6
Dinesh Oils Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,3.6
Eurolife Healthcare Pvt. Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,3.6
Hind Tradex Ltd.,Non-government debt,BRICKWORK,C/A4,2026-03-04,LOW,3.6
Kerafibertex International Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-03-05,LOW,3.6
Kerafibertex International Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-03-05,LOW,3.6
Map Refoils India Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,3.6
Patil Construction & Infrastructure Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,3.6
Prateek Apparels Pvt. Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,3.6
R S K Industries Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-03-04,LOW,3.6
Rolta India Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,3.6
Srimunisuvrata Agri Intl. Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,3.6
Ushdev International Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,3.6
Advaith Aerospace Pvt. Ltd.,Non-government debt,CARE,B+/A4,2026-03-05,LOW,3.6
Champion El Com Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2026-03-06,LOW,3.5
Sri Vasudeva Textiles Pvt. Ltd.,Non-government debt,IND-RA,D,2026-03-06,LOW,3.5
Cox & Kings Financial Service Ltd.,Non-government debt,BRICKWORK,D,2026-03-11,LOW,3.4
Ganga Papers India Ltd.,Non-government debt,ICRA,B+/A4,2026-03-10,LOW,3.4
Inventive Software Solutions Pvt. Ltd.,Non-government debt,CARE,BB+/A4+,2026-03-10,LOW,3.4
Jimcap Electronics Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-03-11,LOW,3.4
Lulu India Shopping Mall Pvt. Ltd.,Non-government debt,IND-RA,BBB/A3+,2026-03-11,LOW,3.4
Lypsa Gems & Jewellery Ltd.,Non-government debt,ICRA,D,2026-03-10,LOW,3.4
Machino Plastics Ltd.,Non-government debt,ICRA,BB+/A4+,2026-03-11,LOW,3.4
Machino Plastics Ltd.,Non-government debt,ICRA,BB+/A4+,2026-03-11,LOW,3.4
Maxheal Pharmaceuticals (India) Ltd.,Non-government debt,CARE,B-/A4,2026-03-10,LOW,3.4
R K Infracorp Pvt. Ltd.,Non-government debt,CARE,B/A4,2026-03-11,LOW,3.4
Resurgent Power Projects Ltd.,Non-government debt,CARE,D,2026-03-09,LOW,3.4
Senvion Wind Technology Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-03-10,LOW,3.4
Siddarth Organisation Ltd.,Non-government debt,ICRA,C/A4,2026-03-09,LOW,3.4
Sri Saravana Tex Exports India Pvt. Ltd.,Non-government debt,BRICKWORK,C,2026-03-11,LOW,3.4
T L G Agro Traders Pvt. Ltd.,Non-government debt,BRICKWORK,B-/A4,2026-03-11,LOW,3.4
Caprihans India Ltd.,Non-government debt,CARE,B/A4,2026-03-12,LOW,3.3
S K Petro Services Pvt. Ltd.,Non-government debt,CARE,D,2026-03-13,LOW,3.3
Sparten Granito Pvt. Ltd.,Non-government debt,CARE,B+/A4,2026-03-13,LOW,3.3
Sri Shyam Fashion India Pvt. Ltd.,Non-government debt,BRICKWORK,B,2026-03-13,LOW,3.3
T K Precision Pvt. Ltd.,Non-government debt,CARE,B+/A4,2026-03-12,LOW,3.3
Talin International Pvt. Ltd.,Non-government debt,CARE,D,2026-03-13,LOW,3.3
V S Ferrous Enterprises Pvt. Ltd.,Non-government debt,ICRA,B+,2026-03-12,LOW,3.3
B N R Infrastructure Projects Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-03-17,LOW,3.2
George Maijo Automobiles Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2026-03-16,LOW,3.2
Strawberry Studio Exports Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-03-16,LOW,3.2
Surajbhan Rajkumar Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2026-03-16,LOW,3.2
Dembla Valves Ltd.,Non-government debt,CARE,BB+/A4+,2026-03-19,LOW,3.1
Eneroil Offshore Drilling Ltd.,Non-government debt,CARE,BB-/A4,2026-03-20,LOW,3.1
