Company Name,Agencies Used,Agency Count,Last Rating Date,Rating,Instrument,Urgency,Last Rating Urgency,Sector,INC_Flag,Why Target,Pitch Angle
Hans Industries Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2025-09-11,B-/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Adani Green Energy Ltd.,CARE | CRISIL | IND-RA,3,2025-09-15,A 1+,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aarohi Solar Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-09-17,BBB,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Acme Jaisalmer Solar Power Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-09-17,BBB,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Castings India Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2025-09-17,A 4,Short-term loan,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Dayanidhi Solar Power Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-09-17,BBB,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kaveri Engineering Projects Pvt. Ltd.,ACUITE | BRICKWORK | IND-RA,3,2025-09-17,BBB,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Niranjana Solar Energy Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-09-17,BBB,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
R P Multimetals Ltd.,BRICKWORK | CARE | CRISIL,3,2025-09-17,BB,Term loans,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Vishwatma Solar Energy Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-09-17,BBB,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bravo Sponge Iron Pvt. Ltd.,ACUITE | CARE | CRISIL,3,2025-09-18,A 2,Bank Guarantee,MEDIUM,MEDIUM,Steel & Metals,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Goodwill Advance Construction Co. Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-09-24,A 4,Bank Guarantee,MEDIUM,MEDIUM,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shiva Polytubes Pvt. Ltd.,BRICKWORK | ICRA | IND-RA,3,2025-09-24,A 4,Short-term loan,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Daily Fresh Fruits India Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-09-29,A 4,Bank Guarantee,MEDIUM,MEDIUM,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Inox India Ltd.,CARE | CRISIL | IND-RA,3,2025-09-29,A 1+,Letter Of credit,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Rajendra Singh Kiledar Constructions Pvt. Ltd.,ACUITE | CRISIL | IND-RA,3,2025-09-29,A 4,Bank Guarantee,MEDIUM,MEDIUM,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Vibrant Constructions Pvt. Ltd.,ACUITE | CRISIL | IND-RA,3,2025-09-29,A 4,Bank Guarantee,MEDIUM,MEDIUM,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Gujarat Co-Op. Milk Mktg. Fedn. Ltd.,CARE | CRISIL | IND-RA,3,2025-10-01,AAA,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ocean Motors Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL,3,2025-10-01,BB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aruppukottai Sri Jaya Vilas Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-10-07,A 4,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kamarhatty Co. Ltd.,ACUITE | BRICKWORK | CRISIL,3,2025-10-07,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Trident Techlabs Ltd.,ACUITE | BRICKWORK | CARE,3,2025-10-07,BB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Adarsha Automotives Pvt. Ltd.,CARE | ICRA | IND-RA,3,2025-10-08,D,Non-fund based working capital limit,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
P V R Projects Ltd.,CARE | ICRA | IND-RA,3,2025-10-10,BBB+/A 3+,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Matrix Roller Mill Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2025-10-14,B-,Fund based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Peerless Hospital Guwahati Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2025-10-14,D,Term loans,MEDIUM,MEDIUM,Healthcare,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
D & M Cables Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2025-10-16,B-,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Agile Real Estate Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-10-20,B+,Fund based financial facility/instrument,MEDIUM,MEDIUM,Construction,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
I T I Ltd.,ACUITE | ICRA | IND-RA,3,2025-10-20,BB-,Long term Loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tata Capital Housing Finance Ltd.,CRISIL | ICRA | IND-RA,3,2025-10-23,AAA,Long term Loans,MEDIUM,MEDIUM,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Omsai Udyog India Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-10-24,D,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Oshina Expo Pvt. Ltd.,ACUITE | CARE | ICRA,3,2025-10-29,A 4,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Spica Projects & Infrastructures Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2025-10-29,A 4,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Wellcome Fisheries Ltd.,CARE | CRISIL | IND-RA,3,2025-10-30,B,Term loans,MEDIUM,MEDIUM,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Adarsha Auto World Pvt. Ltd.,CARE | ICRA | IND-RA,3,2025-11-04,B+/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
India Steel Continental Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2025-11-04,B-,Term loans,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ion Healthcare Pvt. Ltd.,ACUITE | CARE | IND-RA,3,2025-11-04,B,Term loans,MEDIUM,MEDIUM,Healthcare,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Surya Electricals & Engineers Pvt. Ltd.,ACUITE | CARE | IND-RA,3,2025-11-04,A 4,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Yashoda Hospital & Research Centre Ltd.,BRICKWORK | CARE | CRISIL,3,2025-11-04,BBB+,Term loans,MEDIUM,MEDIUM,Healthcare,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Wave Beverages Pvt. Ltd.,CARE | ICRA | IND-RA,3,2025-11-06,BB+,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aplab Ltd.,ACUITE | BRICKWORK | ICRA,3,2025-11-11,D,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Varalakshmi Starch Inds. Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-11-11,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mohammed Enterprises Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-11-12,BB/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shree Subhlaxmi Foods Ltd.,ACUITE | CARE | CRISIL,3,2025-11-13,D,Long term Loans,MEDIUM,MEDIUM,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Goodwill Fabrics Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2025-11-19,B,Term loans,MEDIUM,MEDIUM,Textiles,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
I C I C I Bank Ltd.,CARE | CRISIL | ICRA,3,2025-11-19,AA+,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Silvertoan Papers Ltd.,BRICKWORK | CARE | CRISIL,3,2025-11-21,BB,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Megha Fruit Processing Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL,3,2025-11-24,A 4+,Letter Of credit,MEDIUM,MEDIUM,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Safety Controls & Devices Ltd.,ACUITE | CRISIL | IND-RA,3,2025-11-24,B-/A4,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
A K Infraprojects Pvt. Ltd.,ACUITE | BRICKWORK | CARE,3,2025-11-26,A 2,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tata Motors Ltd.,CARE | CRISIL | ICRA,3,2025-11-26,A 1+,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Power Company Of Karnataka Ltd.,BRICKWORK | CARE | IND-RA,3,2025-11-27,A,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tata Motors Passenger Vehicles Ltd.,CARE | CRISIL | ICRA,3,2025-11-27,AA+,Fund based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Keshav Holiday Resort Pvt. Ltd.,BRICKWORK | CRISIL | ICRA,3,2025-11-28,B,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
O N G C Petro Additions Ltd.,CRISIL | ICRA | IND-RA,3,2025-11-28,AA+,Fund based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Pes Installations Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-11-28,B+,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Apex Coco & Solar Energy Ltd.,BRICKWORK | CARE | IND-RA,3,2025-12-02,D,Fund based financial facility/instrument,MEDIUM,MEDIUM,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aqua Machineries Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL,3,2025-12-03,A 3,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Axis Finance Ltd.,CARE | CRISIL | IND-RA,3,2025-12-05,PP-MLD AAA,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Chalet Hotels Ltd.,CRISIL | ICRA | IND-RA,3,2025-12-05,AA-,Fund based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Maa Shitala Agro Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-12-05,A 4,Bank Guarantee,MEDIUM,MEDIUM,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shree Rameshwar Lal Foods Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-12-05,BB-/A4,Non-government debt,MEDIUM,MEDIUM,Agro/Food,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
J B Ecotex Ltd.,ACUITE | CRISIL | IND-RA,3,2025-12-08,BBB,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Global Technocrats Ltd.,ACUITE | CARE | CRISIL,3,2025-12-10,B+,Long term Loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Baroda Agro Chemicals Ltd.,BRICKWORK | CARE | ICRA,3,2025-12-11,D,Short-term loan,MEDIUM,MEDIUM,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Lodha Developers Ltd.,CRISIL | ICRA | IND-RA,3,2025-12-12,A 1+,Bank Guarantee,MEDIUM,MEDIUM,Construction,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aditya Precitech Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-12-15,BB-,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Biocon Ltd.,CRISIL | ICRA | IND-RA,3,2025-12-16,AA+/A1+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
P N Gawande Gng. Prsg. & Oil Mill Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-12-16,B-,Fund based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S N Dairy Foods Pvt. Ltd.,ACUITE | BRICKWORK | CARE,3,2025-12-16,B-,Term loans,LOW,LOW,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Dalkan Ship Breaking Ltd.,BRICKWORK | CRISIL | IND-RA,3,2025-12-17,BB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Abhiraj Engicon Pvt. Ltd.,BRICKWORK | CARE | IND-RA,3,2025-12-19,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kairali Steels & Alloys Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2025-12-19,B/A4,Non-government debt,LOW,LOW,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Rydak Syndicate Ltd.,ACUITE | CRISIL | IND-RA,3,2025-12-19,B/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sambandam Spinning Mills Ltd.,BRICKWORK | CRISIL | IND-RA,3,2025-12-19,A 4+,Term loans,LOW,LOW,Textiles,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shrikishan & Co. Pvt. Ltd.,ACUITE | CRISIL | IND-RA,3,2025-12-19,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tourism Finance Corpn. Of India Ltd.,ACUITE | BRICKWORK | CARE,3,2025-12-22,A+,Term loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Perfect Mettcast Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2025-12-23,A 4,Letter Of credit,LOW,LOW,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shreegopal Gobind Agro Tech Pvt. Ltd.,BRICKWORK | ICRA | IND-RA,3,2025-12-23,B+,Term loans,LOW,LOW,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Suraj Logistix Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2025-12-23,A 4,Letter Of credit,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aadhi Cars Pvt. Ltd.,CRISIL | ICRA | IND-RA,3,2025-12-24,BB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Annapurna Finance Pvt. Ltd.,CARE | CRISIL | ICRA,3,2025-12-26,A-,Long term Loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Brahmani Developers Pvt. Ltd.,ACUITE | BRICKWORK | IND-RA,3,2025-12-26,A 4,Bank Guarantee,LOW,LOW,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Infrastructure Leasing & Financial Services Ltd.,CARE | ICRA | IND-RA,3,2025-12-26,D,Non-government debt,LOW,LOW,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Vistaar Financial Services Pvt. Ltd.,CARE | ICRA | IND-RA,3,2025-12-26,A+,Term loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Jay Bee Laminations Ltd.,ACUITE | BRICKWORK | CARE,3,2025-12-29,BBB/A3+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Paramount Textile Mills Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2025-12-29,A-,Term loans,LOW,LOW,Textiles,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bagkiya Constructions Pvt. Ltd.,ACUITE | CARE | CRISIL,3,2025-12-30,A 4,Letter Of credit,LOW,LOW,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Indian Farmers Fertiliser Co-Op. Ltd.,CRISIL | ICRA | IND-RA,3,2025-12-30,A 1+,Non-fund-based financial facility/instrument,LOW,LOW,Agro/Food,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sembcorp Green Infra Pvt. Ltd.,CRISIL | ICRA | IND-RA,3,2025-12-30,AA+,Long term Loans,LOW,LOW,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
