Infomerics Name,d365 Name,Infomerics Normalized,d365 Normalized,Match Score,Match Quality,INF Instrument,INF Rating,INF Rating Date,INF Urgency,Sector,d365 Agency,d365 Instrument,d365 Rating,d365 Rating Date,d365 Urgency,d365 INC,Why Target
Share India Securities Limited,Share India Securities Ltd.,SHARE  SECURITIES,SHARE  SECURITIES,100.0,EXACT,Proposed Short term - non-fund-based limit,IVR A4+ (INC)(Downgraded),2025-09-22,MEDIUM,Other/Unknown,CRISIL,Long term Loans,A+,2026-01-13,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Sai Industries Private Limited,Sai Industries Pvt. Ltd.,SAI,SAI,100.0,EXACT,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-11-12,MEDIUM,Other/Unknown,CARE,Letter Of credit,A 4,2025-07-23,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Genesis Institute of Medical Science Private Limited,Genesis Institute Of Medical Science Pvt. Ltd.,GENESIS INSTITUTE OF MEDICAL SCIENCE,GENESIS INSTITUTE OF MEDICAL SCIENCE,100.0,EXACT,Equipment Finance Loan,Withdrawn,2024-11-29,HIGH,Education,BRICKWORK,Term loans,C,2025-10-16,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Amanta Healthcare Limited,Amanta Healthcare Ltd.,AMANTA HEALTHCARE,AMANTA HEALTHCARE,100.0,EXACT,Long Term Bank Facilities,IVR BB+ (Reaffirmed and Withdrawn),2025-01-13,HIGH,Healthcare,CRISIL,Long term Loans,BBB,2026-02-16,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Marc Enterprises Private Limited,Marc Enterprises Pvt. Ltd.,MARC,MARC,100.0,EXACT,Short Term Bank Facilities,IVR A3 (Reaffirmed),2026-01-14,LOW,Other/Unknown,BRICKWORK,Term loans,BB-,2025-08-29,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Life Care Logistic Private Limited,Life Care Logistic Pvt. Ltd.,LIFE CARE LOGISTIC,LIFE CARE LOGISTIC,100.0,EXACT,Long Term Facilities,IVR BBB- (Upgraded),2025-07-01,MEDIUM,Logistics,ACUITE,Term loans,BB,2025-08-12,MEDIUM,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Isprout Business Centre Private Limited,Isprout Business Centre Pvt. Ltd.,ISPROUT BUSINESS CENTRE,ISPROUT BUSINESS CENTRE,100.0,EXACT,Non-Convertible Debentures,Withdrawn,2025-09-22,MEDIUM,Other/Unknown,IND-RA,Term loans,BBB-,2025-06-05,HIGH,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Youngman Woollen Mills Private Limited,Youngman Woollen Mills Pvt. Ltd.,YOUNGMAN WOOLLEN MILLS,YOUNGMAN WOOLLEN MILLS,100.0,EXACT,Long Term Bank Facilities,IVR BB (INC) (Downgraded),2025-11-10,MEDIUM,Other/Unknown,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-10-27,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Satin Creditcare Network Limited,Satin Creditcare Network Ltd.,SATIN CREDITCARE NETWORK,SATIN CREDITCARE NETWORK,100.0,EXACT,Proposed Non-Convertible Debentures (NCDs),IVR A (Assigned),2025-07-01,MEDIUM,BFSI,ICRA,Non-government debt,A/A1,2026-03-10,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Axel Polymers Limited,Axel Polymers Ltd.,AXEL POLYMERS,AXEL POLYMERS,100.0,EXACT,Short Term Fund Based Bank Facilities,IVR A4 (Reaffirmed),2025-10-16,MEDIUM,Chemicals,CRISIL,Letter Of credit,A 4,2025-12-12,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Pasupati Aquatics Private Limited,Pasupati Aquatics Pvt. Ltd.,PASUPATI AQUATICS,PASUPATI AQUATICS,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-08-12,MEDIUM,Other/Unknown,ACUITE,Bank Guarantee,A 4,2025-12-09,MEDIUM,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Kasturi Aqua Life Products Private Limited,Kasturi Aqua Life Products Pvt. Ltd.,KASTURI AQUA LIFE PRODUCTS,KASTURI AQUA LIFE PRODUCTS,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-08-12,MEDIUM,Other/Unknown,ACUITE,Long term Loans,C,2025-11-14,MEDIUM,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Dairy India Private Limited,Dairy India Pvt. Ltd.,DAIRY,DAIRY,100.0,EXACT,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-06-16,MEDIUM,Agro/Food,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-11-18,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Ananda Dairy Limited,Ananda Dairy Intl. Ltd.,ANANDA DAIRY,ANANDA DAIRY,100.0,EXACT,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-06-16,MEDIUM,Agro/Food,BRICKWORK,Fund based financial facility/instrument,B+,2025-11-18,MEDIUM,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Goa Ispat Private Limited,Goa Ispat Pvt. Ltd.,GOA ISPAT,GOA ISPAT,100.0,EXACT,Long Term/ Short Term Bank Facilities- Proposed,IVR BBB-/IVR A3 (Reaffirmed),2025-12-17,LOW,Other/Unknown,ICRA,Non-fund-based financial facility/instrument,A 4,2026-04-17,LOW,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Amartex Industries Limited,Amartex Industries Ltd.,AMARTEX,AMARTEX,100.0,EXACT,Long Term Fund Based Bank Facilities - Cash Credit,Withdrawn,2023-10-11,HIGH,Other/Unknown,BRICKWORK,Non-government debt,B/A4,2026-02-19,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Shreeji Infrastructure India Private Limited,Shreeji Infrastructure India Pvt. Ltd.,SHREEJI INFRASTRUCTURE,SHREEJI INFRASTRUCTURE,100.0,EXACT,Long Term Bank Facilities,IVR A- (Upgraded),2025-08-12,MEDIUM,Infrastructure,IND-RA,Non-government debt,B-/A4,2026-04-02,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Him Urja Private Limited,Him Urja Pvt. Ltd.,HIM URJA,HIM URJA,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Downgraded),2025-04-03,HIGH,Other/Unknown,IND-RA,Term loans,BBB-,2025-06-17,MEDIUM,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Sakthi Ferro Alloys (India) Private Limited,Sakthi Ferro Alloys (India) Pvt. Ltd.,SAKTHI FERRO ALLOYS (),SAKTHI FERRO ALLOYS (),100.0,EXACT,Short Term Bank Facilities,IVR A4 (Reaffirmed and Withdrawn),2025-03-17,HIGH,Steel & Metals,CARE,Non-government debt,BB+/A4+,2025-06-26,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Rasik Products Private Limited,Rasik Products Pvt. Ltd.,RASIK PRODUCTS,RASIK PRODUCTS,100.0,EXACT,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-11-04,MEDIUM,Other/Unknown,ACUITE,Bank Guarantee,A 4,2025-08-04,MEDIUM,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Yug International Private Limited,Yug International Pvt. Ltd.,YUG,YUG,100.0,EXACT,Long Term Facilities,IVR BB (Downgraded),2025-05-26,HIGH,Other/Unknown,IND-RA,Non-government debt,B/A4,2025-09-11,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Jammu Pigments Limited,Jammu Pigments Ltd.,JAMMU PIGMENTS,JAMMU PIGMENTS,100.0,EXACT,Long Term Bank Facilities,IVR A (Upgraded),2025-01-27,HIGH,Other/Unknown,BRICKWORK,Fund based financial facility/instrument,A 4,2026-03-02,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Krishna CorpIndia Private Limited,Krishna Corpindia Pvt. Ltd.,KRISHNA,KRISHNA,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-09-19,MEDIUM,Other/Unknown,CRISIL,Long term Loans,A-,2026-03-10,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Disha Industries Private Limited,Disha Industries Pvt. Ltd.,DISHA,DISHA,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Upgraded),2025-02-24,HIGH,Other/Unknown,BRICKWORK,Term loans,BBB,2026-03-30,LOW,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Shyam Indofab Private Limited,Shyam Indofab Pvt. Ltd.,SHYAM INDOFAB,SHYAM INDOFAB,100.0,EXACT,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-01-22,HIGH,Other/Unknown,IND-RA,Non-government debt,D,2026-01-16,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Apollo Computing Laboratories Private Limited,Apollo Computing Laboratories Pvt. Ltd.,APOLLO COMPUTING LABORATORIES,APOLLO COMPUTING LABORATORIES,100.0,EXACT,Long Term Bank Facilities,IVR BB+ (Upgraded),2026-02-10,LOW,Other/Unknown,IND-RA,Non-fund based working capital limit,A 4,2025-06-25,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Sara Textiles Limited,Sara Textiles Ltd.,SARA TEXTILES,SARA TEXTILES,100.0,EXACT,Short Term bank Facilities,IVR A3+ (Reaffirmed),2025-10-27,MEDIUM,Textiles,BRICKWORK,Letter Of credit,A 4,2025-07-29,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Everrenew Energy Private Limited,Everrenew Energy Pvt. Ltd.,EVERRENEW ENERGY,EVERRENEW ENERGY,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-05-26,HIGH,Infrastructure,IND-RA,Non-government debt,BB/A4+,2026-04-13,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Shristi Cotspinn Private Limited,Shristi Cotspinn Pvt. Ltd.,SHRISTI COTSPINN,SHRISTI COTSPINN,100.0,EXACT,Long Term Bank Facilities,IVR BB+ (Reaffirmed),2025-10-31,MEDIUM,Other/Unknown,IND-RA,Non-government debt,B-/A4,2025-08-21,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Derewala Industries Limited,Derewala Industries Ltd.,DEREWALA,DEREWALA,100.0,EXACT,Long Term Facilities,Withdrawn,2024-08-29,HIGH,Other/Unknown,CARE,Term loans,BBB+,2025-10-01,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Nirmal Buildinfra Private Limited,Nirmal Buildinfra Pvt. Ltd.,NIRMAL BUILDINFRA,NIRMAL BUILDINFRA,100.0,EXACT,Short Term Bank Facilities,Withdrawn,2025-10-24,MEDIUM,Infrastructure,BRICKWORK,Term loans,BB-,2026-03-13,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Nalanda Engicon Private Limited,Nalanda Engicon Pvt. Ltd.,NALANDA ENGICON,NALANDA ENGICON,100.0,EXACT,Long Term Bank Facilities,IVR BBB+ (upgraded and withdrawn),2024-10-03,HIGH,Other/Unknown,CARE,Bank Guarantee,A 4,2026-04-16,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Opera Global Private Limited,Opera Global Pvt. Ltd.,OPERA GLOBAL,OPERA GLOBAL,100.0,EXACT,Long Term Bank Facilities / Short Term Bank Facilities,IVR BB- / IVR A4 ; (INC) (Downgraded / Reaffirmed),2025-10-17,MEDIUM,Other/Unknown,CRISIL,Term loans,BB,2025-08-07,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Swastika Infra Private Limited,Swastika Infra Ltd.,SWASTIKA INFRA,SWASTIKA INFRA,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (Reaffirmed and Withdrawn),2024-09-03,HIGH,Infrastructure,CRISIL,Bank Guarantee,A 2,2026-04-02,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Lyrus Life Sciences Private Limited,Lyrus Life Sciences Pvt. Ltd.,LYRUS LIFE SCIENCES,LYRUS LIFE SCIENCES,100.0,EXACT,Short Term Bank Facilities,Withdrawn,2024-07-11,HIGH,Other/Unknown,BRICKWORK,Letter Of credit,A 4,2025-09-18,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Aerospace Processing India Private Limited,Aerospace Processing India Pvt. Ltd.,AEROSPACE PROCESSING,AEROSPACE PROCESSING,100.0,EXACT,Long Term Bank Facilities,IVR BB (Downgraded and Withdrawn),2025-08-08,MEDIUM,Other/Unknown,CARE,Term loans,BBB-,2025-07-07,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
AeroStructures Manufacturing India Private Limited,Aerostructures Manufacturing India Pvt. Ltd.,AEROSTRUCTURES MANUFACTURING,AEROSTRUCTURES MANUFACTURING,100.0,EXACT,Long Term Bank Facilities,IVR BB (Downgraded and Withdrawn),2025-08-08,MEDIUM,Other/Unknown,CARE,Term loans,BBB,2025-07-07,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Shree Krishna Rolling Mills (Jaipur) Limited,Shree Krishna Rolling Mills (Jaipur) Ltd.,SHREE KRISHNA ROLLING MILLS (JAIPUR),SHREE KRISHNA ROLLING MILLS (JAIPUR),100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-10-13,MEDIUM,Other/Unknown,CRISIL,Fund based financial facility/instrument,B,2025-12-18,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Voltech Engineers Private Limited,Voltech Engineers Pvt. Ltd.,VOLTECH ENGINEERS,VOLTECH ENGINEERS,100.0,EXACT,Long term Bank Facilities,IVR BBB- (Reaffirmed),2025-11-25,MEDIUM,Other/Unknown,BRICKWORK,Bank Guarantee,A 4,2026-03-27,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Geokno India Private Limited,Geokno India Pvt. Ltd.,GEOKNO,GEOKNO,100.0,EXACT,Long Term Bank Facilities,Withdrawn,2025-08-11,MEDIUM,Other/Unknown,ACUITE,Bank Guarantee,A 4,2025-12-30,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Deoghar Industries Private Limited,Deoghar Industries Pvt. Ltd.,DEOGHAR,DEOGHAR,100.0,EXACT,Long Term Facilities - Cash Credit,IVR BB (Reaffirmed),2025-09-25,MEDIUM,Other/Unknown,CRISIL,Term loans,B,2025-07-17,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Squad Forging India Private Limited,Squad Forging India Pvt. Ltd.,SQUAD FORGING,SQUAD FORGING,100.0,EXACT,Short Term Bank Facilities,IVR A4 (Downgraded) (Withdrawn),2025-08-08,MEDIUM,Other/Unknown,CARE,Term loans,BBB-,2025-07-07,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Karbonsteel Engineering Limited,Karbonsteel Engineering Ltd.,KARBONSTEEL ENGINEERING,KARBONSTEEL ENGINEERING,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-11-14,MEDIUM,Steel & Metals,CRISIL,Letter Of credit,A 3+,2025-11-28,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Aequs Engineered Plastics Private Limited,Aequs Engineered Plastics Pvt. Ltd.,AEQUS ENGINEERED PLASTICS,AEQUS ENGINEERED PLASTICS,100.0,EXACT,Short Term Bank Facilities,IVR A4 (Downgraded and Withdrawn),2025-08-08,MEDIUM,Chemicals,CARE,Non-government debt,BB+/A4+,2025-07-07,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Wave Industries Private Limited,Wave Industries Pvt. Ltd.,WAVE,WAVE,100.0,EXACT,Short Term Bank Facility,IVR A3 (Reaffirmed),2025-03-31,HIGH,Other/Unknown,CRISIL,Bank Guarantee,A 4,2025-11-27,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Ambashakti Udyog Limited,Ambashakti Udyog Ltd.,AMBASHAKTI UDYOG,AMBASHAKTI UDYOG,100.0,EXACT,Short Term Bank Facilities,IVR A2 (Reaffirmed),2025-10-22,MEDIUM,Other/Unknown,CARE,Letter Of credit,A 4,2026-02-09,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Rana Milk Foods Private Limited,Rana Milk Foods Pvt. Ltd.,RANA MILK FOODS,RANA MILK FOODS,100.0,EXACT,Long Term/Short Term Bank Facilities,IVR D /IVR D; (INC) (Reaffirmed),2025-12-08,MEDIUM,Agro/Food,IND-RA,Term loans,D,2026-01-16,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Vikrma Impex Private Limited,Vikrma Impex Pvt. Ltd.,VIKRMA IMPEX,VIKRMA IMPEX,100.0,EXACT,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2025-07-15,MEDIUM,Other/Unknown,ACUITE,Bank Guarantee,A 4,2026-04-17,LOW,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Shinde Developers Private Limited,Shinde Developers Pvt. Ltd.,SHINDE DEVELOPERS,SHINDE DEVELOPERS,100.0,EXACT,Short term Bank Facilities,IVR A3 (Upgraded),2025-08-01,MEDIUM,Construction,IND-RA,Non-government debt,B-/A4,2026-04-02,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Kallam Textiles Limited,Kallam Textiles Ltd.,KALLAM TEXTILES,KALLAM TEXTILES,100.0,EXACT,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-10-29,MEDIUM,Textiles,CARE,Non-government debt,D,2026-02-09,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Ajaydeep Infracon Private Limited,Ajaydeep Infracon Pvt. Ltd.,AJAYDEEP INFRACON,AJAYDEEP INFRACON,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Upgraded) (Withdrawn),2025-07-03,MEDIUM,Infrastructure,CRISIL,Bank Guarantee,A 4+,2026-02-12,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Siddhi Knitfab Private Limited,Siddhi Knitfab Pvt. Ltd.,SIDDHI KNITFAB,SIDDHI KNITFAB,100.0,EXACT,Long Term Bank Facilities,IVR BB+ (CE)(Upgraded),2025-05-23,HIGH,Other/Unknown,BRICKWORK,Term loans,BB-,2025-11-25,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
United Polyfab Gujarat Limited,United Polyfab Gujarat Ltd.,UNITED POLYFAB GUJARAT,UNITED POLYFAB GUJARAT,100.0,EXACT,Long Term Bank Facilities,IVR BBB (Upgraded),2025-07-30,MEDIUM,Other/Unknown,BRICKWORK,Term loans,B+,2025-11-19,MEDIUM,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Chemi Tech Engineers Private Limited,Chemi Tech Engineers Pvt. Ltd.,CHEMI TECH ENGINEERS,CHEMI TECH ENGINEERS,100.0,EXACT,Short Term Bank Facility,IVR A3 (Upgraded),2025-02-06,HIGH,Chemicals,BRICKWORK,Non-government debt,C/A4,2026-02-25,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Nature Delight Dairy & Dairy Products Private Limited,Nature Delight Dairy & Dairy Products Pvt. Ltd.,NATURE DELIGHT DAIRY & DAIRY PRODUCTS,NATURE DELIGHT DAIRY & DAIRY PRODUCTS,100.0,EXACT,Long Term Facilities,IVR BBB- (INC)(Downgraded),2026-02-09,LOW,Agro/Food,CRISIL,Term loans,BBB,2025-08-21,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Sitaram Spinners Private Limited,Sitaram Spinners Pvt. Ltd.,SITARAM SPINNERS,SITARAM SPINNERS,100.0,EXACT,Long Term Bank Facilities,IVR BBB+ (Reaffirmed and Withdrawn),2023-03-31,HIGH,Other/Unknown,CRISIL,Long term Loans,BBB+,2025-10-31,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Bank of Maharashtra,Bank Of Maharashtra,BANK OF MAHARASHTRA,BANK OF MAHARASHTRA,100.0,EXACT,Basel-III Compliant Tier-II Bonds,IVR AA+ (Reaffirmed),2025-03-13,HIGH,BFSI,BRICKWORK,Debentures / Bonds / notes / bills,AA+,2026-01-22,LOW,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Satnam Global Infraprojects Limited,Satnam Global Infraprojects Ltd.,SATNAM GLOBAL INFRAPROJECTS,SATNAM GLOBAL INFRAPROJECTS,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (Upgraded),2025-05-13,HIGH,Infrastructure,BRICKWORK,Letter Of credit,D,2025-06-19,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Eppeltone Engineers Private Limited,Eppeltone Engineers Ltd.,EPPELTONE ENGINEERS,EPPELTONE ENGINEERS,100.0,EXACT,Short Term Non- Fund Based Bank Facilities - Bank Guarantee,IVR A4 (INC)(Reaffirmed),2025-04-02,HIGH,Other/Unknown,CRISIL,Bank Guarantee,A 4,2026-04-28,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Supreme Auto Carrier Private Limited,Supreme Auto Carrier Pvt. Ltd.,SUPREME AUTO CARRIER,SUPREME AUTO CARRIER,100.0,EXACT,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-06-18,MEDIUM,Other/Unknown,BRICKWORK,Term loans,BBB-,2025-07-03,MEDIUM,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Harsh Constructions Private Limited,Harsh Constructions Pvt. Ltd.,HARSH CONSTRUCTIONS,HARSH CONSTRUCTIONS,100.0,EXACT,Long Term Bank Facilities - Cash Credit,IVR A- (Upgraded),2025-04-22,HIGH,Construction,CRISIL,Fund based financial facility/instrument,A-,2026-01-30,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Divine Motors Private Limited,Divine Motors Pvt. Ltd.,DIVINE MOTORS,DIVINE MOTORS,100.0,EXACT,Long Term Bank Facilities,IVR BB- (Upgraded),2025-12-23,LOW,Other/Unknown,BRICKWORK,Term loans,B+,2025-06-09,HIGH,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Prolific Papers Private Limited,Prolific Papers Pvt. Ltd.,PROLIFIC PAPERS,PROLIFIC PAPERS,100.0,EXACT,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-10-07,MEDIUM,Other/Unknown,BRICKWORK,Term loans,BB,2026-03-31,LOW,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Sangita Sales Private Limited,Sangita Sales Pvt. Ltd.,SANGITA SALES,SANGITA SALES,100.0,EXACT,Short Term Bank Facilities,IVR A3+ (Reaffirmed),2025-09-25,MEDIUM,Other/Unknown,BRICKWORK,Letter Of credit,A 4,2026-04-08,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Esspal International Private Limited,Esspal International Pvt. Ltd.,ESSPAL,ESSPAL,100.0,EXACT,Long Term Bank Facility,IVR BB (INC)(Downgraded),2025-09-30,MEDIUM,Other/Unknown,ACUITE,Term loans,BB-,2026-01-02,LOW,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Gem Sugars Limited,Gem Sugars Ltd.,GEM SUGARS,GEM SUGARS,100.0,EXACT,Long Term Bank Facilities,IVR B (INC)(Downgraded),2025-09-22,MEDIUM,Agro/Food,CRISIL,Long term Loans,BB,2026-03-09,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Shivakriti International Limited,Shivakriti International Ltd.,SHIVAKRITI,SHIVAKRITI,100.0,EXACT,Long Term Bank Facilities,IVR BBB+ (Reaffirmed and Withdrawn),2024-08-29,HIGH,Other/Unknown,CRISIL,Fund based financial facility/instrument,BBB+,2026-04-30,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Vanilla Clean Power Private Limited,Vanilla Clean Power Pvt. Ltd.,VANILLA CLEAN POWER,VANILLA CLEAN POWER,100.0,EXACT,Long Term Instruments/ Facilities,Withdrawn,2024-08-13,HIGH,Infrastructure,CRISIL,Term loans,AA+,2025-12-30,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Aanjaney Rail Private Limited,Aanjaney Rail Pvt. Ltd.,AANJANEY RAIL,AANJANEY RAIL,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (Upgraded and Withdrawn),2025-06-12,HIGH,Other/Unknown,CRISIL,Bank Guarantee,A 3,2026-03-04,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Tulip Compression Private Limited,Tulip Compression Pvt. Ltd.,TULIP COMPRESSION,TULIP COMPRESSION,100.0,EXACT,Long Term Bank Facilities,IVR BBB (Reaffirmed and Withdrawn),2025-07-07,MEDIUM,Other/Unknown,IND-RA,Term loans,BBB+,2025-05-22,HIGH,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Kishore Infrastructures Private Limited,Kishore Infrastructures Pvt. Ltd.,KISHORE INFRASTRUCTURES,KISHORE INFRASTRUCTURES,100.0,EXACT,Long Term Bank Facilities â€“   Open Cash Credit,IVR BBB- (Reaffirmed),2025-11-24,MEDIUM,Infrastructure,ACUITE,Bank Guarantee,A 4+,2025-07-14,MEDIUM,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Man Structurals Private Limited,Man Structurals Pvt. Ltd.,MAN STRUCTURALS,MAN STRUCTURALS,100.0,EXACT,Short Term Bank Facilities,IVR A3+ (Reaffirmed),2025-12-01,MEDIUM,Other/Unknown,CRISIL,Letter Of credit,A 3+,2026-02-28,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
