Company Name,Current Rater,Instrument,Rating,Rating Date,Days Since Rating,Days Overdue,Urgency,Status,Sector,Why Target,Pitch Angle
Neuland Laboratories Ltd.,IND-RA,Term loans,A+,2025-05-07,401,36,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Stone India Ltd.,CARE,Bank Guarantee,D,2025-05-07,401,36,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Stone India Ltd.,CARE,Letter Of credit,D,2025-05-07,401,36,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Cucku Enterprises Pvt. Ltd.,CARE,Non-government debt,D,2025-05-07,401,36,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Stone India Ltd.,CARE,Term loans,D,2025-05-07,401,36,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Cosmos Infra Engg. (India) Pvt. Ltd.,CARE,Term loans,C,2025-05-07,401,36,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sri Lakshmi Godavari Spinning Mills Pvt. Ltd.,CARE,Bank Guarantee,D,2025-05-07,401,36,HIGH,Downgraded,Textiles,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Stone India Ltd.,CARE,Bank Guarantee,D,2025-05-07,401,36,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sri Lakshmi Godavari Spinning Mills Pvt. Ltd.,CARE,Non-government debt,D,2025-05-07,401,36,HIGH,Downgraded,Textiles,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Siyaram Granito Pvt. Ltd.,ACUITE,Term loans,BBB-,2025-05-07,401,36,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Y F C Projects Pvt. Ltd.,ACUITE,Term loans,D,2025-05-07,401,36,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Ashoka Bettadahalli Shivamogga Road Pvt. Ltd.,CRISIL,Term loans,A,2025-05-07,401,36,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Danish Power Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 2,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Dayal Cotspin Ltd.,CRISIL,Long term Loans,D,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
West Bengal State Electricity Distribution Co. Ltd.,ACUITE,Term loans,BBB+,2025-05-08,400,35,HIGH,Upgraded,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Supermax Personal Care Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Supermax Personal Care Pvt. Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,D,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Supermax Personal Care Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Swastik Cement Products Pvt. Ltd.,CARE,Fund based financial facility/instrument,C,2025-05-08,400,35,HIGH,Reaffirmed,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Copral Energy Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-05-08,400,35,HIGH,Initial Rating,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Yogiji Digi Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Star Housing Finance Ltd.,IND-RA,Term loans,BBB,2025-05-08,400,35,HIGH,Reaffirmed,BFSI,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
B-One Business House Pvt. Ltd.,CRISIL,Long term Loans,BBB+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Lanco Babandh Power Ltd.,CARE,Non-government debt,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Lanco Babandh Power Ltd.,CARE,Term loans,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Lakra Industries Ltd.,BRICKWORK,Term loans,D,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Andhra Cements Ltd.,IND-RA,Term loans,BBB,2025-05-08,400,35,HIGH,Initial Rating,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bhagwati Products Ltd.,IND-RA,Non-fund based working capital limit,A 2+,2025-05-08,400,35,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Easthooghly Agro Plantation Pvt. Ltd.,CARE,Term loans,B+,2025-05-08,400,35,HIGH,Downgraded,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Shobha Woollens Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
West Bengal State Electricity Distribution Co. Ltd.,ACUITE,Bank Guarantee,A 2,2025-05-08,400,35,HIGH,Upgraded,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
West Bengal State Electricity Distribution Co. Ltd.,ACUITE,Letter Of credit,A 2,2025-05-08,400,35,HIGH,Upgraded,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
West Bengal State Electricity Distribution Co. Ltd.,ACUITE,Letter Of credit,A 2,2025-05-08,400,35,HIGH,Upgraded,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
West Bengal State Electricity Distribution Co. Ltd.,ACUITE,Long term Loans,BBB+,2025-05-08,400,35,HIGH,Initial Rating,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Yogiji Digi Ltd.,CRISIL,Letter Of credit,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Yogiji Digi Ltd.,CRISIL,Long term Loans,B,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Andhra Cements Ltd.,IND-RA,Non-fund based working capital limit,A 3+,2025-05-08,400,35,HIGH,Downgraded,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
B-One Business House Pvt. Ltd.,CRISIL,Long term Loans,BBB+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Andhra Cements Ltd.,IND-RA,Term loans,BBB,2025-05-08,400,35,HIGH,Downgraded,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Andhra Cements Ltd.,IND-RA,Term loans,BBB,2025-05-08,400,35,HIGH,Initial Rating,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Kamat Yatriniwas Pvt. Ltd.,BRICKWORK,Term loans,D,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Kopell Grounding Systems Ltd.,IND-RA,Non-fund based working capital limit,A 3,2025-05-08,400,35,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Global Powersource (India) Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Global Powersource (India) Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Global Powersource (India) Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Palani Andavar Mills Pvt. Ltd.,IND-RA,Term loans,BB+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
P E Erectors Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
P E Erectors Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Palani Andavar Mills Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
C E Serviced Offices Pvt. Ltd.,CRISIL,Long term Loans,B,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
C E Serviced Offices Pvt. Ltd.,CRISIL,Term loans,B,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Ramalingam Construction Co. Pvt. Ltd.,CRISIL,Long term Loans,A-,2025-05-08,400,35,HIGH,Reaffirmed,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
G M A Pinnacle Automotives Pvt. Ltd.,IND-RA,Term loans,B,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
G M A Pinnacle Automotives Pvt. Ltd.,IND-RA,Term loans,B,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Ramalingam Construction Co. Pvt. Ltd.,CRISIL,Bank Guarantee,A 2+,2025-05-08,400,35,HIGH,Reaffirmed,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Ujjain Suhagadi Highway Pvt. Ltd.,IND-RA,Term loans,BBB-,2025-05-08,400,35,HIGH,Initial Rating,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Uflex Ltd.,CRISIL,Fund based financial facility/instrument,AA-,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Uflex Ltd.,CRISIL,Fund based financial facility/instrument,AA-,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Uflex Ltd.,CRISIL,Long term Loans,AA-,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Uflex Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 1+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
S M P Exim Pvt. Ltd.,CRISIL,Long term Loans,B,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Exemplary Hotels Pvt. Ltd.,IND-RA,Term loans,BB-,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
S C S Tech India Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Aishwaryagiri Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Alom Poly Extrusions Ltd.,CARE,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Lanco Vidarbha Thermal Power Ltd.,CARE,Bank Guarantee,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Lanco Vidarbha Thermal Power Ltd.,CARE,Term loans,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
True Credits Pvt. Ltd.,CRISIL,Long term Loans,BBB,2025-05-08,400,35,HIGH,Reaffirmed,BFSI,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Morgan Agrotech Ltd.,CARE,Term loans,B-,2025-05-08,400,35,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
I L & F S Transportation Networks Ltd.,IND-RA,Term loans,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Motherland Garments Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-05-08,400,35,HIGH,Reaffirmed,Textiles,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
I-Design Engineering Solutions Ltd.,IND-RA,Non-fund based working capital limit,A 3+,2025-05-08,400,35,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
I-Design Engineering Solutions Ltd.,IND-RA,Non-fund based working capital limit,A 3+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
I-Design Engineering Solutions Ltd.,IND-RA,Term loans,BBB,2025-05-08,400,35,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Ideas Electricals & Engineers Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Metal Storage Systems Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Metal Storage Systems Pvt. Ltd.,BRICKWORK,Term loans,C,2025-05-08,400,35,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Mahakaleshwar Infratech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Downgraded,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Mahak Synthetics Mills Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Mahak Synthetics Mills Pvt. Ltd.,CRISIL,Term loans,B,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Mangalam Metals & Ores Ltd.,CRISIL,Fund based financial facility/instrument,B,2025-05-08,400,35,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Manku Agrotech Pvt. Ltd.,CRISIL,Long term Loans,B,2025-05-08,400,35,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bhagwati Products Ltd.,IND-RA,Term loans,BBB+,2025-05-08,400,35,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bhagwati Products Ltd.,IND-RA,Term loans,BBB+,2025-05-08,400,35,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
A G S Transact Technologies Ltd.,IND-RA,Term loans,D,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bharat Serums & Vaccines Ltd. [Merged],ICRA,Fund based financial facility/instrument,AA,2025-05-08,400,35,HIGH,Upgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bharat Serums & Vaccines Ltd. [Merged],ICRA,Non-government debt,AA/A1+,2025-05-08,400,35,HIGH,Upgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bharat Serums & Vaccines Ltd. [Merged],ICRA,Non-fund-based financial facility/instrument,A 1+,2025-05-08,400,35,HIGH,Upgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Brij Gopal Construction Co. Pvt. Ltd.,IND-RA,Non-government debt,A/A1,2025-05-08,400,35,HIGH,Reaffirmed,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Global Powersource (India) Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Global Powersource (India) Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Global Powersource (India) Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rising Sun Energy (K) Pvt. Ltd.,CARE,Term loans,BBB+,2025-05-08,400,35,HIGH,Initial Rating,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Renaissance Global Ltd.,CRISIL,Fund based financial facility/instrument,A-,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Renaissance Global Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 2+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Risely Feeds Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rising Sun Energy (K) Pvt. Ltd.,IND-RA,Term loans,A-,2025-05-08,400,35,HIGH,Initial Rating,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Thriveni Sainik Mining Pvt. Ltd.,CRISIL,Bank Guarantee,A 2+,2025-05-08,400,35,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Elcome Integrated Systems Pvt. Ltd.,CRISIL,Bank Guarantee,A 3,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Elcome Integrated Systems Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,A 3,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Elcome Integrated Systems Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BBB-,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Elcome Integrated Systems Pvt. Ltd.,CRISIL,Letter Of credit,A 3,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Elcome Integrated Systems Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 3,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Easthooghly Agro Plantation Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Carreg Commodities Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-05-08,400,35,HIGH,Reaffirmed,Trading,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Thriveni Sainik Mining Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,A-,2025-05-08,400,35,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Thriveni Sainik Mining Pvt. Ltd.,CRISIL,Term loans,A-,2025-05-08,400,35,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Securevalue India Ltd.,IND-RA,Term loans,D,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Satguru Agro Inds. Ltd.,CARE,Term loans,B-,2025-05-08,400,35,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sagar Cements (M) Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 2,2025-05-08,400,35,HIGH,Downgraded,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sagar Cements (M) Pvt. Ltd.,IND-RA,Term loans,BBB+,2025-05-08,400,35,HIGH,Downgraded,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sagar Cements Ltd.,IND-RA,Non-fund based working capital limit,A 2,2025-05-08,400,35,HIGH,Downgraded,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sagar Cements Ltd.,IND-RA,Non-fund based working capital limit,A 2,2025-05-08,400,35,HIGH,Initial Rating,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sagar Cements Ltd.,IND-RA,Term loans,BBB+,2025-05-08,400,35,HIGH,Downgraded,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Hi-Tech Gears Ltd.,CRISIL,Long term Loans,A-,2025-05-08,400,35,HIGH,Upgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Vishva Vishal Refractory Ltd.,ICRA,Term loans,BB,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Vishva Vishal Refractory Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Biodeal Pharmaceuticals Ltd.,ICRA,Non-government debt,BBB-/A3,2025-05-08,400,35,HIGH,Initial Rating,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Olive Bar & Kitchen Pvt. Ltd.,IND-RA,Term loans,BB+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Olive Bar & Kitchen Pvt. Ltd.,IND-RA,Term loans,BB+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Global Powersource (India) Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-08,400,35,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Preethi Hospitals Pvt. Ltd.,IND-RA,Term loans,BBB-,2025-05-08,400,35,HIGH,Reaffirmed,Healthcare,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Pure Spiritss Ltd.,CRISIL,Bank Guarantee,A 3+,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Pure Spiritss Ltd.,CRISIL,Fund based financial facility/instrument,BBB,2025-05-08,400,35,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
R J S Steels Pvt. Ltd.,BRICKWORK,Term loans,C,2025-05-08,400,35,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
R J S Steels Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-05-08,400,35,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Global Chemicals Ltd.,CRISIL,Fund based financial facility/instrument,BB,2025-05-08,400,35,HIGH,Reaffirmed,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
