Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Grow Money Capital Private Limited (Erstwhile Eclear Leasing & Finance Private Limited),Infomerics,Fund based bank facilities - Term Loan,IVR BBB (Reaffirmed),2025-11-13,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
IIFL Samasta Finance Limited,Infomerics,Proposed Non-Convertible Debentures (NCDs),IVR AA (Assigned),2025-11-13,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Union Bank Of India,CRISIL,Debentures / Bonds / notes / bills,AA+,2025-11-12,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Nidhi Auto Pvt. Ltd.,CARE,Non-government debt,B-/A4,2025-11-12,MEDIUM,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Paul Merchants Finance Pvt. Ltd.,ACUITE,Long term Loans,A-,2025-11-12,MEDIUM,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Punjab National Bank,IND-RA,Debentures / Bonds / notes / bills,AAA,2025-11-12,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
L & T Finance Ltd.,ICRA,Debentures / Bonds / notes / bills,PP-MLD AAA,2025-11-12,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Nabsamruddhi Finance Ltd.,IND-RA,Long term Loans,AA,2025-11-11,MEDIUM,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
State Bank Of India,ICRA,Debentures / Bonds / notes / bills,AAA,2025-11-09,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Varthana Finance Pvt. Ltd.,CRISIL,Long term Loans,BBB,2025-11-08,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Capri Global Housing Finance Ltd.,ACUITE,Long term Loans,AA,2025-11-08,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Godrej Finance Ltd.,CRISIL,Long term Loans,AA+,2025-11-07,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Newtap Finance Pvt. Ltd.,IND-RA,Term loans,BBB,2025-11-07,MEDIUM,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Spandana Sphoorty Financial Ltd.,CARE,Term loans,A-,2025-11-06,MEDIUM,BFSI,Active,Downgraded,Recently downgraded — dissatisfied client window open.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Spandana Sphoorty Financial Ltd.,ICRA,Term loans,A-,2025-11-06,MEDIUM,BFSI,Active,Downgraded,Recently downgraded — dissatisfied client window open.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Criss Financial Ltd.,ICRA,Term loans,BBB+,2025-11-06,MEDIUM,BFSI,Active,Downgraded,Recently downgraded — dissatisfied client window open.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Manappuram Asset Finance Limited,Infomerics,Fund Based - Long Term Bank Facilities - Term loans,IVR BBB (Reaffirmed),2025-11-04,MEDIUM,BFSI,Active,Rating Watch with Developing Implications,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Dhara Motor Finance Limited,Infomerics,Long term Bank Facilities- Cash Credit,IVR BBB (Reaffirmed),2025-10-30,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Shree Biradev Finance Private Limited,Infomerics,Fund based - Long Term Bank Facilities - CC/OD,IVR BB+(INC) (Downgraded),2025-10-27,MEDIUM,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
TruCap Finance Limited [Erstwhile Dhanvarsha Finvest Limited],Infomerics,Fund Based Bank Facilities - Overdraft,IVR D (Downgraded),2025-10-24,MEDIUM,BFSI,Active,Nil,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Capital India Finance Limited,Infomerics,Non-Convertible Debentures (NCDs) - INE345H07054,IVR A (Reaffirmed),2025-10-22,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
D S P Finance Pvt. Ltd.,CRISIL,Long term Loans,AA,2025-10-12,MEDIUM,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Glowmore Finance Pvt. Ltd.,IND-RA,Term loans,B+,2025-10-11,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Ifl Finance Ltd.,CRISIL,Term loans,BBB,2025-10-11,MEDIUM,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Poonawalla Fincorp Ltd.,CARE,Fund based financial facility/instrument,AAA,2025-10-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
India Infrastructure Finance Co. Ltd.,IND-RA,Debentures / Bonds / notes / bills,AAA,2025-10-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Inditrade Fincorp Ltd.,ACUITE,Term loans,D,2025-10-10,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shri Banke Bihari Cotfab Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-10-10,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
G I C Housing Finance Ltd.,ICRA,Non-government debt,AA+,2025-10-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Sustainable Agro-Commercial Finance Limited,Infomerics,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-10-09,MEDIUM,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Apac Financial Services Pvt. Ltd.,ACUITE,Term loans,A+,2025-10-09,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Punjab & Sind Bank,CRISIL,Debentures / Bonds / notes / bills,AA,2025-10-09,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Equitas Small Finance Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA-,2025-10-07,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Spandana Sphoorty Financial Ltd.,IND-RA,Term loans,A-,2025-10-06,MEDIUM,BFSI,Active,Downgraded,Recently downgraded — dissatisfied client window open.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Ashv Finance Ltd.,ACUITE,Term loans,B,2025-10-06,MEDIUM,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shapoorji Pallonji Finance Private Limited,Infomerics,Proposed Bank Facilities,IVR A- (Assigned),2025-10-06,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Achiievers Finance India Limited,Infomerics,Non-Convertible Debentures,IVR BBB- (Upgraded),2025-10-06,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
I I F L Samasta Finance Ltd.,CRISIL,Debentures / Bonds / notes / bills,PP-MLD AA-,2025-10-06,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Finvent Finance & Invts. Ltd.,CRISIL,Long term Loans,B-,2025-10-06,MEDIUM,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Criss Financial Ltd.,IND-RA,Term loans,BBB+,2025-10-06,MEDIUM,BFSI,Active,Downgraded,Recently downgraded — dissatisfied client window open.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
The South Indian Bank,Infomerics,Issuer Rating,IVR AA (Upgraded),2025-10-01,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
SKG Asset Management Private Limited,Infomerics,Long Term Bank Facilities,IVR B- (INC)(Downgraded),2025-09-30,MEDIUM,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Mitrata Inclusive Financial Services Limited,Infomerics,Non-Convertible Debentures (NCD) - Proposed,IVR BB+ (Downgraded),2025-09-30,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Money2me Finance Private Limited,Infomerics,Long Term Bank Facilities - Overdraft,IVR BBB- (Reaffirmed),2025-09-29,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Rupitol Finance Private Limited,Infomerics,Long Term Fund Based Facility - Proposed Term Loans,IVR BBB- (Reaffirmed),2025-09-25,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Barota Finance Limited,Infomerics,Long Term Facilities - Term Loans,IVR A- (CE)(Reaffirmed),2025-09-23,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Inditrade Microfinance Limited,Infomerics,Non-Convertible Debentures,IVR D (INC)(Reaffirmed),2025-09-23,MEDIUM,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Equitas Small Finance Bank Ltd.,IND-RA,Debentures / Bonds / notes / bills,AA-,2025-09-12,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I D F C First Bank Ltd.,IND-RA,Debentures / Bonds / notes / bills,AA+,2025-09-12,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Home Credit India Finance Pvt. Ltd.,CARE,Fund based financial facility/instrument,AA,2025-09-10,MEDIUM,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Hinduja Housing Finance Ltd.,CARE,Short-term loan,A 1+,2025-09-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Repco Home Finance Ltd.,ICRA,Term loans,AA-,2025-09-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
S B F C Finance Ltd.,CARE,Fund based financial facility/instrument,AA-,2025-09-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Shubham Housing Devp. Finance Co. Ltd.,IND-RA,Term loans,AA-,2025-09-09,MEDIUM,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Servitium Microfinance Private Limited,Infomerics,Long Term Fund Based Facility - Proposed Term Loans,IVR BBB- (Reaffirmed),2025-09-08,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Sundaram Finance Ltd.,ICRA,Debentures / Bonds / notes / bills,AAA,2025-09-07,MEDIUM,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Tata Capital Housing Finance Ltd.,CRISIL,Long term Loans,AAA,2025-09-06,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Central Bank Of India Ltd.,ICRA,Debentures / Bonds / notes / bills,AA,2025-09-06,MEDIUM,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Bajaj Housing Finance Ltd.,CRISIL,Long term Loans,AAA,2025-09-06,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aditya Birla Housing Finance Ltd.,CRISIL,Long term Loans,AAA,2025-09-05,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Payu Finance India Pvt. Ltd.,CRISIL,Long term Loans,A+,2025-09-05,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aseem Infrastructure Finance Ltd.,CARE,Non-government debt,AA+/A1+,2025-09-05,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Shriram Finance Ltd.,CARE,Long term Loans,AA+,2025-09-05,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Bank Of India,Infomerics,Long Term - BASEL III Compliant Tier II Bonds,IVR AAA (Reaffirmed),2025-08-20,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Ananya Finance for Inclusive Growth Private Limited,Infomerics,Non-Convertible Debentures (UTI International Wealth Creator 4) - INE774L07040,Withdrawn,2025-08-20,MEDIUM,BFSI,Active,Nil,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
IDF Financial Services Private Limited,Infomerics,Fund Based Long Term Bank Facilities - Term Loans,IVR BB+ (Downgraded),2025-08-19,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Religare Housing Development Finance Corporation Limited,Infomerics,Proposed Non-Convertible Debentures (NCDs),Withdrawn,2025-08-19,MEDIUM,BFSI,Active,Nil,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Green Malabar Finance Ventures Limited,Infomerics,Proposed Long Term Fund Based Limits - WCDL,IVR BB (INC)(Downgraded),2025-08-13,MEDIUM,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Shalini Sahakari Bank Limited,Infomerics,Fixed Deposit Programme,IVR BB- (Assigned),2025-08-13,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Punjab National Bank,CARE,Debentures / Bonds / notes / bills,AA+,2025-08-12,MEDIUM,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Tamilnadu Transport Devp. Finance Corpn. Ltd.,IND-RA,Non-government debt,A/A1,2025-08-12,MEDIUM,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Branch International Financial Services Pvt. Ltd.,ACUITE,Term loans,BBB,2025-08-12,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Akhshayaa Finance Bhaarath Ltd.,BRICKWORK,Term loans,D,2025-08-10,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
State Bank Of India,CARE,Debentures / Bonds / notes / bills,AAA,2025-08-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
P T C India Financial Services Ltd.,ICRA,Fund based financial facility/instrument,A 2+,2025-08-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Maanaveeya Development & Finance Pvt. Ltd.,CARE,Term loans,A-,2025-08-09,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Gove Finance Ltd.,CRISIL,Long term Loans,BBB,2025-08-09,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Growing Opportunity Finance India Private Limited,Infomerics,Proposed Long Term Fund Based Facilities,IVR B+ (INC)(Downgraded),2025-08-08,MEDIUM,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Bank Of Baroda,ICRA,Debentures / Bonds / notes / bills,AA+,2025-08-08,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Small Industries Devp. Bank Of India,ICRA,Debentures / Bonds / notes / bills,AAA,2025-08-08,MEDIUM,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Supreme Housing Finance Ltd.,CARE,Term loans,BBB,2025-08-07,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Indian Railway Finance Corpn. Ltd.,CARE,Long term Loans,AAA,2025-08-07,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Dhanlaxmi Bank Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,BB,2025-08-07,MEDIUM,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Avanse Financial Services Ltd.,CARE,Term loans,AA-,2025-08-07,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Alpha Alternatives Financial Services Pvt. Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD A-,2025-08-07,MEDIUM,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Vistaar Financial Services Pvt. Ltd.,CARE,Term loans,A+,2025-08-07,MEDIUM,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
A Y E Finance Ltd.,IND-RA,Debentures / Bonds / notes / bills,PP-MLD A,2025-08-07,MEDIUM,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Mahaveer Finance India Ltd.,CARE,Fund based financial facility/instrument,BBB+,2025-08-07,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Mas Rural Housing & Mortgage Finance Ltd.,CARE,Term loans,A,2025-08-07,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
UCO Bank,Infomerics,Issuer Rating,IVR AA (Reaffirmed),2025-08-05,MEDIUM,BFSI,Active,Positive,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Star Housing Finance Ltd.,IND-RA,Term loans,BBB,2025-08-05,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Muthalagu Finance Private Limited,Infomerics,Short Term Bank Facilities,IVR D (Reaffirmed)(Withdrawn),2025-08-04,MEDIUM,BFSI,Active,Nil,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Prarambh (Originator: Dhara Motor Finance Limited),Infomerics,Long Term - Series A1 PTCs,IVR A- (SO)(Affirmed),2025-07-29,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Jaika Automobiles & Finance Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),2025-07-29,MEDIUM,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Hedge Finance Limited,Infomerics,Non-Convertible Debentures (NCDs),IVR BB+ (Reaffirmed),2025-07-17,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Real Touch Finance Limited,Infomerics,Proposed Long Term Fund Based Bank Facilities - Term Loan,IVR BBB (Assigned),2025-07-16,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Alpha Alternatives Financial Services Pvt. Ltd.,ACUITE,Debentures / Bonds / notes / bills,PP-MLD A,2025-07-11,MEDIUM,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Infrastructure Leasing & Financial Services Ltd.,ICRA,Debentures / Bonds / notes / bills,D,2025-07-11,MEDIUM,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Light Microfinance Pvt. Ltd.,CARE,Term loans,BBB+,2025-07-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
D S P Finance Pvt. Ltd.,ICRA,Non-government debt,AA/A1+,2025-07-10,MEDIUM,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Punjab & Sind Bank,IND-RA,Debentures / Bonds / notes / bills,AA,2025-07-10,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I D F Financial Services Pvt. Ltd.,CRISIL,Term loans,BB+,2025-07-08,MEDIUM,BFSI,Active,Downgraded,Recently downgraded — dissatisfied client window open.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Emkay Global Financial Services Ltd.,ICRA,Bank Guarantee,A 2+,2025-07-08,MEDIUM,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Sasvitha Home Finance Limited,Infomerics,Long term Bank Facilities - Term Loan,IVR BBB (Reaffirmed),2025-07-08,MEDIUM,BFSI,Active,Stable,Active Infomerics BFSI client — opportunity for ACER second rating.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
