Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,Pipeline_Window,Call_Window,NCD_Linked,Captured_In_Aug_RM_Plan,Why_Target_Note,Recommended_Action,Trigger
H M B Ispat Pvt. Ltd.,BRICKWORK,Fund-Based,BB,2026-03-24,105.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹105 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Sushee Hi-Tech Projects Pvt. Ltd.,CRISIL,Term Loan,A 4,2026-03-17,104.42,IT/Technology,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹104 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
V D B Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Oct-2025,104.0,Construction,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹104 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Therapiva Pvt. Ltd.,ICRA,Term Loan,B-,2026-03-20,103.8,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹104 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Narmada Sugar Pvt. Ltd.,CRISIL,Term Loan,A-,19-Jan-2026,103.73,Agro & Food,LOW,October 2026,Oct Wk3 (Oct 15-21),False,False,₹104 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Venkateshwara Power Project Ltd.,CARE,Term Loan,B+,16-Feb-2026,103.39,Energy,LOW,October 2026,Nov Wk2 (Nov 8-14),False,False,₹103 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Petchem Products Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,21-Jan-2026,103.0,Chemicals & Pharma,LOW,October 2026,Oct Wk3 (Oct 15-21),False,False,₹103 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Growing Opportunity Finance (India) Pvt. Ltd.,CARE,Fund-Based,B,29-Oct-2025,102.68,BFSI,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹103 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Nilkanth Mining Co.,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),13-Nov-2025,102.5,Mining & Minerals,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,False,₹102 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Gimatex Industries Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,18-Nov-2025,102.0,Manufacturing,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,False,₹102 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Yadu Sugar Ltd.,IND-RA,Term loans,D,2026-04-02,102.0,Agro & Food,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹102 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
P V R Projects Ltd.,ICRA,Bank Guarantee,A 4,08-Oct-2025,100.0,Construction,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Raghava Constructions India Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),16-Oct-2025,100.0,Construction,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Raghava Constructions India Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),16-Oct-2025,100.0,Construction,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
M P Entertainment & Developers Pvt. Ltd.,IND-RA,Term Loan,B-,05-Nov-2025,100.0,Construction,MEDIUM,October 2026,Nov Wk1 (Nov 1-7),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Excell Autovista Pvt. Ltd.,BRICKWORK,Fund-Based,B,12-Nov-2025,100.0,Automobiles,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Ghaziabad Ship Breakers Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,21-Jan-2026,100.0,Other,LOW,October 2026,Oct Wk3 (Oct 15-21),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
New Consolidated Construction Co. Ltd.,BRICKWORK,Bank Guarantee,A 4,22-Jan-2026,100.0,Construction,LOW,October 2026,Oct Wk3 (Oct 15-21),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
New Consolidated Construction Co. Ltd.,BRICKWORK,Letter of Credit,A 4,22-Jan-2026,100.0,Construction,LOW,October 2026,Oct Wk3 (Oct 15-21),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Mackintosh Burn Ltd.,ICRA,Non-Fund-Based,A 4,13-Feb-2026,100.0,Other,LOW,October 2026,Nov Wk2 (Nov 8-14),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Broadcast Engineering Consultants India Ltd.,BRICKWORK,Bank Guarantee,A 4,19-Feb-2026,100.0,Manufacturing,LOW,October 2026,Nov Wk3 (Nov 15-21),False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Sab Media Networks Pvt. Ltd.,ACUITE,Term loans,D,2026-04-24,100.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Shree Ram Shipping Inds. Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2026-04-03,100.0,Logistics,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹100 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Pushpit Steels Pvt. Ltd.,ACUITE,Term Loan,BB+,17-Apr-2026,464.13,Steel & Metals,LOW,October 2026,Oct Wk2 (Oct 8-14),False,True,₹464 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Pushpit Steels Pvt. Ltd.,ACUITE,Term loans,BB+,2026-04-17,464.13,Steel & Metals,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,True,₹464 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Pushpit Steels Pvt. Ltd.,ACUITE,Term Loan,BB+,17-Apr-2026,464.13,Steel & Metals,LOW,October 2026 + Q1 2027 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 3 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Dee Vee Projects Ltd.,ACUITE,Term Loan,BB-,11-Feb-2026,444.73,Construction,LOW,October 2026,Nov Wk2 (Nov 8-14),False,True,₹445 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Garden Court Distilleries Private Limited,Infomerics,Long Term/ Short Term Facilities,IVR BB+/IVR A4+; (INC)(Withdrawn),29-Jan-2026,421.0,Other,LOW,October 2026,Oct Wk4 (Oct 22-31),False,True,₹421 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Garden Court Distilleries Private Limited,Infomerics,Long Term/ Short Term Facilities,IVR BB+/IVR A4+; (INC)(Withdrawn),29-Jan-2026,421.0,Other,LOW,October 2026,Oct Wk4 (Oct 22-31),False,True,₹421 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Garden Court Distilleries Private Limited,Infomerics,Long Term/ Short Term Facilities,IVR BB+/IVR A4+; (INC)(Withdrawn),2026-01-29,421.0,Other,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,True,₹421 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Garden Court Distilleries Private Limited,Infomerics,Long Term/ Short Term Facilities,IVR BB+/IVR A4+; (INC)(Withdrawn),2026-01-29,421.0,Other,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,True,₹421 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Garden Court Distilleries Private Limited,Infomerics,Long Term/ Short Term Facilities,IVR BB+/IVR A4+; (INC)(Withdrawn),29-Jan-2026,421.0,Other,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Goel Ganga India Pvt. Ltd.,ACUITE,Term Loan,C,09-Apr-2026,417.65,Other,LOW,October 2026,Oct Wk1 (Oct 1-7),False,True,₹418 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Goel Ganga India Pvt. Ltd.,ACUITE,Term loans,C,2026-04-09,417.65,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,True,₹418 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Goel Ganga India Pvt. Ltd.,ACUITE,Term Loan,C,09-Apr-2026,417.65,Other,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
C P L Pharmaceuticals Pvt. Ltd.,IND-RA,Term Loan,BBB+,2025-12-03,409.55,Chemicals & Pharma,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹410 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Sanvijay Rolling & Engg. Ltd.,BRICKWORK,Fund-Based,BB,2025-12-08,409.54,Steel & Metals,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹410 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Right Tight Fastners Pvt. Ltd.,CRISIL,Term Loan,B,29-Apr-2026,406.52,Other,LOW,October 2026,Oct Wk4 (Oct 22-31),False,True,₹407 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Right Tight Fastners Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-29,406.52,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,True,₹407 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Right Tight Fastners Pvt. Ltd.,CRISIL,Term Loan,B,29-Apr-2026,406.52,Other,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Assam Electronics Development Corporation Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),28-Jan-2026,400.0,Other,LOW,October 2026,Oct Wk4 (Oct 22-31),False,True,₹400 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Assam Electronics Development Corporation Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2026-01-28,400.0,Other,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,True,₹400 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Assam Electronics Development Corporation Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),28-Jan-2026,400.0,Other,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Shree Naman Hotels Pvt. Ltd.,BRICKWORK,Term Loan,BBB+,2025-12-26,395.0,Hotels & Tourism,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹395 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
T B E A Energy (India) Pvt. Ltd.,BRICKWORK,Fund-Based,B+,2025-12-15,393.3,Energy,HOT,Q1 2027,Sep 2026 — RM,False,True,₹393 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Globus Warehousing & Trdg. Pvt. Ltd.,BRICKWORK,Bank Guarantee,BB,2026-01-02,365.45,Construction,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,True,₹365 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Aristo Securities Private Limited,Infomerics,Fund Based Bank Facilities â€“ Term Loan,IVR BB+ (INC) (Downgraded),2025-12-29,356.1,Other,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹356 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Nectar Lifesciences Ltd.,CARE,Bank Guarantee,A 4,02-Mar-2026,352.44,Other,LOW,October 2026,Nov Wk4 (Nov 22-30),False,True,₹352 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
W F B Baird & Co. India Pvt. Ltd.,CARE,Letter of Credit,A 3,2025-12-26,333.0,Other,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹333 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Caliber Mercantile Private Limited,Infomerics,Long Term Facilities,IVR BB (INC) (Downgraded),2025-12-16,321.41,Other,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹321 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
K G Flexx Pvt. Ltd.,CRISIL,Term Loan,B,30-Apr-2026,318.0,Other,LOW,October 2026,Oct Wk4 (Oct 22-31),False,True,₹318 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
K G Flexx Pvt. Ltd.,CRISIL,Term loans,B,2026-04-30,318.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,True,₹318 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
K G Flexx Pvt. Ltd.,CRISIL,Term Loan,B,30-Apr-2026,318.0,Other,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Aequs Sez Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,310.0,Other,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹310 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Mash Bio-Fuels Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-12,307.43,Other,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹307 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Sitwanto Devi Mahila Kalyan Sansthan,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),09-Jan-2026,302.5,Other,LOW,October 2026,Oct Wk1 (Oct 1-7),False,True,₹302 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Sitwanto Devi Mahila Kalyan Sansthan,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2026-01-09,302.5,Other,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,True,₹302 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Sitwanto Devi Mahila Kalyan Sansthan,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),09-Jan-2026,302.5,Other,LOW,October 2026 + Q1 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Eversendai Construction Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-05,290.0,Construction,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹290 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
H E S Infra Ltd.,IND-RA,Fund-Based,A 4+,2025-12-17,289.0,Construction,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹289 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Gama Infraprop Pvt. Ltd.,CRISIL,Term Loan,B,23-Apr-2026,282.99,Construction,LOW,October 2026,Oct Wk3 (Oct 15-21),False,True,₹283 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Gama Infraprop Pvt. Ltd.,CRISIL,Term loans,B,2026-04-23,282.99,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,True,₹283 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Gama Infraprop Pvt. Ltd.,CRISIL,Term Loan,B,23-Apr-2026,282.99,Construction,LOW,October 2026 + Q1 2027 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 3 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Vijai Electricals Ltd.,IND-RA,Fund-Based,A 4,2025-12-09,280.54,Energy,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹281 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
The Seksaria Biswan Sugar Factory Limited,Infomerics,Long Term Bank Facilities,IVR A- (INC)(Downgraded),03-Feb-2026,278.35,Agro & Food,LOW,October 2026,Oct Wk4 (Oct 22-31),False,True,₹278 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
The Seksaria Biswan Sugar Factory Limited,Infomerics,Long Term Bank Facilities,IVR A- (INC)(Downgraded),2026-02-03,278.35,Agro & Food,LOW/MEDIUM,Q1 2027,Nov–Dec 2026,False,True,₹278 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
The Seksaria Biswan Sugar Factory Limited,Infomerics,Long Term Bank Facilities,IVR A- (INC)(Downgraded),03-Feb-2026,278.35,Agro & Food,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Gama Infraprop Pvt. Ltd.,CRISIL,Term Loan,B,23-Apr-2026,274.43,Construction,LOW,October 2026,Oct Wk3 (Oct 15-21),False,True,₹274 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Gama Infraprop Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-23,274.43,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,True,₹274 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Corrtech International Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-18,270.0,IT/Technology,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹270 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Ambica Jute Mills Ltd.,IND-RA,Term Loan,BBB,14-Apr-2026,259.61,Textiles,LOW,October 2026,Oct Wk2 (Oct 8-14),False,True,₹260 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Ambica Jute Mills Ltd.,IND-RA,Term loans,BBB,2026-04-14,259.61,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,True,₹260 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Ambica Jute Mills Ltd.,IND-RA,Term Loan,BBB,14-Apr-2026,259.61,Textiles,LOW,October 2026 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Mapsko Builders Pvt. Ltd.,CARE,Term Loan,B-,03-Oct-2025,250.56,Construction,MEDIUM,October 2026,Oct Wk1 (Oct 1-7),False,True,₹251 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Mapsko Builders Pvt. Ltd.,CARE,Term Loan,B-,03-Oct-2025,250.56,Construction,MEDIUM,October 2026 + Q1 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Inderjit Mehta Constructions Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC) (Downgraded),22-Jan-2026,245.0,Construction,LOW,October 2026,Oct Wk3 (Oct 15-21),False,True,₹245 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Inderjit Mehta Constructions Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC) (Downgraded),2026-01-22,245.0,Construction,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,True,₹245 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
Inderjit Mehta Constructions Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC) (Downgraded),22-Jan-2026,245.0,Construction,LOW,October 2026 + Q1 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
P C Patel Infra Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,21-Jan-2026,235.0,Construction,LOW,October 2026,Oct Wk3 (Oct 15-21),False,True,₹235 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
P C Patel Infra Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,21-Jan-2026,235.0,Construction,LOW,October 2026 + Q1 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Wave Beverages Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),09-Feb-2026,234.5,Other,LOW,October 2026,Nov Wk1 (Nov 1-7),False,True,₹234 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Amount Band (100-499cr)
