Company Name,Amt_Cr,NCD,Window_Count,Windows,Urgency,N_Instruments,Sector,Agencies,Tier,Aug_Week
Jayesh Industries Ltd.,12.44,1,1,October 2026,MEDIUM,3,Manufacturing,BRICKWORK; CRISIL,TIER 1 — Senior RM,Aug Wk1
Narayanadri Hospitals & Research Institute Pvt. Ltd.,12.36,1,1,Q2 2027,LOW (<90 days),1,Healthcare,IND-RA,TIER 1 — Senior RM,Aug Wk1
Purvanchal Construction Works Pvt. Ltd.,12.3,1,1,Q1 2027,HOT,1,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Sahara Engineering Pvt. Ltd.,12.25,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Emdee Digitronics Pvt. Ltd.,12.15,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Ananya Engineering Pvt. Ltd.,12.13,1,1,October 2026,LOW,5,Manufacturing,BRICKWORK; CARE,TIER 1 — Senior RM,Aug Wk1
Hercules Hospitalities Pvt. Ltd.,12.02,1,1,Q2 2027,LOW (<90 days),1,Healthcare,IND-RA,TIER 1 — Senior RM,Aug Wk1
Aarti Infrastructure & Buildcon Ltd.,12.0,1,1,October 2026,LOW,1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
D C S Techno Services Pvt. Ltd.,12.0,1,1,Q2 2027,LOW (<90 days),1,IT/Technology,IND-RA,TIER 1 — Senior RM,Aug Wk1
Gypsum Structural India Pvt. Ltd.,12.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Milando Fashions Ltd.,12.0,1,1,October 2026,MEDIUM,1,Textiles,BRICKWORK; IND-RA,TIER 1 — Senior RM,Aug Wk1
Singhal Commodities Pvt. Ltd.,12.0,1,1,October 2026,LOW,2,Trading/Exports,CARE,TIER 1 — Senior RM,Aug Wk1
Sun Metallics & Alloys Pvt. Ltd. [Merged],12.0,1,1,October 2026,LOW,2,Steel & Metals,ICRA,TIER 1 — Senior RM,Aug Wk1
Utility Forms Pvt. Ltd.,12.0,1,2,October 2026; Q2 2027,LOW (<90 days),6,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
G M W Engineers Pvt. Ltd.,11.88,1,1,October 2026,LOW,1,Manufacturing,IND-RA,TIER 1 — Senior RM,Aug Wk1
K M K Global Ltd.,11.8,1,1,October 2026,LOW,3,Other,CRISIL; IND-RA,TIER 1 — Senior RM,Aug Wk1
Dhara Petrochemicals Pvt. Ltd. [Merged],11.5,1,1,October 2026,LOW,1,Chemicals & Pharma,IND-RA,TIER 1 — Senior RM,Aug Wk1
Smilax Laboratories Ltd.,11.5,1,1,October 2026,LOW,2,Healthcare,CARE,TIER 1 — Senior RM,Aug Wk1
K P Polyolefin Sacks Pvt. Ltd.,11.48,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Mahakali Ispat Pvt. Ltd.,11.3,1,1,Q1 2027,HOT,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Kuna Impex Pvt. Ltd.,11.25,1,1,Q1 2027,HOT,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
General Optics (Asia) Ltd.,11.18,1,1,October 2026,MEDIUM,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Caravel Logistics Pvt. Ltd.,11.1,1,1,Q1 2027,HOT,1,Logistics,IND-RA,TIER 1 — Senior RM,Aug Wk1
Rekha Corporation Pvt. Ltd.,11.0,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Supreme Glazes Pvt. Ltd.,11.0,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Maini Construction Equipments Pvt. Ltd.,10.9,1,1,Q2 2027,LOW (<90 days),1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Quality Wovensacks Pvt. Ltd.,10.85,1,1,October 2026,LOW,1,Paper/Packaging,ICRA,TIER 1 — Senior RM,Aug Wk1
Shree Sita Ram Paper Mills Ltd.,10.75,1,1,October 2026,LOW,1,Paper/Packaging,IND-RA,TIER 1 — Senior RM,Aug Wk1
Brindha Cotton Mills Pvt. Ltd.,10.57,1,1,Q2 2027,LOW (<90 days),1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
Metal Care Alloys Pvt. Ltd.,10.56,1,2,October 2026; Q2 2027,MEDIUM,4,Steel & Metals,BRICKWORK; IND-RA,TIER 1 — Senior RM,Aug Wk1
Premier Poultry Products Pvt. Ltd.,10.56,1,1,October 2026,LOW,1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
Athulitha Laboratories Pvt. Ltd.,10.52,1,1,October 2026,LOW,1,Healthcare,IND-RA,TIER 1 — Senior RM,Aug Wk1
Lenz Ceramic Pvt. Ltd.,10.5,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Pack Paper Agencies Pvt. Ltd.,10.5,1,1,October 2026,LOW,1,Paper/Packaging,CARE,TIER 1 — Senior RM,Aug Wk1
T K Precision Pvt. Ltd.,10.36,1,1,Q1 2027,LOW/MEDIUM,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Goodwear Fashions Pvt. Ltd.,10.35,1,1,October 2026,LOW,1,Textiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
S K Translines Pvt. Ltd.,10.33,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Chanakya Technos Pvt. Ltd.,10.3,1,1,October 2026,LOW,1,IT/Technology,IND-RA,TIER 1 — Senior RM,Aug Wk1
Accurate Gauging & Instruments Pvt. Ltd.,10.22,1,1,October 2026,MEDIUM,3,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Sukata Tractor Parts Pvt. Ltd.,10.14,1,2,Q1 2027; Q2 2027,HOT,2,Automobiles,CRISIL; IND-RA,TIER 1 — Senior RM,Aug Wk1
Mani More Synthetics Pvt. Ltd.,10.06,1,2,October 2026; Q1 2027,MEDIUM,3,Other,BRICKWORK; IND-RA,TIER 1 — Senior RM,Aug Wk1
Anubhav Plast Ltd.,10.0,1,3,October 2026; Q1 2027; Q2 2027,HOT,2,Other,CRISIL; IND-RA,TIER 1 — Senior RM,Aug Wk1
Arrow Constructions Ltd.,10.0,1,1,Q2 2027,LOW (<90 days),1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Bhartia Yarns Pvt. Ltd.,10.0,1,1,Q2 2027,LOW (<90 days),1,Textiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
Bhopal Tractors Pvt. Ltd.,10.0,1,1,Q2 2027,LOW (<90 days),1,Automobiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
C S H Power Himoinsa Pvt. Ltd.,10.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,Energy,CARE,TIER 1 — Senior RM,Aug Wk1
Commercial Auto Products Pvt. Ltd.,10.0,1,1,October 2026,LOW,1,Automobiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
Eapro Global Ltd.,10.0,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Empire Alcobrev Pvt. Ltd.,10.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Garg Duplex & Paper Mills Pvt. Ltd.,10.0,1,1,October 2026,MEDIUM,3,Paper/Packaging,ICRA,TIER 1 — Senior RM,Aug Wk1
Glitter Metals Pvt. Ltd.,10.0,1,1,Q1 2027,LOW/MEDIUM,1,Steel & Metals,ICRA,TIER 1 — Senior RM,Aug Wk1
Indian Additives Ltd.,10.0,1,1,October 2026,LOW,1,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Millenium Marbles Pvt. Ltd.,10.0,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Optech Engineering Pvt. Ltd.,10.0,1,1,October 2026,LOW,1,Manufacturing,IND-RA,TIER 1 — Senior RM,Aug Wk1
Ozone Diamonds Pvt. Ltd.,10.0,1,1,October 2026,LOW,1,Jewellery/Gems,IND-RA,TIER 1 — Senior RM,Aug Wk1
Rasi Electrodes Ltd.,10.0,1,1,Q1 2027,LOW/MEDIUM,1,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Valencia Ceramic Pvt. Ltd.,9.96,1,1,October 2026,LOW,3,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Trident Fabricators Pvt. Ltd.,9.95,1,1,October 2026,LOW,1,Manufacturing,IND-RA,TIER 1 — Senior RM,Aug Wk1
Niyati Engineering Pvt. Ltd.,9.75,1,1,October 2026,LOW,1,Manufacturing,IND-RA,TIER 1 — Senior RM,Aug Wk1
Suvarna Fibrotech Pvt. Ltd.,9.75,1,1,October 2026,LOW,1,IT/Technology,CARE,TIER 1 — Senior RM,Aug Wk1
Baldev Textile Mills Pvt. Ltd.,9.5,1,1,October 2026,MEDIUM,3,Textiles,ICRA,TIER 1 — Senior RM,Aug Wk1
Sangotra Fashions Pvt. Ltd.,9.5,1,1,October 2026,MEDIUM,1,Textiles,CARE,TIER 1 — Senior RM,Aug Wk1
Profive Engineering Pvt. Ltd.,9.42,1,2,October 2026; Q2 2027,MEDIUM,2,Manufacturing,CARE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Pearson Drums & Barrels Pvt. Ltd.,9.4,1,1,Q1 2027,HOT,4,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Motorsales Ltd.,9.1,1,1,October 2026,LOW,1,Automobiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
Som Shiva (Impex) Ltd.,9.05,1,1,October 2026,MEDIUM,3,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Adachi Natural Polymer Ltd.,9.04,1,2,October 2026; Q1 2027,HOT,3,Chemicals & Pharma,CARE; CRISIL,TIER 1 — Senior RM,Aug Wk1
Agrasen Iron & Steels Pvt. Ltd.,9.0,1,1,Q1 2027,HOT,1,Steel & Metals,CARE,TIER 1 — Senior RM,Aug Wk1
Cabisco Plast Pvt. Ltd.,9.0,1,1,October 2026,LOW,1,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Luker Electric Technologies Pvt. Ltd.,9.0,1,1,Q1 2027,HOT,1,Energy,CARE,TIER 1 — Senior RM,Aug Wk1
M S Support Services Ltd.,9.0,1,2,October 2026; Q2 2027,LOW (<90 days),3,Logistics,CARE,TIER 1 — Senior RM,Aug Wk1
Millenium Exim Pvt. Ltd.,9.0,1,1,Q1 2027,HOT,3,Agro & Food,ICRA,TIER 1 — Senior RM,Aug Wk1
Sharma Pharmaceutical Pvt. Ltd.,9.0,1,1,October 2026,LOW,1,Chemicals & Pharma,IND-RA,TIER 1 — Senior RM,Aug Wk1
Sunrise Seafoods India Pvt. Ltd.,9.0,1,1,October 2026,MEDIUM,1,Agro & Food,ICRA,TIER 1 — Senior RM,Aug Wk1
Tashkent Oil Co. Pvt. Ltd.,9.0,1,1,October 2026,LOW,1,Energy,IND-RA,TIER 1 — Senior RM,Aug Wk1
Samkit Diamond Export Pvt. Ltd.,8.98,1,1,Q1 2027,HOT,2,Jewellery,ICRA,TIER 1 — Senior RM,Aug Wk1
Biomedix Optotechnik & Devices Pvt. Ltd.,8.91,1,1,Q2 2027,LOW (<90 days),1,IT/Technology,IND-RA,TIER 1 — Senior RM,Aug Wk1
Jai Kumar Arun Kumar Pvt. Ltd.,8.75,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Flyjac Logistics Pvt. Ltd.,8.5,1,1,Q1 2027,HOT,1,Logistics,ICRA,TIER 1 — Senior RM,Aug Wk1
Polixel Security Systems Pvt. Ltd.,8.5,1,1,Q1 2027,HOT,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Super Seal Flexible Hose Ltd.,8.5,1,1,October 2026,LOW,1,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Pack Print Inds. (India) Pvt. Ltd.,8.4,1,1,October 2026,MEDIUM,3,Paper/Packaging,CARE,TIER 1 — Senior RM,Aug Wk1
Vapi Care Pharma Pvt. Ltd.,8.37,1,1,October 2026,MEDIUM,3,Chemicals & Pharma,CARE,TIER 1 — Senior RM,Aug Wk1
Sri Power Generation (India) Pvt. Ltd. [Merged],8.25,1,1,Q2 2027,LOW (<90 days),1,Energy/Power,IND-RA,TIER 1 — Senior RM,Aug Wk1
Gayatri Microns Pvt. Ltd.,8.24,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Omkar Infracon Pvt. Ltd.,8.21,1,1,October 2026,LOW,1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
S O W I L Ltd.,8.04,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Asha Enterprises Pvt. Ltd.,8.0,1,1,October 2026,LOW,1,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Coirfoam (India) Pvt. Ltd.,8.0,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Fenasia Ltd.,8.0,1,3,October 2026; Q1 2027; Q2 2027,HOT,5,Other,ACUITE; CARE,TIER 1 — Senior RM,Aug Wk1
Fine Pac Structures Pvt. Ltd.,8.0,1,1,Q1 2027,HOT,3,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Ganga Papers India Ltd.,8.0,1,1,October 2026,LOW,1,Paper/Packaging,ICRA,TIER 1 — Senior RM,Aug Wk1
Jatson Power Pvt. Ltd.,8.0,1,1,October 2026,LOW,1,Energy,IND-RA,TIER 1 — Senior RM,Aug Wk1
Kalinga Breeding Farms Pvt. Ltd.,8.0,1,1,October 2026,LOW,2,Agro & Food,ICRA,TIER 1 — Senior RM,Aug Wk1
Maniyar Refinery Pvt. Ltd.,8.0,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Notandas Gems Pvt. Ltd.,8.0,1,1,October 2026,LOW,1,Jewellery/Gems,IND-RA,TIER 1 — Senior RM,Aug Wk1
Rukmani Power & Steel Pvt. Ltd.,8.0,1,1,October 2026,LOW,1,Steel & Metals,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Vishrambhai Gorasia Construction Pvt. Ltd.,7.98,1,1,Q2 2027,LOW (<90 days),1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Jajoo Surgicals Pvt. Ltd.,7.96,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
S V Ispat Pvt. Ltd.,7.95,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
A-One Footarts Pvt. Ltd.,7.9,1,2,October 2026; Q1 2027,HOT,3,Other,CARE; CRISIL,TIER 1 — Senior RM,Aug Wk1
Technobit Industries Pvt. Ltd.,7.9,1,1,October 2026,LOW,2,IT/Technology,CARE,TIER 1 — Senior RM,Aug Wk1
Blue Duck Textiles Pvt. Ltd.,7.83,1,1,Q2 2027,LOW (<90 days),1,Textiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
Haldia Nirman Projects Pvt. Ltd.,7.65,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Shree Dulichand Chemicals Pvt. Ltd.,7.5,1,1,Q2 2027,LOW (<90 days),1,Chemicals & Pharma,IND-RA,TIER 1 — Senior RM,Aug Wk1
B N S R Inds. Ltd.,7.4,1,2,October 2026; Q2 2027,LOW (<90 days),2,Other,ACUITE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Memon Health Care Pvt. Ltd.,7.4,1,1,Q1 2027,HOT,2,Healthcare,ICRA,TIER 1 — Senior RM,Aug Wk1
Wellcare Oil Tools Pvt. Ltd.,7.32,1,1,October 2026,MEDIUM,3,Energy,CARE,TIER 1 — Senior RM,Aug Wk1
Shree Seco Pvt. Ltd.,7.22,1,1,Q1 2027,HOT,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Arunodaya Print Pack Pvt. Ltd.,7.12,1,1,Q2 2027,LOW (<90 days),1,Paper/Packaging,IND-RA,TIER 1 — Senior RM,Aug Wk1
Shri Ram Rubtech Pvt. Ltd.,7.04,1,2,October 2026; Q1 2027,HOT,2,IT/Technology,CARE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Champion Commercial Co. Ltd.,7.0,1,1,Q1 2027,HOT,3,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Champion El Com Pvt. Ltd.,7.0,1,1,Q1 2027,LOW/MEDIUM,1,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
S D M Projects Pvt. Ltd.,7.0,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
R K Natural Fibre Pvt. Ltd.,6.8,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Arti Silk Mills Pvt. Ltd.,6.72,1,1,October 2026,LOW,2,Textiles,CARE,TIER 1 — Senior RM,Aug Wk1
Alpha Pacific Systems Pvt. Ltd.,6.7,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Sansaara Weaves & Filaments Pvt. Ltd.,6.67,1,1,October 2026,LOW,1,Textiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
Dwarka Gems Ltd.,6.5,1,1,October 2026,LOW,1,Jewellery/Gems,CARE,TIER 1 — Senior RM,Aug Wk1
Pooja Cotspin Pvt. Ltd.,6.49,1,1,October 2026,MEDIUM,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Standard Cartons Pvt. Ltd.,6.34,1,1,October 2026,MEDIUM,1,Paper/Packaging,IND-RA,TIER 1 — Senior RM,Aug Wk1
Price & Buckland (India) Pvt. Ltd.,6.3,1,1,Q2 2027,LOW (<90 days),1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
V V C Motors Pvt. Ltd.,6.25,1,1,Q1 2027,HOT,2,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Hiland Agro Products Pvt. Ltd.,6.23,1,1,Q1 2027,HOT,1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
Narmada Agrobase Ltd.,6.23,1,1,Q2 2027,LOW (<90 days),1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
R S K Industries Pvt. Ltd.,6.19,1,1,October 2026,LOW,4,Manufacturing,CARE,TIER 1 — Senior RM,Aug Wk1
L S Rice Exports Pvt. Ltd.,6.14,1,2,October 2026; Q2 2027,LOW (<90 days),2,Agro & Food,CARE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Sangat Printers Pvt. Ltd.,6.1,1,1,October 2026,MEDIUM,1,Paper/Packaging,IND-RA,TIER 1 — Senior RM,Aug Wk1
3 G Telecom Infra India Pvt. Ltd.,6.04,1,1,Q2 2027,LOW (<90 days),1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Cleantec Infra Pvt. Ltd.,6.0,1,1,Q2 2027,LOW (<90 days),1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Dev'S Chem Tec Pvt. Ltd.,6.0,1,1,October 2026,MEDIUM,1,Chemicals & Pharma,IND-RA,TIER 1 — Senior RM,Aug Wk1
P S Bedi & Co. Pvt. Ltd.,6.0,1,1,October 2026,MEDIUM,3,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Rushabh Flour Mills Pvt. Ltd.,6.0,1,1,October 2026,MEDIUM,1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
S K M Infraventure Pvt. Ltd.,6.0,1,1,October 2026,MEDIUM,1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Vijay Jindal Builders Pvt. Ltd.,6.0,1,1,Q2 2027,LOW (<90 days),1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Precise Automation & Control Pvt. Ltd.,5.89,1,1,October 2026,MEDIUM,1,Automobiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
Siddarth Organisation Ltd.,5.8,1,1,Q1 2027,LOW/MEDIUM,1,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Ecokrin Hygiene Pvt. Ltd.,5.75,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Aikya Chemicals Pvt. Ltd.,5.5,1,1,October 2026,MEDIUM,1,Chemicals & Pharma,IND-RA,TIER 1 — Senior RM,Aug Wk1
Associated Works Infra Pvt. Ltd.,5.5,1,1,October 2026,MEDIUM,1,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Buildon Plasters Pvt. Ltd.,5.5,1,1,October 2026,LOW,1,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Kishore Vadilal Pvt. Ltd.,5.5,1,1,October 2026,MEDIUM,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Punjab Metal Works Pvt. Ltd.,5.5,1,1,Q2 2027,LOW (<90 days),1,Steel & Metals,IND-RA,TIER 1 — Senior RM,Aug Wk1
A K R Impex Pvt. Ltd.,5.45,1,1,Q2 2027,LOW (<90 days),1,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Winner Nippon Leatherette Pvt. Ltd.,5.25,1,1,Q1 2027,HOT,3,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Regrow Biosciences Pvt. Ltd.,5.2,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Premium Laminators Pvt. Ltd.,5.12,1,1,October 2026,LOW,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Akash Steel Crafts Pvt. Ltd.,5.0,1,1,October 2026,MEDIUM,1,Steel & Metals,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
B A S S Minerals India Pvt. Ltd.,5.0,1,1,Q2 2027,LOW (<90 days),1,Mining & Minerals,IND-RA,TIER 1 — Senior RM,Aug Wk1
Disruptive Health Solutions Pvt. Ltd.,5.0,1,1,October 2026,MEDIUM,1,Healthcare,CARE,TIER 1 — Senior RM,Aug Wk1
Hero Mindmine Institute Pvt. Ltd.,5.0,1,1,October 2026,LOW,2,Education,ICRA,TIER 1 — Senior RM,Aug Wk1
Kniss Laboratories Pvt. Ltd.,5.0,1,1,Q2 2027,LOW (<90 days),2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Kuber Casting Pvt. Ltd.,5.0,1,1,October 2026,LOW,2,Steel & Metals,CARE,TIER 1 — Senior RM,Aug Wk1
Shreyans Oils Pvt. Ltd.,5.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,Agro & Food,ICRA,TIER 1 — Senior RM,Aug Wk1
Shri Banke Bihari Polyfab Pvt. Ltd.,5.0,1,1,October 2026,LOW,2,BFSI,ICRA,TIER 1 — Senior RM,Aug Wk1
Udayam Medical Centre (Trichy) Pvt. Ltd.,5.0,1,1,October 2026,MEDIUM,2,Healthcare,ICRA,TIER 1 — Senior RM,Aug Wk1
V N M Jewel Crafts Ltd.,5.0,1,1,October 2026,LOW,1,Jewellery/Gems,IND-RA,TIER 1 — Senior RM,Aug Wk1
Digilogic Systems Ltd.,4.8,1,1,October 2026,MEDIUM,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Sangam Forgings Pvt. Ltd.,4.5,1,1,Q1 2027,HOT,1,Steel & Metals,IND-RA,TIER 1 — Senior RM,Aug Wk1
Venkar Chemicals Pvt. Ltd.,4.2,1,1,October 2026,LOW,2,Chemicals & Pharma,ICRA,TIER 1 — Senior RM,Aug Wk1
Encore Projects Pvt. Ltd.,4.1,1,2,October 2026; Q2 2027,LOW (<90 days),3,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Ailsinghani Transport Pvt. Ltd.,4.0,1,1,October 2026,MEDIUM,1,Logistics,IND-RA,TIER 1 — Senior RM,Aug Wk1
Kundana Techno Tex Pvt. Ltd.,4.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,IT/Technology,CARE,TIER 1 — Senior RM,Aug Wk1
Rishi Ice & Cold Storage Pvt. Ltd.,3.66,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Nidhi Auto Pvt. Ltd.,3.55,1,1,Q1 2027,HOT,2,Manufacturing,CARE,TIER 1 — Senior RM,Aug Wk1
K Mohan & Co. (Exports) Pvt. Ltd.,3.5,1,1,Q2 2027,LOW (<90 days),1,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Landmark Royal Engg. (India) Pvt. Ltd.,3.5,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Needle Industries (India) Pvt. Ltd.,3.45,1,1,October 2026,MEDIUM,4,Manufacturing,ICRA,TIER 1 — Senior RM,Aug Wk1
Dhaulagiree Polyolefins Pvt. Ltd.,3.4,1,1,October 2026,MEDIUM,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Prabhu Poly Color Ltd. (2004),3.3,1,1,October 2026,LOW,3,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Ramsons Castings Pvt. Ltd.,3.25,1,1,October 2026,MEDIUM,2,Steel & Metals,ICRA,TIER 1 — Senior RM,Aug Wk1
Sivaani Agribusiness Pvt. Ltd.,3.0,1,1,Q1 2027,HOT,2,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Pioneer Tea & Exports Ltd.,2.89,1,1,October 2026,MEDIUM,3,Agro & Food,ICRA,TIER 1 — Senior RM,Aug Wk1
Alfa-Therm Ltd.,2.67,1,1,Q1 2027,HOT,1,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Darpan Infrastructure Pvt. Ltd.,2.65,1,1,October 2026,LOW,3,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Supreme Hydro Engg. Pvt. Ltd.,2.5,1,1,October 2026,LOW,1,Energy,CARE,TIER 1 — Senior RM,Aug Wk1
Mahalaxmi Automotives Wheels Pvt. Ltd.,2.3,1,1,Q2 2027,LOW (<90 days),1,Automobiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
N M Foodimpex Pvt. Ltd.,2.12,1,1,Q1 2027,HOT,2,Agro & Food,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Tiger Logistics (India) Ltd.,2.0,1,1,October 2026,MEDIUM,1,Logistics,CARE,TIER 1 — Senior RM,Aug Wk1
Rangoli Industries Pvt. Ltd.,1.74,1,2,October 2026; Q1 2027,HOT,3,Manufacturing,BRICKWORK; CARE; CRISIL,TIER 1 — Senior RM,Aug Wk1
Kanak Pipe Inds. Pvt. Ltd.,1.5,1,1,October 2026,MEDIUM,2,Steel & Metals,CARE,TIER 1 — Senior RM,Aug Wk1
Vinayak Ultraflex Pvt. Ltd.,1.4,1,1,October 2026,MEDIUM,3,Other,CARE,TIER 1 — Senior RM,Aug Wk1
B R Guar Gum Pvt. Ltd.,1.0,1,1,October 2026,MEDIUM,1,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Antique Cottex Pvt. Ltd.,0.68,1,1,Q1 2027,LOW/MEDIUM,2,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Mahajan Fabrics Pvt. Ltd.,0.67,1,1,Q1 2027,HOT,2,Textiles,CARE,TIER 1 — Senior RM,Aug Wk1
Sarveshwari Exports Pvt. Ltd.,0.55,1,1,October 2026,MEDIUM,2,Logistics,ICRA,TIER 1 — Senior RM,Aug Wk1
