Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle,New_Sector
E V A Exotica Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-12-10,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
E-Procurement Technologies Ltd.,CARE,1,CARE,Non-government debt,Non-government debt,B+/A4,Downgraded,2025-07-23,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",IT/Software
Eak Automobiles Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument | Long term Loans,Fund based financial facility/instrument,B,Reaffirmed,2025-11-12,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Automobiles/Auto
East West Products Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,BB,Reaffirmed,2025-09-24,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Eastmade Spices & Herbs Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,B+,Reaffirmed,2025-08-22,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Agro/Food
Eastman International Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit | Long term Loans,Letter Of credit,A 4,Reaffirmed,2025-10-08,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Ebony Automobiles Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,B+,Reaffirmed,2025-11-21,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Automobiles/Auto
Ecko Cables Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit,Bank Guarantee,A 4,Reaffirmed,2025-10-17,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Ecomak Systems Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-09-29,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",IT/Software
Ecopmin Technologies Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B+,Reaffirmed,2025-07-15,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",IT/Software
Eesavyasa Technologies Pvt. Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit,Non-fund based working capital limit,D,Reaffirmed,2025-06-25,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",IT/Software
Eg.Communications Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee | Long term Loans,Bank Guarantee,A 4+,Reaffirmed,2025-08-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Ehsaas Frozen Foods Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,C-,Reaffirmed,2025-08-13,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Agro/Food
Ekbote'S Logs & Lumbers Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit,Bank Guarantee,A 4,Reaffirmed,2025-11-21,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Eldyne Electro-Systems Pvt. Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,BB/A4,Downgraded,2025-11-05,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",IT/Software
Electro Polychem Ltd.,ICRA,1,ICRA,Non-government debt | Term loans,Non-government debt,B-/A4,Reaffirmed,2025-06-18,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Elite Motors Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,B-,Reaffirmed,2025-08-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Automobiles/Auto
Ellen Textiles Pvt. Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit | Term loans,Non-fund based working capital limit,A 4,Downgraded,2025-06-25,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Textiles
Elmot Alternators Pvt. Ltd.,ICRA,1,ICRA,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-09-24,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Elppe Chemicals Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,B,Reaffirmed,2025-12-10,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Chemicals/Pharma
Elroy Motors Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,B+,Reaffirmed,2025-10-23,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Automobiles/Auto
Eltech Appliances Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-07-30,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Emboza Granito Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-09-15,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Mining/Minerals
Emerald Alchymicus Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,D,Reaffirmed,2025-07-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Emerging Projects Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Reaffirmed,2025-07-21,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Emkay Forgings Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,B,Downgraded,2025-08-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Emmtex Synthetics Ltd.,CRISIL,1,CRISIL,Letter Of credit | Long term Loans,Letter Of credit,A 4,Reaffirmed,2025-12-10,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Empee Sugars & Chemicals Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,D,Reaffirmed,2025-09-19,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Chemicals/Pharma
Energie Elecinfra Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-07-29,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Infrastructure
Entrack Overseas Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,D,Reaffirmed,2025-08-28,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Enzen Global Solutions Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-09-23,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",IT/Software
Eon Electric Ltd.,CRISIL,1,CRISIL,Letter Of credit | Long term Loans | Short-term loan,Letter Of credit,D,Reaffirmed,2025-12-12,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Epari Sadashiv Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,B-,Downgraded,2025-08-21,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Epic Transnet Project Mgmt. Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,D,Reaffirmed,2025-09-18,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Esco Couplings & Transmissions Pvt. Ltd.,IND-RA,1,IND-RA,Non-government debt,Non-government debt,BB-/A4+,Downgraded,2025-08-21,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Esdee Paints Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4+,Reaffirmed,2025-08-29,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Eskay Iodine Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit | Term loans,Letter Of credit,A 4,Reaffirmed,2025-09-12,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Eskay-Bee Intl. Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-08-01,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Ess Ell Foods Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,B,Reaffirmed,2025-12-10,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Agro/Food
Ess Ess Kay Engg. Co. Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-09-22,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Ess Gee Trendz Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-11-14,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Essar Agrotech Ltd.,ACUITE,1,ACUITE,Term loans,Term loans,D,Reaffirmed,2025-09-25,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Agro/Food
Essel Ahmedabad Godhra Toll Roads Ltd.,CARE,1,CARE,Term loans,Term loans,D,Reaffirmed,2025-06-27,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Infrastructure
Essel Kitchenware Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-07-21,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Essel Walajahpet Poonamallee Toll Roads Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-06-20,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Infrastructure
Esteem Projects Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit,Bank Guarantee,A 4,Reaffirmed,2025-09-10,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Euro Pratik Ispat (India) Pvt. Ltd.,ACUITE,1,ACUITE,Letter Of credit | Long term Loans | Term loans,Letter Of credit,A 4+,Withdrawn,2025-10-22,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Steel/Metals
Everflow Petrofils Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-12-02,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Evergreen Publications (India) Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-12-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Evertogen Life Sciences Ltd.,ACUITE,1,ACUITE,Letter Of credit | Long term Loans | Term loans,Letter Of credit,A 4,Reaffirmed,2025-07-17,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Excel Alugraphics Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-08-29,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Expotec International Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-09-08,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Express Infocom Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B+,Reaffirmed,2025-07-21,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Exult Logistics Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,B,Reaffirmed,2025-10-20,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Logistics
F Harley & Co. Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-10-24,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Falcon Pumps Pvt. Ltd.,ICRA,1,ICRA,Bank Guarantee,Bank Guarantee,A 4+,Withdrawn,2025-08-07,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Farah Polysacks Pvt. Ltd.,ACUITE,1,ACUITE,Long term Loans | Term loans,Long term Loans,D,Reaffirmed,2025-11-20,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Farmico Commodities Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-06-27,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Fatehpuria Transformers & Switchgears Pvt. Ltd.,CARE,1,CARE,Letter Of credit | Non-government debt,Letter Of credit,D,Reaffirmed,2025-09-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Fatehpuria Vidyut Udyog Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,B-,Reaffirmed,2025-08-29,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Favorich Infra Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,D,Reaffirmed,2025-11-20,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Infrastructure
Featherlite Buildcon Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,C,Reaffirmed,2025-08-05,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Construction
Feris Spintex Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-08-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Textiles
Ferozepur Foods Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,B-,Reaffirmed,2025-09-19,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Agro/Food
Fest Homes Developers Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,D,Reaffirmed,2025-07-09,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Construction
Filtron Engineers Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,D,Reaffirmed,2025-11-20,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Fino Paytech Ltd.,IND-RA,1,IND-RA,Bank Guarantee | Letter Of credit | Non-fund based working capital limit,Bank Guarantee,A 4,Downgraded,2025-06-25,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",IT/Software
Firestar Diamond Intl. Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,D,Reaffirmed,2025-08-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Jewellery/Gems
Five Vision Promoters Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,C,Reaffirmed,2025-07-29,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Flair Garments Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,B,Downgraded,2025-06-25,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Textiles
Flash Forge Pvt. Ltd.,CARE,1,CARE,Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt,Letter Of credit,A 4,Reaffirmed,2025-08-07,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Flexi Caps & Polymers Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-09-18,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Chemicals/Pharma
Flyjac Logistics Pvt. Ltd.,ICRA,1,ICRA,Non-government debt,Non-government debt,A+/A1+,Withdrawn,2025-12-11,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Logistics
Focus Edumatics Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B+,Reaffirmed,2025-11-12,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Foodlink Restaurants (India) Pvt. Ltd. [Merged],IND-RA,1,IND-RA,Term loans,Term loans,B+,Downgraded,2025-06-25,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Forming India Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-07-24,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Friends Timber Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Letter Of credit | Non-government debt,Bank Guarantee,A 4,Reaffirmed,2025-11-19,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Frontech Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-12-05,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",IT/Software
Frontier Trucks Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B,Withdrawn,2025-10-14,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Frost Falcon Distilleries Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,D,Reaffirmed,2025-12-10,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Agro/Food
Fullarton Distilleries Pvt. Ltd.,ACUITE,1,ACUITE,Term loans,Term loans,B-,Downgraded,2025-11-05,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Agro/Food
Future Brands Ltd.,ACUITE,1,ACUITE,Long term Loans | Term loans,Term loans,D,Reaffirmed,2025-09-19,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Future Consumer Ltd.,CARE,1,CARE,Bank Guarantee | Non-government debt | Term loans,Bank Guarantee,D,Reaffirmed,2025-06-27,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
Futurex Infracon Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-11-05,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Infrastructure
G D Dyestuff Inds. Ltd.,IND-RA,1,IND-RA,Bank Guarantee | Letter Of credit | Non-government debt | Term loans,Bank Guarantee,A 4,Withdrawn,2025-12-01,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Chemicals/Pharma
G D Metsteel Pvt. Ltd.,CARE,1,CARE,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,B-,Downgraded,2025-10-16,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Steel/Metals
G I C Insuflex Conductors Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-09-19,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Other (Unclassified)
G J S Infratech Pvt. Ltd.,CARE,1,CARE,Bank Guarantee,Bank Guarantee,D,Reaffirmed,2025-10-15,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Infrastructure
G K & Sons Automobiles Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-11-25,MEDIUM,4,YES,Other,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility",Automobiles/Auto
