Company Name,BFSI_Sub,Latest Rater,Latest Instrument,Latest Rating,Rating Date,Urgency,Priority Score,INC Flag,All Raters,Rater Count,Why Target,ACER_Pitch_NBFC
Fasttrack Housing Finance Ltd.,HFC,CRISIL,Long term Loans,BBB+,2025-11-06,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Finova Capital Pvt. Ltd.,NBFC,CARE,Term loans,A,2025-09-08,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Goldman Sachs (India) Finance Pvt. Ltd.,NBFC,ICRA,Fund based financial facility/instrument,AAA,2025-08-04,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Gove Finance Ltd.,NBFC,CRISIL,Long term Loans,BBB,2025-09-08,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
I D F Financial Services Pvt. Ltd.,NBFC,CRISIL,Long term Loans,BB+,2025-08-07,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
I I F L Samasta Finance Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,PP-MLD AA-,2025-08-20,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
I T I Finance Ltd.,NBFC,CRISIL,Long term Loans,A-,2025-11-06,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Julius Baer Capital (India) Pvt. Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,PP-MLD AA+,2025-11-12,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
K I F S Housing Finance Ltd.,HFC,ACUITE,Long term Loans,A-,2025-11-28,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Karnataka State Financial Corpn.,NBFC,CARE,Debentures / Bonds / notes / bills,AA-(CE),2025-08-07,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Kissandhan Agri Financial Services Pvt. Ltd.,NBFC,CARE,Non-government debt,BBB/A3,2025-07-02,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Kotak Alternate Asset Managers Ltd.,NBFC,CRISIL,Bank Guarantee,A 1+,2025-07-04,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Kusalava Finance Ltd.,NBFC,CARE,Long term Loans,BB,2025-09-18,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Loantap Credit Products Pvt. Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,PP-MLD BBB-,2025-07-29,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Lok Suvidha Finance Ltd.,NBFC,ICRA,Fund based financial facility/instrument,BBB-,2025-11-14,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Madhya Pradesh Financial Corpn.,NBFC,CARE,Term loans,D,2025-11-20,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Mansukh Securities & Finance Ltd.,NBFC,CRISIL,Bank Guarantee,A 3+,2025-08-25,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Mufin Green Finance Ltd.,NBFC,ACUITE,Debentures / Bonds / notes / bills,A-,2025-09-04,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Muthoot Capital Services Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,PP-MLD A+,2025-09-25,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Nabsamruddhi Finance Ltd.,NBFC,IND-RA,Long term Loans,AA,2025-11-11,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Navarathna Housing Finance Ltd.,HFC,CRISIL,Long term Loans,BB-,2025-10-16,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Neogrowth Credit Pvt. Ltd.,NBFC,ICRA,Fund based financial facility/instrument,BBB,2025-11-17,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Newtap Finance Pvt. Ltd.,NBFC,IND-RA,Term loans,BBB,2025-07-11,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Nipun Projects & Finance Pvt. Ltd.,NBFC,CARE,Non-government debt,BBB/A3+,2025-11-19,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Nissan Renault Financial Services India Pvt. Ltd.,NBFC,ICRA,Term loans,A,2025-06-19,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Nivara Home Finance Ltd.,HFC,CARE,Term loans,A-,2025-09-30,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Niyogin Fintech Ltd.,NBFC,CRISIL,Long term Loans,BBB-,2025-06-23,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Nj Capital Pvt. Ltd.,NBFC,CRISIL,Long term Loans,AA-,2025-09-30,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Nomura Capital (India) Pvt. Ltd.,NBFC,IND-RA,Debentures / Bonds / notes / bills,PP-MLD AAA,2025-09-25,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
North Eastern Devp. Finance Corpn. Ltd.,NBFC,CARE,Term loans,A,2025-11-27,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Orix Leasing & Financial Services India Ltd.,NBFC,IND-RA,Term loans,AAA,2025-11-14,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Polo Queen Indl. & Fintech Ltd.,NBFC,CRISIL,Bank Guarantee,A 4+,2025-10-14,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Premier Financial Services Pvt. Ltd.,NBFC,CRISIL,Short-term loan,A 2+,2025-06-16,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Protium Finance Ltd.,NBFC,ACUITE,Long term Loans,AA-,2025-10-17,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Ravi Fincorp Ltd.,NBFC,CRISIL,Long term Loans,BB-,2025-07-28,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Religare Housing Devp. Finance Corpn. Ltd.,NBFC,CARE,Term loans,BBB-,2025-08-06,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Respo Financial Capital Pvt. Ltd.,NBFC,IND-RA,Term loans,BBB,2025-10-16,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Rupeek Capital Pvt. Ltd.,NBFC,CRISIL,Long term Loans,BBB,2025-11-24,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Sai Point Finance Corpn. Ltd.,NBFC,ACUITE,Long term Loans,BB+,2025-11-24,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Sakthi Finance Ltd.,NBFC,ICRA,Short-term loan,A 2,2025-07-16,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Shrinithi Capital Pvt. Ltd.,NBFC,CARE,Fund based financial facility/instrument,BB+,2025-07-31,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Standard Chartered Capital Ltd.,NBFC,CRISIL,Long term Loans,AAA,2025-07-22,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Stride One Capital Pvt. Ltd.,NBFC,IND-RA,Term loans,BB+,2025-09-25,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Supreme Housing Finance Ltd.,HFC,CARE,Term loans,BBB,2025-07-08,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Sushil Financial Services Pvt. Ltd.,NBFC,ICRA,Non-government debt,A 3+,2025-10-28,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Techfino Capital Pvt. Ltd.,NBFC,ICRA,Term loans,BBB-,2025-10-08,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Thar Commercial Finance Pvt. Ltd.,NBFC,BRICKWORK,Fund based financial facility/instrument,BBB-,2025-09-12,MEDIUM,2,NO,BRICKWORK,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Trillionloans Fintech Pvt. Ltd.,NBFC,IND-RA,Term loans,BBB+,2025-11-26,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Trust Capital Services (India) Pvt. Ltd.,NBFC,ACUITE,Long term Loans,AA-,2025-09-12,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Tyger Capital Pvt. Ltd.,NBFC,CRISIL,Long term Loans,A+,2025-11-21,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Tyger Home Finance Pvt. Ltd.,HFC,CRISIL,Long term Loans,A+,2025-11-18,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Valuvanadu Capital Ltd.,NBFC,CRISIL,Long term Loans,BB,2025-10-23,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Varthana Finance Pvt. Ltd.,NBFC,CRISIL,Long term Loans,BBB,2025-08-11,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Venus India Asset-Finance Pvt. Ltd.,NBFC,ACUITE,Term loans,BBB-,2025-11-20,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Volvo Financial Services (India) Pvt. Ltd.,NBFC,IND-RA,Term loans,AAA,2025-08-28,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
West End Housing Finance Ltd.,HFC,ACUITE,Long term Loans,BB,2025-10-15,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Western Capital Advisors Pvt. Ltd.,NBFC,ACUITE,Long term Loans,A-,2025-10-08,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Whizdm Finance Pvt. Ltd.,NBFC,IND-RA,Term loans,A-,2025-08-12,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Achiievers Finance India Limited,NBFC,Infomerics,Non-Convertible Debentures,IVR BBB- (Upgraded),2025-10-06,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Arete Capital Service Private Limited (Erstwhile SPA Global Private Limited),NBFC,Infomerics,Long Term Fund Based Bank Facility - Overdraft,IVR BBB+ (Reaffirmed),2025-06-18,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Barota Finance Limited,NBFC,Infomerics,Long Term Facilities - Term Loans,IVR A- (CE)(Reaffirmed),2025-09-23,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Chetana Financial Services Private Limited,NBFC,Infomerics,Long Term Bank Facilities - Term Loans,IVR D (Downgraded),2025-06-17,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
DJT Microfinance Private Limited,MFI,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-06-26,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),"MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments"
Finstars Capital Limited,NBFC,Infomerics,Non-Convertible Debentures (NCDs),IVR BBB- (Reaffirmed),2025-10-01,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Genev Capital Private Limited,NBFC,Infomerics,Long Term/ Short Term Facilities - Overdraft,IVR A-/ IVR A2+ (Reaffirmed),2025-06-30,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Goodluck Capital Private Limited,NBFC,Infomerics,Long Term Bank Facilities,IVR BB (Assigned),2025-06-23,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Grow Money Capital Private Limited (Erstwhile Eclear Leasing & Finance Private Limited),NBFC,Infomerics,Fund based bank facilities - Term Loan,IVR BBB (Reaffirmed),2025-11-13,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Hedge Finance Limited,NBFC,Infomerics,Non-Convertible Debentures (NCDs),IVR BB+ (Reaffirmed),2025-07-17,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
IDF Financial Services Private Limited,NBFC,Infomerics,Fund Based Long Term Bank Facilities - Term Loans,IVR BB+ (Downgraded),2025-08-19,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
IIFL Samasta Finance Limited,NBFC,Infomerics,Proposed Non-Convertible Debentures (NCDs),IVR AA (Assigned),2025-11-13,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
IREP Credit Capital Private Limited,NBFC,Infomerics,Long Term Facilities - Term Loans,IVR BBB- (Downgraded),2025-07-03,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Kerala Financial Corporation,NBFC,Infomerics,Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),2025-12-08,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
LoanX Alder Apr 2025 (Originator: AMU Leasing Private Limited),NBFC,Infomerics,Long Term - Series A1 PTCs,IVR BBB- (SO)(Affirmed),2025-07-01,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Mitrata Inclusive Financial Services Limited,NBFC,Infomerics,Fund Based Bank Facilities - Term Loan,IVR BB+ (Downgraded),2025-09-30,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Monarch Networth Capital Limited,NBFC,Infomerics,Short Term Facilities - Commercial Paper Programme,Withdrawn,2025-08-05,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Muthalagu Finance Private Limited,NBFC,Infomerics,Short Term Bank Facilities,IVR D (Reaffirmed)(Withdrawn),2025-08-04,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Prarambh (Originator: Dhara Motor Finance Limited),NBFC,Infomerics,Long Term - Series A1 PTCs,IVR A- (SO)(Affirmed),2025-07-29,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Praveen Capital Private Limited,NBFC,Infomerics,Fund Based - Long Term Bank Facilities - Term Loans,IVR BBB- (Reaffirmed),2025-08-26,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
R K Bansal Finance Private Limited,NBFC,Infomerics,Long Term Bank Facilities,IVR BB+ (Assigned),2025-12-05,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Real Touch Finance Limited,NBFC,Infomerics,Long Term Fund Based Bank Facilities - Term Loan,IVR BBB (Assigned),2025-07-16,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Religare Housing Development Finance Corporation Limited,NBFC,Infomerics,Proposed Non-Convertible Debentures (NCDs),Withdrawn,2025-08-19,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Rupitol Finance Private Limited,NBFC,Infomerics,Long Term Fund Based Facility - Term Loans,IVR BBB- (Reaffirmed),2025-09-25,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Sasvitha Home Finance Limited,HFC,Infomerics,Long term Bank Facilities - Term Loan,IVR BBB (Reaffirmed),2025-07-08,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Servitium Microfinance Private Limited,MFI,Infomerics,Long Term Fund Based Facility - Term Loans,IVR BBB- (Reaffirmed),2025-09-08,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),"MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments"
Shapoorji Pallonji Infrastructure Capital Company Pvt Ltd. (SPICCPL),NBFC,Infomerics,Proposed Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-06-27,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Shree Ganga Finance Private Limited,NBFC,Infomerics,Long Term Fund Bank Facilities - Term Loan,IVR BB+ (Assigned),2025-07-03,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Swagat Housing Finance Company Limited,HFC,Infomerics,Long Term Facilities,IVR BB (Reaffirmed),2025-12-03,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Terra Financial Services Private Limited (Erstwhile Rashmi Exports Private Limited),NBFC,Infomerics,Long Term Bank Facility (Proposed),Withdrawn,2025-07-04,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
TruCap Finance Limited [Erstwhile Dhanvarsha Finvest Limited],NBFC,Infomerics,Fund Based Bank Facilities - Term Loan,IVR D (Downgraded),2025-10-24,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Usha Financial Services Limited,NBFC,Infomerics,Long Term Fund Based Bank Facilities - Term Loan,IVR BBB- (Downgraded),2025-12-05,MEDIUM,2,NO,Infomerics,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Aviom India Housing Finance Pvt. Ltd.,HFC,ACUITE,Long term Loans,D,2026-02-03,LOW,4,YES,ACUITE | CRISIL,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,[INC] NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE. Rating lapse risks your borrowing capacity
Capital Electech Pvt. Ltd.,NBFC,BRICKWORK,Bank Guarantee,B+,2026-04-03,LOW,4,YES,BRICKWORK | CARE | CRISIL,3,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
E C L Finance Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,A,2026-01-12,LOW,4,YES,BRICKWORK | CARE | CRISIL | ICRA,4,INC — issuer not cooperating with current rater | Multi-agency (4 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
G E P L Capital Pvt. Ltd.,NBFC,BRICKWORK,Bank Guarantee,A 4,2026-03-13,LOW,4,YES,BRICKWORK | ICRA,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Grameen Shakti Microfinance Services Pvt. Ltd.,MFI,ACUITE,Long term Loans,BB-,2026-04-09,LOW,4,YES,ACUITE | Infomerics,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
Hindusthan Microfinance Pvt. Ltd.,MFI,CRISIL,Long term Loans,BB+,2026-02-11,LOW,4,YES,BRICKWORK | CRISIL,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
Hotline Capital Services Pvt. Ltd.,NBFC,CARE,Non-government debt,C/A4,2026-04-01,LOW,4,YES,BRICKWORK | CARE,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
