Company Name,All Instruments,Latest Instrument,Current Rater(s),Latest Rater,Rater Count,Rating,Rating Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Why Target,ACER Pitch Angle
Agro Phos (India) Ltd.,Letter Of credit | Non-government debt | Term loans,Letter Of credit,BRICKWORK | CARE,CARE,2,A 4+,Reaffirmed,2026-03-31,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Al-Dua Food Processing Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,BRICKWORK | Infomerics,BRICKWORK,2,A 4,Reaffirmed,2025-12-22,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Ankita Agro & Food Processing Pvt. Ltd.,Letter Of credit | Non-government debt | Term loans,Non-government debt,CARE | CRISIL,CARE,2,A-/A2+,Upgraded,2026-04-01,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
B L Agro Inds. Ltd.,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-government debt,BRICKWORK | CARE | IND-RA,CARE,3,A-/A2+,Reaffirmed,2026-03-12,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
B P Food Products Pvt. Ltd.,Long term Loans | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-fund-based financial facility/instrument,ACUITE | ICRA,ICRA,2,D,Withdrawn,2026-03-05,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Balaji Agro Pvt. Ltd.,Letter Of credit | Long term Loans | Short-term loan,Letter Of credit,ACUITE | CRISIL | Infomerics,CRISIL,3,A 4,Reaffirmed,2026-04-21,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Bardhaman Agro Products (I) Pvt. Ltd.,Bank Guarantee | Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,CARE | ICRA,ICRA,2,A 4,Reaffirmed,2026-02-25,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Bardhaman Edible Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,BRICKWORK | CARE,CARE,2,A 4,Reaffirmed,2026-04-14,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Bluecraft Agro Pvt. Ltd.,Bank Guarantee | Letter Of credit | Non-government debt | Term loans,Non-government debt,BRICKWORK | CARE,CARE,2,BBB-/A3,Downgraded,2026-02-11,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Charoen Pokphand Seeds (India) Pvt. Ltd.,Non-government debt | Term loans,Term loans,ICRA | IND-RA,ICRA,2,B+,Reaffirmed,2026-03-24,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Dabra Agro Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Term loans,BRICKWORK | CARE | IND-RA,CARE,3,D,Reaffirmed,2026-02-03,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Daftari Agro Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,ACUITE | ICRA,ACUITE,2,B,Downgraded,2026-03-25,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Dalmia Tea Plantation & Inds. Ltd.,Bank Guarantee | Fund based financial facility/instrument | Long term Loans | Non-fund-based financial facility/instrument | Term loans,Bank Guarantee,ACUITE | CRISIL,ACUITE,2,A 4+,Withdrawn,2026-02-24,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Digha Sea Food Exports Pvt. Ltd.,Bank Guarantee,Bank Guarantee,ACUITE | CRISIL,CRISIL,2,A 4,Reaffirmed,2026-02-25,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Easthooghly Agro Plantation Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,ACUITE | CARE,ACUITE,2,A 3+,Reaffirmed,2026-01-29,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Ekam Agro Pvt. Ltd.,Non-government debt | Term loans,Non-government debt,CARE | CRISIL | ICRA,ICRA,3,D,Reaffirmed,2026-01-22,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Elegance Food Processing & Impex Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,BRICKWORK | CARE,BRICKWORK,2,D,Reaffirmed,2026-03-12,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Fair Food Overseas Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Term loans,BRICKWORK | CARE | Infomerics,CARE,3,BBB-,Reaffirmed,2026-03-19,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Farm India Impex Pvt. Ltd.,Letter Of credit,Letter Of credit,ICRA | Infomerics,ICRA,2,A 4,Downgraded,2026-01-08,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Farmgate Agro Milch Pvt. Ltd.,Term loans,Term loans,BRICKWORK | Infomerics,BRICKWORK,2,BB+,Reaffirmed,2026-03-13,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Fortune Rice Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,BRICKWORK | Infomerics,BRICKWORK,2,B,Reaffirmed,2026-02-19,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Gaurinath Agro Products Pvt. Ltd.,Long term Loans | Term loans,Term loans,CARE | CRISIL,CARE,2,B-,Reaffirmed,2026-01-21,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Hariom Aqua Culture Pvt. Ltd.,Term loans,Term loans,CARE | IND-RA,CARE,2,B-,Downgraded,2026-02-23,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Hi Tech Grain Processing Pvt. Ltd.,Bank Guarantee | Letter Of credit | Long term Loans,Bank Guarantee,BRICKWORK | CRISIL,BRICKWORK,2,D,Reaffirmed,2026-03-27,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Himalayan Flour Mill Pvt. Ltd.,Bank Guarantee,Bank Guarantee,CARE | CRISIL,CARE,2,A 4,Reaffirmed,2026-04-21,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
I C E D Desserts & Food Parlours (India) Pvt. Ltd.,Term loans,Term loans,CARE | CRISIL,CARE,2,C,Reaffirmed,2026-04-23,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
India Dairy Feeds Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,ACUITE | CARE,CARE,2,B-,Reaffirmed,2026-02-26,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
India Dairy Products Ltd.,Bank Guarantee | Long term Loans | Non-fund based working capital limit | Term loans,Bank Guarantee,ACUITE | IND-RA,ACUITE,2,A 4+,Withdrawn,2026-02-06,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
India Mega Agro-Anaj Ltd.,Long term Loans | Term loans,Long term Loans,CRISIL | Infomerics,CRISIL,2,D,Reaffirmed,2026-02-25,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Jai Hind Sugar Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,BRICKWORK | IND-RA | Infomerics,BRICKWORK,3,B,Reaffirmed,2025-12-31,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Jindal Agro Mills Pvt. Ltd.,Bank Guarantee | Letter Of credit | Long term Loans,Letter Of credit,CARE | CRISIL,CRISIL,2,D,Reaffirmed,2026-03-17,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
K K V Agro Powers Ltd.,Long term Loans | Term loans,Term loans,CRISIL | ICRA,ICRA,2,BB+,Reaffirmed,2026-04-29,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Krish Agro Farms Pvt. Ltd.,Term loans,Term loans,CRISIL | ICRA,ICRA,2,D,Reaffirmed,2026-03-12,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
L S Rice Exports Pvt. Ltd.,Non-government debt | Term loans,Non-government debt,ACUITE | CARE | IND-RA,IND-RA,3,B-/A4,Reaffirmed,2026-04-02,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Lohiya Edible Oils Pvt. Ltd.,Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument,Letter Of credit,BRICKWORK | CRISIL,BRICKWORK,2,A 4,Reaffirmed,2026-03-17,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
M J Grain Products Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,BRICKWORK | CRISIL,BRICKWORK,2,A 4,Reaffirmed,2026-04-06,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Maa Chinnamasta Food Processor Pvt. Ltd.,Fund based financial facility/instrument | Long term Loans | Term loans,Fund based financial facility/instrument,BRICKWORK | CRISIL,CRISIL,2,C,Downgraded,2026-02-26,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Manas Flour Mills Pvt. Ltd.,Bank Guarantee | Long term Loans | Non-fund based working capital limit | Term loans,Bank Guarantee,CRISIL | IND-RA,CRISIL,2,A 4,Reaffirmed,2026-02-26,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Mangalam Rice Mill Pvt. Ltd.,Bank Guarantee | Non-fund-based financial facility/instrument | Term loans,Bank Guarantee,CARE | CRISIL | ICRA,CRISIL,3,A 4,Reaffirmed,2026-01-30,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Manickavel Edible Oils Pvt. Ltd.,Letter Of credit,Letter Of credit,ACUITE | Infomerics,ACUITE,2,A 4,Reaffirmed,2026-02-20,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Marino Food Products Pvt. Ltd.,Long term Loans | Term loans,Long term Loans,ACUITE | CRISIL | IND-RA,ACUITE,3,D,Reaffirmed,2026-04-10,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Merchant Agri Global Pvt. Ltd.,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Short-term loan,Fund based financial facility/instrument,ACUITE | BRICKWORK,BRICKWORK,2,B-,Reaffirmed,2026-03-17,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Mittapally Agro Products Pvt. Ltd.,Bank Guarantee | Non-government debt,Bank Guarantee,CARE | CRISIL,CRISIL,2,D,Reaffirmed,2026-04-24,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
N P Agro (India) Inds. Pvt. Ltd.,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,Bank Guarantee,BRICKWORK | CRISIL,BRICKWORK,2,D,Reaffirmed,2026-03-27,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Namdhari Seeds Pvt. Ltd.,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Term loans,CRISIL | ICRA,CRISIL,2,B,Downgraded,2026-03-27,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Narayani Rice Mill Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,ACUITE | BRICKWORK,ACUITE,2,A 4,Reaffirmed,2026-03-12,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
National Steel & Agro Industries Ltd. [Merged],Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-government debt,ICRA | IND-RA,IND-RA,2,D,Reaffirmed,2026-01-12,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Natural Sugar & Allied Inds. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,CRISIL | ICRA,CRISIL,2,A 3+,Reaffirmed,2025-12-27,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Ok Food Pvt. Ltd.,Long term Loans,Long term Loans,CRISIL | Infomerics,CRISIL,2,BB-,Reaffirmed,2026-01-23,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Om Esha Agro Products Pvt. Ltd.,Long term Loans | Term loans,Term loans,BRICKWORK | CRISIL | IND-RA,IND-RA,3,B-,Reaffirmed,2026-01-16,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Pannageshwar Sugar Mills Ltd.,Term loans,Term loans,ACUITE | ICRA,ICRA,2,D,Reaffirmed,2026-04-10,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Prahlad Flour Mills Pvt. Ltd.,Fund based financial facility/instrument | Long term Loans | Term loans,Fund based financial facility/instrument,ACUITE | CRISIL | ICRA,CRISIL,3,B,Reaffirmed,2026-02-25,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Purvanchal Flour Mill Pvt. Ltd.,Term loans,Term loans,BRICKWORK | CRISIL | IND-RA,CRISIL,3,B,Reaffirmed,2026-02-27,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
R B Rungta Steels & Food Products Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,BRICKWORK | CARE | CRISIL,CRISIL,3,B,Reaffirmed,2026-03-31,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
R S H Agro Products Ltd.,Letter Of credit | Non-government debt | Term loans,Letter Of credit,ACUITE | ICRA | IND-RA,ACUITE,3,D,Reaffirmed,2026-04-08,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Rai Bahadur Narain Singh Sugar Mills Ltd.,Non-government debt | Term loans,Term loans,CARE | IND-RA,IND-RA,2,D,Reaffirmed,2026-01-16,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Raman Agro Exports Pvt. Ltd.,Term loans,Term loans,BRICKWORK | CRISIL | ICRA,ICRA,3,B+,Reaffirmed,2026-02-16,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Rana Milk Foods Pvt. Ltd.,Term loans,Term loans,CARE | IND-RA | Infomerics,IND-RA,3,D,Reaffirmed,2026-01-16,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
S N Dairy Foods Pvt. Ltd.,Term loans,Term loans,ACUITE | BRICKWORK | CARE,ACUITE,3,B-,Downgraded,2025-12-16,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
S P Mani & Mohan Dairy (India) Pvt. Ltd.,Term loans,Term loans,ICRA | IND-RA,ICRA,2,BB+,Downgraded,2026-02-03,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
S P Sortex Rice Exports India Pvt. Ltd.,Long term Loans | Term loans,Long term Loans,ACUITE | CRISIL | ICRA,CRISIL,3,B,Reaffirmed,2026-01-27,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
S S Agri Business Pvt. Ltd.,Bank Guarantee | Long term Loans | Term loans,Term loans,ACUITE | CARE,CARE,2,B-,Reaffirmed,2026-04-13,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
S S S Rice Mill Pvt. Ltd.,Bank Guarantee | Long term Loans | Non-fund-based financial facility/instrument | Short-term loan | Term loans,Non-fund-based financial facility/instrument,CARE | CRISIL | ICRA,ICRA,3,D,Reaffirmed,2026-01-23,LOW,4,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
