Company Name,Primary Agency,Urgency,Inferred State,Inferred Region,City Cluster,IsINC
Sambalpur-Rourkela Tollway Pvt. Ltd.,CARE,WARM,Odisha,East,Rourkela,False
Sameera Hotels (Chennai) Pvt. Ltd.,CRISIL,HOT,Tamil Nadu,South,Chennai,True
Samhi Hotels (Ahmedabad) Pvt. Ltd.,ICRA,ULTRA HOT,Gujarat,West,Ahmedabad,False
Samhi Hotels (Gurgaon) Pvt. Ltd.,ICRA,ULTRA HOT,Haryana,North,Gurgaon,False
Sanghi Brothers (Indore) Pvt. Ltd.,CARE,HOT,Madhya Pradesh,Central,Indore,True
Santpuria Alloys Pvt. Ltd.,CRISIL,ULTRA HOT,Odisha,East,Puri,False
Sarat Chatterjee & Co. (Visakhapatnam) Pvt. Ltd.,CARE,WARM,Andhra Pradesh,South,Visakhapatnam,False
Sarvagram Fincare Pvt. Ltd.,ICRA,WARM,Uttar Pradesh,North,Agra,False
Sasi Anand Spg. Mills India Ltd.,CRISIL,ULTRA HOT,Gujarat,West,Anand,True
Satchidananda Agro Tech Pvt. Ltd.,CRISIL,ULTRA HOT,Gujarat,West,Anand,True
Schloss Chennai Pvt. Ltd.,CRISIL,HOT,Tamil Nadu,South,Chennai,False
Schloss Udaipur Pvt. Ltd.,CRISIL,HOT,Rajasthan,North,Udaipur,False
Secunderabad Hotels Pvt. Ltd.,CRISIL,HOT,Telangana,South,Secunderabad,True
Shakthi Electricals Chennai Pvt. Ltd.,CRISIL,HOT,Tamil Nadu,South,Chennai,True
Shetkari Sakhar Karkhana (Chandapuri) Ltd.,CRISIL,WARM,Odisha,East,Puri,True
Shivalaya Nagpur Highways Pvt. Ltd.,BRICKWORK,HOT,Maharashtra,West,Nagpur,True
Shree Krishna Rolling Mills (Jaipur) Ltd.,BRICKWORK,HOT,Rajasthan,North,Jaipur,True
Shri Anand Inds. (Katni) Pvt. Ltd.,BRICKWORK,ULTRA HOT,Gujarat,West,Anand,True
Shri Coimbatore Jewellers India Pvt. Ltd.,CRISIL,ULTRA HOT,Tamil Nadu,South,Coimbatore,True
Shripaper Product (Indore) Pvt. Ltd.,BRICKWORK,WARM,Madhya Pradesh,Central,Indore,True
Sigma Heavy Engg. Inds. Bhopal Pvt. Ltd.,BRICKWORK,ULTRA HOT,Madhya Pradesh,Central,Bhopal,True
Siliguri Builders Pvt. Ltd.,CRISIL,WARM,West Bengal,East,Siliguri,True
Simhapuri Energy Ltd. [Merged],ICRA,WARM,Odisha,East,Puri,True
Solapur Solar Energy Pvt. Ltd.,CARE,HOT,Maharashtra,West,Solapur,True
Solapur Tollways Pvt. Ltd.,IND-RA,ULTRA HOT,Maharashtra,West,Solapur,True
Solapur Yedeshi Tollway Ltd.,CRISIL,HOT,Maharashtra,West,Solapur,False
South Calcutta Diesels Pvt. Ltd.,CRISIL,ULTRA HOT,West Bengal,East,Calcutta,True
South City Projects (Kolkata) Ltd.,ICRA,ULTRA HOT,West Bengal,East,Kolkata,True
Southern Cotspinners Coimbatore Pvt. Ltd.,CARE,HOT,Tamil Nadu,South,Coimbatore,False
Sree Krishna Automotives Hyderabad Pvt. Ltd.,ICRA,ULTRA HOT,Telangana,South,Hyderabad,True
Sri Textile Erode Pvt. Ltd.,ACUITE,HOT,Tamil Nadu,South,Erode,True
Stalwart Alloys India Ltd.,BRICKWORK,HOT,Rajasthan,North,Alwar,True
Stalwart People Services India Ltd.,CRISIL,WARM,Rajasthan,North,Alwar,False
Starcare Hospital Kozhikode Pvt. Ltd.,CRISIL,WARM,Kerala,South,Kozhikode,True
Supreem Pharmaceuticals Mysore Pvt. Ltd.,BRICKWORK,WARM,Karnataka,South,Mysore,True
Supreme Best Value Kolhapur(Shiroli) Sangli Tollways Pvt. Ltd.,IND-RA,HOT,Maharashtra,West,Kolhapur,True
Surat Goods Transport Pvt. Ltd.,CRISIL,WARM,Gujarat,West,Surat,True
Surat Hazira N H-6 Tollway Pvt. Ltd.,CRISIL,HOT,Gujarat,West,Surat,False
T S I Business Parks (Hyderabad) Pvt. Ltd.,IND-RA,ULTRA HOT,Telangana,South,Hyderabad,False
Talwar Auto Garages Pvt. Ltd.,BRICKWORK,WARM,Rajasthan,North,Alwar,True
Talwar Mobiles Pvt. Ltd.,BRICKWORK,HOT,Rajasthan,North,Alwar,True
Tata Power Delhi Distribution Ltd.,ICRA,HOT,Delhi,North,Delhi,False
Thane Steels Ltd.,IND-RA,HOT,Maharashtra,West,Thane,True
The Kolhapur Steel Ltd. [Merged],CARE,WARM,Maharashtra,West,Kolhapur,False
Thermal Systems (Hyderabad) Pvt. Ltd.,CARE,HOT,Telangana,South,Hyderabad,False
Thermotech Engineering (Pune) Pvt. Ltd.,CARE,ULTRA HOT,Maharashtra,West,Pune,True
Think Gas Bhopal Pvt. Ltd.,CARE,WARM,Madhya Pradesh,Central,Bhopal,False
Think Gas Ludhiana Pvt. Ltd.,IND-RA,HOT,Punjab,North,Ludhiana,False
Tiki Tar Inds. (Baroda) Ltd.,CRISIL,HOT,Gujarat,West,Baroda,True
Tim Delhi Airport Advertising Pvt. Ltd.,CRISIL,HOT,Delhi,North,Delhi,False
Torrent Gas Chennai Pvt. Ltd.,CRISIL,ULTRA HOT,Tamil Nadu,South,Chennai,False
Torrent Gas Jaipur Pvt. Ltd.,CRISIL,ULTRA HOT,Rajasthan,North,Jaipur,False
Travancore Cochin Chemicals Ltd.,ICRA,HOT,Kerala,South,Cochin,False
Udaipur Beverages Ltd.,CRISIL,HOT,Rajasthan,North,Udaipur,False
Udaipur Cement Works Ltd. [Merged],CARE,HOT,Rajasthan,North,Udaipur,False
Udaipur Tollway Ltd.,IND-RA,WARM,Rajasthan,North,Udaipur,False
Udayam Medical Centre (Trichy) Pvt. Ltd.,ICRA,HOT,Tamil Nadu,South,Trichy,True
Udupi Cochin Shipyard Ltd.,CARE,HOT,Kerala,South,Cochin,False
Ujjwal Pune Ltd.,IND-RA,WARM,Maharashtra,West,Pune,False
United Telelinks(Bangalore) Ltd.,ACUITE,HOT,Karnataka,South,Bangalore,False
V K S-Seopur Baroda Corridor Pvt. Ltd.,BRICKWORK,HOT,Gujarat,West,Baroda,True
V R Surat Pvt. Ltd.,CARE,HOT,Gujarat,West,Surat,False
Vadodara Gas Ltd.,CARE,WARM,Gujarat,West,Vadodara,False
Vadodara Kim Expressway Pvt. Ltd.,CARE,WARM,Gujarat,West,Vadodara,False
Vadodara Mumbai Expressway P K G 10 Pvt. Ltd.,CRISIL,HOT,Maharashtra,West,Mumbai,False
Varanasi Aurangabad Nh-2 Tollway Pvt. Ltd.,CRISIL,ULTRA HOT,Maharashtra,West,Aurangabad,False
Varanasi Motors Pvt. Ltd.,CARE,WARM,Uttar Pradesh,North,Varanasi,False
Varanasi S T P Project Pvt. Ltd.,IND-RA,HOT,Uttar Pradesh,North,Varanasi,True
Vector Green Prayagraj Solar Pvt. Ltd.,IND-RA,HOT,Uttar Pradesh,North,Agra,False
Venkateshwara Fibre Glass (Chennai) Pvt.  Ltd.,CRISIL,HOT,Tamil Nadu,South,Chennai,True
Venkateswara Financiers Hyderabad Pvt. Ltd.,CARE,WARM,Telangana,South,Hyderabad,False
Vertex Techno Solutions (Bangalore) Pvt. Ltd.,ICRA,ULTRA HOT,Karnataka,South,Bangalore,True
Viceroy Bangalore Hotels Pvt. Ltd.,CRISIL,HOT,Karnataka,South,Bangalore,True
Vijayanand Travels Pvt. Ltd.,CARE,WARM,Gujarat,West,Anand,False
Vijayawada Bypass Project Ltd.,IND-RA,WARM,Andhra Pradesh,South,Vijayawada,False
Visakhapatnam Port Logistics Park Ltd.,ICRA,HOT,Andhra Pradesh,South,Visakhapatnam,True
Vivekanand Nursing Home Pvt. Ltd.,CRISIL,HOT,Gujarat,West,Anand,False
Vizag General Cargo Berth Pvt. Ltd.,CRISIL,ULTRA HOT,Andhra Pradesh,South,Vizag,False
Vizag Re-Bars Pvt. Ltd.,CARE,WARM,Andhra Pradesh,South,Vizag,True
Vizag Seaport Pvt. Ltd.,CARE,WARM,Andhra Pradesh,South,Vizag,False
A C M E Raipur Solar Power Pvt. Ltd.,ACUITE,HOT,Chhattisgarh,Central,Raipur,False
Aaj Ka Anand Papers Ltd.,CRISIL,HOT,Gujarat,West,Anand,True
Aananda Lakshmi Spg. Mills Ltd.,CRISIL,HOT,Gujarat,West,Anand,True
Acme Jodhpur Solar Power Pvt. Ltd.,CARE,HOT,Rajasthan,North,Jodhpur,False
Adani Electricity Mumbai Ltd.,IND-RA,WARM,Maharashtra,West,Mumbai,False
Adani Solar Energy Jodhpur Five Pvt. Ltd.,CARE,HOT,Rajasthan,North,Jodhpur,False
Adani Solar Energy Jodhpur Four Ltd.,CRISIL,HOT,Rajasthan,North,Jodhpur,False
Adani Solar Energy Jodhpur Three Ltd.,CRISIL,HOT,Rajasthan,North,Jodhpur,False
Agra Oil& General Inds. Ltd.,BRICKWORK,HOT,Uttar Pradesh,North,Agra,True
Agrasen Iron & Steels Pvt. Ltd.,CARE,HOT,Uttar Pradesh,North,Agra,True
Agrasen Ispat Pvt. Ltd.,CARE,WARM,Uttar Pradesh,North,Agra,False
Agrasen Shipbreakers Pvt. Ltd.,IND-RA,HOT,Uttar Pradesh,North,Agra,True
Agrasen Sponge Pvt. Ltd.,ACUITE,HOT,Uttar Pradesh,North,Agra,False
Agrasenprime Overseas Pvt. Ltd.,CARE,HOT,Uttar Pradesh,North,Agra,False
Agratas Energy Storage Solutions Pvt. Ltd.,CARE,HOT,Uttar Pradesh,North,Agra,False
Agravanshi Pvt. Ltd.,CRISIL,HOT,Uttar Pradesh,North,Agra,False
Agrawal Channel Mills Pvt. Ltd.,IND-RA,HOT,Uttar Pradesh,North,Agra,True
Agrawal Global Infratech Pvt. Ltd.,CRISIL,HOT,Uttar Pradesh,North,Agra,True
Agrawal Metal Works Pvt. Ltd.,CRISIL,ULTRA HOT,Uttar Pradesh,North,Agra,False
Agrawal Roadlines Pvt. Ltd.,CARE,HOT,Uttar Pradesh,North,Agra,False
Agrawal Round Rolling Mills Ltd.,CRISIL,HOT,Uttar Pradesh,North,Agra,True
Agrawal Sponge Pvt. Ltd.,CRISIL,ULTRA HOT,Uttar Pradesh,North,Agra,False
Agrawal Structure Mills Pvt. Ltd.,IND-RA,HOT,Uttar Pradesh,North,Agra,True
Ahmedabad Packaging Inds. Ltd.,CRISIL,HOT,Gujarat,West,Ahmedabad,True
Ahmedabad-Maliya Tollway Pvt. Ltd.,CARE,WARM,Gujarat,West,Ahmedabad,False
Allahabad Bypass Pathways Pvt. Ltd.,CARE,HOT,Uttar Pradesh,North,Allahabad,False
Alok Ingots (Mumbai) Pvt. Ltd.,CRISIL,HOT,Maharashtra,West,Mumbai,False
Anand Buildtech Pvt. Ltd.,CARE,WARM,Gujarat,West,Anand,False
Anand Carbo Pvt. Ltd.,CRISIL,HOT,Gujarat,West,Anand,True
Anand Construwell Pvt. Ltd.,IND-RA,WARM,Gujarat,West,Anand,True
Anand Jewels (Indore) Pvt. Ltd.,ICRA,HOT,Gujarat,West,Anand,False
Anand Mine Tools Pvt. Ltd.,CARE,HOT,Gujarat,West,Anand,True
Anand Motor Agencies Ltd.,IND-RA,HOT,Gujarat,West,Anand,True
Anand Rathi Financial Services Ltd.,CRISIL,WARM,Gujarat,West,Anand,False
Anand Rathi Global Finance Ltd.,CRISIL,WARM,Gujarat,West,Anand,False
Anand Rathi Share & Stock Brokers Ltd.,CARE,HOT,Gujarat,West,Anand,False
Anand Teknow Aids Engg. India Ltd.,IND-RA,WARM,Gujarat,West,Anand,True
Anand Transport Pvt. Ltd.,BRICKWORK,ULTRA HOT,Gujarat,West,Anand,True
Anand Triplex Board Pvt. Ltd.,CRISIL,ULTRA HOT,Gujarat,West,Anand,True
Ananda Dairy Intl. Ltd.,BRICKWORK,HOT,Gujarat,West,Anand,True
Ananda Enterprises (India) Pvt. Ltd.,CARE,HOT,Gujarat,West,Anand,False
Ananda Protein Ltd.,CRISIL,WARM,Gujarat,West,Anand,False
Ananda-Bag Tea Co. Ltd.,CRISIL,ULTRA HOT,Gujarat,West,Anand,True
Anandaloke Medical Centre Pvt. Ltd.,CARE,HOT,Gujarat,West,Anand,True
Anandcine Service Pvt. Ltd.,ACUITE,HOT,Gujarat,West,Anand,True
Anandeshwar Polypack Pvt. Ltd.,CRISIL,HOT,Gujarat,West,Anand,True
Ananthapuri Hospitals Pvt. Ltd.,CARE,HOT,Odisha,East,Puri,False
Yedeshi Aurangabad Tollway Ltd.,CRISIL,HOT,Maharashtra,West,Aurangabad,False
