Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates_To,Escalation_Date,Escalation_Month,Calling_Sequence,Amt_num,Amount_Cr_Display,Sector_Final,NCD_Flag,Source,Why Target,ACER Pitch Angle
A To Z Developers Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",10.0,Rs10.00 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Alpha Carbonless Paper Mfg. Co. Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",10.0,Rs10.00 Cr,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Eurocoustic Products Ltd.,CRISIL,Fund-Based,BB+,2025-12-17,HOT,ULTRA HOT,2026-12-17,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",10.0,Rs10.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bharath Hi-Tech Builders Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-19,HOT,ULTRA HOT,2026-12-19,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",10.0,Rs10.00 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Building Blocks Projects India Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",10.0,Rs10.00 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Frontech Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.75,Rs9.75 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M S G All Trdg. Intl. Pvt. Ltd.,CRISIL,Fund-Based,B+,2025-12-19,HOT,ULTRA HOT,2026-12-19,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.35,Rs9.35 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Om Threads Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.3,Rs9.30 Cr,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tiger 4 India Ltd.,CRISIL,Term Loan,B+,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.24,Rs9.24 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.0,Rs9.00 Cr,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A To Z Developers Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.0,Rs9.00 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Remira Motors Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.0,Rs9.00 Cr,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shreegopal Auto Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-24,HOT,ULTRA HOT,2026-12-24,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.0,Rs9.00 Cr,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Varad Agri-Tech Ltd.,CRISIL,Term Loan,B+,2025-12-24,HOT,ULTRA HOT,2026-12-24,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",9.0,Rs9.00 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Blackstone Logistics Pvt. Ltd.,CRISIL,Term Loan,B-,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.99,Rs8.99 Cr,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Swastika Steel & Allied Products Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.9,Rs8.90 Cr,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Saluja Steel & Power Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.5,Rs8.50 Cr,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vipul Chemicals (India) Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-17,HOT,ULTRA HOT,2026-12-17,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.5,Rs8.50 Cr,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Surat Goods Transport Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.5,Rs8.50 Cr,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kent Intelligent Transportation Systems (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.3,Rs8.30 Cr,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Saluja Steel & Power Pvt. Ltd.,CRISIL,Fund-Based,BB+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.22,Rs8.22 Cr,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P V S Automotive Co. Pvt. Ltd.,CRISIL,Fund-Based,B+,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.14,Rs8.14 Cr,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Versabyte Data Systems Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.1,Rs8.10 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Atindra Construction Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.06,Rs8.06 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A C D C Saideep Buildcon Pvt. Ltd.,CRISIL,Term Loan,BB,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.03,Rs8.03 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bhati Associates Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Fairdeal Steels Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jaypee Projects Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K B A Agrotech Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Lasa Laboratory Pvt. Ltd. [Merged],CRISIL,Letter of Credit,A 4,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sharvi Agro Mills Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M M P Industries Ltd.,CRISIL,Letter of Credit,A 2,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
T N R Industries Pvt. Ltd.,CRISIL,Term Loan,C,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shahlon Silk Inds. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-30,LOW/MEDIUM,ULTRA HOT,2026-12-30,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",8.0,Rs8.00 Cr,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rabia Logistics Pvt. Ltd.,CRISIL,Term Loan,B-,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.89,Rs7.89 Cr,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bai-Kakaji Aquasure Solutions Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.75,Rs7.75 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ess Ell Foods Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.5,Rs7.50 Cr,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Healthcaps India Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.5,Rs7.50 Cr,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kamadhenu Jewellery Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.5,Rs7.50 Cr,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ideal Movers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.25,Rs7.25 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ashirbad Agro Products Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.0,Rs7.00 Cr,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ghaziabad Organics Ltd.,CRISIL,Term Loan,B+,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.0,Rs7.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kundan Cars Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.0,Rs7.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jaypee Projects Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.0,Rs7.00 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vivek Travels Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-18,HOT,ULTRA HOT,2026-12-18,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.0,Rs7.00 Cr,Hotels/Tourism,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Novartis Energy Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",7.0,Rs7.00 Cr,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Multani Pharmaceuticals Ltd.,CRISIL,Term Loan,B,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.9,Rs6.90 Cr,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Affil Vitrified Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.83,Rs6.83 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Punj Motors Pvt. Ltd.,CRISIL,Fund-Based,B+,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.7,Rs6.70 Cr,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P S V Precast Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.65,Rs6.65 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sri Nav Durga Textile Processors Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.61,Rs6.61 Cr,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Remira Motors Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.5,Rs6.50 Cr,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shyamjoti Rice Mill Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.33,Rs6.33 Cr,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Consortium Automobiles Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.28,Rs6.28 Cr,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Nishigandha Polymers Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.0,Rs6.00 Cr,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.0,Rs6.00 Cr,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A P S Hydro Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.0,Rs6.00 Cr,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C C I Logistics Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.0,Rs6.00 Cr,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Deva Drill Tech (India) Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",6.0,Rs6.00 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kkrishna Vaahan Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",5.92,Rs5.92 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Versabyte Data Systems Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",5.83,Rs5.83 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Konvertor Packaging Solutions Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",5.62,Rs5.62 Cr,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
