Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,Sector,NCD_Flag,ACER Pitch Angle
Tirupur Pandit Hosiery Millss Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-05,6.47,Agro/Food,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Nishigandha Polymers Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,6.0,Chemicals/Pharma,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Champion Commercial Co. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-05,5.5,Other,Standard,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Masti Health & Beauty Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,5.5,Healthcare,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kay Dee Communications Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,5.0,IT/Technology,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Maha Hydraulics Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,5.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
S B W Udyog Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,5.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Anmol Industries Ltd.,CRISIL,Short-Term Loan,A 4,2025-12-05,5.0,Other,Standard,Your Short-Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
United Rubber Inds. (India) Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-05,4.5,Chemicals/Pharma,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Godavari Plasto Containers Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-05,4.0,Other,Standard,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Multifilms Plastics Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-05,4.0,Chemicals/Pharma,Standard,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Radhe Agro Inds. India Pvt. Ltd.,BRICKWORK,Term Loan,C-,2025-12-05,3.49,Agro/Food,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Reep Industries Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,3.38,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Autotech Non-Wovens Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,2.5,Manufacturing,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pawan Communications Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-05,2.5,IT/Technology,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Norex Flavours Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-05,1.7,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mithra Auto Agencies Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,1.0,Manufacturing,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A R R Ess Industries Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,1.0,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Alishan Ginning Mills Pvt. Ltd.,CRISIL,Letter of Credit,B,2025-12-05,1.0,Agro/Food,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Alligare Chem Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,1.0,Chemicals/Pharma,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rangoli Industries Pvt. Ltd.,CRISIL,Term Loan,B-,2025-12-05,0.88,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sankar J P Sealing Technologies Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,0.5,IT/Technology,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Maa Shitala Agro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,0.24,Agro/Food,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
S S Food Products Pvt. Ltd.,CARE,Term Loan,B-,2025-12-05,0.24,Agro/Food,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sanvijay Rolling & Engg. Ltd.,BRICKWORK,Fund-Based,BB,2025-12-08,409.54,Steel & Metals,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Indian Acrylics Limited,Infomerics,Short Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-08,154.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Sky Spintex Pvt. Ltd.,IND-RA,Term Loan,BBB-,2025-12-08,146.98,Other,Standard,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Radiant Textiles Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,2025-12-08,121.0,Textiles,NCD — SEBI License Required,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
H K Cement Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-08,109.34,Construction,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bird Airport Hotel Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-08,82.18,Hotels/Tourism,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
V R P Telematics Pvt. Ltd.,CRISIL,Fund-Based,BB+,2025-12-08,80.0,Other,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rabwin Industries Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-08,76.6,Other,Standard,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Valiant Glass Works Pvt. Ltd.,CARE,NCD/Bond,B/A4,2025-12-08,70.0,Other,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Geeken Seating Collection Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,45.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jay Bharat Spices Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,42.0,Agro/Food,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P P Kharpatil Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,36.0,Construction,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
AL Noor Agri Fresh Private Limited,Infomerics,Long Term Bank Facilities,IVR B- (INC)(Downgraded),2025-12-08,34.88,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Saluja Steel & Power Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,28.0,Steel & Metals,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Raj Vehicles Pvt. Ltd.,CRISIL,Fund-Based,BB-,2025-12-08,27.5,Manufacturing,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rana Milk Foods Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-08,25.01,Agro/Food,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Soyug Ltd.,CRISIL,Term Loan,BB,2025-12-08,25.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Superon Schweisstechnik India Ltd.,CRISIL,Term Loan,B+,2025-12-08,25.0,IT/Technology,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Affil Vitrified Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-08,22.87,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ultracab (India) Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-08,22.49,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Vidharbha Institute Of Medical Sciences Pvt. Ltd.,CARE,Term Loan,B-,2025-12-08,20.7,Healthcare,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Karamveer Electronics Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,20.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Amrit Polychem Ltd.,CRISIL,Letter of Credit,A 4,2025-12-08,20.0,Chemicals/Pharma,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kush Synthetics Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-08,19.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Liquinox Gases Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-08,19.0,Energy,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sri Kannapiran Mills Ltd.,ACUITE,Term Loan,BB+,2025-12-08,17.77,Agro/Food,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jal Precision Products Ltd.,IND-RA,Term Loan,BB+,2025-12-08,15.5,Other,Standard,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Madras Radiators & Pressings Ltd.,CRISIL,Term Loan,BB+,2025-12-08,15.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rajdhani Crafts Inds. Pvt. Ltd.,CARE,NCD/Bond,B-/A4,2025-12-08,15.0,Other,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Swapna Projects Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-08,15.0,Other,Standard,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jindal Timber & Plywood Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-08,14.0,Other,Standard,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Venus Industrial Corpn. Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-08,13.5,Other,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Siddharth Colorchem Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-08,12.0,Chemicals/Pharma,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sunny Homecare Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,12.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Govardhan Ispat (India) Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-08,11.79,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mimani Agro Products Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-08,11.0,Agro/Food,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shree Shakambari Rice Mill Pvt. Ltd.,CRISIL,Short-Term Loan,A 4,2025-12-08,10.0,Agro/Food,Standard,Your Short-Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Luker Electric Technologies Pvt. Ltd.,CARE,NCD/Bond,BBB/A3,2025-12-08,9.0,Energy,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Versabyte Data Systems Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,8.1,IT/Technology,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Atindra Construction Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,8.06,Construction,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P S V Precast Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,6.65,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Consortium Automobiles Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-08,6.28,Manufacturing,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Millenium Exim Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-08,6.21,Agro/Food,NCD — SEBI License Required,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C C I Logistics Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,6.0,Logistics,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
B D Security Ltd.,CARE,Term Loan,BB,2025-12-08,5.83,Other,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ashirvad Food Products Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,5.08,Agro/Food,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pearson Drums & Barrels Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-08,5.0,Other,Standard,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Universal Speciality Chemicals Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,3.31,Chemicals/Pharma,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Cyamopsis Biotech (India) Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-08,3.0,IT/Technology,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Nutech Engineering Technologies Ltd.,CARE,Letter of Credit,A 4,2025-12-08,3.0,Manufacturing,Standard,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ramsons Industries Ltd.,CRISIL,Term Loan,B+,2025-12-08,3.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shakambari Kniting Pvt. Ltd.,CRISIL,Term Loan,BB,2025-12-08,2.87,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Paliwal Sons Dairy Pvt. Ltd.,BRICKWORK,Term Loan,B-,2025-12-08,2.35,Agro/Food,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Laxmi Hydraulics Pvt. Ltd.,IND-RA,Fund-Based,A 2+,2025-12-08,2.0,Other,Standard,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Raj Kishore Engineering Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-08,2.0,Construction,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G P Designs Pvt. Ltd.,CRISIL,Term Loan,BB,2025-12-08,1.37,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Umesh Industries Pvt. Ltd.,CARE,Term Loan,B-,2025-12-08,1.28,Other,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shree Mahakali Enterprises Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-08,1.25,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ramdev Stainless Strips Pvt. Ltd.,CARE,Term Loan,B-,2025-12-08,0.89,Other,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Praveen Aroma Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,0.75,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Unique Forgings (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-08,0.75,Steel & Metals,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jaihanuman Cotton Gng. Mills Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-08,0.5,Agro/Food,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Good Greens India Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-08,0.45,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vijai Electricals Ltd.,IND-RA,Fund-Based,A 4,2025-12-09,280.54,Energy,Standard,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dalkan Ship Breaking Ltd.,IND-RA,Fund-Based,A 4+,2025-12-09,95.0,Other,Standard,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sri Savitr Solar Private Limited,Infomerics,Long Term Facilities,IVR B (INC) (Downgraded),2025-12-09,64.5,Energy,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Saifco Hillcrest Hotels Pvt. Ltd.,ACUITE,Term Loan,BB+,2025-12-09,52.02,Hotels/Tourism,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sarvani Tradelink Pvt. Ltd.,CARE,NCD/Bond,B+/A4,2025-12-09,25.0,Other,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dewas Metal Sections Ltd.,CRISIL,Term Loan,BB+,2025-12-09,20.0,Steel & Metals,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Vehicles Pvt. Ltd.,ACUITE,Fund-Based,B-,2025-12-09,15.0,Manufacturing,Standard,Your Fund-Based at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shankar Equipments Ltd.,CRISIL,Fund-Based,BB-,2025-12-09,10.81,Manufacturing,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shilpa Alloys Pvt. Ltd.,ACUITE,Term Loan,BB-,2025-12-09,9.99,Steel & Metals,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sreedevi Digital Systems Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-09,6.0,IT/Technology,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Smart Stainless Tubes Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-09,4.81,Other,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Monsoon Bounty Foods Mfg. Pvt. Ltd.,IND-RA,Term Loan,BB-,2025-12-09,3.64,Agro/Food,Standard,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M P R Refractories Ltd.,ACUITE,Term Loan,B-,2025-12-09,2.65,Other,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Unitech Couplers India Pvt. Ltd.,CRISIL,Letter of Credit,A 3,2025-12-09,1.5,IT/Technology,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jiwanram Sheoduttrai Inds. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-09,1.0,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jai Hind Sugar Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-10,207.25,Agro/Food,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Ideal Movers Pvt. Ltd.,CRISIL,Fund-Based,B-,2025-12-10,175.65,Other,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Amrit Papers Private Limited (Erstwhile Amrit Agencies Indore Private Limited),Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-10,169.06,Paper/Packaging,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Global Infonet Distribution Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-10,75.0,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Castor Girnar Industries Private Limited,Infomerics,Long Term/ Short Term Bank Facilities,IVR BB+/IVR A4+; (INC) (Downgraded),2025-12-10,57.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Jijau Infrastructure M U Project Pvt. Ltd.,ACUITE,Term Loan,BB+,2025-12-10,56.2,Construction,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Deron Properties Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-10,50.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kamal Finserve Private Limited,Infomerics,Proposed Long Term Facilities,IVR B+ (INC) (Downgraded),2025-12-10,40.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Kundan Cars Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,27.0,Other,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Best Cheran Spintex India Pvt. Ltd. [Merged],CRISIL,Term Loan,B,2025-12-10,26.1,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Annamalaiar Mills Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-10,21.7,Agro/Food,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Adhunik Infrastructures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,20.5,Construction,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Gayatri Infrastructure Ltd.,CRISIL,Term Loan,B+,2025-12-10,20.11,Construction,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mor Alloys Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-10,16.55,Steel & Metals,NCD — SEBI License Required,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Hi-Tech Board Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-10,15.0,IT/Technology,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tratec Engineers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,14.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Asianol Shipping Ltd.,CRISIL,Term Loan,B+,2025-12-10,12.04,Logistics,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Amba Shakti Ispat Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-10,12.0,Other,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Elppe Chemicals Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-10,11.0,Chemicals/Pharma,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dhandapani Spinning Mills Ltd.,CRISIL,Letter of Credit,A 4,2025-12-10,10.0,Agro/Food,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J S S Steelitalia Ltd. [Merged],CRISIL,Term Loan,B,2025-12-10,10.0,Steel & Metals,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bhati Associates Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,8.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Fairdeal Steels Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,8.0,Steel & Metals,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ess Ell Foods Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,7.5,Agro/Food,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ghaziabad Organics Ltd.,CRISIL,Term Loan,B+,2025-12-10,7.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mathuram Swastha Evam Shikshan Sansthan,ICRA,Term Loan,B+,2025-12-10,7.0,Other,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
