Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Amount_Cr,Sector,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Call_Window,Ghost_HOT_Note
Avtar Installments Private Limited,Infomerics,Proposed Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-05,HOT,ULTRA HOT,2026-12-05,30.0,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Shine Cot-Spin Pvt. Ltd.,BRICKWORK,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,29.94,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Ajara Health Care & Research Centre Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,29.3,Healthcare,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Diligent SCM Solutions Private Limited,Infomerics,Short Term Facilities,IVR A3 (INC),2025-12-05,HOT,ULTRA HOT,2026-12-05,27.82,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Sakthi Poultry Private Limited,Infomerics,Long Term Facilities,IVR BB (INC) (Downgraded),2025-12-05,HOT,ULTRA HOT,2026-12-05,26.62,Agro/Food,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Kwality Pharmaceuticals Ltd.,ICRA,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,22.0,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
BLN Infra Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Reaffirmed),2025-12-05,HOT,ULTRA HOT,2026-12-05,19.72,Construction,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
M/s Narayan Associates,Infomerics,Long Term Bank Facilities-Proposed,IVR BB- (INC) (Downgraded),2025-12-05,HOT,ULTRA HOT,2026-12-05,18.3,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Shanti Structure Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,17.5,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Chintpurni Steels Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-05,HOT,ULTRA HOT,2026-12-05,17.34,Steel & Metals,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Siva Sankar Motors Pvt. Ltd.,CARE,Term Loan,BB-,2025-12-05,HOT,ULTRA HOT,2026-12-05,16.28,Other,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Mahalaxmi Automotives Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,16.2,Manufacturing,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Maa Amba Towers Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,16.18,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Miraj Engineering Services Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,15.5,Manufacturing,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Aishwaryagiri Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,15.0,Construction,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Gupta Hair Products Pvt. Ltd.,CARE,NCD/Bond,B-/A4,2025-12-05,HOT,ULTRA HOT,2026-12-05,14.75,Other,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Barak Valley Cements Ltd.,CARE,Term Loan,BB+,2025-12-05,HOT,ULTRA HOT,2026-12-05,14.0,Construction,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Syndicate Wiper Systems Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,13.5,Other,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
B R D Car World Ltd.,ACUITE,Term Loan,BB+,2025-12-05,HOT,ULTRA HOT,2026-12-05,13.43,Other,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Nova Publications & Printers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,12.73,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Genesis Finance Co. Ltd.,BRICKWORK,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,12.08,BFSI,BFSI,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Chheda Specialities Foods Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-05,HOT,ULTRA HOT,2026-12-05,12.0,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Magnolia Martinique Clothing Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,12.0,Other,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Skyz Stones Pvt. Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-05,HOT,ULTRA HOT,2026-12-05,11.43,Other,Mining,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Ritika Systems Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,10.0,Other,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
A & T Infracon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,10.0,Construction,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Ajara Health Care & Research Centre Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,10.0,Healthcare,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Kwality Pharmaceuticals Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-05,HOT,ULTRA HOT,2026-12-05,9.92,Chemicals/Pharma,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Frontech Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,9.75,IT/Technology,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Kwality Pharmaceuticals Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,9.0,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,9.0,Energy,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Ascan Plyboard India Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,9.0,Paper/Packaging,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Bai-Kakaji Aquasure Solutions Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,7.75,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Skyz Stones Pvt. Ltd.,BRICKWORK,Term Loan,BB-,2025-12-05,HOT,ULTRA HOT,2026-12-05,7.55,Other,Mining,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Ashirbad Agro Products Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,7.0,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
M/s Narayan Associates,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-05,HOT,ULTRA HOT,2026-12-05,7.0,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Tirupur Pandit Hosiery Millss Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-05,HOT,ULTRA HOT,2026-12-05,6.47,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Nishigandha Polymers Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,6.0,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,6.0,Energy,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
A P S Hydro Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,6.0,Energy,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Champion Commercial Co. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,5.5,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Masti Health & Beauty Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,5.5,Healthcare,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
B R D Car World Ltd.,ACUITE,Term Loan,BB+,2025-12-05,HOT,ULTRA HOT,2026-12-05,5.07,Other,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Kay Dee Communications Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,5.0,IT/Technology,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Maha Hydraulics Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,5.0,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
S B W Udyog Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,5.0,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Syndicate Wiper Systems Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,5.0,Other,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Anmol Industries Ltd.,CRISIL,Short-Term Loan,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,5.0,Other,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Short-Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
United Rubber Inds. (India) Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,4.5,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
United Rubber Inds. (India) Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-05,HOT,ULTRA HOT,2026-12-05,4.25,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Godavari Plasto Containers Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,4.0,Other,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Multifilms Plastics Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-05,HOT,ULTRA HOT,2026-12-05,4.0,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
S B W Udyog Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,4.0,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Eversendai Construction Pvt. Ltd.,ACUITE,Term Loan,BBB-,2025-12-05,HOT,ULTRA HOT,2026-12-05,3.82,Construction,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Ritika Systems Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-05,HOT,ULTRA HOT,2026-12-05,3.5,Other,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Radhe Agro Inds. India Pvt. Ltd.,BRICKWORK,Term Loan,C-,2025-12-05,HOT,ULTRA HOT,2026-12-05,3.49,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Reep Industries Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,3.38,Other,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
BLN Infra Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-05,HOT,ULTRA HOT,2026-12-05,3.26,Construction,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
