Company Name,Current Rater,Instrument,Rating,Rating Date,Amount Cr,Sector,Urgency,Pipeline_Window,Call_Window,Captured_In_Aug_RM_Plan,Why Target,ACER Pitch Angle,Recommended_Action
Darpan Infrastructure Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,13-Feb-2026,0.01,Construction,LOW,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits HOT threshold on 2026-11-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Gensol Engineering Ltd.,ICRA,Non-government debt,D,2026-04-23,718.5,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
K G S Sugar & Infra Corpn. Ltd.,ICRA,Non-government debt,D,2026-04-16,69.86,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (73 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Andhra Ferro Alloys Ltd.,ICRA,Non-government debt,D,2026-04-10,33.5,Steel & Metals,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Pragati Marine Services Pvt. Ltd.,ICRA,Non-government debt,D,2026-04-15,21.05,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ginni Gold Pvt. Ltd.,ICRA,Non-government debt,D,2026-04-10,15.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Radius Water Ltd.,ICRA,Non-government debt,D,2026-04-27,6.06,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (62 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
A K R Impex Pvt. Ltd.,ICRA,Non-government debt,D,2026-04-29,5.45,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (60 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
K N K Construction Pvt. Ltd.,ICRA,Non-government debt,D,2026-04-17,5.0,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
K Mohan & Co. (Exports) Pvt. Ltd.,ICRA,Non-government debt,D,2026-04-17,3.5,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Cloudtail India Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-31,1750.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Nandan Petrochem Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-20,245.0,Chemicals & Pharma,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Gina Engineering Co. Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-19,130.0,Manufacturing,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Davariya Brothers Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-30,115.19,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
V S Ferrous Enterprises Pvt. Ltd.,ICRA,NCD/Bond,B+,2026-03-12,50.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Surajbhan Rajkumar Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-16,35.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-26,29.39,Agro & Food,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-26 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Grentex & Co. Pvt. Ltd.,ICRA,NCD/Bond,BB/A4+,2026-03-30,15.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Strawberry Studio Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-16,12.7,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Glitter Metals Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-18,10.0,Steel & Metals,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-18 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Rasi Electrodes Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-30,10.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Siddarth Organisation Ltd.,ICRA,NCD/Bond,C/A4,2026-03-09,5.8,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Machino Plastics Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-11,5.0,Chemicals & Pharma,LOW/MEDIUM,Q1 2027,Sep 2026 — RM,False,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Manishri Refractories & Ceramics Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2026-03-24,3.73,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Antique Cottex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-30,0.66,Other,LOW/MEDIUM,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Tribeni Constructions Ltd.,ICRA,NCD/Bond,A-/A2+,13-Nov-2025,304.0,Construction,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits ULTRA HOT threshold on 2026-11-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
U M S L Ltd.,ICRA,NCD/Bond,B+/A4,27-Oct-2025,172.0,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kay Jay Forgings Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,87.0,Steel & Metals,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Siflon Pharma Pvt. Ltd.,ICRA,NCD/Bond,BB-/A4,10-Nov-2025,45.0,Chemicals & Pharma,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits ULTRA HOT threshold on 2026-11-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
S & I B Services Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,19-Nov-2025,38.0,Other,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
J P Sortex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,13-Oct-2025,37.0,Other,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Mohan Mutha Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Nov-2025,25.0,Logistics,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shivam Motors Pvt. Ltd.,ICRA,NCD/Bond,C/A4,28-Nov-2025,22.0,Automobiles,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Karnataka Commercial & Indl. Corpn. Pvt. Ltd.,ICRA,NCD/Bond,BB-/A4,28-Nov-2025,19.7,Other,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Maruti Products Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,26-Nov-2025,17.5,Manufacturing,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Nandan Saha Steel Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,16.2,Steel & Metals,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Adya Dairy Products Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,14-Nov-2025,12.0,Agro & Food,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits ULTRA HOT threshold on 2026-11-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Aarti Distilleries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,25-Nov-2025,9.47,Other,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits ULTRA HOT threshold on 2026-11-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sunrise Seafoods India Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Oct-2025,9.0,Agro & Food,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Q I Network Enterprise Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Oct-2025,8.0,IT/Technology,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Wintop Vitrified Pvt. Ltd.,ICRA,NCD/Bond,B/A4,25-Nov-2025,7.63,Other,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits ULTRA HOT threshold on 2026-11-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kothari Metsol Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,21-Oct-2025,7.4,Other,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,INC rating hits ULTRA HOT threshold on 2026-10-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Associated Works Infra Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Oct-2025,5.5,Construction,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Carbon Edge Inds. Ltd.,ICRA,NCD/Bond,B+/A4,21-Oct-2025,4.06,Automobiles,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,INC rating hits ULTRA HOT threshold on 2026-10-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Baldev Textile Mills Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Nov-2025,3.65,Textiles,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Udayam Medical Centre (Trichy) Pvt. Ltd.,ICRA,NCD/Bond,BB-/A4,10-Oct-2025,2.99,Healthcare,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits ULTRA HOT threshold on 2026-10-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Garg Duplex & Paper Mills Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Nov-2025,2.75,Paper/Packaging,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits ULTRA HOT threshold on 2026-11-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Pioneer Tea & Exports Ltd.,ICRA,NCD/Bond,B+,17-Nov-2025,2.1,Agro & Food,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits ULTRA HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ramsons Castings Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,19-Nov-2025,1.25,Steel & Metals,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
B R Guar Gum Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Oct-2025,1.0,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Needle Industries (India) Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,16-Oct-2025,0.45,Manufacturing,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,INC rating hits ULTRA HOT threshold on 2026-10-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sarveshwari Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,08-Oct-2025,0.17,Logistics,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits ULTRA HOT threshold on 2026-10-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Durga Polysters Pvt. Ltd. [Merged],ICRA,NCD/Bond,B+/A4,19-Nov-2025,0.03,Other,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shyama Power India Ltd.,IND-RA,NCD/Bond,B-/A4,27-Feb-2026,469.44,Energy,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shashi Cables Ltd.,IND-RA,NCD/Bond,BB-/A4+,12-Jan-2026,457.11,Infrastructure,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Technosys Security Systems Pvt. Ltd.,IND-RA,NCD/Bond,B+/A4,27-Feb-2026,155.0,IT/Technology,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Siddhi Vinayak Knots & Prints Pvt. Ltd.,IND-RA,NCD/Bond,B+/A4,09-Feb-2026,119.47,Paper/Packaging,LOW,October 2026,Nov Wk1 (Nov 1-7),False,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Lodz Denim Pvt. Ltd.,IND-RA,NCD/Bond,BB-/A4+,27-Feb-2026,118.0,Textiles,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shri Murlidhar Inds. Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,86.0,Other,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Atmastco Ltd.,IND-RA,NCD/Bond,B/A4,27-Feb-2026,85.75,Other,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Multitex Filteration Engineers Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,84.4,Manufacturing,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Jagruti Sugar & Allied Inds. Ltd.,IND-RA,NCD/Bond,BB-/A4+,12-Jan-2026,75.0,Agro & Food,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
George Maijo Inds. Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,74.32,Other,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kannappan Iron & Steel Co. Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,63.4,Steel & Metals,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Encorp Powertrans Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,55.0,Energy,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Diamond Textile Mills Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,27-Feb-2026,53.0,Textiles,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Vijai Construction (India) Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,52.0,Construction,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sangeeth Textiles Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,47.04,Construction,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Rajesh Power Services Ltd.,IND-RA,NCD/Bond,B-/A4,27-Feb-2026,47.0,Energy,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ratnesh Ispat Services Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,45.0,Other,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sai Smaran Foods Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,45.0,Agro & Food,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sivaguru Spinning Mills Pvt. Ltd.,IND-RA,NCD/Bond,B+/A4,12-Jan-2026,43.0,Textiles,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
