Company Name,Current Rating Agency,Instrument Type,Rating,Rating Date,Days Since Rating,Urgency,INC,Amount (Cr),Sector,Why Target,ACER Pitch Angle
B E Contracts Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-23,387,HIGH,YES,,Other/Diversified,"Brickwork INC — mandate lapsed 387d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Saket Infraprojects Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-23,387,HIGH,YES,20.00,Infrastructure,"Brickwork INC — mandate lapsed 387d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
A B Crops Pvt. Ltd.,Brickwork,Letter Of credit,D,2025-05-23,387,HIGH,YES,2.00,Other/Diversified,"Brickwork INC — mandate lapsed 387d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Silvertoan Papers Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-23,387,HIGH,YES,,Other/Diversified,"Brickwork INC — mandate lapsed 387d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Samrat Namkeen Pvt. Ltd.,Brickwork,Term loans,C,2025-05-26,384,HIGH,YES,3.24,Other/Diversified,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Safal Seeds & Biotech Ltd.,Brickwork,Fund based financial facility/instrument,C,2025-05-26,384,HIGH,YES,,Healthcare,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Bharati Motors Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-26,384,HIGH,YES,0.70,Other/Diversified,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Gajanan Siddhivinayak Foods Pvt. Ltd.,Brickwork,Term loans,C,2025-05-26,384,HIGH,YES,6.56,Agro & Food,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Vinayak Coal Traders Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-26,384,HIGH,YES,7.00,Trading,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
V S Multi Metal Pvt. Ltd. [Merged],Brickwork,Term loans,C,2025-05-26,384,HIGH,YES,1.26,Steel & Metals,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Vicor Stainless Pvt. Ltd. [Merged],Brickwork,Term loans,D,2025-05-26,384,HIGH,YES,4.58,Other/Diversified,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
P N Y Sabha Finance Ltd.,Brickwork,Term loans,C,2025-05-26,384,HIGH,YES,18.00,BFSI,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Greenvision Technologies Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-26,384,HIGH,YES,12.50,Other/Diversified,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Nippon Thermostat (India) Ltd.,Brickwork,Term loans,C,2025-05-26,384,HIGH,YES,1.31,Other/Diversified,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Giriraj Cot-Gin Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-26,384,HIGH,YES,0.08,Other/Diversified,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Granite Mart Ltd.,Brickwork,Letter Of credit,A 4,2025-05-26,384,HIGH,YES,2.50,Other/Diversified,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Ambica Spintex Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-26,384,HIGH,YES,1.50,Other/Diversified,"Brickwork INC — mandate lapsed 384d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Universal Auto Components Pvt. Ltd.,Brickwork,Term loans,D,2025-05-27,383,HIGH,YES,6.83,Manufacturing,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Datacipher Ltd.,Brickwork,Bank Guarantee,D,2025-05-27,383,HIGH,YES,1.50,Other/Diversified,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Rake Power Ltd.,Brickwork,Bank Guarantee,D,2025-05-27,383,HIGH,YES,3.00,Power & Energy,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Instapower Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-27,383,HIGH,YES,0.75,Power & Energy,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Chrysalis Trading Pvt. Ltd.,Brickwork,Non-government debt,D,2025-05-27,383,HIGH,YES,15.00,Trading,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Usha Shriram Enterprises Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-27,383,HIGH,YES,0.20,Other/Diversified,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
A A P Infrastructure Ltd.,Brickwork,Term loans,D,2025-05-27,383,HIGH,YES,16.20,Infrastructure,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Canara Lighting Inds. Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-27,383,HIGH,YES,5.00,Other/Diversified,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Margdarshak Financial Services Ltd.,Brickwork,Term loans,D,2025-05-27,383,HIGH,YES,430.00,BFSI,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Mukand Systems & Networking Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-27,383,HIGH,YES,16.25,Other/Diversified,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Chennai Rice Inds. India Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-27,383,HIGH,YES,0.07,Agro & Food,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Paranjape Schemes (Construction) Ltd.,Brickwork,Term loans,D,2025-05-27,383,HIGH,YES,26.87,Construction,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
R K E C Projects Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-27,383,HIGH,YES,237.00,Other/Diversified,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Sangotra Fashions Pvt. Ltd.,Brickwork,Non-government debt,C/A4,2025-05-27,383,HIGH,YES,9.50,Other/Diversified,"Brickwork INC — mandate lapsed 383d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Krishna Tissues Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,B,2025-05-28,382,HIGH,YES,348.94,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Amrit Exports Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-28,382,HIGH,YES,0.75,Infrastructure,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Millenium Exim Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-28,382,HIGH,YES,0.25,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
L N Malviya Infra Projects Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-28,382,HIGH,YES,4.80,Infrastructure,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Metstar Industries Pvt. Ltd.,Brickwork,Term loans,C,2025-05-28,382,HIGH,YES,6.67,Manufacturing,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Raman Agro Exports Pvt. Ltd.,Brickwork,Term loans,C,2025-05-28,382,HIGH,YES,3.29,Infrastructure,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Athitheya Kshema Hotels Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-28,382,HIGH,YES,3.17,Hospitality,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
B A S P Chemical Products Ltd.,Brickwork,Letter Of credit,A 4,2025-05-28,382,HIGH,YES,1.50,Chemicals,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Sadguru Infratech Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-28,382,HIGH,YES,5.00,Infrastructure,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Dwarkadhis Projects Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-28,382,HIGH,YES,18.00,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Dicitex Home Furnishings Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,D,2025-05-28,382,HIGH,YES,57.80,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Umesh Industries Pvt. Ltd.,Brickwork,Term loans,C,2025-05-28,382,HIGH,YES,0.37,Manufacturing,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Vulcan Forge Pvt. Ltd.,Brickwork,Term loans,C,2025-05-28,382,HIGH,YES,0.23,Steel & Metals,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
A V I Ansh Enterprises Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,C,2025-05-28,382,HIGH,YES,1.80,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Omkar Speciality Chemicals Ltd.,Brickwork,Letter Of credit,D,2025-05-28,382,HIGH,YES,60.00,Chemicals,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
G T Z (India) Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-28,382,HIGH,YES,5.25,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Million Exporter Pvt. Ltd.,Brickwork,Term loans,C,2025-05-28,382,HIGH,YES,1.15,Infrastructure,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Bluegod Entertainment Ltd.,Brickwork,Bank Guarantee,D,2025-05-28,382,HIGH,YES,0.50,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Star Chem Poly Trade Pvt. Ltd.,Brickwork,Non-government debt,C/A4,2025-05-28,382,HIGH,YES,15.00,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Sumicot Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-28,382,HIGH,YES,4.00,Other/Diversified,"Brickwork INC — mandate lapsed 382d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Solitaire Foods Pvt. Ltd.,Brickwork,Term loans,D,2025-05-29,381,HIGH,YES,1.70,Agro & Food,"Brickwork INC — mandate lapsed 381d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Spectra Constructions Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,B+,2025-05-29,381,HIGH,YES,1.94,Construction,"Brickwork INC — mandate lapsed 381d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Signet Products Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-29,381,HIGH,YES,50.00,Other/Diversified,"Brickwork INC — mandate lapsed 381d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
A S Wire Inds. (V S P) Pvt. Ltd.,Brickwork,Term loans,C,2025-05-29,381,HIGH,YES,0.01,Manufacturing,"Brickwork INC — mandate lapsed 381d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Real Grow Exims Pvt. Ltd.,Brickwork,Letter Of credit,D,2025-05-29,381,HIGH,YES,2.00,Other/Diversified,"Brickwork INC — mandate lapsed 381d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Phooltas Transrail Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-29,381,HIGH,YES,44.00,Other/Diversified,"Brickwork INC — mandate lapsed 381d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Satyam Ispat (North East) Ltd.,Brickwork,Letter Of credit,D,2025-05-29,381,HIGH,YES,9.50,Other/Diversified,"Brickwork INC — mandate lapsed 381d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Omkar Textile Mills Pvt. Ltd.,Brickwork,Term loans,C,2025-05-29,381,HIGH,YES,5.00,Textiles,"Brickwork INC — mandate lapsed 381d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Ramdev Stainless Strips Pvt. Ltd.,Brickwork,Term loans,C,2025-05-30,380,HIGH,YES,0.34,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Primuss Metroll Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-30,380,HIGH,YES,3.00,Infrastructure,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Arya Steels Rolling (India) Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-30,380,HIGH,YES,5.00,Steel & Metals,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Velaven Polymers Pvt. Ltd.,Brickwork,Term loans,D,2025-05-30,380,HIGH,YES,10.00,Chemicals,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Dhanalakshmi Automotives India Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,C-,2025-05-30,380,HIGH,YES,7.00,Manufacturing,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Sai Balaji Sponge Iron India Pvt. Ltd.,Brickwork,Letter Of credit,D,2025-05-30,380,HIGH,YES,6.00,Steel & Metals,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
A B S Fujitsu General Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-30,380,HIGH,YES,12.00,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
J C R Drillsol Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-30,380,HIGH,YES,0.50,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Jai Ambey Emergency Services (I) Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-30,380,HIGH,YES,7.50,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Kusalava Motors Pvt. Ltd.,Brickwork,Term loans,C,2025-05-30,380,HIGH,YES,1.56,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Synergy Remedies Pvt. Ltd.,Brickwork,Letter Of credit,D,2025-05-30,380,HIGH,YES,4.00,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Sri Sampurna Laxmi Spg. Mills Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-30,380,HIGH,YES,0.25,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Hero Wiretex Ltd.,Brickwork,Bank Guarantee,D,2025-05-30,380,HIGH,YES,2.00,Manufacturing,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Super Electro Films Ltd.,Brickwork,Letter Of credit,A 4,2025-05-30,380,HIGH,YES,16.00,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Anand Transport Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-30,380,HIGH,YES,104.57,Infrastructure,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Anant Dudh Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-30,380,HIGH,YES,0.45,Other/Diversified,"Brickwork INC — mandate lapsed 380d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Prakash Road Lines Corpn. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-02,377,HIGH,YES,1.00,Infrastructure,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Orient Ispat Pvt. Ltd.,Brickwork,Bank Guarantee,BB-,2025-06-02,377,HIGH,YES,3.74,Other/Diversified,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Bhopal Switch Gears Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-02,377,HIGH,YES,3.75,Other/Diversified,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Capital Power Infrastructure Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-02,377,HIGH,YES,14.48,BFSI,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
International Tubes India Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-02,377,HIGH,YES,2.50,Other/Diversified,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Globe Enterprises (India) Ltd.,Brickwork,Letter Of credit,A 4,2025-06-02,377,HIGH,YES,,Other/Diversified,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Robbins Tunneling & Trenchless Technology (India) Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-02,377,HIGH,YES,5.00,Infrastructure,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Pandit Automobiles Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-02,377,HIGH,YES,1.00,Manufacturing,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Civtect (India) Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-02,377,HIGH,YES,7.50,Other/Diversified,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Keshav Holiday Resort Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,C,2025-06-02,377,HIGH,YES,9.72,Hospitality,"Brickwork INC — mandate lapsed 377d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Star Impact Pvt. Ltd.,Brickwork,Term loans,BB-,2025-06-03,376,HIGH,YES,24.79,Other/Diversified,"Brickwork INC — mandate lapsed 376d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Elite Contractors (Chennai) Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-06-03,376,HIGH,YES,13.00,Other/Diversified,"Brickwork INC — mandate lapsed 376d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
F S Housing Pvt. Ltd.,Brickwork,Term loans,C,2025-06-03,376,HIGH,YES,100.00,Construction,"Brickwork INC — mandate lapsed 376d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Mathuram Swastha Evam Shikshan Sansthan,Brickwork,Term loans,C,2025-06-03,376,HIGH,YES,5.99,Other/Diversified,"Brickwork INC — mandate lapsed 376d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Salasaar Iron & Steels Pvt. Ltd.,Brickwork,Term loans,C,2025-06-03,376,HIGH,YES,4.01,Steel & Metals,"Brickwork INC — mandate lapsed 376d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Sri M K Paper Mills Pvt. Ltd.,Brickwork,Term loans,C,2025-06-03,376,HIGH,YES,3.47,Other/Diversified,"Brickwork INC — mandate lapsed 376d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
N M Pekhale Infra Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-03,376,HIGH,YES,2.00,Infrastructure,"Brickwork INC — mandate lapsed 376d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Simran International Export (India) Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-06-03,376,HIGH,YES,0.10,Infrastructure,"Brickwork INC — mandate lapsed 376d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
