Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,Quarter,Escalation_Month,Call_Window,Tier,NCD_Flag
A R L Infratech Ltd.,CARE,Bank Guarantee,A 1,01-Oct-2025,20.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Suryodaya Infra Projects (I) Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,03-Oct-2025,27.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Msjathin Infra Pvt. Ltd.,CARE,Bank Guarantee,BB,03-Oct-2025,25.72,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Suryodaya Infra Projects (I) Pvt. Ltd.,ACUITE,Term Loan,C,03-Oct-2025,14.09,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Msjathin Infra Pvt. Ltd.,CARE,Term Loan,BB,03-Oct-2025,4.28,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Suryodaya Infra Projects (I) Pvt. Ltd.,ACUITE,Term Loan,C,03-Oct-2025,1.91,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Begorra Infrastructure & Developers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,06-Oct-2025,22.5,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Arun Textiles Pvt. Ltd.,CRISIL,Letter of Credit,A 4,06-Oct-2025,12.4,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Arun Textiles Pvt. Ltd.,CRISIL,Term Loan,B,06-Oct-2025,8.81,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Ascent Engineers & Infrastructures India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,06-Oct-2025,7.5,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,Standard
Hindusthan Infrastructure Projects & Engg. Pvt. Ltd.,BRICKWORK,Term Loan,C,08-Oct-2025,31.22,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
A A A Textiles Pvt. Ltd.,IND-RA,Term Loan,BB,08-Oct-2025,20.63,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
A A A Textiles Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,08-Oct-2025,5.36,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,NCD — SEBI License Required
B Patel Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,09-Oct-2025,40.81,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Mona Townships Pvt. Ltd.,CRISIL,Term Loan,B,09-Oct-2025,35.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Ibus Network & Infrastructure Pvt. Ltd.,BRICKWORK,Term Loan,B-,09-Oct-2025,7.64,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Milestone Mercandise Pvt. Ltd.,BRICKWORK,Term Loan,C,09-Oct-2025,6.5,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
C I L Textiles Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,09-Oct-2025,1.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
C I L Textiles Pvt. Ltd.,BRICKWORK,Term Loan,C,09-Oct-2025,0.81,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
D H D Infracon Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,10-Oct-2025,30.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Prathima Infrastructure Ltd.,ACUITE,Term Loan,A 2,10-Oct-2025,26.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Rattan Singh Builders Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,10-Oct-2025,25.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Survi Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,10-Oct-2025,22.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,NCD — SEBI License Required
N K S Construction & Engineers Pvt. Ltd.,CARE,Bank Guarantee,A 4,10-Oct-2025,15.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Kings Infra Ventures Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed),10-Oct-2025,10.4,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Kings Infra Ventures Limited,Infomerics,Non-Convertible Debentures,IVR B+ (INC)(Reaffirmed),10-Oct-2025,3.71,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,NCD — SEBI License Required
Kings Infra Ventures Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),10-Oct-2025,3.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
N K S Construction & Engineers Pvt. Ltd.,CARE,Term Loan,B-,10-Oct-2025,0.1,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Sri Varadaraja Textiles Pvt. Ltd.,CRISIL,Term Loan,B,13-Oct-2025,2.76,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Sri Varadaraja Textiles Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,13-Oct-2025,0.05,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
A C Roy Shipbuilders Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,14-Oct-2025,46.5,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Allied Infrastructures & Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,14-Oct-2025,28.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,Standard
Hella Infra Market Ltd.,IND-RA,Term Loan,BB+,16-Oct-2025,22.22,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Skilled Construction Co. Ltd.,CARE,Bank Guarantee,A 4,16-Oct-2025,4.85,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Viraaj Projects (India) Pvt. Ltd.,CRISIL,Term Loan,B-,17-Oct-2025,44.6,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Piyush Infratech Pvt. Ltd.,IND-RA,NCD/Bond,B+/A4,17-Oct-2025,40.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,NCD — SEBI License Required
Aparna Constructions & Estates Pvt. Ltd.,CRISIL,Term Loan,BB+,17-Oct-2025,30.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
S T Constructions Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,17-Oct-2025,29.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Viraaj Projects (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,17-Oct-2025,1.8,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
S T Constructions Pvt. Ltd.,ACUITE,Term Loan,B-,17-Oct-2025,1.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Kaleshwaram Irrigation Project Corpn. Ltd.,ACUITE,Term Loan,B+,17-Oct-2025,0.62,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Precision Infratech Pvt. Ltd.,CRISIL,Letter of Credit,A 4,20-Oct-2025,10.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Vikas Road Carriers Ltd.,CRISIL,Bank Guarantee,A 4,20-Oct-2025,4.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Masta Bearing Housing Pvt. Ltd.,CRISIL,Term Loan,B,20-Oct-2025,2.04,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Precision Infratech Pvt. Ltd.,CRISIL,Term Loan,B+,20-Oct-2025,1.75,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Masta Bearing Housing Pvt. Ltd.,CRISIL,Letter of Credit,A 4,20-Oct-2025,1.6,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
Vikas Road Carriers Ltd.,CRISIL,Term Loan,B,20-Oct-2025,1.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,Standard
PSAA Constructions Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),22-Oct-2025,23.4,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
PSAA Constructions Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),22-Oct-2025,6.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Roshan Real Estates Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,23-Oct-2025,16.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Associated Works Infra Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Oct-2025,5.5,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,NCD — SEBI License Required
Associated Works Infra Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Oct-2025,0.5,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,NCD — SEBI License Required
Vellingiri Andavar Textiles Pvt. Ltd.,ACUITE,Term Loan,BB,24-Oct-2025,4.31,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Vellingiri Andavar Textiles Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,24-Oct-2025,0.06,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
S R C Projects Pvt. Ltd.,ICRA,Term Loan,BB+,27-Oct-2025,11.94,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Devi Construction Co. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,28-Oct-2025,30.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
S N B Infrastructure Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,28-Oct-2025,20.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Perlei Textiles Pvt. Ltd.,ACUITE,Term Loan,B-,28-Oct-2025,7.96,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Perlei Textiles Pvt. Ltd.,ACUITE,Term Loan,B-,28-Oct-2025,2.04,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Perlei Textiles Pvt. Ltd.,ACUITE,Letter of Credit,A 4,28-Oct-2025,2.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Silpa Projects & Infrastructure (India) Private Limited,Infomerics,Short Term Non-Fund Based Bank Facility - Bank Guarantee,IVR A4 (INC) (Reaffirmed),29-Oct-2025,38.22,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Spica Projects & Infrastructures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,29-Oct-2025,29.13,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Kailash Devbuild (India) Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,29-Oct-2025,28.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Ciscons Constructions Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,29-Oct-2025,25.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Silpa Projects & Infrastructure (India) Private Limited,Infomerics,Long Term Fund Based Bank Facilities - Cash Credit,IVR B (INC) (Downgraded),29-Oct-2025,16.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Mark Infrastructure Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,29-Oct-2025,10.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Silpa Projects & Infrastructure (India) Private Limited,Infomerics,Long Term Fund Based Bank Facilities - Term Loan,IVR B (INC) (Downgraded),29-Oct-2025,9.19,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Silpa Projects & Infrastructure (India) Private Limited,Infomerics,Long Term Fund Based Bank Facilities - Overdraft,IVR B (INC) (Downgraded),29-Oct-2025,2.5,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Lakshmidurga Textiles Pvt. Ltd.,ICRA,Term Loan,B+,29-Oct-2025,1.05,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Mark Infrastructure Pvt. Ltd.,ACUITE,Term Loan,C,29-Oct-2025,0.5,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Mathiyan Construction Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,30-Oct-2025,35.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Sivanssh Infrastructure Development Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),30-Oct-2025,22.25,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Pace Digitek Infra Pvt. Ltd.,ACUITE,Term Loan,BB+,30-Oct-2025,22.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Gujral Roadways Pvt. Ltd.,CARE,Bank Guarantee,A 4,30-Oct-2025,0.3,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Gujral Roadways Pvt. Ltd.,CARE,Term Loan,B-,30-Oct-2025,0.21,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
Spg Infraprojects Ltd.,CARE,NCD/Bond,BB+/A4+,31-Oct-2025,24.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,NCD — SEBI License Required
S J R Infrastructure Pvt. Ltd.,CRISIL,Term Loan,B+,31-Oct-2025,15.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
S J R Infrastructure Pvt. Ltd.,CRISIL,Term Loan,B+,31-Oct-2025,10.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
S J R Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,31-Oct-2025,5.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,Standard
KLSR Infratech Limited,Infomerics,Proposed Long Term Fund Based Facility - CC,IVR BB (INC)(Downgraded),03-Nov-2025,33.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Sarjan Infracon Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,03-Nov-2025,26.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
KLSR Infratech Limited,Infomerics,Long Term Fund Based Facility - CC,IVR BB (INC)(Downgraded),03-Nov-2025,17.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
KLSR Infratech Limited,Infomerics,Short Term Fund Based Facility - Short Term Loan (Working capital facility),IVR A4 (INC)(Downgraded),03-Nov-2025,5.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Sandhya Chemplast Pvt. Ltd.,CRISIL,Fund-Based,B+,04-Nov-2025,25.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Sandhya Chemplast Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,04-Nov-2025,12.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Poddar Mercantile Pvt. Ltd.,CRISIL,Letter of Credit,A 4,04-Nov-2025,5.42,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Saraf Real Infra Pvt. Ltd.,CRISIL,Term Loan,B,04-Nov-2025,1.75,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Poddar Mercantile Pvt. Ltd.,CRISIL,Term Loan,B-,04-Nov-2025,1.67,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
S L M I Infraprojects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,05-Nov-2025,37.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
S L M I Infraprojects Pvt. Ltd.,CRISIL,Term Loan,B,05-Nov-2025,25.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Shivalik Infraventures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,05-Nov-2025,11.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Arnavi Green Building Materials Pvt. Ltd.,CARE,Term Loan,B-,05-Nov-2025,9.33,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Shivansh Textiles Pvt. Ltd.,CRISIL,Term Loan,B,05-Nov-2025,6.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
S K Jain Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,05-Nov-2025,5.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Shivalik Infraventures Pvt. Ltd.,CRISIL,Term Loan,B,05-Nov-2025,4.2,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Futurex Infracon Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,05-Nov-2025,2.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
S K Jain Constructions Pvt. Ltd.,CRISIL,Letter of Credit,A 4,05-Nov-2025,2.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Arnavi Green Building Materials Pvt. Ltd.,CARE,Fund-Based,B-,05-Nov-2025,1.17,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Futurex Infracon Pvt. Ltd.,CRISIL,Term Loan,B,05-Nov-2025,1.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,Standard
Sharad Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,10-Nov-2025,38.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Universal Infra & Agri Oils Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),10-Nov-2025,26.62,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Prabha Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,10-Nov-2025,14.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Prabha Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,B,10-Nov-2025,1.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Dondaicha Betawad Annuity Infrastructure Pvt. Ltd.,CARE,Term Loan,BB-,11-Nov-2025,49.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
N J R Constructions Pvt. Ltd.,CARE,Term Loan,A 4,11-Nov-2025,33.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Mahathi Infra Services Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,11-Nov-2025,19.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Mahathi Infra Services Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,11-Nov-2025,15.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
S R S C Infra Pvt. Ltd.,CRISIL,Term Loan,BB+,11-Nov-2025,10.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
N F Infratech Service Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,11-Nov-2025,1.5,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
N F Infratech Service Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,11-Nov-2025,0.5,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Mahathi Infra Services Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,11-Nov-2025,0.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
S P R Construction Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,12-Nov-2025,25.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Baab Constructions (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,12-Nov-2025,7.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Pressmach Infrastructure Pvt. Ltd.,BRICKWORK,Term Loan,C-,12-Nov-2025,3.96,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Shree Sainath Textiles Pvt. Ltd.,CRISIL,Fund-Based,B-,12-Nov-2025,3.7,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Pressmach Infrastructure Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,12-Nov-2025,2.5,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Pressmach Infrastructure Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,12-Nov-2025,0.5,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Shree Sainath Textiles Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,12-Nov-2025,0.5,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Shweta Infrastructure & Housing (India) Pvt. Ltd.,CRISIL,Term Loan,B+,13-Nov-2025,35.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Shweta Infrastructure & Housing (India) Pvt. Ltd.,CRISIL,Term Loan,B+,13-Nov-2025,19.12,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Shweta Infrastructure & Housing (India) Pvt. Ltd.,CRISIL,Term Loan,B+,13-Nov-2025,10.26,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Malabar Cements Ltd.,CRISIL,Bank Guarantee,A 4+,13-Nov-2025,2.86,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Malabar Cements Ltd.,CRISIL,Letter of Credit,A 4+,13-Nov-2025,1.43,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Quippo Oil & Gas Infrastructure Ltd.,CARE,NCD/Bond,C/A4,13-Nov-2025,0.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,NCD — SEBI License Required
D K Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,B+,14-Nov-2025,47.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Bharath Hi-Tecch Builders Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),14-Nov-2025,30.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Vaishno Devi Realty Pvt. Ltd.,BRICKWORK,Term Loan,C,14-Nov-2025,20.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
D K Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,B+,14-Nov-2025,19.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Hari Om Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,14-Nov-2025,19.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
Durga Signal Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,14-Nov-2025,5.5,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 4 — ULTRA HOT,Standard
