Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Amount_Display
Pearson Drums & Barrels Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-08,HOT,Dec 2026,2026-12-08,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.0 Cr
Jayaraj Fortune Packaging Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-11,HOT,Dec 2026,2026-12-11,5.0,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.0 Cr
Relcom Technology Pvt. Ltd.,ICRA,Term Loan,B,2025-12-24,HOT,Dec 2026,2026-12-24,5.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.0 Cr
S M L P G Cylinders Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.0 Cr
Machino Plastics Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,5.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.0 Cr
Meenar Polydyed Yarns Ltd.,ICRA,Term Loan,B+,2026-03-25,LOW/MEDIUM,Mar 2027,2027-03-25,5.0,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2027-03-25 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.0 Cr
Memon Health Care Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-22,HOT,Dec 2026,2026-12-22,4.07,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹4.1 Cr
Yash Exports (India) Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-23,HOT,Dec 2026,2026-12-23,4.07,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹4.1 Cr
Vishva Vishal Refractory Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,4.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹4.0 Cr
Agarwal Fastners Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-13,LOW/MEDIUM,Mar 2027,2027-03-13,4.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-13 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹4.0 Cr
Rajsamadhiyala Spintex Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,3.9,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.9 Cr
K C Toolroom Pvt. Ltd.,ICRA,Term Loan,B+,2026-03-09,LOW/MEDIUM,Mar 2027,2027-03-09,3.8,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.8 Cr
Manishri Refractories & Ceramics Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,3.73,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.7 Cr
Pavan Cotton Products Pvt. Ltd.,ICRA,Term Loan,B,2025-12-17,HOT,Dec 2026,2026-12-17,3.64,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.6 Cr
Sterling Distillers Pvt. Ltd.,ICRA,Non-Fund-Based,BB+,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,3.6,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.6 Cr
Dureza Granito Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-13,LOW/MEDIUM,Mar 2027,2027-03-13,3.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-13 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.5 Cr
Winfab Equipments Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,3.5,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.5 Cr
Memon Health Care Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-22,HOT,Dec 2026,2026-12-22,3.33,Healthcare,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.3 Cr
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,Term Loan,BB+,2026-03-26,LOW/MEDIUM,Mar 2027,2027-03-26,3.11,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2027-03-26 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.1 Cr
Yamuna Machine Works Ltd.,ICRA,Fund-Based,A 4,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,3.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.0 Cr
Manishri Refractories & Ceramics Pvt. Ltd.,ICRA,Fund-Based,A 4,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,3.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.0 Cr
Prince Yarnn India Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,3.0,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹3.0 Cr
K P Saha Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-10,HOT,Dec 2026,2026-12-10,2.69,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.7 Cr
Dugar Polymers Ltd.,ICRA,Term Loan,B+,2025-12-18,HOT,Dec 2026,2026-12-18,2.59,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.6 Cr
Millenium Exim Pvt. Ltd.,ICRA,Term Loan,B,2025-12-08,HOT,Dec 2026,2026-12-08,2.54,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.5 Cr
Vishva Vishal Refractory Ltd.,ICRA,Term Loan,BB,2025-12-17,HOT,Dec 2026,2026-12-17,2.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.5 Cr
Yash Exports (India) Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-23,HOT,Dec 2026,2026-12-23,2.42,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.4 Cr
Yamuna Machine Works Ltd.,ICRA,Term Loan,B+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,2.41,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.4 Cr
Pearson Drums & Barrels Pvt. Ltd.,ICRA,Fund-Based,A 4,2025-12-08,HOT,Dec 2026,2026-12-08,2.4,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.4 Cr
Sivaani Agribusiness Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-11,HOT,Dec 2026,2026-12-11,2.08,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.1 Cr
Winner Nippon Leatherette Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Dec 2026,2026-12-24,2.05,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.0 Cr
Shell Apparels Pvt. Ltd.,ICRA,Non-Fund-Based,B+,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,2.01,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.0 Cr
Grentex & Co. Pvt. Ltd.,ICRA,Non-Fund-Based,A 4+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,2.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.0 Cr
Prince Yarnn India Ltd.,ICRA,Fund-Based,B+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,2.0,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.0 Cr
Pearson Drums & Barrels Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-08,HOT,Dec 2026,2026-12-08,1.96,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹2.0 Cr
Jay Bharat Spices Pvt. Ltd.,ICRA,Term Loan,B+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,1.95,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.9 Cr
Winner Nippon Leatherette Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-24,HOT,Dec 2026,2026-12-24,1.75,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.8 Cr
Ami Riddhi Chem Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,1.58,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.6 Cr
Champion Commercial Co. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-05,HOT,Dec 2026,2026-12-05,1.5,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.5 Cr
Flyjac Logistics Pvt. Ltd.,ICRA,NCD/Bond,A+/A1+,2025-12-11,HOT,Dec 2026,2026-12-11,1.5,Logistics,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.5 Cr
Active Char Products Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,HOT,Dec 2026,2026-12-12,1.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.5 Cr
Yamuna Machine Works Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,1.5,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.5 Cr
N B Cotex Pvt. Ltd.,ICRA,Term Loan,B,2026-03-25,LOW/MEDIUM,Mar 2027,2027-03-25,1.49,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-25 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.5 Cr
Winner Nippon Leatherette Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-24,HOT,Dec 2026,2026-12-24,1.45,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.4 Cr
Krishna Transnational Marbles Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-25,LOW/MEDIUM,Mar 2027,2027-03-25,1.3,Mining,Standard,D365,INC rating hits ULTRA HOT on 2027-03-25 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.3 Cr
Sharpline Automation Pvt. Ltd.,ICRA,Term Loan,B-,2025-12-26,HOT,Dec 2026,2026-12-26,1.29,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.3 Cr
Chayagraphics Healthcare Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,1.25,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.2 Cr
C D R Projects Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-24,HOT,Dec 2026,2026-12-24,1.21,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.2 Cr
Samkit Diamond Export Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-17,HOT,Dec 2026,2026-12-17,1.02,Jewellery,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.0 Cr
Rameswar Udyog Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-12,HOT,Dec 2026,2026-12-12,1.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.0 Cr
Tirumala Seven Hills Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-17,HOT,Dec 2026,2026-12-17,1.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.0 Cr
Relcom Technology Pvt. Ltd.,ICRA,Non-Fund-Based,B,2025-12-24,HOT,Dec 2026,2026-12-24,1.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.0 Cr
Sharpline Automation Pvt. Ltd.,ICRA,Fund-Based,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,1.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.0 Cr
Mangal Sponge & Steel Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-20,LOW/MEDIUM,Mar 2027,2027-03-20,1.0,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.0 Cr
Samkit Diamond Export Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,0.98,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.0 Cr
Strawberry Studio Exports Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-16,LOW/MEDIUM,Mar 2027,2027-03-16,0.98,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1.0 Cr
Sivaani Agribusiness Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-11,HOT,Dec 2026,2026-12-11,0.92,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.9 Cr
Machino Plastics Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,0.8,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.8 Cr
T C S & Associates Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-01,HOT,Dec 2026,2026-12-01,0.71,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.7 Cr
Antique Cottex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,0.66,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.7 Cr
Disha Communications Pvt. Ltd.,ICRA,Non-Fund-Based,B+,2026-03-18,LOW/MEDIUM,Mar 2027,2027-03-18,0.65,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2027-03-18 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.7 Cr
Active Char Products Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-12,HOT,Dec 2026,2026-12-12,0.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.5 Cr
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,Bank Guarantee,A 4+,2026-03-26,LOW/MEDIUM,Mar 2027,2027-03-26,0.5,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2027-03-26 — prime Q1 2027 renewal target,Your Bank Guarantee at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.5 Cr
K C Toolroom Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-09,LOW/MEDIUM,Mar 2027,2027-03-09,0.3,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.3 Cr
Jagrut Motors Pvt. Ltd.,ICRA,Term Loan,B+,2026-03-09,LOW/MEDIUM,Mar 2027,2027-03-09,0.26,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.3 Cr
Millenium Exim Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-08,HOT,Dec 2026,2026-12-08,0.25,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.2 Cr
V V C Motors Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-19,HOT,Dec 2026,2026-12-19,0.25,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.2 Cr
Pavan Cotton Products Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,0.24,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.2 Cr
K P Saha Pvt. Ltd.,ICRA,Non-Fund-Based,B+,2025-12-10,HOT,Dec 2026,2026-12-10,0.13,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.1 Cr
Decor Paper Mills Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,0.13,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.1 Cr
Shreenathji Cotgin Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,0.1,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.1 Cr
Pearson Drums & Barrels Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-08,HOT,Dec 2026,2026-12-08,0.04,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.0 Cr
Antique Cottex Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,0.02,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹0.0 Cr
Champion Commercial Co. Ltd.,ICRA,Short-Term Loan,A 4,2025-12-05,HOT,Dec 2026,2026-12-05,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
Rameswar Udyog Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,HOT,Dec 2026,2026-12-12,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
Rameswar Udyog Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2025-12-12,HOT,Dec 2026,2026-12-12,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
Samkit Diamond Export Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-17,HOT,Dec 2026,2026-12-17,0.0,Jewellery,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
