Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Amount_Cr,Quarter,Escalation_Month,Escalation_Date,Call_Window,Tier,Priority_Score,Agency_Count,NCD_Flag,Source,Why Target,ACER Pitch Angle,Dual_Quarter
Dwarakamai Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,12.0,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
K S D Construction,Infomerics,Long Term Bank Facilities,IVR B- (INC) (Downgraded),2025-12-02,HOT,11.0,Q1 2027,Dec 2026,2026-12-02,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Trishul Buildtech & Infrastructures Pvt. Ltd.,ACUITE,Term Loan,BB+,2025-12-03,HOT,10.22,Q1 2027,Dec 2026,2026-12-03,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
A To Z Developers Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,10.0,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Bharath Hi-Tech Builders Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-19,HOT,10.0,Q1 2027,Dec 2026,2026-12-19,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Building Blocks Projects India Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,10.0,Q1 2027,Dec 2026,2026-12-22,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
A & T Infracon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-05,HOT,10.0,Q1 2027,Dec 2026,2026-12-05,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Both Q1+Q2
OP Gupta Contractor Private Limited,Infomerics,Long Term Bank Facility,IVR B+ (INC) (Downgraded),2025-12-02,HOT,10.0,Q1 2027,Dec 2026,2026-12-02,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
A To Z Developers Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,9.0,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Atindra Construction Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,HOT,8.06,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
A C D C Saideep Buildcon Pvt. Ltd.,CRISIL,Term Loan,BB,2025-12-23,HOT,8.03,Q1 2027,Dec 2026,2026-12-23,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
P P Kharpatil Constructions Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-08,HOT,5.0,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Gayatri Infrastructure Ltd.,CRISIL,Term Loan,B+,2025-12-10,HOT,5.0,Q1 2027,Dec 2026,2026-12-10,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Atlas Constructions Pvt. Ltd.,CRISIL,Term Loan,BBB,2025-12-12,HOT,5.0,Q1 2027,Dec 2026,2026-12-12,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
P K T Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-22,HOT,5.0,Q1 2027,Dec 2026,2026-12-22,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Space Age Associates Power-Infra Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-23,HOT,5.0,Q1 2027,Dec 2026,2026-12-23,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Supreme Road Transport Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-26,HOT,5.0,Q1 2027,Dec 2026,2026-12-26,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
IRP Infra Tech Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-12-29,HOT,4.98,Q1 2027,Dec 2026,2026-12-29,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-29 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Eversendai Construction Pvt. Ltd.,ACUITE,Term Loan,BBB-,2025-12-05,HOT,3.82,Q1 2027,Dec 2026,2026-12-05,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
NK Construction Group,Infomerics,Short Term Facilities,IVR A4 (INC) (Reaffirmed),2025-12-15,HOT,3.75,Q1 2027,Dec 2026,2026-12-15,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-15 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
BLN Infra Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-05,HOT,3.26,Q1 2027,Dec 2026,2026-12-05,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Manglam Infra & Engg. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-16,HOT,3.0,Q1 2027,Dec 2026,2026-12-16,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
P C Patel Infra Pvt. Ltd.,BRICKWORK,Term Loan,BB-,2025-12-17,HOT,3.0,Q1 2027,Dec 2026,2026-12-17,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
P K Construction Shimla Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,2.75,Q1 2027,Dec 2026,2026-12-22,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Raj Kishore Engineering Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-08,HOT,2.0,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Raj Kishore Engineering Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,B+,2025-12-08,HOT,2.0,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Tratec Engineers Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-10,HOT,2.0,Q1 2027,Dec 2026,2026-12-10,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
B P R Infrastructure Pvt. Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-17,HOT,1.84,Q1 2027,Dec 2026,2026-12-17,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Atindra Construction Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,HOT,1.76,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Atindra Construction Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-08,HOT,1.5,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
H K Cement Inds. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-08,HOT,1.17,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
K N K Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,1.0,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Niladree Build-Tech Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,HOT,1.0,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Both Q1+Q2
Adhunik Infrastructures Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-10,HOT,0.5,Q1 2027,Dec 2026,2026-12-10,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Space Age Associates Power-Infra Pvt. Ltd.,CRISIL,Fund-Based,A 4,2025-12-23,HOT,0.5,Q1 2027,Dec 2026,2026-12-23,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Manglam Infra & Engg. Ltd.,CRISIL,Fund-Based,BB+,2025-12-16,HOT,0.3,Q1 2027,Dec 2026,2026-12-16,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Trishul Buildtech & Infrastructures Pvt. Ltd.,ACUITE,Term Loan,BB+,2025-12-03,HOT,0.01,Q1 2027,Dec 2026,2026-12-03,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
L & W Construction Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-31,LOW/MEDIUM,1830.0,Q1 2027,Mar 2027,2027-03-31,Dec 2026 – Jan 2027,Tier 3 — NCD Priority,4,1,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Sintex Prefab & Infra Ltd.,ACUITE,Short-Term Loan,A 4,2026-02-16,LOW/MEDIUM,543.63,Q1 2027,Feb 2027,2027-02-16,Nov–Dec 2026,Tier 6 — Medium/Low,4,1,Standard,D365,INC rating hits ULTRA HOT on 2027-02-16 — prime Q1 2027 renewal target,Your Short-Term Loan at ACUITE goes critical in Feb 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Globus Warehousing & Trdg. Pvt. Ltd.,BRICKWORK,Bank Guarantee,BB,2026-01-02,LOW/MEDIUM,365.45,Q1 2027,Jan 2027,2027-01-02,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,4,1,Standard,D365,INC rating hits ULTRA HOT on 2027-01-02 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Inderjit Mehta Constructions Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC) (Downgraded),2026-01-22,LOW/MEDIUM,245.0,Q1 2027,Jan 2027,2027-01-22,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,4,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2027-01-22 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Single Quarter
Agrawal Infrabuild Private Limited,Infomerics,Short Term Facility,IVR A3+ (INC)(Downgraded),2026-01-28,LOW/MEDIUM,130.0,Q1 2027,Jan 2027,2027-01-28,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,4,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2027-01-28 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Single Quarter
KCP Infra Limited,Infomerics,Long Term Facilities/ Short Term Facilities,IVR BB+/IVR A4+; (INC)(Downgraded),2026-01-16,LOW/MEDIUM,101.0,Q1 2027,Jan 2027,2027-01-16,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,4,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2027-01-16 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Single Quarter
B N R Infrastructure Projects Pvt. Ltd.,CARE,NCD/Bond,BB/A4,2026-01-02,LOW/MEDIUM,80.0,Q1 2027,Jan 2027,2027-01-02,Oct–Nov 2026 — Call now (HOT by Oct),Tier 3 — NCD Priority,4,1,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-01-02 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Bagkiya Constructions Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-30,LOW/MEDIUM,25.0,Q1 2027,Dec 2026,2026-12-30,Sep–Oct 2026 — Call 3 months ahead,Tier 6 — Medium/Low,4,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Bagkiya Constructions Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-30,LOW/MEDIUM,10.0,Q1 2027,Dec 2026,2026-12-30,Sep–Oct 2026 — Call 3 months ahead,Tier 6 — Medium/Low,4,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Bagkiya Constructions Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-30,LOW/MEDIUM,1.0,Q1 2027,Dec 2026,2026-12-30,Sep–Oct 2026 — Call 3 months ahead,Tier 6 — Medium/Low,4,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Sew Infrastructure Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,D,2026-04-01,LOW (<90 days),2800.0,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (88 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
I L & F S Engg. & Construction Co. Ltd.,CARE,Non-fund based working capital limit,D,2026-04-16,LOW (<90 days),2188.52,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (73 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund based working capital limit at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
Jaymala Infrastructure Pvt. Ltd.,IND-RA,Term Loan,BBB-,2026-03-30,LOW/MEDIUM,1986.53,Q1 2027,Mar 2027,2027-03-30,Dec 2026 – Jan 2027,Tier 6 — Medium/Low,3,1,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Sew Infrastructure Ltd.,BRICKWORK,Fund based financial facility/instrument,D,2026-04-01,LOW (<90 days),600.0,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (88 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
Sadbhav Vidarbha Highway Ltd.,CARE,Term loans,D,2026-04-17,LOW (<90 days),514.0,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
K M Toll Road Pvt. Ltd.,BRICKWORK,Term loans,D,2026-04-02,LOW (<90 days),481.03,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
Supreme Manor Wada Bhiwandi Infrastructure Pvt. Ltd.,CRISIL,Term loans,D,2026-04-06,LOW (<90 days),377.0,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (83 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
T K Toll Road Pvt. Ltd.,ICRA,Term loans,D,2026-04-16,LOW (<90 days),370.95,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (73 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
Cabbana Infrastructures Pvt. Ltd.,IND-RA,Term loans,D,2026-04-02,LOW (<90 days),363.72,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
I L & F S Engg. & Construction Co. Ltd.,CARE,Term loans,D,2026-04-16,LOW (<90 days),352.81,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (73 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
J P Infra Realty Pvt. Ltd.,IND-RA,Term loans,B-,2026-04-02,LOW (<90 days),350.0,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
Shree Hari Infraprojects Pvt. Ltd.,CARE,Non-government debt,BB/A4,2026-04-16,LOW (<90 days),323.0,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,NCD — SEBI License Required,D365,"INC since Apr 2026 (73 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Single Quarter
Gama Infraprop Pvt. Ltd.,CRISIL,Term loans,B,2026-04-23,LOW (<90 days),282.99,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Both Q1+Q2
Gama Infraprop Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-23,LOW (<90 days),274.43,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Both Q1+Q2
Krishna Buildestates Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,2026-03-26,LOW/MEDIUM,246.6,Q1 2027,Mar 2027,2027-03-26,Dec 2026 – Jan 2027,Tier 3 — NCD Priority,3,1,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-26 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
