Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Quarter,Escalation_Month,Escalation_Date,HOT_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Call_Window,Also_In_Other_Quarter
Gama Infraprop Pvt. Ltd.,CRISIL,Term loans,B,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,282.99,Construction/Infra,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Gama Infraprop Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-03-23,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-23,,4.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Gama Infraprop Pvt. Ltd.,CARE,Letter of Credit,A 4,2026-03-23,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-23,,65.18,Construction,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Hayat Hospital Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-20,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-20,,15.7,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Hayat Hospital Pvt. Ltd.,BRICKWORK,Term loans,C,2026-04-01,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,24.32,Healthcare,Standard,D365,"INC since Apr 2026 (88 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Jaipur Jewels Global Ltd.,ACUITE,Bank Guarantee,A 4,2026-04-01,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,25.0,Other,Standard,D365,"INC since Apr 2026 (88 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Jaipur Jewels Global Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,25.0,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Jayachandran Industries Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-09,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,5.35,Other,Standard,D365,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Jayachandran Industries Pvt. Ltd.,CRISIL,Term loans,B,2026-04-09,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,1.25,Other,Standard,D365,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Jayachandran Industries Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,7.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Joyguru Cold Storage Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,HOT,Q1 2027,Dec 2026,2026-12-10,,0.07,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Joyguru Cold Storage Pvt. Ltd.,CRISIL,Term Loan,B-,2025-12-10,HOT,Q1 2027,Dec 2026,2026-12-10,,2.2,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Joyguru Cold Storage Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-04-15,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,0.07,Other,Standard,D365,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Karvy Digikonnect Ltd.,CRISIL,Term Loan,C,2026-03-12,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-12,,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Karvy Digikonnect Ltd.,CRISIL,Term loans,D,2026-04-02,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,5.0,Other,Standard,D365,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Kirti Stampings Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,2.0,Other,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Kirti Stampings Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-20,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-20,,2.46,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Kirti Stampings Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2026-03-20,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-20,,2.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Kirti Stampings Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-20,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-20,,4.54,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Kirti Stampings Pvt. Ltd.,BRICKWORK,Term loans,C,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,5.23,Other,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Kisan Oleochem & Derivatives Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2026-04-09,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,6.0,Chemicals/Pharma,Standard,D365,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Kisan Oleochem & Derivatives Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-11,HOT,Q1 2027,Dec 2026,2026-12-11,,0.5,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Kisan Oleochem & Derivatives Pvt. Ltd.,BRICKWORK,Term loans,B+,2026-04-09,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,5.22,Chemicals/Pharma,Standard,D365,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
M R K R Constructions & Inds. Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,175.0,Construction/Infra,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
M R K R Constructions & Inds. Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,55.0,Construction/Infra,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
M R K R Constructions & Inds. Pvt. Ltd.,IND-RA,Fund-Based,A 3,2025-12-15,HOT,Q1 2027,Dec 2026,2026-12-15,,200.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Mittal Udyog Indore Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2026-02-05,LOW/MEDIUM,Q1 2027,Feb 2027,2027-02-05,,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-02-05 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Feb 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Nov–Dec 2026,YES — dual-quarter
Mittal Udyog Indore Pvt. Ltd.,ICRA,Short-term loan,A 4,2026-04-15,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,0.0,Mining/Minerals,Standard,D365,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Short-term loan at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Niladree Build-Tech Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,HOT,Q1 2027,Dec 2026,2026-12-11,,15.2,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Niladree Build-Tech Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,HOT,Q1 2027,Dec 2026,2026-12-11,,1.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Niladree Build-Tech Pvt. Ltd.,IND-RA,Term loans,B-,2026-04-02,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,11.36,Construction/Infra,Standard,D365,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
P S K Textiles India Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2026-04-02,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,28.46,Textiles,NCD — SEBI License Required,D365,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
P S K Textiles India Pvt. Ltd.,BRICKWORK,Term Loan,C,2026-03-10,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-10,,7.0,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
P S K Textiles India Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-03-10,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-10,,2.05,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
P S V Precast Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,HOT,Q1 2027,Dec 2026,2026-12-08,,2.6,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
P S V Precast Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-08,HOT,Q1 2027,Dec 2026,2026-12-08,,6.65,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
P S V Precast Pvt. Ltd.,CARE,Term loans,B-,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,6.65,Other,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Premier Plasmotec Pvt. Ltd.,BRICKWORK,Term loans,C,2026-04-09,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,2.16,Other,Standard,D365,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Premier Plasmotec Pvt. Ltd.,CARE,NCD/Bond,BBB-/A3,2026-03-31,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-31,,35.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Premier Plasmotec Pvt. Ltd.,CARE,Term Loan,BBB-,2026-03-31,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-31,,152.47,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Premier Plasmotec Pvt. Ltd.,CARE,NCD/Bond,BBB-/A3,2026-03-31,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-31,,20.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Primatel Fibcom Ltd.,CARE,Bank Guarantee,A 4,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,17.5,Other,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Primatel Fibcom Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-22,HOT,Q1 2027,Dec 2026,2026-12-22,,5.4,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Primatel Fibcom Ltd.,CRISIL,Letter of Credit,A 4,2025-12-22,HOT,Q1 2027,Dec 2026,2026-12-22,,14.6,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Pushpit Steels Pvt. Ltd.,ACUITE,Short-term loan,A-,2026-04-17,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,2.5,Steel & Metals,Standard,D365,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Short-term loan at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Pushpit Steels Pvt. Ltd.,ACUITE,Letter Of credit,A 4+,2026-04-17,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,225.0,Steel & Metals,Standard,D365,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Pushpit Steels Pvt. Ltd.,ACUITE,Letter Of credit,A 2+,2026-04-17,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,25.0,Steel & Metals,Standard,D365,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Pushpit Steels Pvt. Ltd.,ACUITE,Term loans,BB+,2026-04-17,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,464.13,Steel & Metals,Standard,D365,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Pushpit Steels Pvt. Ltd.,BRICKWORK,Term Loan,B,2025-12-03,HOT,Q1 2027,Dec 2026,2026-12-03,,60.0,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Pushpit Steels Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-03,HOT,Q1 2027,Dec 2026,2026-12-03,,45.0,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Ramiya Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-03-30,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-30,,31.43,Construction,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Ramiya Constructions Pvt. Ltd.,CRISIL,Long term Loans,BBB-,2026-04-13,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,14.0,Construction/Infra,Standard,D365,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Ramiya Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 3,2026-04-13,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,63.0,Construction/Infra,Standard,D365,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
S B W Udyog Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,Q1 2027,Dec 2026,2026-12-05,,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
S B W Udyog Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,Q1 2027,Dec 2026,2026-12-05,,4.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
S B W Udyog Ltd.,CARE,Term loans,BB-,2026-04-09,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,13.1,Other,Standard,D365,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
S B W Udyog Ltd.,CARE,Bank Guarantee,A 4,2026-04-09,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,5.0,Other,Standard,D365,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
S V E Drilling Tools Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-31,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-31,,4.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
S V E Drilling Tools Pvt. Ltd.,CRISIL,Letter of Credit,B,2026-03-31,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-31,,1.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
S V E Drilling Tools Pvt. Ltd.,CARE,Term loans,B-,2026-04-28,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,10.0,Other,Standard,D365,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
S V E Drilling Tools Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-31,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-31,,6.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Shinde Developers Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-03-09,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-09,,70.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Shinde Developers Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2026-04-02,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,53.0,Other,NCD — SEBI License Required,D365,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
