Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Tier,Priority_Score,Agency_Count,Calling_Sequence,Amount_Cr,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
Krishna Constellation Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,223.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
N S C Projects Pvt. Ld.,CRISIL,Bank Guarantee,A 2,2025-12-01,HOT,Dec 2026,2026-12-01,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,218.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ideal Movers Pvt. Ltd.,CRISIL,Fund-Based,B-,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,175.65,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chola Spinning Mills Pvt. Ltd.,CARE,Term Loan,B+,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,113.06,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sirmour Small Hydro Power Pvt. Ltd.,CARE,Term Loan,BB+,2025-12-15,HOT,Dec 2026,2026-12-15,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,160.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
W F B Baird & Co. India Pvt. Ltd.,CARE,Letter of Credit,A 3,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,333.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
S V P Industries Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-01,HOT,Dec 2026,2026-12-01,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,183.91,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dhoot Infrastructure Projects Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,Dec 2026,2026-12-01,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,110.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K K P Fine Linen Pvt. Ltd.,BRICKWORK,Fund-Based,BB,2025-12-03,HOT,Dec 2026,2026-12-03,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,171.82,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Siddheshwar Industries Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-04,HOT,Dec 2026,2026-12-04,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,119.32,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-04 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sanvijay Rolling & Engg. Ltd.,BRICKWORK,Fund-Based,BB,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,409.54,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
H K Cement Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,109.34,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P C Patel Infra Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,135.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shree Naman Hotels Pvt. Ltd.,BRICKWORK,Term Loan,BBB+,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,395.0,Hotels/Tourism,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P C Snehal Construction Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,135.5,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Eversendai Construction Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,290.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Krrish Shalimar Projects Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-22,HOT,Dec 2026,2026-12-22,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,120.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sri Bhagirath Textiles Ltd.,ACUITE,Term Loan,BB,2025-12-29,HOT,Dec 2026,2026-12-29,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,191.89,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-29 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C P L Pharmaceuticals Pvt. Ltd.,IND-RA,Term Loan,BBB+,2025-12-03,HOT,Dec 2026,2026-12-03,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,409.55,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sky Spintex Pvt. Ltd.,IND-RA,Term Loan,BBB-,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,146.98,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vijai Electricals Ltd.,IND-RA,Fund-Based,A 4,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,280.54,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vijai Electricals Ltd.,IND-RA,Term Loan,B+,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,113.38,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M R K R Constructions & Inds. Pvt. Ltd.,IND-RA,Fund-Based,A 3,2025-12-15,HOT,Dec 2026,2026-12-15,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,200.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
H E S Infra Ltd.,IND-RA,Fund-Based,A 4+,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,289.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
India Mega Agro Anaj Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-01,HOT,Dec 2026,2026-12-01,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,195.9,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Laxmiroop Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-02,HOT,Dec 2026,2026-12-02,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,123.56,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Indian Acrylics Limited,Infomerics,Short Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,154.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-08 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Indian Acrylics Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,112.45,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-08 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Jai Hind Sugar Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,207.25,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-10 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Amrit Papers Private Limited (Erstwhile Amrit Agencies Indore Private Limited),Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,169.06,Paper/Packaging,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-10 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Mash Bio-Fuels Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,307.43,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-12 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Maruti Educational Trust,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,175.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-12 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Agroh Kodinar Veraval Highways Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed),2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,100.0,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-12 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
GRN Constructions Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-12-15,HOT,Dec 2026,2026-12-15,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,120.0,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-15 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Caliber Mercantile Private Limited,Infomerics,Long Term Facilities,IVR BB (INC) (Downgraded),2025-12-16,HOT,Dec 2026,2026-12-16,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,321.41,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-16 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Hariom Industries Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (INC) (Downgraded),2025-12-18,HOT,Dec 2026,2026-12-18,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,155.4,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-18 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Manbhum Ispat Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (INC)(Downgraded),2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,181.72,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-19 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Dodhia Synthetics Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Withdrawn),2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,203.3,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Dodhia Synthetics Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Withdrawn),2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,203.3,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Prince Corp Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,131.46,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-24 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Aristo Securities Private Limited,Infomerics,Fund Based Bank Facilities â€“ Term Loan,IVR BB+ (INC) (Downgraded),2025-12-29,HOT,Dec 2026,2026-12-29,Tier 5 — HOT,6,1,Sep–Oct 2026 — Call 3 months ahead,356.1,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-29 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Maheshwari Mining Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,95.0,Mining,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Arisudana Industries Ltd.,CRISIL,Term Loan,A-,2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,84.66,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
V R P Telematics Pvt. Ltd.,CRISIL,Fund-Based,BB+,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,80.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Global Infonet Distribution Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,75.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aequs Sez Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,Dec 2026,2026-12-22,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,70.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Srijan Realty Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,68.6,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M R L Tyres Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-02,HOT,Dec 2026,2026-12-02,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,65.0,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Global Infonet Distribution Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,60.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ghanaram Infraengineers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,60.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A C D C Saideep Buildcon Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,58.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Musaddilal Projects Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-18,HOT,Dec 2026,2026-12-18,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,57.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Deron Properties Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,50.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vimal Fire Controls Pvt. Ltd.,CRISIL,Bank Guarantee,B,2025-12-18,HOT,Dec 2026,2026-12-18,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,50.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kkrishna Vaahan Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-22,HOT,Dec 2026,2026-12-22,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,49.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Srijan Realty Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,46.12,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Geeken Seating Collection Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,45.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sai Shreeja Cars Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-22,HOT,Dec 2026,2026-12-22,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,42.6,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sai Shreeja Cars Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-22,HOT,Dec 2026,2026-12-22,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,42.2,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Eurocoustic Products Ltd.,CRISIL,Non-Fund-Based,A 4+,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,40.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K N K Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,38.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shreegopal Auto Pvt. Ltd.,CRISIL,Fund-Based,BB+,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,38.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P P Kharpatil Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,36.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Radhe Sham Ravi Prakash Timbers Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,36.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chain-Sys Software Exports Pvt. Ltd.,CRISIL,Term Loan,BB-,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,32.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Lotus Logistics & Developers Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,30.0,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Corrtech International Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-18,HOT,Dec 2026,2026-12-18,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,30.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
